Date,Open,High,Low,Close,Volume
2014-01-02,124.46,124.88,123.71,124.14,4.54
2014-01-03,124.6,124.89,123.86,124.35,3.506
2014-01-06,124.59,124.8,123.52,124.02,4.252
2014-01-07,124.42,125.32,123.65,125.07,4.563
2014-01-08,124.44,124.46,122.75,123.29,8.282
2014-01-09,123.42,123.42,122.02,123.29,5.644
2014-01-10,122.5,122.84,120.37,121.01,8.127
2014-01-13,120.81,120.9,119.01,119.25,6.504
2014-01-14,119.4,119.75,118.8,119.57,6.905
2014-01-15,119.69,120.07,119.05,119.18,5.829
2014-01-16,119.11,119.29,118.19,118.83,5.041
2014-01-17,119.03,120.38,118.74,119.29,7.2
2014-01-21,120.74,120.89,119.51,120.36,5.602
2014-01-22,120.51,120.76,119.97,120.43,4.978
2014-01-23,119.84,119.85,118.26,118.39,6.206
2014-01-24,117.87,118.14,116.26,116.29,7.095
2014-01-27,116.26,117.25,115.88,116.43,6.18
2014-01-28,116.72,117.03,116.07,116.84,4.304
2014-01-29,116.14,116.89,115.71,116.0,5.522
2014-01-30,116.31,116.96,115.18,116.45,5.539
2014-01-31,113.9,113.9,111.11,111.63,15.524
2014-02-03,112.35,112.46,110.54,111.14,11.275
2014-02-04,111.86,112.04,110.49,110.83,9.717
2014-02-05,111.0,111.0,109.27,109.52,10.563
2014-02-06,110.11,111.35,109.91,111.27,7.983
2014-02-07,111.91,112.12,110.39,112.05,7.072
2014-02-10,112.47,112.47,111.08,111.69,9.251
2014-02-11,112.03,113.87,111.95,113.58,6.875
2014-02-12,112.89,112.89,111.81,112.03,6.422
2014-02-13,111.73,112.74,111.18,112.51,5.062
2014-02-14,112.58,113.83,111.59,113.48,6.776
2014-02-18,113.86,114.11,112.6,112.71,6.107
2014-02-19,112.55,115.05,112.47,113.6,7.99
2014-02-20,113.51,115.33,113.1,114.6,8.407
2014-02-21,114.72,114.74,112.6,112.68,9.221
2014-02-24,113.37,115.0,113.05,114.15,7.338
2014-02-25,114.37,115.44,114.24,114.97,5.976
2014-02-26,114.82,115.86,114.4,115.51,6.114
2014-02-27,115.66,115.82,114.56,115.69,4.923
2014-02-28,115.87,116.74,114.81,115.33,6.945
2014-03-03,114.79,116.19,114.26,114.84,6.046
2014-03-04,115.89,116.27,115.26,115.32,5.612
2014-03-05,115.08,115.26,114.01,114.43,6.704
2014-03-06,114.71,115.15,114.35,114.85,5.18
2014-03-07,115.07,115.95,114.64,115.08,5.056
2014-03-10,115.45,115.94,114.12,115.84,6.203
2014-03-11,115.9,116.23,114.24,114.51,6.274
2014-03-12,114.14,116.36,114.13,115.65,6.813
2014-03-13,115.6,115.75,114.12,114.45,5.405
2014-03-14,114.36,114.9,113.68,114.1,6.28
2014-03-17,114.26,115.29,114.13,115.07,5.894
2014-03-18,115.62,116.56,115.2,116.24,6.33
