Date,Open,High,Low,Close,Volume
2014-01-02,27.26,28.05,27.26,27.7,11.703
2014-01-03,28.37,29.36,28.24,29.23,19.087
2014-01-06,29.43,29.8,29.05,29.29,15.783
2014-01-07,29.44,29.66,28.59,28.78,13.041
2014-01-08,28.77,30.1,28.61,29.8,17.91
2014-01-09,30.54,31.58,30.4,31.06,18.69
2014-01-10,31.19,31.48,30.66,31.47,13.196
2014-01-13,31.77,31.78,30.87,30.92,15.114
2014-01-14,31.08,32.07,31.02,32.01,14.28
2014-01-15,32.3,32.3,31.08,31.5,18.087
2014-01-16,31.46,31.73,31.33,31.58,7.462
2014-01-17,31.27,31.39,30.88,31.07,15.822
2014-01-21,32.39,32.65,31.65,32.08,17.955
2014-01-22,32.38,32.92,32.28,32.84,11.535
2014-01-23,32.55,32.69,32.1,32.5,13.397
2014-01-24,32.03,32.31,30.96,31.11,14.874
2014-01-27,31.22,31.59,29.66,30.59,19.14
2014-01-28,30.58,31.51,30.54,30.9,11.918
2014-01-29,30.44,31.29,29.78,29.92,16.375
2014-01-30,30.45,30.87,30.28,30.58,10.021
2014-01-31,30.19,30.84,30.0,30.61,11.439
2014-02-03,30.64,30.8,29.22,29.38,16.779
2014-02-04,30.0,30.03,29.26,29.94,14.44
2014-02-05,29.66,30.1,29.12,30.02,13.893
2014-02-06,30.01,31.34,29.81,30.89,9.46
2014-02-07,31.33,31.85,31.08,31.65,12.866
2014-02-10,31.75,31.8,30.93,31.21,10.751
2014-02-11,31.3,31.44,30.62,31.41,12.511
2014-02-12,31.51,31.51,30.78,31.13,9.535
2014-02-13,30.79,31.5,30.43,31.35,8.718
2014-02-14,31.19,31.62,30.94,31.34,7.008
2014-02-18,31.36,31.59,30.92,30.92,10.428
2014-02-19,30.82,31.04,30.44,30.57,10.556
2014-02-20,30.58,31.89,30.55,31.84,12.151
2014-02-21,31.88,32.19,31.71,31.76,9.632
2014-02-24,31.92,32.73,31.84,32.45,11.241
2014-02-25,32.62,33.5,32.62,33.24,15.33
2014-02-26,33.46,33.75,33.09,33.51,11.733
2014-02-27,33.39,33.95,33.28,33.32,10.852
2014-02-28,32.93,33.45,32.66,33.21,10.861
2014-03-03,32.39,32.73,31.9,32.59,14.41
2014-03-04,33.5,34.72,33.49,34.45,13.584
2014-03-05,34.85,35.15,34.61,34.72,11.323
2014-03-06,35.06,35.58,35.03,35.37,12.031
2014-03-07,35.72,35.85,34.8,35.36,11.829
2014-03-10,35.34,35.82,34.71,35.17,10.695
2014-03-11,35.06,35.45,34.77,34.92,9.976
2014-03-12,34.6,34.84,34.21,34.5,9.954
2014-03-13,34.76,34.78,33.29,33.58,13.341
2014-03-14,33.49,34.63,33.25,34.12,11.884
2014-03-17,34.58,34.58,33.75,34.2,9.176
2014-03-18,34.49,34.58,34.05,34.07,8.858
2014-03-19,34.1,34.32,33.33,33.73,9.846
2014-03-20,33.8,33.91,33.3,33.64,7.001
2014-03-21,34.07,34.07,32.73,32.73,22.079
2014-03-24,33.11,33.53,32.52,33.32,11.29
2014-03-25,33.46,34.51,33.46,34.43,11.544
2014-03-26,34.5,34.55,33.91,33.96,12.059
2014-03-27,33.9,34.29,32.97,34.13,11.952
2014-03-28,34.14,34.69,33.51,33.53,10.435
2014-03-31,33.75,34.91,33.75,34.65,10.216
2014-04-01,34.93,35.78,34.92,35.75,11.63
2014-04-02,35.91,36.52,35.53,35.7,12.018
2014-04-03,35.73,36.07,34.97,35.37,8.904
2014-04-04,35.69,35.7,34.48,34.61,9.354
2014-04-07,34.51,35.37,33.69,33.99,13.776
2014-04-08,33.9,34.28,32.41,33.51,16.158
2014-04-09,33.73,34.82,33.43,34.73,9.554
2014-04-10,35.1,35.14,33.0,33.01,14.715
2014-04-11,32.88,33.85,32.27,32.52,12.682
2014-04-14,32.86,33.0,31.13,31.73,15.616
2014-04-15,31.8,32.43,30.54,31.91,19.269
2014-04-16,32.22,33.73,32.17,33.62,14.163
2014-04-17,33.61,33.88,32.88,33.76,13.152
2014-04-21,33.58,34.08,33.25,33.94,8.893
2014-04-22,34.18,35.25,34.17,34.95,14.105
2014-04-23,36.87,37.41,36.0,37.09,22.024
2014-04-24,37.15,37.47,36.33,36.73,16.534
2014-04-25,36.5,36.61,35.78,36.07,10.324
2014-04-28,36.2,36.67,35.13,35.84,12.646
2014-04-29,36.02,36.75,35.87,36.74,10.035
2014-04-30,36.81,37.18,36.3,36.83,11.963
2014-05-01,37.0,37.53,36.97,37.12,11.867
2014-05-02,37.11,37.47,36.56,37.23,9.366
2014-05-05,37.01,37.7,36.63,37.55,8.767
2014-05-06,38.45,38.82,37.46,37.69,13.278
2014-05-07,37.81,38.26,37.31,38.24,10.514
2014-05-08,38.07,38.58,37.5,37.7,11.164
2014-05-09,37.82,37.82,36.95,37.67,9.852
2014-05-12,37.77,38.69,37.74,38.65,8.27
2014-05-13,38.52,39.11,38.37,38.78,6.636
2014-05-14,38.64,38.86,38.19,38.44,8.418
2014-05-15,38.08,38.36,37.33,38.13,11.211
2014-05-16,38.04,38.19,37.41,37.86,9.214
2014-05-19,37.68,38.72,37.6,38.39,6.85
2014-05-20,38.4,38.45,37.47,37.83,9.063
2014-05-21,38.01,38.47,37.97,38.34,6.5
