Date,Open,High,Low,Close,Volume
2014-01-02,84.25,85.0,83.1,83.91,0.595
2014-01-03,84.12,85.85,83.9,85.73,0.894
2014-01-06,86.25,88.77,85.29,87.99,1.87
2014-01-07,88.02,90.09,85.82,86.93,1.369
2014-01-08,87.01,87.6,85.53,85.9,0.666
2014-01-09,87.0,88.88,86.71,88.11,1.184
2014-01-10,87.92,89.19,86.89,88.56,1.254
2014-01-13,86.92,88.0,84.52,85.28,1.261
2014-01-14,85.68,86.72,80.94,82.59,2.713
2014-01-15,83.11,84.63,82.88,83.04,1.112
2014-01-16,83.04,83.45,75.26,75.65,3.934
2014-01-17,76.26,77.13,74.41,75.02,1.591
2014-01-21,76.05,77.52,75.23,76.23,1.465
2014-01-22,75.73,77.52,73.43,74.47,1.628
2014-01-23,74.51,76.05,73.42,73.75,1.303
2014-01-24,73.22,75.77,72.68,74.69,1.448
2014-01-27,74.91,77.24,73.62,76.45,1.345
2014-01-28,76.46,78.49,76.0,78.13,1.209
2014-01-29,77.63,77.66,74.12,74.72,1.361
2014-01-30,76.18,79.93,76.02,78.63,1.364
2014-01-31,77.27,80.18,76.53,77.95,1.116
2014-02-03,77.69,78.67,75.0,75.35,1.321
2014-02-04,76.15,77.59,75.12,75.75,1.074
2014-02-05,76.1,78.82,74.53,78.34,1.409
2014-02-06,78.5,79.93,77.87,78.26,1.292
2014-02-07,78.35,81.65,78.02,81.21,1.036
2014-02-10,81.53,82.0,79.81,81.45,0.899
2014-02-11,81.36,82.07,79.59,82.07,0.901
2014-02-12,82.4,83.24,81.33,82.46,0.795
2014-02-13,81.69,85.2,81.3,84.73,1.094
2014-02-14,84.31,85.13,82.9,84.18,0.674
2014-02-18,84.75,87.29,84.39,86.25,0.977
2014-02-19,86.73,87.86,85.48,85.5,0.954
2014-02-20,85.49,87.29,84.33,85.56,0.794
2014-02-21,85.52,86.31,82.62,83.6,1.512
2014-02-24,84.44,86.0,83.74,84.25,1.09
2014-02-25,84.64,85.23,83.4,84.11,1.125
2014-02-26,84.5,85.34,81.77,82.34,1.534
2014-02-27,82.87,85.74,82.79,84.67,2.363
2014-02-28,73.5,75.49,70.68,74.35,9.705
2014-03-03,73.3,73.95,71.81,72.87,1.926
2014-03-04,73.57,75.02,73.21,74.28,1.461
2014-03-05,74.4,75.94,74.4,75.01,1.347
2014-03-06,75.11,76.48,75.03,76.07,0.983
2014-03-07,76.55,76.72,75.3,76.27,0.779
2014-03-10,76.33,76.95,75.19,76.11,0.622
2014-03-11,76.06,76.5,74.85,75.05,0.861
2014-03-12,74.54,74.93,73.15,73.85,0.974
2014-03-13,73.7,74.44,72.59,72.86,0.857
2014-03-14,73.09,74.12,72.51,73.6,0.721
2014-03-17,73.96,75.07,73.38,73.66,0.637
2014-03-18,73.83,75.5,73.65,75.45,0.976
2014-03-19,75.71,76.49,74.79,75.43,0.555
2014-03-20,75.45,76.95,75.04,76.72,0.494
2014-03-21,76.76,77.46,75.13,75.33,0.703
2014-03-24,75.67,77.99,75.19,77.87,0.951
2014-03-25,78.42,79.25,76.04,77.13,0.883
2014-03-26,77.25,78.36,76.54,76.68,0.572
2014-03-27,76.78,78.24,76.07,77.86,0.671
2014-03-28,78.15,80.18,76.92,78.98,0.599
2014-03-31,78.2,80.0,78.2,79.73,0.465
2014-04-01,79.35,81.17,78.39,81.09,0.631
2014-04-02,80.6,80.77,78.74,79.89,0.781
2014-04-03,78.4,81.0,75.27,79.24,0.673
2014-04-04,80.29,82.1,79.44,79.98,1.161
2014-04-07,79.53,80.18,78.01,78.42,0.835
2014-04-08,78.16,79.26,77.64,78.23,0.601
2014-04-09,78.7,80.34,78.07,80.08,0.486
2014-04-10,80.36,81.25,78.11,78.64,0.567
2014-04-11,77.87,77.93,75.62,76.11,0.756
2014-04-14,76.56,77.08,75.94,76.53,0.497
2014-04-15,76.53,78.87,75.65,78.35,0.892
2014-04-16,79.07,79.8,78.2,78.31,0.542
2014-04-17,78.17,78.53,76.26,76.86,0.765
2014-04-21,76.56,78.6,76.45,77.56,0.572
2014-04-22,77.18,79.89,77.18,79.57,0.7
2014-04-23,79.52,79.94,78.35,78.78,0.512
2014-04-24,79.36,79.51,76.36,78.53,1.17
2014-04-25,83.24,84.31,81.4,83.16,2.198
2014-04-28,84.15,84.77,80.17,80.79,1.563
2014-04-29,81.85,82.06,79.44,81.08,0.774
2014-04-30,80.63,81.42,78.74,78.95,0.733
2014-05-01,78.22,80.44,78.22,80.14,0.643
2014-05-02,80.16,81.05,79.6,79.8,0.392
2014-05-05,79.99,80.88,78.58,80.51,0.413
2014-05-06,80.11,80.72,78.05,78.16,0.585
2014-05-07,78.53,78.78,75.14,76.33,0.705
2014-05-08,76.32,78.89,75.81,76.97,0.368
2014-05-09,77.24,80.16,76.98,79.89,0.935
2014-05-12,80.1,81.6,79.5,81.55,0.508
2014-05-13,81.51,82.23,80.58,81.14,0.328
2014-05-14,81.09,81.26,78.8,79.02,0.414
2014-05-15,78.91,79.01,77.0,78.6,0.496
2014-05-16,78.23,79.43,77.86,79.17,0.433
2014-05-19,80.38,81.13,79.51,79.57,0.478
2014-05-20,79.35,79.7,76.92,77.21,0.461
2014-05-21,77.48,77.92,76.51,77.34,0.261
2014-05-22,77.34,78.48,77.22,77.44,0.259
2014-05-23,77.69,78.06,76.34,76.82,0.455
2014-05-27,78.03,79.0,77.26,78.26,0.593
2014-05-28,77.79,78.42,76.01,77.47,0.565
2014-05-29,77.73,78.66,77.2,77.47,0.415
2014-05-30,77.62,78.28,76.79,77.29,0.494
2014-06-02,77.62,79.05,76.89,78.43,0.3
2014-06-03,78.14,80.08,77.81,79.66,0.495
2014-06-04,79.18,80.45,78.2,79.87,0.41
