Date,Open,High,Low,Close,Volume
2014-01-02,60.38,61.62,60.38,61.2,6.018
2014-01-03,61.22,61.77,60.98,60.98,2.698
2014-01-06,61.22,61.33,59.57,59.61,4.008
2014-01-07,59.82,60.42,59.6,59.89,2.584
2014-01-08,59.88,60.06,59.28,59.7,4.419
2014-01-09,59.01,62.64,58.94,61.54,8.044
2014-01-10,61.42,62.93,60.83,62.87,6.432
2014-01-13,62.63,62.76,60.58,60.69,4.163
2014-01-14,60.96,61.71,60.39,61.59,2.71
2014-01-15,61.35,61.66,60.89,61.19,2.681
2014-01-16,61.22,61.5,60.32,60.57,2.507
2014-01-17,60.76,61.31,59.76,60.1,7.995
2014-01-21,60.18,60.41,58.52,58.67,4.058
2014-01-22,58.55,58.61,57.72,57.95,5.387
2014-01-23,57.96,57.99,57.32,57.59,2.745
2014-01-24,57.18,57.66,56.73,57.35,3.701
2014-01-27,57.55,58.03,56.95,57.51,3.475
2014-01-28,57.72,57.96,57.09,57.27,3.308
2014-01-29,56.87,57.37,56.57,56.62,3.31
2014-01-30,56.93,57.3,56.14,56.5,4.563
2014-01-31,55.92,56.72,55.08,56.32,5.36
2014-02-03,56.48,56.74,55.22,55.51,5.905
2014-02-04,55.53,56.18,55.2,55.79,3.913
2014-02-05,56.35,56.89,55.7,56.14,3.763
2014-02-06,56.25,57.65,56.17,57.24,2.99
2014-02-07,57.46,57.93,57.05,57.1,3.193
2014-02-10,57.2,57.99,56.37,56.66,3.372
2014-02-11,56.57,57.29,56.57,56.7,3.755
2014-02-12,56.86,57.2,56.08,56.27,3.577
2014-02-13,56.08,56.41,55.5,55.91,3.767
2014-02-14,56.11,57.42,56.05,57.26,3.642
2014-02-18,57.5,58.45,57.5,58.02,3.395
2014-02-19,57.27,57.87,56.82,57.44,3.731
2014-02-20,57.15,57.71,56.74,57.1,3.997
2014-02-21,57.34,57.78,57.26,57.49,2.56
2014-02-24,57.55,58.66,57.47,58.03,3.131
2014-02-25,57.87,58.39,57.77,58.02,3.172
2014-02-26,58.05,60.46,57.87,59.88,4.652
2014-02-27,59.8,60.21,59.42,59.77,2.436
2014-02-28,59.84,61.18,59.33,59.9,3.506
2014-03-03,59.58,60.15,59.31,59.84,1.936
2014-03-04,60.19,60.62,58.95,59.82,4.56
2014-03-05,59.93,60.01,59.1,59.71,2.046
2014-03-06,59.72,59.88,59.28,59.41,3.403
2014-03-07,59.77,59.91,59.05,59.39,3.486
