Date,Open,High,Low,Close,Volume
2014-01-02,33.09,33.18,32.79,32.98,2.306
2014-01-03,32.93,33.14,32.74,32.95,2.212
2014-01-06,32.95,34.02,32.93,33.52,4.684
2014-01-07,33.52,34.13,33.3,34.1,4.659
2014-01-08,34.14,34.19,33.65,34.03,4.161
2014-01-09,34.38,34.44,33.82,34.07,4.035
2014-01-10,34.42,35.56,34.4,35.4,4.763
2014-01-13,35.29,35.48,34.63,34.71,4.468
2014-01-14,34.82,34.87,34.56,34.6,3.311
2014-01-15,34.61,34.98,34.6,34.64,3.733
2014-01-16,34.58,34.97,34.58,34.97,3.243
2014-01-17,35.03,35.08,34.51,34.64,4.345
2014-01-21,34.88,35.12,34.64,34.96,3.62
2014-01-22,35.05,35.24,34.85,35.01,2.288
2014-01-23,34.93,35.12,34.84,35.09,3.744
2014-01-24,35.08,35.24,34.85,35.15,3.384
2014-01-27,35.15,35.39,34.98,34.98,3.166
2014-01-28,35.1,35.66,35.1,35.63,2.932
2014-01-29,35.41,35.63,35.21,35.36,2.578
2014-01-30,35.53,35.72,35.38,35.42,2.778
2014-01-31,35.09,35.83,35.06,35.66,3.462
2014-02-03,35.75,35.8,35.32,35.36,4.983
2014-02-04,35.38,35.56,35.08,35.54,3.398
2014-02-05,35.45,35.64,34.95,35.15,2.84
2014-02-06,34.64,35.12,34.62,34.74,3.511
2014-02-07,34.9,35.05,34.63,34.99,3.015
2014-02-10,35.04,35.45,34.77,35.36,2.766
2014-02-11,34.65,35.06,33.96,34.43,6.095
2014-02-12,34.45,34.65,34.04,34.24,3.915
2014-02-13,34.15,34.6,34.13,34.5,2.693
2014-02-14,34.43,34.56,34.23,34.33,2.64
2014-02-18,34.38,34.5,33.91,34.49,3.212
2014-02-19,34.43,35.28,34.39,34.73,4.05
2014-02-20,34.77,35.1,34.27,34.46,2.501
2014-02-21,34.13,34.17,33.71,33.8,4.892
2014-02-24,33.87,34.68,33.8,34.44,3.144
2014-02-25,34.47,34.52,34.02,34.1,3.185
2014-02-26,34.21,34.64,34.07,34.62,2.701
2014-02-27,34.64,34.95,34.63,34.93,2.536
2014-02-28,34.91,35.47,34.83,35.31,4.463
2014-03-03,35.15,35.38,34.93,35.24,2.171
2014-03-04,35.56,35.91,35.39,35.9,3.492
2014-03-05,35.85,36.06,35.51,35.75,2.305
