Date,Open,High,Low,Close,Volume
2014-01-02,48.43,48.57,47.64,47.66,1.994
2014-01-03,47.58,47.82,47.22,47.39,2.041
2014-01-06,46.99,47.09,46.18,46.49,2.511
2014-01-07,46.74,47.24,46.74,47.0,1.656
2014-01-08,46.11,46.53,45.86,46.13,2.089
2014-01-09,46.08,46.28,45.75,45.89,0.902
2014-01-10,46.12,46.8,46.05,46.59,1.487
2014-01-13,46.53,46.59,45.34,45.44,1.249
2014-01-14,45.54,45.87,45.36,45.73,1.023
2014-01-15,45.87,46.4,45.66,46.37,1.28
2014-01-16,46.41,47.2,46.26,46.7,2.226
2014-01-17,46.39,46.43,45.46,45.55,1.231
2014-01-21,45.92,46.21,45.12,45.38,1.323
2014-01-22,45.82,46.03,45.24,45.48,0.986
2014-01-23,45.13,45.75,44.76,45.67,1.435
2014-01-24,45.25,45.69,44.78,44.78,1.169
2014-01-27,44.92,45.34,44.67,44.9,1.127
2014-01-28,44.9,45.5,44.8,44.84,1.256
2014-01-29,44.61,44.78,43.69,43.95,1.903
2014-01-30,44.27,44.43,43.9,44.25,1.649
2014-01-31,43.85,44.57,43.59,44.19,1.326
2014-02-03,44.23,44.35,42.24,42.3,1.821
2014-02-04,42.73,42.93,42.42,42.65,1.712
2014-02-05,42.4,42.53,42.06,42.3,1.56
2014-02-06,42.37,43.08,42.36,42.75,0.956
2014-02-07,43.03,43.18,42.55,43.14,1.076
2014-02-10,43.07,43.74,42.91,43.27,1.65
2014-02-11,43.27,43.91,43.2,43.65,1.148
2014-02-12,43.63,43.91,43.29,43.35,0.867
2014-02-13,43.03,43.33,42.92,43.06,1.294
2014-02-14,43.04,43.4,42.95,43.25,0.804
2014-02-18,43.87,43.94,43.39,43.81,1.834
2014-02-19,43.68,44.29,43.51,43.77,1.36
2014-02-20,43.91,45.27,43.81,45.14,2.442
2014-02-21,45.23,45.8,45.01,45.6,2.286
2014-02-24,45.63,45.78,45.14,45.6,1.43
2014-02-25,45.71,45.81,45.19,45.22,1.158
2014-02-26,45.4,45.6,44.62,44.69,2.432
2014-02-27,44.62,44.75,44.32,44.52,2.266
2014-02-28,44.61,45.7,44.37,45.64,1.724
2014-03-03,43.96,44.25,42.97,43.2,4.232
2014-03-04,43.58,43.58,42.9,43.46,2.758
2014-03-05,43.6,43.6,42.82,42.85,2.272
2014-03-06,43.09,43.95,43.01,43.72,2.642
2014-03-07,43.93,44.71,43.74,44.65,2.319
2014-03-10,44.66,45.12,44.52,44.77,1.457
2014-03-11,44.91,45.16,44.69,44.83,1.194
2014-03-12,44.58,45.08,44.27,44.99,1.293
2014-03-13,45.17,45.29,43.43,43.81,3.151
2014-03-14,43.71,44.35,43.71,44.0,1.38
2014-03-17,44.27,44.78,44.05,44.43,1.109
2014-03-18,44.43,44.56,44.18,44.22,0.781
2014-03-19,44.23,44.48,43.59,43.87,1.083
2014-03-20,43.85,44.39,43.68,44.07,1.493
2014-03-21,44.69,45.54,44.27,45.28,3.198
2014-03-24,45.37,45.49,44.44,45.3,2.7
2014-03-25,45.52,45.54,44.95,45.33,1.648
2014-03-26,45.37,45.58,45.3,45.42,1.32
2014-03-27,45.44,45.52,44.69,44.86,1.291
2014-03-28,44.98,45.44,44.79,45.25,0.829
2014-03-31,45.51,45.58,45.26,45.37,0.968
2014-04-01,45.54,46.43,45.41,46.02,2.064
2014-04-02,46.09,46.6,45.96,46.56,1.139
2014-04-03,46.6,46.66,46.18,46.46,0.854
2014-04-04,46.48,46.93,45.75,45.8,1.036
2014-04-07,45.7,45.85,45.03,45.12,1.139
2014-04-08,44.6,44.79,44.26,44.4,1.224
2014-04-09,44.5,44.96,44.27,44.95,0.819
2014-04-10,44.96,45.65,44.19,44.19,1.288
2014-04-11,43.98,44.22,43.3,43.32,1.53
2014-04-14,43.5,44.38,43.42,44.09,1.487
2014-04-15,44.09,44.31,43.19,43.26,1.97
2014-04-16,43.7,43.94,43.15,43.93,1.441
2014-04-17,44.02,44.12,43.13,43.33,1.646
2014-04-21,43.33,43.33,42.76,43.08,1.154
2014-04-22,43.19,44.82,43.01,44.58,3.067
2014-04-23,44.36,45.45,44.15,44.96,1.953
2014-04-24,45.19,45.2,44.68,44.79,0.988
2014-04-25,44.59,44.76,44.28,44.62,0.953
2014-04-28,44.85,45.09,44.13,44.57,0.76
2014-04-29,44.85,44.93,44.44,44.88,0.977
2014-04-30,44.69,44.74,44.3,44.44,1.117
2014-05-01,44.44,44.53,44.21,44.36,0.815
2014-05-02,44.5,44.91,44.35,44.4,0.83
2014-05-05,44.14,44.37,43.72,43.9,0.835
2014-05-06,43.83,44.24,43.77,44.01,0.792
2014-05-07,44.14,44.18,43.84,43.98,1.49
2014-05-08,44.0,44.47,43.97,44.14,0.886
2014-05-09,44.14,44.53,44.02,44.45,1.222
2014-05-12,44.71,45.31,44.69,45.23,1.174
2014-05-13,45.25,45.59,45.19,45.46,1.097
2014-05-14,45.41,45.58,44.85,45.12,0.978
2014-05-15,44.96,45.41,44.68,45.31,2.393
2014-05-16,44.18,44.35,43.16,43.35,5.299
2014-05-19,43.25,43.86,43.01,43.78,2.774
2014-05-20,43.52,43.8,42.84,42.89,2.359
2014-05-21,42.99,43.65,42.91,43.52,1.55
2014-05-22,43.49,44.44,43.27,44.26,1.212
2014-05-23,44.19,44.52,44.14,44.29,1.036
