Date,Open,High,Low,Close,Volume
2014-01-02,61.69,61.84,60.92,61.16,2.057
2014-01-03,61.3,61.68,60.8,61.03,1.736
2014-01-06,60.5,60.65,60.07,60.25,2.566
2014-01-07,60.92,61.99,60.78,61.48,3.499
2014-01-08,61.48,61.79,60.94,61.31,3.504
2014-01-09,61.28,61.52,59.99,60.78,2.826
2014-01-10,60.96,61.06,60.26,60.53,2.283
2014-01-13,60.49,60.79,59.02,59.18,3.199
2014-01-14,59.15,60.1,59.12,59.78,2.414
2014-01-15,59.91,60.3,59.12,59.21,3.031
2014-01-16,59.11,59.58,58.95,59.37,3.042
2014-01-17,59.45,59.58,58.7,59.01,3.312
2014-01-21,59.62,60.14,59.0,59.68,2.751
2014-01-22,60.09,60.72,59.59,60.41,3.093
2014-01-23,60.32,60.59,59.84,60.12,2.484
2014-01-24,59.61,59.89,59.15,59.52,3.788
2014-01-27,59.47,59.5,58.46,58.67,3.576
2014-01-28,58.91,59.52,58.75,59.29,2.483
2014-01-29,58.71,59.57,58.21,59.01,3.098
2014-01-30,59.11,60.5,58.73,59.67,4.712
2014-01-31,58.91,59.75,58.8,59.22,3.442
2014-02-03,59.19,59.63,57.67,57.85,4.388
2014-02-04,58.73,59.79,58.63,59.32,4.609
2014-02-05,59.42,59.64,58.61,59.08,3.928
2014-02-06,59.48,60.67,59.04,60.45,3.738
2014-02-07,60.49,61.11,60.2,61.02,2.993
2014-02-10,60.86,60.94,60.3,60.8,2.285
2014-02-11,60.78,61.8,60.56,61.54,2.033
2014-02-12,61.87,61.87,60.99,61.18,2.342
2014-02-13,60.89,62.46,60.72,62.27,3.315
2014-02-14,62.27,62.43,61.57,62.05,2.317
2014-02-18,62.35,63.37,62.13,62.91,5.132
2014-02-19,63.97,65.64,63.31,64.25,9.71
2014-02-20,64.21,64.93,64.05,64.56,3.788
2014-02-21,64.67,64.82,63.61,63.67,4.597
2014-02-24,63.9,64.91,63.9,64.37,3.368
2014-02-25,64.07,64.15,63.19,63.91,3.764
2014-02-26,63.81,64.04,63.32,63.73,3.244
2014-02-27,63.47,64.42,63.4,64.31,3.066
2014-02-28,64.34,64.75,64.08,64.42,2.457
2014-03-03,64.0,65.04,63.71,63.78,3.816
2014-03-04,64.28,64.85,63.77,64.64,3.99
2014-03-05,64.55,64.98,64.29,64.47,2.75
2014-03-06,64.54,64.75,64.07,64.52,1.685
2014-03-07,64.49,65.25,64.28,65.13,2.936
2014-03-10,65.0,65.06,63.8,64.53,3.192
2014-03-11,64.46,64.78,63.4,63.55,2.331
2014-03-12,62.91,63.29,62.53,63.08,2.252
2014-03-13,63.22,63.37,62.49,62.59,2.183
2014-03-14,62.47,62.82,62.37,62.74,3.082
2014-03-17,62.94,63.41,62.43,62.8,2.175
2014-03-18,63.02,63.64,62.97,63.49,2.146
2014-03-19,63.44,63.88,63.1,63.46,2.668
2014-03-20,62.97,63.56,62.72,63.29,2.87
2014-03-21,63.82,64.35,63.39,64.09,3.314
2014-03-24,64.41,64.68,63.78,63.91,1.555
2014-03-25,64.16,64.32,63.8,63.96,2.78
2014-03-26,64.47,64.62,63.84,64.0,3.441
2014-03-27,64.14,65.39,64.0,64.69,3.936
2014-03-28,65.07,65.83,64.88,65.79,5.84
2014-03-31,66.0,66.95,65.62,66.93,5.353
2014-04-01,66.91,67.69,66.75,67.68,4.252
2014-04-02,67.45,68.24,67.29,67.89,3.481
2014-04-03,68.4,69.58,68.11,68.51,4.801
2014-04-04,68.8,69.07,67.8,68.01,3.033
2014-04-07,67.84,68.2,67.25,67.55,2.345
2014-04-08,67.75,68.12,67.56,67.85,3.108
2014-04-09,68.15,68.45,67.82,68.38,4.998
2014-04-10,68.21,69.48,67.91,68.61,5.158
2014-04-11,68.13,68.76,67.53,67.55,3.825
2014-04-14,68.16,68.16,67.13,67.79,4.506
2014-04-15,67.78,68.9,67.59,68.68,3.481
2014-04-16,69.04,70.27,69.04,69.86,3.778
2014-04-17,69.97,71.04,69.64,70.7,4.004
2014-04-21,70.88,70.97,70.07,70.5,3.157
2014-04-22,70.27,70.93,69.96,70.63,2.247
2014-04-23,70.95,71.61,70.72,71.31,2.54
