Date,Open,High,Low,Close,Volume
2014-01-02,8.81,8.91,8.53,8.69,2.331
2014-01-03,8.62,8.79,8.62,8.7,2.594
2014-01-06,8.76,8.86,8.68,8.75,2.55
2014-01-07,8.7,8.9,8.7,8.87,2.03
2014-01-08,8.88,8.9,8.8,8.87,2.609
2014-01-09,8.87,9.17,8.82,9.16,2.91
2014-01-10,9.18,9.31,9.12,9.26,3.209
2014-01-13,9.21,9.53,9.19,9.31,3.911
2014-01-14,9.39,9.46,9.06,9.23,4.082
2014-01-15,9.3,9.35,9.13,9.27,2.499
2014-01-16,9.27,9.45,9.25,9.41,2.372
2014-01-17,9.43,9.43,9.23,9.34,3.05
2014-01-21,9.36,9.5,9.28,9.42,1.728
2014-01-22,9.45,9.55,9.28,9.3,1.781
2014-01-23,9.29,9.29,9.06,9.19,1.63
2014-01-24,9.27,9.31,8.97,9.17,2.014
2014-01-27,9.19,9.32,9.03,9.04,3.838
2014-01-28,9.02,9.34,9.0,9.27,2.374
2014-01-29,9.18,9.46,9.13,9.39,3.168
2014-01-30,9.48,9.81,9.47,9.81,3.62
2014-01-31,9.69,10.13,9.69,10.11,3.518
2014-02-03,10.12,10.3,9.73,9.74,3.476
2014-02-04,10.26,10.54,9.67,9.72,4.642
2014-02-05,9.69,10.02,9.65,10.0,2.64
2014-02-06,10.01,10.12,9.63,9.68,2.095
2014-02-07,9.68,9.84,9.32,9.43,4.819
2014-02-10,9.44,9.94,9.44,9.93,3.234
2014-02-11,9.95,10.13,9.82,10.06,2.342
2014-02-12,10.1,10.32,10.07,10.27,1.829
2014-02-13,10.27,10.71,10.22,10.64,3.797
2014-02-14,10.66,10.9,10.52,10.85,3.983
2014-02-18,10.88,11.05,10.78,10.98,3.658
2014-02-19,10.99,11.26,10.98,11.13,4.412
2014-02-20,11.09,11.09,10.51,10.86,7.115
2014-02-21,11.73,11.94,10.64,10.78,7.309
2014-02-24,10.81,11.38,10.81,11.24,6.001
2014-02-25,11.01,11.5,11.0,11.25,5.355
2014-02-26,11.2,11.54,11.18,11.36,3.564
2014-02-27,11.33,11.61,11.28,11.56,2.264
2014-02-28,11.61,11.77,11.17,11.27,4.128
2014-03-03,11.19,11.3,10.9,11.27,3.333
2014-03-04,11.43,11.9,11.38,11.72,4.167
2014-03-05,11.72,12.3,11.62,12.28,5.311
2014-03-06,12.33,12.46,11.76,11.89,3.504
2014-03-07,11.94,11.97,11.57,11.85,2.294
2014-03-10,11.91,11.91,11.35,11.53,3.926
2014-03-11,11.49,11.89,11.35,11.43,6.506
2014-03-12,11.25,11.46,11.07,11.45,4.268
2014-03-13,11.44,11.75,11.16,11.26,3.58
2014-03-14,11.2,11.34,10.97,11.18,4.305
2014-03-17,11.18,11.51,11.09,11.41,3.198
2014-03-18,11.46,11.86,11.43,11.85,3.888
2014-03-19,11.83,11.96,11.62,11.65,2.292
2014-03-20,11.62,11.78,11.5,11.61,1.369
2014-03-21,11.57,11.68,10.99,11.12,4.356
2014-03-24,11.13,11.24,10.39,10.77,7.396
2014-03-25,10.57,11.18,10.55,10.76,4.124
2014-03-26,10.78,10.93,10.58,10.58,2.488
2014-03-27,10.48,10.52,9.96,10.12,5.216
2014-03-28,10.09,10.27,9.93,10.01,2.842
2014-03-31,10.09,10.41,9.92,10.34,2.586
2014-04-01,10.3,10.44,10.2,10.32,3.18
2014-04-02,10.38,10.57,10.17,10.49,4.286
2014-04-03,10.53,10.61,10.15,10.19,2.491
2014-04-04,10.27,10.41,9.42,9.5,5.755
2014-04-07,9.43,9.46,8.73,8.92,7.924
2014-04-08,8.94,9.38,8.88,9.18,4.995
2014-04-09,9.19,9.59,9.1,9.57,3.855
2014-04-10,9.83,9.87,9.01,9.01,5.835
2014-04-11,9.0,9.13,8.65,8.9,5.619
2014-04-14,8.97,9.07,8.73,8.82,2.045
2014-04-15,8.88,8.88,8.07,8.54,6.95
2014-04-16,8.55,9.1,8.55,9.01,4.356
2014-04-17,9.01,9.25,8.84,9.15,2.772
2014-04-21,9.18,9.22,8.93,9.02,1.961
2014-04-22,9.03,9.19,8.96,9.03,2.182
2014-04-23,9.01,9.07,8.9,9.0,2.321
2014-04-24,9.07,9.25,8.51,8.67,4.06
2014-04-25,8.6,8.63,8.33,8.35,3.513
2014-04-28,8.4,8.5,8.01,8.16,3.087
2014-04-29,8.16,8.49,8.07,8.11,3.219
2014-04-30,8.11,8.2,7.93,8.11,3.088
2014-05-01,8.06,8.26,7.97,8.19,5.899
2014-05-02,8.17,8.48,7.02,7.96,13.35
2014-05-05,7.75,7.98,7.72,7.87,4.984
2014-05-06,7.82,7.94,7.62,7.62,3.566
2014-05-07,7.6,7.63,7.17,7.42,5.743
2014-05-08,7.42,7.7,7.34,7.53,4.978
2014-05-09,7.48,7.89,7.39,7.88,4.627
2014-05-12,7.88,8.16,7.86,8.02,3.814
2014-05-13,8.03,8.16,7.87,7.97,3.461
2014-05-14,7.93,8.19,7.87,7.95,3.353
2014-05-15,7.89,7.96,7.7,7.94,3.19
2014-05-16,7.93,8.16,7.89,8.1,4.879
2014-05-19,8.1,8.22,8.0,8.14,3.79
2014-05-20,8.12,8.14,7.76,7.82,3.936
2014-05-21,7.92,8.22,7.89,7.98,3.52
2014-05-22,7.99,8.17,7.96,8.09,2.39
2014-05-23,8.1,8.35,8.02,8.3,2.468
2014-05-27,8.36,8.65,8.26,8.64,3.14
2014-05-28,8.65,8.74,8.54,8.55,3.122
2014-05-29,8.56,8.64,8.54,8.6,2.459
2014-05-30,8.61,8.66,8.4,8.44,3.184
2014-06-02,8.41,8.45,8.12,8.31,1.792
2014-06-03,8.19,8.29,8.03,8.15,2.322
2014-06-04,8.44,8.73,8.31,8.72,4.574
2014-06-05,8.89,9.12,8.88,9.03,3.562
2014-06-06,9.15,9.18,9.01,9.18,2.652
2014-06-09,9.14,9.37,9.09,9.35,3.356
2014-06-10,9.29,9.38,9.13,9.27,2.65
2014-06-11,9.21,9.24,8.98,9.06,1.813
2014-06-12,9.03,9.12,8.86,9.0,2.222
2014-06-13,9.05,9.27,8.82,9.0,2.072
2014-06-16,9.04,9.47,9.01,9.46,3.27
2014-06-17,9.49,9.99,9.31,9.81,5.281
2014-06-18,9.77,9.98,9.76,9.97,3.182
2014-06-19,9.98,10.01,9.83,10.0,2.078
