Date,Open,High,Low,Close,Volume
2014-01-02,22.9,22.96,22.43,22.83,3.551
2014-01-03,22.88,23.1,22.5,22.68,3.113
2014-01-06,22.81,23.03,22.09,22.53,4.301
2014-01-07,22.68,23.38,22.53,23.1,3.963
2014-01-08,23.14,23.45,23.11,23.31,3.022
2014-01-09,23.42,23.69,22.62,22.75,2.789
2014-01-10,22.79,23.03,22.71,23.01,2.027
2014-01-13,23.01,23.02,22.33,22.38,4.041
2014-01-14,22.6,22.6,21.58,22.46,9.023
2014-01-15,22.6,22.85,21.89,21.93,5.949
2014-01-16,21.86,22.04,21.25,21.54,9.348
2014-01-17,23.03,24.29,22.97,24.1,13.894
2014-01-21,24.24,24.59,24.01,24.32,7.515
2014-01-22,24.27,24.39,24.02,24.17,4.098
2014-01-23,23.95,24.27,23.63,23.87,2.631
2014-01-24,23.64,23.96,23.39,23.84,5.56
2014-01-27,23.98,24.59,23.73,24.47,8.22
2014-01-28,24.55,25.01,24.44,24.87,14.116
2014-01-29,25.03,26.06,24.66,25.22,14.165
2014-01-30,25.34,26.22,25.3,26.03,6.995
2014-01-31,25.93,26.86,25.62,26.4,8.245
2014-02-03,26.36,26.65,25.57,26.08,7.05
2014-02-04,26.49,26.79,26.16,26.18,9.151
2014-02-05,26.05,26.48,25.81,26.16,6.565
2014-02-06,25.7,26.65,25.56,26.46,6.423
2014-02-07,26.62,27.7,26.46,27.2,9.165
2014-02-10,26.76,27.4,26.62,26.88,4.858
2014-02-11,26.93,27.55,26.45,27.41,4.91
2014-02-12,27.37,27.88,27.34,27.86,3.273
2014-02-13,27.52,27.74,27.2,27.56,2.958
2014-02-14,27.62,27.8,27.45,27.58,3.606
2014-02-18,27.61,28.5,27.57,28.4,3.536
2014-02-19,28.18,28.44,27.89,27.91,3.398
2014-02-20,28.0,28.14,27.67,27.79,4.225
2014-02-21,27.8,28.21,27.8,28.0,3.744
2014-02-24,28.03,28.33,27.95,27.96,2.294
2014-02-25,28.04,28.16,27.67,28.1,3.41
2014-02-26,28.19,28.73,28.0,28.27,4.89
2014-02-27,28.15,28.63,27.82,28.54,2.91
2014-02-28,28.32,28.71,28.29,28.59,4.762
2014-03-03,28.47,28.5,27.96,28.09,2.885
2014-03-04,28.43,28.86,28.37,28.81,5.976
2014-03-05,28.9,29.11,28.66,29.09,3.993
