Date,Open,High,Low,Close,Volume
2014-01-02,23.14,23.15,22.69,22.7,23.699
2014-01-03,22.77,22.81,22.39,22.42,22.784
2014-01-06,22.05,22.08,21.55,21.79,42.542
2014-01-07,22.05,22.32,21.88,22.25,33.442
2014-01-08,22.29,22.57,21.96,22.04,30.968
2014-01-09,22.2,22.23,21.81,21.91,25.015
2014-01-10,21.84,21.97,21.51,21.95,47.645
2014-01-13,21.94,22.27,21.8,22.11,45.27
2014-01-14,22.16,22.34,22.03,22.29,30.515
2014-01-15,22.4,22.79,22.35,22.64,32.938
2014-01-16,22.63,22.79,22.56,22.62,26.77
2014-01-17,22.48,22.7,22.3,22.39,53.988
2014-01-21,22.73,22.81,22.52,22.79,37.9
2014-01-22,22.66,22.94,22.63,22.9,84.25
2014-01-23,23.45,23.53,22.73,23.12,147.062
2014-01-24,22.96,23.13,22.67,22.88,58.214
2014-01-27,22.64,22.86,22.21,22.26,53.315
2014-01-28,22.34,22.57,22.25,22.37,30.692
2014-01-29,22.23,22.29,21.91,21.97,39.363
2014-01-30,22.14,22.45,22.07,22.38,39.528
2014-01-31,22.13,22.57,22.01,22.39,29.365
2014-02-03,22.37,22.45,21.93,22.05,40.047
2014-02-04,22.12,22.37,22.09,22.27,26.067
2014-02-05,22.01,22.74,21.9,22.53,39.838
2014-02-06,22.58,22.95,22.53,22.88,35.942
2014-02-07,22.92,23.04,22.66,22.98,23.157
2014-02-10,22.93,22.93,22.49,22.63,22.989
2014-02-11,22.75,22.91,22.5,22.86,27.746
2014-02-12,22.84,23.11,22.79,23.08,27.262
2014-02-13,22.93,23.13,22.77,23.11,27.998
2014-02-14,22.8,23.12,22.75,23.05,22.984
2014-02-18,23.09,23.37,22.94,23.21,23.32
2014-02-19,23.29,23.36,22.99,23.04,22.91
2014-02-20,23.04,23.28,23.03,23.13,18.963
2014-02-21,23.22,23.36,22.97,22.98,24.665
2014-02-24,23.19,23.88,23.1,23.7,45.039
2014-02-25,23.69,23.78,23.4,23.63,24.229
2014-02-26,23.67,24.33,23.64,24.13,43.854
2014-02-27,24.12,24.95,24.04,24.55,51.806
2014-02-28,24.6,25.13,24.56,24.73,38.877
2014-03-03,24.36,24.65,24.18,24.54,24.923
2014-03-04,24.82,24.95,24.73,24.86,23.655
2014-03-05,24.84,25.11,24.75,24.77,22.712
2014-03-06,24.83,25.11,24.77,24.96,28.578
2014-03-07,25.02,25.06,24.68,24.86,21.609
2014-03-10,24.66,24.79,24.42,24.5,23.188
2014-03-11,24.6,24.81,24.19,24.22,24.329
2014-03-12,24.07,24.44,23.98,24.4,21.31
2014-03-13,24.54,24.65,23.76,23.86,29.257
2014-03-14,23.85,24.12,23.74,23.88,20.24
2014-03-17,24.37,24.37,24.02,24.17,20.006
2014-03-18,24.26,24.44,24.1,24.34,14.87
2014-03-19,24.26,24.48,23.98,24.12,16.742
2014-03-20,24.07,24.14,23.84,24.04,17.831
2014-03-21,24.11,24.31,23.9,23.97,27.914
2014-03-24,23.99,24.2,23.64,23.8,20.951
2014-03-25,23.93,24.01,23.46,23.71,19.262
2014-03-26,23.91,23.92,23.35,23.4,17.995
2014-03-27,23.34,23.47,22.82,23.22,22.395
2014-03-28,23.34,23.42,23.04,23.23,21.086
2014-03-31,23.43,23.64,23.24,23.25,16.864
2014-04-01,23.4,23.65,23.31,23.59,18.878
2014-04-02,23.63,23.67,23.27,23.34,22.479
2014-04-03,23.16,23.24,22.85,22.97,26.901
2014-04-04,23.22,23.36,22.67,22.73,37.919
2014-04-07,22.74,22.78,22.25,22.29,39.934
2014-04-08,22.63,23.15,22.47,23.06,44.693
2014-04-09,23.11,23.55,23.09,23.52,25.881
2014-04-10,23.16,23.25,22.69,22.76,69.582
2014-04-11,22.68,22.93,22.45,22.5,30.254
2014-04-14,22.62,22.76,22.43,22.72,28.535
2014-04-15,22.67,22.83,22.27,22.69,25.421
2014-04-16,22.82,23.09,22.69,23.02,17.212
2014-04-17,22.93,23.22,22.93,23.14,17.854
2014-04-21,23.13,23.15,22.86,23.12,14.216
2014-04-22,23.1,23.41,22.96,23.35,17.725
2014-04-23,23.38,23.39,23.0,23.12,15.709
2014-04-24,23.35,23.4,22.92,23.08,18.274
2014-04-25,22.97,23.06,22.5,22.61,22.902
2014-04-28,22.78,22.78,22.29,22.58,23.106
2014-04-29,22.69,23.01,22.47,22.95,33.047
2014-04-30,21.86,22.05,21.41,21.81,77.258
2014-05-01,21.89,22.2,21.75,21.76,30.397
2014-05-02,21.77,22.11,21.76,21.89,29.012
2014-05-05,21.8,22.03,21.7,21.89,25.89
2014-05-06,21.91,21.91,21.42,21.44,34.789
2014-05-07,21.39,21.48,20.95,21.28,47.14
2014-05-08,21.31,21.55,21.05,21.15,30.991
2014-05-09,21.25,21.41,21.17,21.27,33.712
2014-05-12,21.43,21.62,21.34,21.6,30.338
2014-05-13,21.64,21.79,21.57,21.71,30.034
2014-05-14,21.8,21.92,21.71,21.74,26.479
2014-05-15,21.55,21.66,21.32,21.62,29.826
2014-05-16,21.74,22.09,21.46,21.86,43.925
2014-05-19,21.78,22.08,21.73,22.02,19.408
2014-05-20,21.97,21.98,21.73,21.87,15.056
2014-05-21,21.41,21.84,21.17,21.84,41.387
2014-05-22,21.88,21.91,21.54,21.68,30.113
2014-05-23,21.76,21.9,21.68,21.89,16.926
2014-05-27,22.02,22.02,21.76,21.79,24.553
2014-05-28,21.78,21.8,21.17,21.21,44.714
2014-05-29,21.31,21.38,21.03,21.1,39.824
2014-05-30,21.19,21.38,20.96,21.35,36.648
2014-06-02,21.33,21.44,21.18,21.25,18.226
2014-06-03,21.23,21.43,21.16,21.22,20.477
2014-06-04,21.21,21.36,21.01,21.23,15.731
2014-06-05,21.32,21.32,21.08,21.29,28.573
2014-06-06,21.41,21.41,20.83,20.92,50.885
2014-06-09,20.67,20.93,20.41,20.87,52.664
2014-06-10,20.48,20.54,20.27,20.31,85.513
2014-06-11,20.33,20.58,20.26,20.55,36.385
2014-06-12,20.57,20.67,20.41,20.44,32.305
2014-06-13,20.53,20.74,20.46,20.64,21.555
2014-06-16,20.59,20.69,20.51,20.62,18.314
2014-06-17,20.58,20.72,20.53,20.65,20.514
2014-06-18,20.7,20.93,20.56,20.9,21.913
2014-06-19,20.92,20.96,20.83,20.88,28.326
2014-06-20,20.93,20.94,20.6,20.77,44.126
2014-06-23,20.82,20.9,20.58,20.79,22.39
2014-06-24,20.79,20.83,20.52,20.56,27.577
2014-06-25,20.54,20.83,20.48,20.76,21.245
2014-06-26,20.83,20.9,20.64,20.82,19.189
2014-06-27,20.87,21.12,20.8,21.08,26.241
2014-06-30,21.12,21.12,20.96,21.07,25.195
2014-07-01,21.12,21.33,21.07,21.25,20.921
2014-07-02,21.26,21.38,21.25,21.28,22.204
2014-07-03,21.45,21.5,21.3,21.44,10.958
2014-07-07,21.44,21.46,21.3,21.36,17.153
2014-07-08,21.3,21.37,21.05,21.12,31.059
2014-07-09,21.17,21.44,21.05,21.44,20.019
2014-07-10,21.14,21.27,20.93,21.19,19.785
2014-07-11,21.46,21.81,21.46,21.68,33.01
2014-07-14,21.57,21.6,21.33,21.53,22.34
2014-07-15,21.65,21.67,21.27,21.39,22.408
