Date,Open,High,Low,Close,Volume
2014-01-02,68.95,69.25,68.2,68.45,0.336
2014-01-03,68.56,69.13,68.55,68.9,0.315
2014-01-06,68.9,68.96,68.19,68.26,0.285
2014-01-07,68.88,68.89,68.32,68.73,0.321
2014-01-08,68.54,68.88,67.91,68.74,0.446
2014-01-09,68.85,69.05,68.18,68.76,0.314
2014-01-10,68.96,69.0,68.3,68.8,0.249
2014-01-13,68.22,68.72,67.34,67.45,0.466
2014-01-14,67.66,68.19,66.97,68.14,0.44
2014-01-15,68.29,69.2,68.29,69.11,0.548
2014-01-16,67.95,69.18,67.89,69.12,0.785
2014-01-17,69.47,71.33,69.12,70.73,1.091
2014-01-21,70.98,71.22,69.5,70.27,0.841
2014-01-22,70.5,71.62,70.35,71.45,0.698
2014-01-23,70.63,70.74,69.79,70.28,0.431
2014-01-24,69.97,70.42,69.55,69.77,0.838
2014-01-27,69.73,69.95,68.95,69.01,0.921
2014-01-28,68.99,69.34,68.64,68.87,0.626
2014-01-29,68.19,68.92,68.1,68.42,0.435
2014-01-30,68.82,70.83,68.56,70.74,0.743
2014-01-31,69.56,70.84,69.42,70.06,0.764
2014-02-03,70.01,70.21,67.8,68.12,0.793
2014-02-04,68.32,69.71,67.88,69.36,0.817
2014-02-05,69.11,69.44,67.99,68.12,1.018
2014-02-06,68.24,70.32,68.05,70.24,0.612
2014-02-07,70.5,71.23,70.25,70.95,0.689
2014-02-10,70.8,71.28,70.58,71.16,0.62
2014-02-11,71.18,71.6,70.75,71.23,0.68
2014-02-12,71.37,71.71,71.05,71.38,0.659
2014-02-13,70.93,71.93,70.58,71.83,0.652
2014-02-14,69.62,71.4,68.68,69.8,1.449
2014-02-18,68.96,69.92,68.6,69.78,1.04
2014-02-19,69.49,70.64,69.38,69.96,0.903
2014-02-20,68.47,70.11,68.47,69.74,0.835
2014-02-21,68.95,69.47,68.17,68.89,1.308
2014-02-24,69.04,70.26,68.91,69.83,0.54
2014-02-25,69.86,70.08,69.22,69.52,0.457
2014-02-26,69.75,70.55,69.75,69.84,0.808
2014-02-27,69.81,70.3,69.75,70.02,0.53
2014-02-28,70.14,70.3,69.74,70.06,0.631
2014-03-03,69.67,69.89,69.14,69.56,0.348
2014-03-04,70.17,70.79,69.97,70.67,0.643
2014-03-05,70.68,70.69,69.79,69.89,0.338
2014-03-06,70.19,70.43,69.76,70.39,0.354
