Date,Open,High,Low,Close,Volume
2014-01-02,155.05,155.39,149.6,151.07,0.548
2014-01-03,151.09,151.76,150.46,151.05,0.317
2014-01-06,151.91,152.8,150.03,150.63,0.397
2014-01-07,150.75,152.49,149.3,150.15,0.406
2014-01-08,149.87,150.63,148.36,148.76,0.341
2014-01-09,148.92,149.49,147.51,148.3,0.67
2014-01-10,149.21,149.3,147.97,148.13,0.422
2014-01-13,148.32,148.93,146.75,147.01,0.328
2014-01-14,147.64,148.65,147.13,148.48,0.353
2014-01-15,148.97,149.43,148.0,148.51,0.225
2014-01-16,148.03,148.66,146.62,147.26,0.358
2014-01-17,147.12,147.96,146.31,146.36,0.222
2014-01-21,147.34,147.7,145.33,147.67,0.47
2014-01-22,148.02,150.23,148.02,149.93,0.31
2014-01-23,149.18,149.81,146.08,146.41,0.353
2014-01-24,146.39,147.08,142.88,142.89,0.411
2014-01-27,143.36,145.48,142.68,144.61,0.328
2014-01-28,144.85,146.75,144.85,146.27,0.257
2014-01-29,145.6,146.52,143.34,143.94,0.417
2014-01-30,145.36,148.28,144.85,148.12,0.259
2014-01-31,145.81,146.86,144.76,144.76,0.59
2014-02-03,145.01,145.65,141.0,141.0,0.682
2014-02-04,141.96,143.95,140.63,142.14,0.527
2014-02-05,141.98,142.83,140.85,142.29,0.426
2014-02-06,144.0,144.87,136.84,137.48,0.9
2014-02-07,137.31,138.93,136.35,138.8,0.703
2014-02-10,138.49,140.96,137.45,140.53,0.593
2014-02-11,141.04,145.02,140.82,144.28,0.577
2014-02-12,144.06,144.83,142.5,144.17,0.498
2014-02-13,143.54,146.83,143.3,146.76,0.449
2014-02-14,146.76,148.17,146.28,147.23,0.381
2014-02-18,147.8,149.18,146.79,149.04,0.465
2014-02-19,148.93,150.52,148.29,148.99,0.581
2014-02-20,149.24,150.3,148.75,149.31,0.265
2014-02-21,149.77,149.91,148.48,148.75,0.363
2014-02-24,148.69,149.87,146.32,146.73,0.65
2014-02-25,146.8,147.43,145.51,146.04,0.921
2014-02-26,146.69,148.41,145.66,148.04,0.716
2014-02-27,148.04,149.6,146.84,149.14,0.503
2014-02-28,149.18,150.64,148.59,149.24,0.373
2014-03-03,148.14,148.54,146.69,147.19,0.318
2014-03-04,148.25,149.16,147.83,148.6,0.57
2014-03-05,148.67,148.97,148.07,148.73,0.375
2014-03-06,149.01,149.67,148.57,148.98,0.41
2014-03-07,149.99,150.1,148.18,149.79,0.419
2014-03-10,148.35,149.67,147.4,149.67,0.452
2014-03-11,149.88,149.88,148.2,149.1,0.539
2014-03-12,148.13,149.9,147.8,149.57,0.309
2014-03-13,149.91,150.38,148.93,149.14,0.384
2014-03-14,149.08,151.2,148.79,150.52,0.317
2014-03-17,151.48,152.49,150.97,151.46,0.253
2014-03-18,151.62,152.51,151.22,152.01,0.25
2014-03-19,152.65,152.65,150.16,150.6,0.22
2014-03-20,150.37,151.16,150.03,150.58,0.182
2014-03-21,151.35,152.07,150.53,150.91,0.447
2014-03-24,151.5,152.1,150.57,150.86,0.52
2014-03-25,151.54,152.22,150.05,151.16,0.392
2014-03-26,151.83,152.15,149.91,149.95,0.355
2014-03-27,150.33,150.49,148.35,148.89,0.368
2014-03-28,150.0,150.59,148.67,149.67,0.191
2014-03-31,150.75,153.1,150.24,153.05,0.497
2014-04-01,152.98,152.98,149.96,151.89,0.411
2014-04-02,152.1,153.12,150.99,152.62,0.315
2014-04-03,152.95,154.01,151.94,153.76,0.305
2014-04-04,154.2,154.76,152.41,152.5,0.236
2014-04-07,152.23,152.75,150.58,150.81,0.212
2014-04-08,151.19,153.07,150.28,152.73,0.411
2014-04-09,153.01,154.14,152.33,154.01,0.221
2014-04-10,154.26,155.85,153.24,153.36,0.384
2014-04-11,153.2,154.42,152.17,153.47,0.501
2014-04-14,154.85,155.94,153.44,155.67,0.362
2014-04-15,156.0,156.47,154.72,155.58,0.273
2014-04-16,156.35,157.54,156.03,157.13,0.2
2014-04-17,156.69,158.72,156.54,158.41,0.301
2014-04-21,158.76,158.84,157.09,158.43,0.259
2014-04-22,158.41,159.48,158.18,158.36,0.363
2014-04-23,158.18,161.32,157.77,161.31,0.593
2014-04-24,161.2,161.52,157.08,157.49,0.842
2014-04-25,157.67,159.29,156.69,158.17,0.386
2014-04-28,158.4,158.74,156.31,156.7,0.358
2014-04-29,157.08,158.81,156.52,158.58,0.323
2014-04-30,158.37,158.44,155.63,158.03,0.59
2014-05-01,158.6,160.23,157.76,160.1,0.258
2014-05-02,160.12,160.5,158.98,159.31,0.352
2014-05-05,159.31,160.06,158.25,158.9,0.208
2014-05-06,158.69,159.39,158.26,158.8,0.204
2014-05-07,159.0,160.3,158.5,160.22,0.365
2014-05-08,160.08,161.29,159.44,159.83,0.267
2014-05-09,159.27,159.68,157.52,158.36,0.304
2014-05-12,159.32,160.19,158.17,158.57,0.317
2014-05-13,158.57,159.42,157.43,158.55,0.737
2014-05-14,158.12,159.03,156.85,157.05,0.456
2014-05-15,156.62,157.83,155.92,156.8,0.535
2014-05-16,156.8,157.32,155.76,157.29,0.249
2014-05-19,157.23,158.84,156.6,158.27,0.302
2014-05-20,157.88,158.34,157.42,157.94,0.316
2014-05-21,158.65,159.06,157.66,158.7,0.239
2014-05-22,158.83,159.9,157.49,159.46,0.32
2014-05-23,159.46,160.09,158.74,159.32,0.204
2014-05-27,160.08,161.45,159.36,161.38,0.298
2014-05-28,161.41,162.18,159.96,159.97,0.263
2014-05-29,160.11,160.77,159.26,160.0,0.343
2014-05-30,160.27,160.84,159.55,160.02,0.301
2014-06-02,159.73,159.83,158.43,159.11,0.275
2014-06-03,158.96,159.63,158.02,159.59,0.261
2014-06-04,159.54,161.84,158.8,161.84,0.386
2014-06-05,161.82,162.25,160.72,161.87,0.216
2014-06-06,162.05,163.07,161.75,161.8,0.29
2014-06-09,161.64,162.11,160.23,160.75,0.241
2014-06-10,160.75,161.86,160.75,161.81,0.424
2014-06-11,161.18,162.24,160.45,160.7,0.368
2014-06-12,160.66,160.92,158.42,159.55,0.448
2014-06-13,160.0,160.5,159.03,160.29,0.19
2014-06-16,160.16,160.62,158.87,159.12,0.203
2014-06-17,159.09,160.88,158.66,159.9,0.285
2014-06-18,160.06,161.02,159.18,160.13,0.233
2014-06-19,160.49,160.98,159.38,159.72,0.192
2014-06-20,159.68,160.5,159.28,159.36,0.462
2014-06-23,159.87,160.0,158.9,159.3,0.211
2014-06-24,158.84,159.81,158.77,159.14,0.177
2014-06-25,159.04,160.3,158.78,160.16,0.235
2014-06-26,159.78,160.93,157.21,158.54,0.275
2014-06-27,157.91,159.81,157.89,159.26,0.312
2014-06-30,159.15,161.0,158.56,160.49,0.362
2014-07-01,161.54,162.63,160.8,161.94,0.419
2014-07-02,161.23,162.04,160.02,160.31,0.248
2014-07-03,160.99,162.11,160.11,162.1,0.123
2014-07-07,161.44,162.74,160.69,161.36,0.285
2014-07-08,161.53,163.8,161.05,163.61,0.371
2014-07-09,163.72,164.46,163.18,163.89,0.378
2014-07-10,163.01,163.93,161.47,163.68,0.396
2014-07-11,163.65,164.39,162.65,163.81,0.175
2014-07-14,164.95,165.63,164.22,164.5,0.132
2014-07-15,164.9,165.5,164.23,164.92,0.164
2014-07-16,165.65,165.65,163.31,163.87,0.333
2014-07-17,163.3,163.76,161.1,161.15,0.262
2014-07-18,161.52,162.92,161.03,162.44,0.266
2014-07-21,162.42,162.5,161.64,161.99,0.217
2014-07-22,162.0,163.6,161.63,163.4,0.532
2014-07-23,163.45,165.23,162.74,165.22,0.325
2014-07-24,161.4,163.54,160.26,162.66,0.609
2014-07-25,161.98,162.45,160.56,160.72,0.35
2014-07-28,160.46,161.37,159.26,161.11,0.492
2014-07-29,160.88,161.71,159.61,159.62,0.46
2014-07-30,158.64,159.48,155.96,156.02,0.895
2014-07-31,155.77,157.21,155.49,155.91,0.575
2014-08-01,155.33,157.84,155.23,157.68,0.524
2014-08-04,157.64,159.06,156.98,158.58,0.475
2014-08-05,157.42,159.39,156.83,158.12,0.529
2014-08-06,157.71,158.71,157.55,158.45,0.288
