Date,Open,High,Low,Close,Volume
2014-01-02,46.06,46.49,45.41,45.43,2.415
2014-01-03,45.55,45.71,45.29,45.44,2.218
2014-01-06,45.64,45.64,45.35,45.41,2.094
2014-01-07,45.43,45.67,45.43,45.48,2.487
2014-01-08,45.34,45.52,44.95,45.07,2.822
2014-01-09,45.16,45.29,44.74,45.14,2.519
2014-01-10,45.47,46.15,45.39,45.51,2.408
2014-01-13,45.62,45.76,45.26,45.48,2.597
2014-01-14,45.77,46.33,45.64,46.27,2.786
2014-01-15,46.36,46.77,46.13,46.37,2.201
2014-01-16,46.4,46.93,46.15,46.93,2.628
2014-01-17,47.08,47.38,46.76,46.9,1.802
2014-01-21,47.15,47.7,47.06,47.7,3.184
2014-01-22,47.47,48.02,47.34,47.8,2.32
2014-01-23,47.69,48.14,47.57,47.65,2.741
2014-01-24,47.57,47.69,46.92,46.92,2.715
2014-01-27,47.0,47.58,46.87,47.19,2.499
2014-01-28,47.25,47.6,47.04,47.4,1.544
2014-01-29,47.3,47.55,47.07,47.12,1.654
2014-01-30,47.15,48.08,47.15,47.95,1.32
2014-01-31,47.52,48.42,47.29,48.16,1.768
2014-02-03,48.39,49.14,48.1,48.19,2.887
2014-02-04,48.42,48.53,47.21,47.91,2.631
2014-02-05,47.67,48.07,47.27,47.96,1.925
2014-02-06,47.98,48.74,47.79,48.67,1.624
2014-02-07,48.68,48.82,48.38,48.71,1.631
2014-02-10,48.5,48.92,48.11,48.8,1.667
2014-02-11,48.84,49.6,48.63,49.44,1.332
2014-02-12,49.27,49.78,49.18,49.63,1.455
2014-02-13,49.25,50.22,49.22,50.19,1.736
2014-02-14,50.17,50.56,49.97,50.54,1.261
2014-02-18,50.47,51.09,50.42,50.98,1.557
2014-02-19,50.89,51.29,50.54,50.7,1.827
2014-02-20,50.8,51.36,50.57,51.22,1.136
2014-02-21,51.25,51.76,51.11,51.36,2.132
2014-02-24,51.3,52.07,51.24,51.5,2.825
2014-02-25,51.57,52.0,50.9,51.24,2.657
2014-02-26,51.69,52.66,51.69,52.0,2.975
2014-02-27,52.0,52.14,51.42,52.07,3.183
2014-02-28,52.12,52.8,52.1,52.37,1.979
2014-03-03,52.2,52.43,51.88,51.9,1.531
2014-03-04,52.34,52.48,52.09,52.21,1.672
2014-03-05,52.18,52.21,51.47,51.55,1.604
2014-03-06,51.66,51.85,50.9,51.17,2.036
2014-03-07,50.98,51.42,50.8,51.42,1.641
2014-03-10,51.31,51.4,50.95,51.18,1.626
2014-03-11,51.11,51.3,50.55,50.76,2.421
2014-03-12,50.94,51.7,50.75,51.7,1.995
2014-03-13,51.38,51.97,51.38,51.77,3.429
2014-03-14,51.92,52.49,51.65,52.06,2.747
2014-03-17,52.1,52.46,51.85,52.4,1.963
2014-03-18,52.5,52.7,52.32,52.62,1.528
2014-03-19,51.46,53.03,51.46,51.78,2.527
2014-03-20,51.68,52.04,51.14,52.02,1.866
2014-03-21,52.21,54.35,51.9,53.87,5.74
2014-03-24,53.76,54.43,53.76,54.29,4.962
2014-03-25,54.44,54.52,53.68,54.36,1.967
2014-03-26,54.39,54.52,53.78,53.81,1.936
2014-03-27,53.46,54.13,53.02,53.89,2.362
2014-03-28,54.35,55.44,54.31,55.29,3.62
2014-03-31,55.83,56.61,55.59,56.61,4.097
2014-04-01,56.62,56.74,55.76,56.62,3.12
2014-04-02,56.05,56.16,55.65,55.96,2.756
2014-04-03,56.14,56.72,55.97,56.47,2.343
2014-04-04,56.5,56.88,55.76,55.93,3.483
2014-04-07,55.93,56.59,55.85,55.91,3.119
2014-04-08,55.76,56.53,55.58,56.35,3.302
2014-04-09,56.26,56.67,55.72,56.64,2.798
2014-04-10,56.63,56.93,56.33,56.56,2.569
2014-04-11,56.25,56.71,56.14,56.32,2.282
