Date,Open,High,Low,Close,Volume
2014-01-02,92.0,92.01,90.62,90.63,1.432
2014-01-03,90.46,91.06,90.31,90.63,1.07
2014-01-06,91.02,91.05,89.25,89.28,2.204
2014-01-07,89.67,91.49,89.42,91.08,1.832
2014-01-08,90.84,92.22,90.67,92.22,1.875
2014-01-09,90.69,93.09,90.69,93.0,2.073
2014-01-10,92.74,92.95,90.86,91.99,1.581
2014-01-13,91.74,92.38,90.7,90.84,1.706
2014-01-14,90.93,91.87,90.36,91.35,2.048
2014-01-15,91.71,91.9,87.85,88.15,5.087
2014-01-16,88.13,88.13,85.4,85.56,4.883
2014-01-17,85.58,86.41,85.0,85.49,3.116
2014-01-21,85.82,87.26,85.54,86.92,2.23
2014-01-22,86.91,87.42,86.0,86.11,1.688
2014-01-23,86.39,86.72,85.27,85.79,2.491
2014-01-24,85.33,85.36,83.89,84.25,2.297
2014-01-27,83.95,85.5,83.85,84.89,3.626
2014-01-28,84.9,85.49,84.26,84.3,4.925
2014-01-29,82.21,87.75,81.84,85.37,6.443
2014-01-30,87.06,89.04,86.14,87.76,3.955
2014-01-31,86.74,87.44,85.93,86.0,3.311
2014-02-03,86.0,86.28,85.3,85.62,2.612
2014-02-04,85.75,86.07,84.72,85.35,2.026
2014-02-05,85.21,86.69,84.58,85.65,2.204
2014-02-06,85.67,86.67,84.65,86.58,2.063
2014-02-07,85.95,85.95,84.25,84.68,3.138
2014-02-10,84.8,85.41,83.99,84.6,2.913
2014-02-11,84.12,86.15,84.02,85.68,2.84
2014-02-12,85.66,86.32,84.02,84.25,3.218
2014-02-13,84.03,85.67,84.03,85.31,2.246
2014-02-14,85.07,88.01,85.07,87.8,2.434
2014-02-18,87.89,89.2,87.48,87.52,3.21
2014-02-19,87.34,88.61,87.0,87.5,3.062
2014-02-20,87.77,88.21,86.99,87.71,2.403
2014-02-21,87.47,89.49,87.41,88.55,2.944
2014-02-24,88.02,91.96,88.02,90.93,3.622
2014-02-25,91.64,91.66,89.53,89.68,2.637
2014-02-26,89.61,90.49,88.99,89.15,2.507
2014-02-27,89.19,89.87,88.9,89.28,1.968
2014-02-28,89.26,91.86,89.26,90.59,3.752
2014-03-03,89.87,90.22,89.03,89.44,2.594
2014-03-04,90.12,91.41,89.99,90.81,2.475
2014-03-05,89.26,91.67,89.26,91.56,2.734
2014-03-06,90.75,92.0,90.75,91.52,2.448
2014-03-07,92.0,92.0,91.4,91.53,3.281
2014-03-10,91.36,92.29,91.36,92.24,1.792
2014-03-11,92.31,93.48,92.24,93.0,2.712
2014-03-12,92.55,94.17,92.55,93.62,2.496
2014-03-13,93.79,93.99,93.22,93.27,3.576
2014-03-14,93.02,93.79,92.84,93.35,3.482
2014-03-17,93.6,95.45,93.57,95.15,2.862
2014-03-18,95.14,97.95,95.1,97.71,4.593
2014-03-19,98.05,100.59,98.0,99.05,5.301
2014-03-20,98.87,100.4,98.4,99.71,3.667
2014-03-21,99.89,102.56,99.65,99.77,7.619
2014-03-24,100.48,102.39,100.16,100.97,3.165
2014-03-25,101.01,101.78,99.66,99.69,2.764
2014-03-26,100.46,100.77,99.0,99.91,4.077
2014-03-27,99.91,99.99,97.26,97.7,3.509
2014-03-28,98.07,100.1,97.98,99.39,2.139
2014-03-31,100.0,100.39,99.06,99.55,4.062
2014-04-01,98.5,101.05,98.5,99.09,2.561
2014-04-02,96.7,99.26,96.7,98.32,2.579
2014-04-03,98.58,99.41,98.26,99.24,2.893
2014-04-04,99.58,99.87,97.52,97.59,3.128
2014-04-07,97.56,98.0,96.11,96.61,2.791
2014-04-08,96.93,97.47,95.69,96.65,4.448
2014-04-09,96.67,98.14,95.99,96.81,5.236
2014-04-10,97.01,97.74,95.12,95.74,3.985
2014-04-11,95.33,96.14,94.56,95.05,3.456
2014-04-14,95.52,95.85,94.3,95.38,2.461
2014-04-15,95.68,96.74,94.67,96.47,3.216
2014-04-16,97.02,97.15,95.14,95.65,2.297
2014-04-17,92.1,92.88,90.75,92.0,4.585
2014-04-21,91.76,93.27,91.72,93.03,2.633
2014-04-22,93.32,94.46,93.25,94.19,2.228
