Date,Open,High,Low,Close,Volume
2014-01-02,69.83,70.03,69.1,69.3,1.803
2014-01-03,69.62,69.9,69.24,69.37,1.634
2014-01-06,69.78,69.88,68.65,68.85,2.492
2014-01-07,69.01,69.13,68.45,68.9,3.026
2014-01-08,68.86,68.99,68.25,68.55,2.756
2014-01-09,68.89,69.74,68.02,68.27,3.432
2014-01-10,68.53,68.91,67.92,68.55,3.57
2014-01-13,68.42,69.29,67.93,68.05,3.52
2014-01-14,68.36,69.23,68.11,69.21,2.781
2014-01-15,69.24,69.99,69.2,69.78,2.088
2014-01-16,69.7,70.29,69.54,69.95,2.069
2014-01-17,69.73,70.02,68.96,69.12,3.596
2014-01-21,69.37,69.9,69.15,69.55,2.36
2014-01-22,69.59,69.63,68.51,68.96,2.954
2014-01-23,68.44,68.49,67.11,67.35,4.369
2014-01-24,66.54,66.83,65.26,65.26,5.518
2014-01-27,65.21,66.05,64.65,65.52,4.461
2014-01-28,65.71,66.42,65.63,66.34,3.777
2014-01-29,65.71,66.29,65.52,65.67,3.674
2014-01-30,66.12,66.73,65.73,66.58,2.806
2014-01-31,65.4,66.44,65.32,65.94,2.577
2014-02-03,65.86,66.3,64.18,64.25,4.708
2014-02-04,63.52,65.0,62.25,64.06,5.501
2014-02-05,63.78,64.12,63.29,63.76,3.944
2014-02-06,63.78,64.41,63.73,63.94,3.11
2014-02-07,64.38,65.26,64.24,65.19,2.604
2014-02-10,64.93,65.0,64.48,64.99,2.613
2014-02-11,65.07,65.29,64.54,64.95,3.245
2014-02-12,64.78,65.39,64.65,65.11,3.476
2014-02-13,64.56,64.71,63.95,64.54,4.203
2014-02-14,64.39,64.97,64.0,64.51,4.42
2014-02-18,64.44,64.56,63.76,63.8,4.956
2014-02-19,63.61,64.26,63.18,63.27,3.891
2014-02-20,63.39,64.1,63.04,63.56,3.369
2014-02-21,63.7,64.15,63.42,63.42,2.97
2014-02-24,63.62,64.89,63.62,64.32,3.556
2014-02-25,64.34,64.91,64.06,64.55,3.018
2014-02-26,64.75,65.8,64.58,65.23,4.015
2014-02-27,65.22,65.74,64.96,65.25,3.092
2014-02-28,65.37,65.91,64.94,65.26,3.393
2014-03-03,64.8,64.8,63.95,64.35,2.641
2014-03-04,65.44,65.58,64.79,65.12,3.201
2014-03-05,65.12,65.3,64.96,65.06,2.235
2014-03-06,65.11,65.46,65.0,65.05,2.462
2014-03-07,65.35,65.88,65.3,65.6,3.201
2014-03-10,65.73,65.73,64.77,64.93,3.092
2014-03-11,65.14,65.32,64.14,64.41,2.03
2014-03-12,64.03,64.11,63.7,64.0,3.032
2014-03-13,64.45,64.63,62.77,63.02,4.547
2014-03-14,62.9,63.1,62.42,62.56,4.438
2014-03-17,62.98,63.84,62.98,63.66,3.166
2014-03-18,63.84,64.17,63.73,63.87,2.625
2014-03-19,64.02,64.2,63.13,63.63,4.127
2014-03-20,63.52,63.76,63.18,63.59,2.807
2014-03-21,64.85,66.02,64.47,65.35,7.957
2014-03-24,65.44,65.85,64.93,65.39,4.184
2014-03-25,65.73,66.36,65.68,66.35,4.944
2014-03-26,66.5,66.79,65.73,65.74,3.889
2014-03-27,65.56,66.29,65.02,66.2,4.382
2014-03-28,66.46,67.16,66.2,66.76,3.144
2014-03-31,67.28,67.36,66.64,66.8,3.079
2014-04-01,66.64,67.37,66.64,67.32,2.767
2014-04-02,67.32,68.01,67.22,67.84,3.024
2014-04-03,68.05,68.29,67.62,67.94,2.281
2014-04-04,68.23,68.56,67.23,67.27,3.126
2014-04-07,67.21,67.36,66.47,66.48,3.717
2014-04-08,66.51,66.8,66.08,66.66,4.849
2014-04-09,66.96,67.13,66.35,67.1,2.691
2014-04-10,67.04,67.3,65.94,66.05,3.77
2014-04-11,64.7,66.42,64.7,65.4,2.838
2014-04-14,65.99,66.17,64.78,65.37,3.378
2014-04-15,65.31,66.64,65.15,66.55,3.554
2014-04-16,66.97,67.64,66.84,67.61,3.172
2014-04-17,67.8,68.58,67.61,68.44,3.946
2014-04-21,68.31,68.83,68.17,68.59,1.816
2014-04-22,68.61,69.08,68.32,68.7,2.029
2014-04-23,68.58,69.44,68.44,69.4,4.077
2014-04-24,69.8,69.94,69.37,69.5,3.494
2014-04-25,69.36,69.36,68.33,68.44,2.965
2014-04-28,68.78,69.18,67.51,68.22,3.095
2014-04-29,68.63,68.71,67.63,68.05,2.547
2014-04-30,67.93,68.26,67.61,68.18,2.317
2014-05-01,68.12,68.28,67.58,67.99,2.159
2014-05-02,67.79,68.17,67.43,67.53,2.786
2014-05-05,67.3,67.7,66.87,67.62,2.614
2014-05-06,67.45,67.6,66.53,66.56,3.351
2014-05-07,66.92,67.33,66.41,67.2,2.181
2014-05-08,66.94,67.77,66.86,67.21,2.317
2014-05-09,67.14,67.33,66.54,67.12,1.837
2014-05-12,67.61,68.31,67.5,68.22,2.461
2014-05-13,68.39,68.65,68.15,68.28,2.633
2014-05-14,67.99,68.07,67.19,67.3,2.073
2014-05-15,67.02,67.18,65.93,66.64,3.121
2014-05-16,66.71,66.77,66.19,66.55,3.603
2014-05-19,66.26,66.98,66.25,66.73,2.091
2014-05-20,66.59,66.71,65.18,65.37,2.651
2014-05-21,65.47,66.01,65.29,65.57,3.058
2014-05-22,65.66,66.5,65.57,66.13,2.235
2014-05-23,66.19,66.75,65.94,66.5,1.672
2014-05-27,66.7,67.14,66.48,66.85,2.233
2014-05-28,67.12,67.22,66.6,66.65,1.805
2014-05-29,66.88,66.91,66.24,66.8,1.812
2014-05-30,66.76,66.86,66.44,66.73,2.213
2014-06-02,66.87,67.32,66.46,67.17,2.1
2014-06-03,66.88,67.36,66.62,66.94,3.353
2014-06-04,66.78,67.04,66.62,66.74,2.24
2014-06-05,67.04,67.53,66.79,67.39,2.408
2014-06-06,67.53,67.81,67.5,67.66,2.748
2014-06-09,67.55,68.63,67.55,68.1,3.11
2014-06-10,67.99,68.05,67.48,67.5,3.483
2014-06-11,67.26,67.67,67.18,67.25,2.678
2014-06-12,67.03,67.19,66.4,66.44,3.723
2014-06-13,66.5,66.85,66.24,66.47,3.088
2014-06-16,66.37,66.92,66.12,66.33,2.718
2014-06-17,66.2,67.48,66.1,67.24,3.379
2014-06-18,67.28,68.19,67.08,68.07,3.232
2014-06-19,68.08,68.31,67.39,67.61,3.284
2014-06-20,67.75,68.8,67.66,68.24,4.237
2014-06-23,68.47,68.67,67.77,67.81,2.603
2014-06-24,67.59,68.04,67.0,67.07,2.01
2014-06-25,66.96,67.49,66.91,67.02,2.203
2014-06-26,66.87,67.05,66.28,66.73,2.007
2014-06-27,66.54,67.2,66.49,66.92,2.429
2014-06-30,66.82,66.98,66.23,66.36,2.675
2014-07-01,66.18,66.95,65.96,66.55,2.91
2014-07-02,66.59,66.73,66.13,66.64,2.231
2014-07-03,66.97,67.65,66.93,67.37,1.947
2014-07-07,67.36,67.95,66.82,67.65,4.106
2014-07-08,67.38,68.05,67.22,67.83,4.212
2014-07-09,67.89,68.16,67.49,67.7,2.959
2014-07-10,67.11,67.59,67.0,67.2,2.57
2014-07-11,67.76,67.76,66.74,67.1,2.964
2014-07-14,67.71,67.77,67.24,67.26,2.26
2014-07-15,67.17,67.72,67.11,67.5,3.003
2014-07-16,67.96,68.23,67.75,67.99,3.476
2014-07-17,67.55,67.61,66.94,66.98,3.334
2014-07-18,67.12,67.48,67.01,67.39,2.535
2014-07-21,67.31,67.61,66.99,67.36,1.842
2014-07-22,67.5,67.86,67.36,67.42,1.899
2014-07-23,67.44,67.47,66.86,67.02,1.341
2014-07-24,66.94,67.51,66.91,67.05,2.396
2014-07-25,67.17,67.77,66.91,67.43,2.965
2014-07-28,67.24,67.24,66.57,67.08,3.045
2014-07-29,66.98,67.17,66.1,66.1,2.704
2014-07-30,66.15,66.23,64.79,65.21,4.662
2014-07-31,64.82,64.92,63.64,63.65,5.42
2014-08-01,63.27,63.78,62.71,63.4,4.901
2014-08-04,63.42,64.14,63.11,63.99,3.924
2014-08-05,62.1,63.96,60.85,62.84,6.971
2014-08-06,62.05,62.51,61.54,61.85,5.195
2014-08-07,62.24,62.39,61.65,61.79,2.959
2014-08-08,62.04,62.84,61.91,62.8,2.232
2014-08-11,63.11,63.13,62.51,62.58,2.064
2014-08-12,62.65,63.1,62.47,62.67,2.1
2014-08-13,62.49,63.14,62.28,63.05,3.137
2014-08-14,62.93,63.23,62.75,62.95,2.727
2014-08-15,63.24,63.41,62.55,62.97,3.051
2014-08-18,63.16,63.84,63.16,63.82,2.047
2014-08-19,63.82,64.19,63.8,63.93,2.294
2014-08-20,63.94,64.58,63.89,64.48,2.504
2014-08-21,64.5,64.7,64.16,64.56,1.774
2014-08-22,64.74,64.93,64.43,64.6,2.433
2014-08-25,64.91,65.16,64.64,64.75,1.484
2014-08-26,64.93,64.96,64.29,64.34,1.855
2014-08-27,64.38,64.58,64.08,64.4,1.508
2014-08-28,64.0,64.38,63.9,64.26,1.192
2014-08-29,64.39,64.57,63.99,64.02,2.074
2014-09-02,64.33,64.67,64.07,64.31,3.088
2014-09-03,64.75,64.85,64.19,64.29,2.177
2014-09-04,64.33,65.48,64.19,64.64,3.406
2014-09-05,64.64,65.3,64.24,65.08,3.698
2014-09-08,64.92,65.32,64.86,64.98,3.218
2014-09-09,64.98,65.43,64.79,65.11,3.205
2014-09-10,65.19,65.35,64.87,65.01,2.626
2014-09-11,64.76,65.07,64.55,64.66,2.735
2014-09-12,64.53,64.66,64.15,64.49,3.03
2014-09-15,64.31,64.54,64.18,64.3,2.134
2014-09-16,64.29,64.43,63.75,64.41,2.564
2014-09-17,64.75,65.1,64.33,64.53,3.244
2014-09-18,64.87,64.92,64.57,64.74,1.998
2014-09-19,65.16,65.22,64.58,65.0,4.764
2014-09-22,64.87,64.98,64.0,64.25,2.639
2014-09-23,63.9,64.23,63.49,63.5,3.891
2014-09-24,63.55,64.46,63.22,64.21,3.889
2014-09-25,63.79,63.84,62.4,62.41,4.04
2014-09-26,62.51,63.09,62.19,63.04,3.283
2014-09-29,62.28,62.76,62.01,62.67,2.884
2014-09-30,62.59,63.08,62.44,62.58,3.581
2014-10-01,62.02,62.06,61.11,61.4,3.939
2014-10-02,61.48,62.49,61.31,62.14,3.89
2014-10-03,63.22,63.22,62.21,62.42,3.814
2014-10-06,62.59,62.86,62.1,62.46,2.024
2014-10-07,62.0,62.13,60.96,61.0,3.082
2014-10-08,61.16,61.9,60.6,61.82,4.033
2014-10-09,61.7,61.7,59.51,59.66,5.497
2014-10-10,59.71,60.38,59.09,59.43,5.397
2014-10-13,59.63,59.97,58.63,58.67,4.255
2014-10-14,59.07,60.36,58.99,59.17,4.614
2014-10-15,58.47,59.52,57.76,59.35,5.42
2014-10-16,58.44,60.92,58.4,60.47,6.911
2014-10-17,60.93,61.69,60.85,61.22,5.442
2014-10-20,60.88,61.24,60.64,61.23,3.655
2014-10-21,61.75,63.12,61.71,62.96,3.635
2014-10-22,63.08,63.29,60.91,60.95,6.431
2014-10-23,61.69,62.43,61.62,62.05,3.1
2014-10-24,62.01,62.47,61.65,62.39,3.09
2014-10-27,62.07,62.32,61.64,62.27,2.37
2014-10-28,62.58,63.56,62.47,63.38,2.635
2014-10-29,63.76,63.76,62.93,63.3,4.026
2014-10-30,62.83,63.65,62.52,63.42,3.147
2014-10-31,64.23,64.52,63.79,64.06,5.406
2014-11-03,64.24,64.71,63.92,64.51,4.04
2014-11-04,65.05,65.41,63.78,64.19,6.903
2014-11-05,64.9,64.91,64.15,64.41,3.899
