Date,Open,High,Low,Close,Volume
2014-01-02,83.29,83.98,82.03,82.51,2.943
2014-01-03,82.88,83.32,81.9,82.28,2.694
2014-01-06,82.39,82.67,81.17,82.01,3.649
2014-01-07,82.54,83.46,81.86,83.43,3.287
2014-01-08,83.01,83.92,82.53,83.39,2.858
2014-01-09,83.71,84.44,82.74,83.5,3.539
2014-01-10,83.73,84.05,83.0,83.4,2.95
2014-01-13,83.71,84.14,81.49,81.73,2.673
2014-01-14,82.03,84.36,81.82,84.3,3.222
2014-01-15,84.73,86.64,84.7,85.18,4.089
2014-01-16,85.05,85.58,84.35,85.05,3.342
2014-01-17,85.48,85.94,84.46,84.48,3.326
2014-01-21,84.58,85.28,84.07,84.61,3.195
2014-01-22,85.1,86.15,84.62,85.86,3.589
2014-01-23,84.89,85.87,84.11,84.58,4.483
2014-01-24,84.03,84.52,82.56,82.76,5.645
2014-01-27,82.58,82.75,80.63,81.05,3.806
2014-01-28,81.69,83.75,81.14,83.61,3.293
2014-01-29,82.96,83.08,81.77,82.32,3.28
2014-01-30,82.55,83.75,82.32,83.07,2.263
2014-01-31,82.33,83.8,81.59,82.62,2.64
2014-02-03,82.31,83.43,80.75,80.87,4.529
2014-02-04,81.33,84.5,81.25,84.29,6.577
2014-02-05,84.05,84.85,83.39,83.75,4.293
2014-02-06,83.85,86.89,83.85,86.62,5.142
2014-02-07,87.39,88.44,86.57,88.25,4.171
2014-02-10,88.38,88.38,86.54,87.1,3.538
2014-02-11,87.15,88.11,86.78,87.36,3.299
2014-02-12,87.88,88.45,87.25,87.56,2.585
2014-02-13,86.79,88.38,86.3,87.74,3.433
2014-02-14,87.86,88.62,87.44,88.48,2.338
2014-02-18,89.06,90.13,89.0,89.96,3.655
2014-02-19,89.53,90.81,89.2,89.43,3.835
2014-02-20,89.52,91.03,89.07,90.01,4.512
2014-02-21,90.24,90.49,88.97,89.0,5.411
2014-02-24,89.21,90.81,88.51,90.2,7.053
2014-02-25,91.43,92.57,89.62,92.0,7.461
2014-02-26,91.81,94.21,91.44,93.22,7.214
2014-02-27,93.21,93.82,92.25,93.74,3.78
2014-02-28,93.86,95.54,93.56,94.71,5.076
2014-03-03,94.53,96.0,94.31,94.64,5.608
2014-03-04,95.24,96.46,95.17,95.78,4.265
2014-03-05,96.02,96.61,95.03,95.25,3.901
2014-03-06,95.36,96.11,94.67,95.53,3.451
2014-03-07,95.76,95.97,94.1,94.96,3.917
2014-03-10,94.96,94.96,93.56,94.53,2.759
2014-03-11,94.92,95.08,92.66,92.8,4.103
2014-03-12,91.8,93.21,90.83,92.57,4.088
2014-03-13,93.12,93.32,90.89,91.46,3.764
2014-03-14,91.49,93.11,91.45,92.99,3.178
2014-03-17,93.3,94.0,93.0,93.61,2.722
2014-03-18,93.7,95.26,93.59,94.58,3.166
2014-03-19,94.68,94.72,93.01,93.76,3.165
2014-03-20,93.81,95.28,93.04,95.17,4.022
