Date,Open,High,Low,Close,Volume
2014-01-02,34.78,35.08,34.66,34.78,0.184
2014-01-03,34.8,35.17,34.76,35.0,0.089
2014-01-06,35.09,35.15,34.82,34.9,0.104
2014-01-07,34.96,35.83,34.92,35.79,0.215
2014-01-08,35.83,36.71,35.61,36.66,0.349
2014-01-09,36.69,37.18,36.16,36.56,0.256
2014-01-10,36.71,36.71,35.76,36.5,0.144
2014-01-13,36.52,36.52,35.67,36.01,0.185
2014-01-14,36.11,36.92,35.76,36.9,0.147
2014-01-15,36.91,37.93,36.8,37.84,0.21
2014-01-16,37.77,38.33,37.54,38.21,0.171
2014-01-17,38.08,38.65,38.08,38.34,0.172
2014-01-21,38.67,39.88,38.33,39.74,0.408
2014-01-22,39.8,40.75,39.78,40.46,0.34
2014-01-23,40.13,40.15,39.61,39.91,0.281
2014-01-24,39.63,40.24,39.47,39.87,0.447
2014-01-27,39.83,39.98,39.19,39.36,0.642
2014-01-28,39.36,42.22,39.36,41.84,0.882
2014-01-29,41.52,41.52,40.71,41.1,0.424
2014-01-30,41.59,42.39,41.41,41.58,0.203
2014-01-31,40.67,41.29,40.63,40.9,0.342
2014-02-03,40.87,41.15,39.43,39.71,0.533
2014-02-04,39.7,40.5,39.6,40.44,0.263
2014-02-05,40.2,40.62,39.47,40.42,0.206
2014-02-06,40.6,41.55,40.58,40.85,0.333
2014-02-07,41.11,43.43,41.11,43.41,0.566
2014-02-10,43.37,44.3,42.54,43.03,0.569
2014-02-11,43.16,43.45,42.44,43.35,0.311
2014-02-12,43.29,43.64,42.75,43.24,0.296
2014-02-13,42.74,44.5,42.67,44.26,0.383
2014-02-14,44.04,44.49,43.55,44.35,0.208
2014-02-18,44.5,46.7,44.5,44.62,0.545
2014-02-19,44.4,44.54,41.56,42.77,1.046
2014-02-20,43.2,43.65,41.02,41.23,0.736
2014-02-21,41.95,42.26,41.39,41.88,0.59
2014-02-24,41.99,43.06,41.99,42.88,0.324
2014-02-25,42.85,43.08,41.83,41.9,0.295
2014-02-26,42.0,42.46,41.63,42.11,0.182
2014-02-27,41.93,42.9,41.64,42.24,0.285
2014-02-28,42.35,42.68,41.52,41.93,0.341
2014-03-03,40.22,40.22,31.76,32.02,3.61
2014-03-04,35.28,38.43,34.8,37.21,3.676
2014-03-05,37.24,37.47,36.05,36.57,0.683
2014-03-06,36.27,36.52,34.81,34.92,0.614
2014-03-07,36.2,36.48,34.71,36.42,1.081
2014-03-10,36.34,36.65,35.27,35.55,0.445
2014-03-11,35.47,35.86,35.1,35.73,0.46
2014-03-12,35.51,35.75,34.94,35.19,0.406
2014-03-13,35.38,35.38,32.81,32.98,0.613
2014-03-14,32.83,33.24,31.71,32.06,0.891
2014-03-17,32.38,33.37,32.08,33.34,0.973
2014-03-18,33.5,35.5,33.5,34.19,0.683
2014-03-19,34.41,34.67,33.2,33.77,0.464
2014-03-20,33.75,33.9,32.92,33.41,0.648
2014-03-21,33.55,33.65,32.37,32.44,0.508
2014-03-24,32.58,32.71,31.34,32.12,0.711
2014-03-25,32.24,33.08,32.0,32.64,0.578
2014-03-26,32.97,33.4,32.5,33.15,0.989
2014-03-27,33.09,33.35,32.66,33.01,0.355
2014-03-28,33.1,33.1,31.94,32.08,0.533
2014-03-31,32.36,33.05,32.08,32.9,0.595
