Date,Open,High,Low,Close,Volume
2014-01-02,177.63,177.63,171.91,174.76,0.823
2014-01-03,174.91,175.41,172.65,173.42,0.42
2014-01-06,174.0,174.79,172.56,174.18,0.573
2014-01-07,174.8,182.02,173.57,179.59,1.348
2014-01-08,179.68,180.97,178.37,180.29,1.091
2014-01-09,180.08,180.68,176.01,177.49,0.532
2014-01-10,177.94,179.13,176.52,179.01,0.6
2014-01-13,179.82,179.94,174.73,174.92,0.932
2014-01-14,175.41,179.28,175.11,178.74,0.71
2014-01-15,178.57,181.01,178.33,179.53,0.763
2014-01-16,179.3,180.97,178.43,179.48,0.735
2014-01-17,178.92,180.43,175.01,175.87,0.778
2014-01-21,177.53,179.94,176.05,179.29,1.021
2014-01-22,179.6,179.98,177.33,178.97,1.431
2014-01-23,178.28,183.0,177.28,182.64,2.326
2014-01-24,181.14,187.67,180.15,183.88,2.153
2014-01-27,184.14,184.43,179.36,181.07,1.215
2014-01-28,181.07,182.82,179.1,182.6,0.736
2014-01-29,182.46,183.78,180.02,182.64,0.704
2014-01-30,183.32,185.67,182.76,184.34,0.763
2014-01-31,182.2,186.5,181.57,185.2,0.766
2014-02-03,185.78,185.92,179.05,179.14,1.978
2014-02-04,180.68,184.54,178.58,183.99,1.103
2014-02-05,182.92,183.99,180.18,181.01,0.731
2014-02-06,181.27,183.6,180.95,183.06,0.713
2014-02-07,184.09,186.83,182.36,186.31,0.97
2014-02-10,186.24,190.13,184.69,189.93,0.99
2014-02-11,188.98,191.7,188.73,190.74,0.771
2014-02-12,190.02,191.07,188.7,190.75,1.159
2014-02-13,189.99,192.69,188.8,191.85,0.57
2014-02-14,191.14,193.41,188.89,193.24,0.805
2014-02-18,192.12,194.38,192.06,194.02,0.959
2014-02-19,194.75,194.8,190.64,192.62,1.126
2014-02-20,191.69,196.2,186.0,187.95,2.197
2014-02-21,189.21,190.02,187.79,189.43,1.01
2014-02-24,189.36,190.17,188.89,189.79,0.637
2014-02-25,190.45,192.7,188.01,188.5,1.108
2014-02-26,189.69,191.56,189.32,190.0,0.736
2014-02-27,190.11,193.0,188.01,191.85,0.7
2014-02-28,192.08,192.21,188.53,189.96,0.811
2014-03-03,188.97,190.95,187.38,189.47,0.63
2014-03-04,190.63,191.99,189.58,191.05,0.709
2014-03-05,191.15,192.8,189.65,192.03,0.409
2014-03-06,192.7,194.0,191.18,193.77,0.378
2014-03-07,193.92,194.0,191.24,193.44,0.497
2014-03-10,193.58,193.94,190.78,192.27,0.647
2014-03-11,191.99,194.99,189.42,189.86,0.797
2014-03-12,188.94,191.05,187.44,190.25,0.539
2014-03-13,190.5,191.92,181.63,181.71,1.558
2014-03-14,181.1,183.42,180.31,183.09,0.67
2014-03-17,183.72,184.81,181.83,183.39,0.376
2014-03-18,183.12,184.58,182.24,183.19,0.448
2014-03-19,183.4,183.75,178.76,180.95,1.323
2014-03-20,182.99,182.99,179.8,181.44,0.44
2014-03-21,182.65,182.79,180.02,180.34,0.888
2014-03-24,181.63,181.9,178.69,181.3,0.708
2014-03-25,183.24,184.7,180.44,182.5,0.65
2014-03-26,183.57,184.92,180.65,180.69,0.881
2014-03-27,180.12,183.07,179.43,181.35,0.77
2014-03-28,181.25,184.3,180.11,184.02,0.696
2014-03-31,185.0,185.52,183.15,184.84,0.7
2014-04-01,185.48,185.99,184.24,185.44,0.934
2014-04-02,185.68,186.42,184.25,184.44,1.097
2014-04-03,186.12,186.12,182.26,182.98,1.188
2014-04-04,183.89,184.9,177.96,179.0,1.713
