Date,Open,High,Low,Close,Volume
2014-01-02,51.74,52.31,51.55,51.99,1.521
2014-01-03,52.07,52.61,51.91,52.43,1.3
2014-01-06,52.54,53.19,52.43,52.84,1.562
2014-01-07,52.96,53.17,52.77,52.93,1.18
2014-01-08,52.8,53.41,52.71,53.41,2.039
2014-01-09,53.61,53.69,53.02,53.44,2.154
2014-01-10,53.71,53.89,53.31,53.57,2.115
2014-01-13,53.32,53.63,53.11,53.22,1.917
2014-01-14,53.33,53.81,53.25,53.49,1.816
2014-01-15,53.76,53.94,53.6,53.78,1.926
2014-01-16,53.88,54.09,53.69,53.89,1.68
2014-01-17,53.94,54.07,53.62,53.84,1.794
2014-01-21,54.13,54.56,53.94,54.42,2.156
2014-01-22,54.44,54.86,53.95,53.98,2.343
2014-01-23,53.71,53.83,53.48,53.77,2.306
2014-01-24,54.74,54.74,53.49,53.7,2.667
2014-01-27,53.57,54.07,53.2,53.36,4.027
2014-01-28,53.32,53.95,53.3,53.86,2.243
2014-01-29,53.61,54.15,53.46,53.95,3.138
2014-01-30,54.2,55.25,54.0,55.14,2.69
2014-01-31,54.68,55.61,54.52,55.38,3.484
2014-02-03,55.23,55.25,54.61,54.8,3.092
2014-02-04,55.02,55.5,54.75,55.38,3.304
2014-02-05,54.99,55.95,54.56,55.78,3.254
2014-02-06,55.67,56.52,55.65,56.48,3.199
2014-02-07,56.8,57.14,56.56,56.87,2.176
2014-02-10,56.9,57.68,56.77,57.6,2.247
2014-02-11,57.46,58.29,57.38,58.03,1.986
2014-02-12,58.04,58.21,57.82,58.21,2.511
2014-02-13,57.96,58.86,57.86,58.3,3.557
2014-02-14,58.32,58.74,58.2,58.58,1.836
2014-02-18,58.5,59.02,58.47,59.0,2.256
2014-02-19,58.85,59.34,58.36,58.49,2.622
2014-02-20,58.52,58.83,58.0,58.73,2.025
2014-02-21,58.69,59.01,58.34,58.71,1.424
2014-02-24,58.81,59.15,58.55,58.55,2.067
2014-02-25,58.69,59.09,58.42,58.79,1.595
2014-02-26,59.06,59.06,58.43,58.57,1.551
2014-02-27,58.55,58.81,58.0,58.36,1.184
2014-02-28,58.37,58.71,58.14,58.47,2.545
2014-03-03,58.36,58.81,58.2,58.52,1.97
2014-03-04,59.11,59.41,58.89,59.4,2.002
2014-03-05,59.35,59.4,58.48,58.75,2.074
2014-03-06,58.72,58.74,58.15,58.36,2.023
2014-03-07,58.17,58.34,57.52,58.25,1.843
2014-03-10,58.22,58.29,57.5,57.73,1.643
2014-03-11,57.74,58.2,57.69,58.07,1.228
2014-03-12,57.92,58.63,57.89,58.63,1.625
2014-03-13,58.62,58.79,57.82,57.9,1.939
2014-03-14,57.9,58.57,57.9,58.07,1.234
2014-03-17,58.32,58.68,58.1,58.37,0.921
2014-03-18,58.33,58.48,58.04,58.41,0.89
2014-03-19,58.32,58.72,57.11,57.28,1.848
2014-03-20,56.77,57.22,56.51,57.22,1.519
2014-03-21,57.4,57.8,57.1,57.19,1.972
2014-03-24,57.35,57.37,56.56,56.89,1.772
2014-03-25,57.11,57.95,57.11,57.83,1.382
2014-03-26,57.88,57.98,57.13,57.13,1.563
2014-03-27,57.05,57.35,56.68,57.19,1.135
2014-03-28,57.33,57.74,57.13,57.39,1.039
2014-03-31,57.66,58.35,57.23,57.99,2.426
2014-04-01,58.15,58.58,57.68,58.56,1.922
2014-04-02,58.42,59.34,58.2,59.22,2.168
2014-04-03,59.22,59.4,58.32,58.64,1.965
2014-04-04,58.99,59.4,58.58,59.16,1.343
2014-04-07,59.28,60.21,59.13,59.71,2.049
2014-04-08,59.42,60.1,59.35,60.05,1.823
2014-04-09,60.15,60.34,59.66,60.03,1.828
2014-04-10,60.03,60.34,58.99,59.17,1.782
2014-04-11,58.55,59.15,57.61,57.73,3.852
2014-04-14,58.18,58.4,57.59,58.08,2.025
2014-04-15,57.99,58.45,57.81,58.01,2.609
2014-04-16,58.43,58.8,57.73,58.43,3.334
2014-04-17,58.18,58.29,57.19,57.5,3.248
2014-04-21,57.54,58.25,57.34,58.24,3.147
2014-04-22,58.2,58.2,57.55,58.13,1.574
2014-04-23,58.14,58.21,57.62,57.85,1.812
2014-04-24,57.83,58.56,57.66,58.54,1.243
2014-04-25,58.54,58.76,58.38,58.66,1.354
2014-04-28,58.86,59.58,58.73,59.5,1.764
2014-04-29,59.72,59.72,59.22,59.32,1.325
2014-04-30,59.27,59.46,58.78,59.44,1.318
2014-05-01,58.0,59.64,58.0,59.59,1.755
2014-05-02,59.41,60.22,59.3,60.21,1.721
2014-05-05,59.99,60.8,59.93,60.79,2.002
2014-05-06,60.57,61.05,60.3,60.92,2.446
2014-05-07,61.1,61.9,60.75,61.54,1.575
2014-05-08,61.43,62.05,61.43,61.72,1.209
2014-05-09,61.89,62.05,61.47,61.79,1.05
2014-05-12,61.94,62.35,61.67,62.3,1.278
2014-05-13,61.92,62.57,61.48,61.71,1.652
2014-05-14,61.74,61.89,61.22,61.6,1.436
2014-05-15,61.61,61.75,61.04,61.47,1.409
2014-05-16,61.38,61.94,61.37,61.85,1.532
2014-05-19,61.81,62.02,61.44,61.63,1.127
2014-05-20,61.76,61.86,61.09,61.41,1.188
2014-05-21,61.47,61.71,60.93,61.04,1.014
2014-05-22,61.08,61.21,60.56,60.64,1.3
2014-05-23,60.83,61.0,60.54,60.98,1.209
2014-05-27,61.13,61.52,61.04,61.42,1.42
2014-05-28,61.32,61.4,60.69,61.19,1.492
2014-05-29,61.17,61.67,61.07,61.58,1.263
2014-05-30,61.63,61.92,61.48,61.8,1.824
2014-06-02,61.81,62.39,61.64,62.11,1.144
2014-06-03,62.04,62.42,61.87,62.2,1.03
2014-06-04,62.06,62.27,61.88,62.13,0.855
2014-06-05,62.19,63.23,61.9,63.18,1.28
2014-06-06,63.24,63.25,62.43,62.65,1.07
2014-06-09,62.53,62.74,61.5,61.72,1.414
2014-06-10,61.57,61.82,60.88,61.08,1.284
