Date,Open,High,Low,Close,Volume
2014-01-02,48.93,49.1,47.97,48.3,1.484
2014-01-03,48.19,48.36,47.34,47.68,1.33
2014-01-06,47.8,48.17,47.28,47.79,1.994
2014-01-07,47.92,49.09,47.75,47.82,2.451
2014-01-08,47.59,48.17,47.47,48.13,2.754
2014-01-09,48.18,48.44,46.65,46.82,2.573
2014-01-10,46.96,47.03,46.43,46.83,1.708
2014-01-13,46.84,47.22,45.86,45.92,2.246
2014-01-14,46.17,47.07,46.17,47.06,2.093
2014-01-15,47.23,47.54,46.9,47.4,1.929
2014-01-16,47.53,48.58,47.32,48.49,3.538
2014-01-17,49.19,49.19,47.57,47.7,2.286
2014-01-21,47.81,49.34,47.81,49.3,1.861
2014-01-22,50.09,50.96,49.76,50.21,2.731
2014-01-23,50.16,50.69,49.59,50.01,2.329
2014-01-24,49.91,49.97,49.08,49.37,1.857
2014-01-27,49.18,49.31,48.0,48.65,1.656
2014-01-28,48.74,49.76,48.74,49.59,1.671
2014-01-29,49.4,49.87,48.66,49.13,2.777
2014-01-30,49.09,49.42,48.62,48.99,1.918
2014-01-31,48.83,50.6,48.67,50.52,4.437
2014-02-03,50.52,50.9,49.87,50.15,3.306
2014-02-04,50.52,52.53,50.43,52.06,4.614
2014-02-05,52.07,52.19,50.4,51.23,6.002
2014-02-06,51.49,51.73,50.82,51.28,3.187
2014-02-07,51.31,51.8,50.26,51.31,3.067
2014-02-10,51.06,51.5,50.28,51.4,4.541
2014-02-11,51.65,52.17,51.44,52.11,2.599
2014-02-12,52.3,53.08,51.76,51.86,3.799
2014-02-13,51.01,52.98,50.63,52.06,6.095
2014-02-14,52.37,53.21,52.11,53.17,3.143
2014-02-18,53.21,54.58,53.21,54.56,3.796
2014-02-19,54.34,55.5,54.25,54.44,3.298
2014-02-20,54.44,54.68,53.82,54.45,4.771
2014-02-21,54.49,55.1,54.21,54.88,2.624
2014-02-24,55.13,55.69,54.83,55.41,3.167
2014-02-25,55.31,55.62,54.74,55.12,2.841
2014-02-26,54.78,55.18,53.74,54.48,2.811
2014-02-27,54.35,55.13,54.31,55.07,2.327
2014-02-28,55.17,55.89,55.13,55.68,2.256
2014-03-03,55.23,55.97,54.58,54.83,2.199
2014-03-04,55.37,55.68,54.7,55.51,1.696
2014-03-05,55.57,55.6,54.46,54.65,3.044
2014-03-06,54.75,54.87,53.88,54.53,2.438
2014-03-07,54.67,54.8,54.45,54.79,3.041
2014-03-10,54.81,55.43,54.42,55.42,1.646
2014-03-11,55.31,55.71,54.56,54.8,1.562
2014-03-12,54.21,54.96,54.02,54.85,1.563
