Date,Open,High,Low,Close,Volume
2014-01-02,141.79,147.54,141.79,146.3,0.725
2014-01-03,146.57,148.19,146.21,148.19,0.48
2014-01-06,148.0,149.59,146.73,148.97,0.466
2014-01-07,149.46,150.68,148.33,150.29,0.436
2014-01-08,150.27,151.0,148.98,149.31,0.356
2014-01-09,149.26,149.89,147.17,149.44,0.329
2014-01-10,149.77,151.13,149.77,151.06,0.27
2014-01-13,150.79,152.3,150.53,151.37,0.674
2014-01-14,152.0,152.65,150.95,152.58,0.394
2014-01-15,152.99,153.87,152.21,152.92,0.26
2014-01-16,152.46,154.1,152.46,153.75,0.449
2014-01-17,153.79,154.52,152.82,153.21,0.272
2014-01-21,154.38,155.05,153.49,154.45,0.331
2014-01-22,154.84,155.78,154.44,155.15,0.39
2014-01-23,154.65,155.81,154.11,154.64,0.392
2014-01-24,153.67,154.01,152.26,152.58,0.256
2014-01-27,152.81,153.53,151.16,151.48,0.347
2014-01-28,151.58,153.95,151.58,153.12,0.44
2014-01-29,152.16,153.53,152.0,152.94,0.519
2014-01-30,154.75,156.73,150.81,156.37,0.507
2014-01-31,155.52,159.28,155.3,158.37,0.703
2014-02-03,157.77,157.77,155.32,156.59,0.707
2014-02-04,157.19,159.79,155.89,159.41,0.887
2014-02-05,159.58,162.21,159.19,161.17,0.655
2014-02-06,162.21,164.06,161.28,163.6,0.695
2014-02-07,163.89,166.0,163.54,165.39,0.596
2014-02-10,165.04,167.04,164.57,166.79,0.462
2014-02-11,166.38,169.1,165.8,167.33,0.409
2014-02-12,167.46,168.07,166.51,166.68,0.313
2014-02-13,166.47,168.99,165.75,166.58,0.555
2014-02-14,166.17,167.36,165.86,166.19,0.266
2014-02-18,166.35,166.85,164.71,166.54,0.44
2014-02-19,164.75,167.86,164.75,165.67,0.531
2014-02-20,165.96,167.09,163.91,164.22,0.289
2014-02-21,164.23,166.25,163.42,165.71,0.296
2014-02-24,165.83,167.53,165.13,166.38,0.432
2014-02-25,165.97,167.64,165.39,166.91,0.201
2014-02-26,167.73,167.93,165.9,166.37,0.331
2014-02-27,166.52,167.02,164.42,165.09,0.436
2014-02-28,165.04,167.51,164.96,167.25,0.758
2014-03-03,166.92,169.09,166.07,168.56,0.403
2014-03-04,169.84,171.83,168.53,171.8,0.484
2014-03-05,170.69,173.01,168.49,170.55,0.859
2014-03-06,170.49,171.35,168.35,169.31,0.358
2014-03-07,169.0,169.0,166.41,168.11,0.426
2014-03-10,168.0,168.05,166.01,166.51,0.251
2014-03-11,166.91,167.91,166.25,167.07,0.207
2014-03-12,164.95,166.18,164.41,165.36,0.321
2014-03-13,165.36,165.42,162.84,162.91,0.387
2014-03-14,163.22,165.89,161.95,164.92,0.29
2014-03-17,166.07,166.67,164.37,165.07,0.16
2014-03-18,165.09,166.28,164.54,165.7,0.194
2014-03-19,166.71,170.04,162.49,163.15,0.647
2014-03-20,162.9,165.24,161.1,165.06,0.286
2014-03-21,166.14,167.73,164.01,166.18,0.476
2014-03-24,166.3,167.14,164.19,166.2,0.31
2014-03-25,166.68,169.63,166.67,169.44,0.398
2014-03-26,166.25,167.76,164.75,165.31,0.855
2014-03-27,167.86,168.36,164.45,167.61,1.108
2014-03-28,168.43,169.34,167.09,167.7,0.511
2014-03-31,168.17,171.7,166.95,170.05,1.024
2014-04-01,170.72,174.0,170.05,174.0,18.954
2014-04-02,171.61,174.0,170.26,172.3,2.082
2014-04-03,171.8,172.98,167.62,168.84,1.543
2014-04-04,170.44,171.51,168.04,170.12,1.043
2014-04-07,171.63,172.16,168.3,168.56,1.026
2014-04-08,169.05,169.88,167.24,169.61,0.593
2014-04-09,169.94,169.99,167.62,169.02,0.404
2014-04-10,168.89,169.33,166.38,167.16,1.018
2014-04-11,166.83,167.47,164.82,164.82,0.566
2014-04-14,165.53,166.28,164.76,166.03,0.438
2014-04-15,166.23,167.68,165.69,167.09,0.498
2014-04-16,167.43,168.78,166.43,168.33,0.406
2014-04-17,167.61,168.1,166.56,167.89,0.337
2014-04-21,167.88,169.66,167.21,169.62,0.558
2014-04-22,169.2,170.5,167.68,170.39,0.302
2014-04-23,170.63,171.27,168.61,168.79,0.552
2014-04-24,168.66,170.71,168.5,170.67,0.224
2014-04-25,170.6,170.73,169.25,169.92,0.356
2014-04-28,170.11,173.14,170.11,172.89,0.418
2014-04-29,172.93,173.85,171.6,172.56,0.269
2014-04-30,172.56,173.26,171.57,173.26,0.389
2014-05-01,173.7,175.48,171.95,174.69,0.415
2014-05-02,174.58,176.56,174.4,175.85,0.4
2014-05-05,174.24,177.45,174.24,177.31,0.278
2014-05-06,176.29,177.5,175.45,176.48,0.459
2014-05-07,176.58,179.87,176.58,179.61,0.417
2014-05-08,179.12,180.9,178.1,180.02,0.358
2014-05-09,179.63,180.97,179.04,180.34,0.439
2014-05-12,180.53,181.17,179.18,180.64,0.629
2014-05-13,180.56,181.69,178.88,179.27,0.287
2014-05-14,179.53,180.44,178.52,179.47,0.275
2014-05-15,179.42,180.07,177.74,179.43,0.403
2014-05-16,179.2,181.09,178.3,181.06,0.362
2014-05-19,180.6,180.6,179.01,179.28,0.367
2014-05-20,179.17,180.43,178.55,179.19,0.456
2014-05-21,179.64,179.85,178.1,178.61,0.227
2014-05-22,179.01,179.7,178.07,178.62,0.259
2014-05-23,178.93,180.23,178.78,179.62,0.172
2014-05-27,179.35,180.35,178.67,179.57,0.333
2014-05-28,179.75,180.03,177.78,178.93,0.355
2014-05-29,179.31,179.79,178.88,179.53,0.19
2014-05-30,179.67,181.33,179.29,180.96,0.715
2014-06-02,180.77,181.48,180.04,181.41,0.444
