Date,Open,High,Low,Close,Volume
2014-01-02,75.74,75.99,75.18,75.49,3.774
2014-01-03,75.55,76.09,75.38,75.71,1.936
2014-01-06,76.19,76.45,75.18,75.38,2.077
2014-01-07,75.44,75.98,75.11,75.54,1.941
2014-01-08,75.58,75.58,74.95,75.28,2.33
2014-01-09,75.74,76.21,75.01,75.55,2.437
2014-01-10,75.67,76.42,75.36,76.32,2.361
2014-01-13,75.07,75.57,73.57,74.07,6.969
2014-01-14,74.17,75.7,73.89,75.7,3.925
2014-01-15,75.87,76.57,75.64,76.44,2.637
2014-01-16,76.27,77.12,76.21,76.54,2.382
2014-01-17,76.63,77.16,76.31,76.85,3.16
2014-01-21,77.64,78.19,77.13,77.67,3.205
2014-01-22,77.35,77.55,76.56,77.19,2.864
2014-01-23,76.4,76.48,75.29,75.94,2.734
2014-01-24,75.12,75.25,72.98,73.13,4.557
2014-01-27,73.33,73.98,72.12,72.79,2.676
2014-01-28,73.22,74.01,72.99,73.55,1.749
2014-01-29,72.85,74.2,72.68,73.48,2.793
2014-01-30,74.12,74.24,73.4,73.91,2.834
2014-01-31,72.66,73.47,72.45,73.09,3.121
2014-02-03,73.44,73.84,70.18,70.27,4.858
2014-02-04,68.5,69.0,67.3,68.65,9.15
2014-02-05,67.91,69.15,66.89,69.1,6.97
2014-02-06,69.03,70.18,68.88,69.07,4.986
2014-02-07,69.32,70.84,68.8,70.62,5.032
2014-02-10,70.5,70.64,69.34,69.54,2.816
2014-02-11,69.92,70.3,69.41,70.01,3.341
2014-02-12,70.33,71.38,70.17,71.1,4.604
2014-02-13,70.43,71.7,70.25,71.55,2.169
2014-02-14,71.49,73.07,71.23,72.72,2.825
2014-02-18,72.97,73.06,72.11,72.47,1.774
2014-02-19,72.11,73.16,72.09,72.13,2.146
2014-02-20,72.16,73.16,71.75,72.97,2.619
2014-02-21,73.39,73.97,73.2,73.5,2.663
2014-02-24,73.78,75.39,73.78,74.98,3.504
2014-02-25,74.73,75.89,74.56,75.36,3.374
2014-02-26,75.46,76.16,75.31,75.78,3.933
2014-02-27,75.68,76.0,75.22,75.45,2.607
2014-02-28,75.45,76.14,74.25,74.71,4.705
2014-03-03,73.95,74.1,72.55,73.47,5.792
2014-03-04,74.5,74.7,73.87,73.88,4.624
2014-03-05,74.27,74.64,73.95,74.4,3.527
2014-03-06,74.1,75.38,74.03,75.34,3.215
2014-03-07,75.73,76.65,75.55,76.15,4.177
2014-03-10,75.87,75.94,74.72,74.87,2.468
2014-03-11,75.04,75.48,74.16,74.53,2.722
2014-03-12,74.02,74.25,73.08,73.8,2.41
2014-03-13,74.06,74.19,72.1,72.55,2.777
2014-03-14,72.01,72.89,71.18,71.27,3.474
2014-03-17,71.98,73.15,71.97,72.4,3.343
2014-03-18,72.78,73.43,72.7,73.33,1.962
2014-03-19,73.26,73.37,71.62,72.06,3.096
2014-03-20,72.02,72.98,71.89,72.77,1.731
2014-03-21,73.46,74.44,72.58,72.65,2.527
2014-03-24,73.06,73.42,71.71,72.68,2.57
2014-03-25,73.54,74.2,73.18,73.93,2.663
2014-03-26,74.51,74.61,72.97,72.98,2.554
2014-03-27,72.79,73.49,72.1,73.3,2.374
2014-03-28,73.46,74.51,73.31,74.23,1.706
2014-03-31,74.72,75.54,74.71,75.12,2.316
2014-04-01,74.77,75.8,74.59,75.77,2.587
2014-04-02,76.05,77.16,75.7,76.67,2.521
2014-04-03,77.0,77.62,76.67,77.02,2.75
2014-04-04,77.31,77.71,75.37,75.57,3.812
2014-04-07,75.19,75.36,72.99,73.39,3.326
2014-04-08,73.51,73.82,72.78,73.38,3.352
2014-04-09,73.5,74.84,73.38,74.79,2.354
2014-04-10,74.86,74.94,72.69,72.84,2.394
2014-04-11,72.59,72.59,70.56,70.92,4.13
2014-04-14,71.72,71.89,70.4,71.03,3.498
2014-04-15,71.07,71.93,70.26,71.89,3.16
2014-04-16,72.39,73.04,72.09,72.95,2.138
2014-04-17,73.53,74.26,72.99,73.82,2.757
2014-04-21,73.8,74.07,73.25,73.93,1.686
2014-04-22,73.99,74.89,73.82,74.43,1.662
2014-04-23,74.33,75.02,74.09,74.38,1.961
2014-04-24,74.71,75.32,74.06,74.96,2.032
2014-04-25,74.74,74.97,73.72,73.95,1.967
2014-04-28,74.1,75.05,73.46,74.5,3.172
2014-04-29,73.89,74.5,71.78,72.15,5.956
2014-04-30,72.08,72.99,71.31,72.64,3.968
2014-05-01,72.27,73.25,72.11,73.14,3.202
2014-05-02,72.92,73.69,72.72,72.86,2.735
2014-05-05,72.41,73.17,71.81,72.83,1.877
2014-05-06,72.57,72.8,72.19,72.37,2.317
2014-05-07,72.64,72.71,71.61,72.5,2.356
2014-05-08,72.46,73.05,71.65,71.92,2.947
2014-05-09,72.0,72.01,71.18,71.62,1.94
2014-05-12,72.17,73.31,72.03,73.04,2.389
2014-05-13,73.3,73.91,73.0,73.2,2.47
2014-05-14,73.34,73.45,72.59,72.74,1.503
2014-05-15,72.35,72.74,71.55,72.39,2.763
2014-05-16,72.71,72.76,71.59,72.21,3.957
2014-05-19,71.89,72.96,71.78,72.64,1.705
2014-05-20,72.53,72.74,71.72,72.09,2.35
2014-05-21,72.34,73.0,72.34,72.94,2.251
2014-05-22,73.01,73.97,72.74,73.3,1.97
2014-05-23,73.4,73.8,72.85,73.72,1.63
2014-05-27,74.0,74.95,73.75,74.26,1.945
2014-05-28,74.26,74.59,73.9,73.98,2.141
2014-05-29,74.23,74.46,73.55,74.03,1.619
2014-05-30,73.73,73.94,73.28,73.69,2.048
2014-06-02,73.75,73.93,72.95,73.6,1.777
2014-06-03,73.4,73.67,73.14,73.54,2.131
2014-06-04,73.44,73.67,73.1,73.38,1.808
2014-06-05,73.58,74.44,73.31,73.56,5.181
2014-06-06,73.81,74.89,73.65,74.89,2.589
2014-06-09,74.92,76.14,74.77,75.56,2.841
2014-06-10,75.4,75.55,74.83,75.15,1.53
2014-06-11,74.72,75.48,74.72,75.26,1.982
2014-06-12,75.39,75.56,74.74,74.93,2.86
2014-06-13,75.09,75.5,74.93,75.16,1.578
2014-06-16,74.99,76.23,74.98,75.82,2.217
2014-06-17,75.64,76.35,75.3,76.16,2.208
2014-06-18,76.14,76.68,75.64,76.59,1.958
2014-06-19,77.45,77.62,76.25,76.83,2.315
2014-06-20,77.06,77.74,76.69,77.56,4.811
2014-06-23,79.21,79.65,78.56,79.24,4.317
2014-06-24,78.86,79.08,77.32,77.46,2.998
2014-06-25,77.12,77.61,76.77,76.99,2.617
2014-06-26,77.05,77.07,76.21,76.97,2.107
2014-06-27,76.72,77.3,76.43,77.26,2.19
2014-06-30,77.07,77.33,76.67,77.18,2.187
2014-07-01,77.49,77.87,77.0,77.36,2.436
2014-07-02,77.37,78.35,77.33,77.6,2.747
2014-07-03,77.86,78.48,77.8,78.29,1.564
2014-07-07,78.08,78.58,77.35,78.45,2.797
2014-07-08,77.89,78.05,77.2,77.43,2.622
2014-07-09,78.05,78.33,77.55,77.9,2.04
2014-07-10,76.85,77.74,76.59,77.66,2.644
2014-07-11,77.7,78.0,77.1,77.82,1.869
2014-07-14,78.63,79.98,78.58,79.05,3.857
2014-07-15,79.21,79.43,78.04,78.62,2.791
2014-07-16,79.09,79.88,78.91,79.44,3.058
2014-07-17,79.15,79.35,78.11,78.25,1.986
2014-07-18,78.45,78.86,78.25,78.57,2.435
2014-07-21,77.79,78.05,77.01,77.92,3.528
2014-07-22,78.63,78.76,78.12,78.32,1.729
2014-07-23,78.5,78.62,77.66,78.03,1.715
2014-07-24,78.15,78.18,77.3,77.38,2.242
2014-07-25,77.1,77.64,77.02,77.47,2.405
2014-07-28,77.46,77.53,76.2,76.75,2.612
2014-07-29,75.04,75.11,70.16,70.51,10.518
2014-07-30,69.38,70.13,68.76,69.9,11.758
2014-07-31,68.91,69.24,67.76,67.92,6.088
2014-08-01,67.54,67.87,66.98,67.18,4.526
2014-08-04,67.58,67.97,66.86,67.68,4.326
2014-08-05,67.32,68.46,67.17,67.5,4.262
2014-08-06,66.8,67.15,66.57,66.76,4.947
2014-08-07,67.35,67.6,66.54,66.72,3.455
2014-08-08,67.0,67.76,66.98,67.71,3.21
2014-08-11,67.86,68.46,67.7,67.93,2.178
2014-08-12,67.8,68.19,67.72,67.96,2.101
2014-08-13,68.38,68.96,68.14,68.69,3.317
2014-08-14,68.78,68.87,68.32,68.57,2.5
2014-08-15,68.89,68.9,67.69,68.11,3.39
2014-08-18,68.52,69.02,68.51,69.0,3.311
2014-08-19,69.55,69.68,69.04,69.2,2.189
2014-08-20,68.92,70.52,68.92,70.4,3.674
2014-08-21,70.6,70.6,69.88,70.05,1.519
2014-08-22,69.91,70.1,69.64,69.81,2.038
2014-08-25,70.23,70.63,70.06,70.29,1.585
2014-08-26,70.56,70.69,70.0,70.0,1.839
2014-08-27,70.0,70.26,69.65,69.77,1.826
2014-08-28,69.8,69.8,69.01,69.57,1.768
2014-08-29,69.98,69.98,69.31,69.81,1.272
2014-09-02,70.0,70.49,69.72,70.27,1.937
2014-09-03,70.56,70.6,69.71,69.81,2.682
2014-09-04,69.81,70.34,69.3,69.37,2.199
2014-09-05,69.24,69.37,68.31,69.17,3.129
2014-09-08,68.98,69.47,68.7,68.85,1.56
2014-09-09,68.89,68.94,68.11,68.23,1.924
2014-09-10,68.26,68.4,67.81,68.1,2.167
2014-09-11,67.9,68.0,67.6,67.78,3.339
2014-09-12,67.8,67.8,67.01,67.09,2.836
2014-09-15,67.01,67.35,66.44,67.0,2.666
2014-09-16,66.77,66.92,65.87,66.71,3.621
2014-09-17,66.71,66.86,66.27,66.36,2.808
2014-09-18,66.64,66.92,66.45,66.56,2.701
2014-09-19,66.89,67.05,66.12,66.37,2.64
2014-09-22,66.17,66.24,64.78,65.07,3.67
2014-09-23,64.7,65.4,64.11,65.14,4.036
2014-09-24,65.02,65.81,64.9,65.63,3.102
2014-09-25,65.21,65.24,64.44,64.45,3.833
2014-09-26,64.65,65.41,64.44,65.31,2.891
2014-09-29,64.53,64.89,64.4,64.69,2.53
2014-09-30,64.76,64.9,62.84,63.37,5.353
2014-10-01,63.03,63.37,62.43,62.68,5.458
2014-10-02,62.0,62.58,60.38,62.04,6.621
2014-10-03,62.62,63.22,62.51,63.15,3.791
2014-10-06,63.27,63.8,62.83,63.41,2.843
2014-10-07,62.98,62.98,61.69,61.69,3.266
2014-10-08,61.82,62.86,60.94,62.81,3.74
2014-10-09,62.53,62.64,59.49,59.52,6.369
2014-10-10,59.38,59.64,58.46,58.92,5.006
2014-10-13,58.84,59.74,58.21,58.27,3.723
2014-10-14,59.05,60.33,58.78,59.05,4.859
2014-10-15,58.38,59.28,57.11,58.97,4.671
2014-10-16,57.83,60.55,57.71,59.92,3.941
2014-10-17,60.92,63.04,60.82,61.44,5.617
2014-10-20,60.97,61.19,60.37,61.1,2.708
2014-10-21,61.7,62.99,61.63,62.9,2.39
2014-10-22,62.91,63.0,61.02,61.1,3.12
2014-10-23,62.08,63.08,61.92,62.74,3.429
2014-10-24,62.73,63.09,62.47,63.06,1.842
2014-10-27,62.74,62.85,62.23,62.55,2.249
2014-10-28,63.21,64.78,63.19,64.78,3.388
2014-10-29,66.22,67.22,65.17,65.92,6.766
2014-10-30,65.51,67.23,65.48,66.77,3.688
2014-10-31,67.85,68.42,67.26,68.39,4.428
2014-11-03,68.37,68.68,67.8,68.43,3.956
2014-11-04,68.34,68.56,67.36,67.91,2.912
2014-11-05,68.76,68.88,67.7,68.32,2.737
2014-11-06,68.5,69.1,68.38,69.06,2.742
2014-11-07,68.89,69.31,68.41,69.17,3.087
2014-11-10,69.15,69.41,68.79,69.38,2.576
2014-11-11,69.03,69.35,68.26,68.44,2.346
2014-11-12,67.77,67.95,67.17,67.64,3.016
2014-11-13,67.7,67.79,66.17,66.5,3.354
2014-11-14,66.58,67.02,66.27,66.94,1.956
2014-11-17,66.88,67.29,66.51,67.08,1.632
2014-11-18,66.95,67.55,66.59,67.41,1.983
2014-11-19,67.37,67.37,66.59,66.84,1.568
2014-11-20,66.5,67.55,66.31,67.36,1.386
2014-11-21,68.23,69.07,68.15,68.39,2.515
2014-11-24,68.54,69.12,68.4,69.07,1.886
2014-11-25,68.97,69.6,68.8,69.47,2.778
2014-11-26,69.34,69.45,68.72,69.21,1.552
2014-11-28,68.92,69.27,67.28,67.83,1.915
2014-12-01,67.57,67.74,66.99,67.19,3.349
2014-12-02,67.39,68.58,67.25,68.5,3.489
2014-12-03,68.85,70.5,68.81,70.21,3.183
2014-12-04,69.75,69.85,68.92,69.48,1.766
2014-12-05,69.27,69.61,69.02,69.41,1.498
2014-12-08,69.25,69.5,67.89,67.92,2.825
2014-12-09,67.05,68.53,66.85,68.5,2.043
2014-12-10,68.21,68.31,66.59,66.81,2.448
2014-12-11,67.08,67.79,66.67,66.83,2.4
2014-12-12,66.02,66.27,64.69,64.72,3.349
2014-12-15,66.0,66.0,64.23,64.4,2.877
2014-12-16,64.07,65.91,64.03,65.17,3.473
2014-12-17,65.11,65.15,64.1,64.88,4.48
2014-12-18,65.82,67.46,65.82,67.45,3.148
2014-12-19,67.62,69.26,67.6,69.16,4.571
2014-12-22,69.61,69.99,68.51,69.07,2.897
2014-12-23,69.57,70.51,69.25,69.39,1.965
2014-12-24,69.56,69.77,69.16,69.3,0.735
2014-12-26,69.41,69.92,69.36,69.43,0.851
2014-12-29,69.15,69.5,69.0,69.34,1.422
2014-12-30,69.09,69.4,68.7,68.77,1.455
2014-12-31,69.12,69.23,67.93,67.96,1.217
2015-01-02,68.39,68.57,66.99,67.93,1.638
2015-01-05,67.11,67.14,64.95,65.12,3.206
2015-01-06,65.09,65.25,63.57,64.39,3.242
2015-01-07,65.31,65.57,64.35,64.58,3.121
2015-01-08,65.2,66.92,65.2,66.89,3.446
2015-01-09,67.09,67.24,65.85,66.06,2.811
2015-01-12,65.95,66.2,64.94,65.48,2.848
2015-01-13,65.75,66.59,64.64,65.46,3.576
2015-01-14,64.01,64.58,63.31,64.24,2.394
2015-01-15,64.53,64.66,63.58,64.07,3.636
2015-01-16,63.65,64.64,63.62,64.59,3.489
2015-01-20,64.89,64.97,64.25,64.8,3.265
2015-01-21,64.35,65.92,64.23,65.82,3.277
2015-01-22,66.6,67.91,66.14,67.68,3.463
2015-01-23,67.73,67.73,66.72,67.01,2.356
2015-01-26,66.72,67.12,66.07,66.82,1.95
2015-01-27,65.4,65.81,64.69,65.02,3.772
2015-01-28,65.34,65.51,63.52,63.61,3.197
2015-01-29,63.44,64.35,62.8,64.19,3.36
2015-01-30,63.53,64.1,63.07,63.09,3.912
2015-02-02,63.62,64.91,62.84,64.4,4.117
2015-02-03,67.89,70.33,67.42,69.79,7.275
2015-02-04,69.38,69.49,68.17,68.48,4.301
2015-02-05,68.73,69.58,68.73,69.22,2.553
2015-02-06,69.49,70.87,69.49,70.05,3.272
2015-02-09,69.55,70.72,69.54,70.14,2.08
2015-02-10,70.9,70.94,69.65,70.74,1.972
2015-02-11,70.36,70.74,69.95,70.33,2.025
2015-02-12,70.79,71.85,70.35,71.65,2.697
2015-02-13,71.63,72.71,71.45,72.55,3.119
2015-02-17,72.37,72.37,71.53,72.13,1.978
2015-02-18,72.08,72.78,71.73,72.29,1.656
2015-02-19,71.81,72.54,71.5,72.12,1.382
