Date,Open,High,Low,Close,Volume
2014-01-02,63.35,63.39,61.71,61.84,1.207
2014-01-03,61.05,61.46,60.64,61.03,1.748
2014-01-06,60.61,60.94,60.4,60.67,1.99
2014-01-07,60.83,61.3,60.67,61.25,1.497
2014-01-08,61.14,61.28,60.6,60.85,2.0
2014-01-09,61.03,61.09,60.52,60.52,1.629
2014-01-10,60.92,62.18,60.82,61.06,2.661
2014-01-13,61.23,61.45,60.55,60.62,1.988
2014-01-14,60.89,61.36,60.83,61.14,2.069
2014-01-15,61.27,61.44,60.67,61.16,2.0
2014-01-16,61.23,61.57,61.09,61.38,1.1
2014-01-17,61.6,61.77,61.31,61.61,0.933
2014-01-21,61.99,62.1,61.54,61.99,1.396
2014-01-22,62.15,62.49,61.34,61.55,1.804
2014-01-23,61.27,61.79,60.99,61.71,1.524
2014-01-24,61.5,62.35,61.15,61.28,1.298
2014-01-27,61.46,61.84,61.21,61.29,1.792
2014-01-28,61.25,61.66,60.87,61.12,1.674
2014-01-29,60.96,62.01,60.96,61.54,1.936
2014-01-30,61.76,63.38,61.55,63.17,2.623
2014-01-31,62.58,63.49,62.53,63.03,1.787
2014-02-03,63.23,63.92,62.61,62.72,1.894
2014-02-04,63.21,63.27,62.3,62.47,1.784
2014-02-05,62.42,62.87,62.01,62.58,1.958
2014-02-06,62.61,63.84,62.55,63.75,3.36
2014-02-07,63.81,63.9,63.19,63.56,1.547
2014-02-10,63.42,63.93,63.06,63.6,1.876
2014-02-11,63.43,63.52,61.67,62.58,2.935
2014-02-12,62.53,63.67,62.53,63.56,2.357
2014-02-13,63.22,64.58,63.22,64.43,2.326
2014-02-14,64.25,64.66,64.1,64.49,1.43
2014-02-18,64.52,65.18,64.43,64.91,1.945
2014-02-19,64.46,65.34,64.19,64.46,1.693
2014-02-20,64.45,65.3,64.45,65.05,1.379
2014-02-21,64.95,65.31,64.44,64.45,1.37
2014-02-24,64.86,65.05,64.12,64.12,0.944
2014-02-25,64.4,64.58,64.02,64.11,1.391
2014-02-26,64.71,64.79,64.01,64.07,0.77
2014-02-27,63.86,64.2,63.53,63.76,0.983
2014-02-28,63.89,64.16,63.63,63.82,1.536
2014-03-03,63.6,63.89,63.25,63.28,1.551
2014-03-04,63.71,63.76,63.22,63.44,1.771
2014-03-05,63.53,63.56,62.81,63.03,1.439
2014-03-06,63.1,63.36,62.13,62.38,1.406
2014-03-07,62.3,62.65,61.82,62.56,1.683
2014-03-10,62.48,62.65,62.07,62.25,1.509
2014-03-11,62.4,62.49,61.96,62.31,1.304
2014-03-12,62.17,63.0,62.09,63.0,1.571
2014-03-13,63.12,64.48,63.08,64.42,1.963
2014-03-14,64.25,64.93,64.1,64.58,1.39
2014-03-17,64.61,65.2,64.09,65.2,1.004
2014-03-18,65.27,65.45,65.0,65.01,0.94
2014-03-19,65.19,65.62,64.22,64.57,1.138
2014-03-20,64.4,64.75,63.87,64.75,1.166
2014-03-21,65.09,66.69,64.97,66.03,2.71
2014-03-24,66.2,66.63,65.83,66.07,1.56
2014-03-25,66.2,66.36,65.42,66.09,1.037
2014-03-26,66.12,66.22,65.67,65.77,0.844
2014-03-27,66.04,66.64,65.56,66.6,1.171
2014-03-28,66.68,66.81,66.12,66.65,0.918
2014-03-31,66.78,67.02,66.38,66.85,1.37
2014-04-01,66.81,67.16,66.51,67.06,1.418
2014-04-02,67.01,67.47,66.41,67.11,1.218
2014-04-03,67.17,68.14,66.82,68.1,1.749
2014-04-04,68.3,69.92,68.15,69.07,2.806
2014-04-07,69.0,69.78,68.87,69.14,1.72
2014-04-08,69.1,70.26,68.79,70.19,2.322
2014-04-09,70.45,71.12,69.59,70.28,2.965
2014-04-10,70.42,70.89,70.0,70.1,1.674
2014-04-11,70.1,71.0,70.1,70.35,1.809
2014-04-14,70.55,71.04,70.26,70.95,2.532
2014-04-15,72.23,72.58,71.24,71.97,3.796
2014-04-16,72.24,73.27,71.69,72.01,2.903
2014-04-17,72.09,72.43,71.07,71.26,1.861
2014-04-21,71.16,71.77,70.91,71.08,1.512
2014-04-22,71.06,71.42,70.64,71.02,1.896
2014-04-23,71.21,71.8,70.94,71.02,1.788
2014-04-24,71.4,71.58,70.35,71.42,2.013
2014-04-25,71.21,71.95,71.13,71.84,2.002
2014-04-28,71.9,73.03,71.66,72.82,2.954
2014-04-29,73.13,73.71,72.63,72.89,2.506
2014-04-30,73.2,73.92,72.46,72.5,2.865
2014-05-01,72.69,73.25,72.08,72.96,1.677
2014-05-02,72.67,72.97,71.68,72.24,1.606
2014-05-05,72.22,73.13,72.07,73.13,1.554
2014-05-06,73.21,73.72,73.0,73.13,2.154
2014-05-07,73.36,75.2,73.21,75.16,2.694
2014-05-08,74.98,75.07,74.33,74.79,2.723
2014-05-09,74.72,75.29,74.37,74.61,1.661
2014-05-12,74.7,75.04,74.07,74.38,2.813
2014-05-13,73.62,73.78,72.79,73.41,2.372
2014-05-14,73.46,74.29,73.35,74.27,2.114
2014-05-15,74.3,74.42,73.62,74.29,2.604
2014-05-16,74.18,74.62,74.01,74.52,1.461
2014-05-19,74.44,74.52,73.1,73.15,1.501
2014-05-20,73.15,73.76,73.07,73.49,1.455
2014-05-21,73.51,73.66,73.0,73.65,1.608
2014-05-22,73.46,74.35,73.42,74.04,1.606
2014-05-23,74.02,74.26,73.85,74.06,0.982
