Date,Open,High,Low,Close,Volume
2014-01-02,32.21,32.25,31.67,31.77,1.107
2014-01-03,32.14,32.14,31.73,31.9,1.858
2014-01-06,31.98,32.26,31.92,32.16,1.428
2014-01-07,32.32,32.72,32.27,32.67,1.307
2014-01-08,32.68,32.73,32.46,32.67,1.573
2014-01-09,32.84,32.99,32.72,32.96,0.953
2014-01-10,33.06,33.5,33.04,33.31,1.192
2014-01-13,33.23,33.38,32.94,33.02,0.62
2014-01-14,32.78,33.0,32.63,32.74,1.377
2014-01-15,32.74,32.78,32.46,32.52,1.192
2014-01-16,32.52,32.62,32.35,32.47,1.21
2014-01-17,32.47,32.65,32.45,32.56,0.744
2014-01-21,32.6,33.16,32.6,33.08,1.144
2014-01-22,33.0,33.3,32.99,33.2,0.945
2014-01-23,33.08,33.1,32.76,32.97,1.125
2014-01-24,32.91,32.93,32.49,32.5,0.926
2014-01-27,32.55,32.62,32.35,32.45,0.752
2014-01-28,32.49,32.53,32.36,32.52,0.531
2014-01-29,32.4,32.69,32.25,32.45,0.638
2014-01-30,32.57,32.99,32.51,32.89,0.419
2014-01-31,32.62,33.2,32.46,33.17,1.128
2014-02-03,33.23,33.49,32.45,32.5,1.503
2014-02-04,32.56,32.68,32.27,32.64,1.151
2014-02-05,32.59,32.6,32.38,32.38,0.578
2014-02-06,32.46,32.81,32.34,32.74,0.718
2014-02-07,32.86,33.11,32.75,33.08,0.658
2014-02-10,33.08,33.37,32.88,33.35,0.503
2014-02-11,33.31,33.73,33.26,33.58,0.35
2014-02-12,33.6,33.74,33.51,33.68,0.317
2014-02-13,33.58,34.18,33.53,34.13,0.635
2014-02-14,34.1,34.48,34.09,34.47,0.937
2014-02-18,34.5,34.69,34.37,34.66,0.824
2014-02-19,34.65,34.78,34.32,34.34,0.589
2014-02-20,34.31,34.73,34.27,34.68,0.388
2014-02-21,34.7,35.16,34.64,35.03,0.781
2014-02-24,35.13,35.24,34.7,34.73,0.529
2014-02-25,34.77,34.96,34.52,34.62,0.567
2014-02-26,34.8,34.92,34.38,34.53,0.936
2014-02-27,34.56,34.79,34.01,34.32,1.2
2014-02-28,33.83,34.59,33.51,34.22,0.992
2014-03-03,34.08,34.21,33.93,34.1,1.114
2014-03-04,34.37,34.53,34.31,34.49,0.824
2014-03-05,34.5,34.63,34.33,34.52,1.284
2014-03-06,34.24,34.24,33.77,33.88,0.921
2014-03-07,33.86,33.93,33.5,33.76,0.619
2014-03-10,33.73,33.9,33.57,33.63,0.534
2014-03-11,33.68,33.72,33.37,33.46,0.564
2014-03-12,33.35,34.0,33.3,34.0,0.698
2014-03-13,34.07,34.55,34.01,34.42,0.805
2014-03-14,34.42,34.74,34.35,34.45,0.62
2014-03-17,34.52,35.11,34.48,35.07,1.003
2014-03-18,35.1,35.16,34.88,34.92,0.756
2014-03-19,34.87,35.02,34.23,34.32,0.753
2014-03-20,34.0,34.2,33.77,34.08,1.091
2014-03-21,34.42,34.97,34.38,34.68,2.082
2014-03-24,34.79,35.1,34.55,34.87,0.579
2014-03-25,34.97,35.1,34.67,34.93,0.711
2014-03-26,35.09,35.15,34.56,34.56,0.606
2014-03-27,34.62,34.73,34.44,34.73,0.881
2014-03-28,34.68,34.86,34.6,34.8,0.418
2014-03-31,34.97,35.33,34.82,35.16,0.84
2014-04-01,35.16,35.2,34.76,34.8,1.136
2014-04-02,34.85,34.85,34.51,34.65,0.762
2014-04-03,34.74,34.91,34.64,34.69,0.754
2014-04-04,34.8,35.22,34.77,35.08,1.242
2014-04-07,35.05,35.25,34.97,34.97,0.777
2014-04-08,34.93,35.42,34.7,35.35,1.297
2014-04-09,35.5,35.5,34.71,35.14,0.964
2014-04-10,35.09,35.48,34.7,34.83,0.668
2014-04-11,34.83,35.07,34.65,34.79,0.544
2014-04-14,34.89,35.29,34.7,35.05,0.718
2014-04-15,35.05,35.67,35.05,35.65,1.163
2014-04-16,35.73,35.91,35.58,35.89,0.925
2014-04-17,35.75,36.01,35.4,35.62,0.979
2014-04-21,35.72,35.9,35.32,35.47,0.553
2014-04-22,35.48,35.57,35.16,35.52,0.774
2014-04-23,35.64,35.82,35.35,35.42,0.944
2014-04-24,35.41,35.92,35.26,35.7,1.248
2014-04-25,35.64,36.12,35.63,36.08,0.756
2014-04-28,36.15,36.35,35.84,36.04,1.014
2014-04-29,36.04,36.23,35.71,35.79,0.596
