Date,Open,High,Low,Close,Volume
2014-01-02,10.95,11.07,10.86,10.99,5.004
2014-01-03,11.01,11.27,11.0,11.21,7.961
2014-01-06,11.15,11.21,10.97,11.06,11.345
2014-01-07,11.06,11.25,11.05,11.21,5.432
2014-01-08,11.21,11.24,11.1,11.12,7.804
2014-01-09,11.15,11.41,11.07,11.4,5.395
2014-01-10,11.38,11.43,11.3,11.41,6.825
2014-01-13,11.37,11.59,11.37,11.46,6.086
2014-01-14,11.52,11.79,11.5,11.77,7.861
2014-01-15,11.74,12.25,11.65,11.98,16.347
2014-01-16,12.08,12.23,12.02,12.11,12.545
2014-01-17,12.15,12.16,11.37,11.42,23.621
2014-01-21,11.49,11.72,11.27,11.62,15.92
2014-01-22,11.66,11.68,11.36,11.37,13.621
2014-01-23,11.34,11.48,11.34,11.38,5.39
2014-01-24,11.34,11.51,11.3,11.47,10.12
2014-01-27,11.4,11.45,10.85,11.06,11.434
2014-01-28,11.09,11.15,10.98,11.05,5.804
2014-01-29,10.98,11.02,10.83,10.86,8.175
2014-01-30,10.98,11.0,10.84,10.91,5.415
2014-01-31,10.78,10.88,10.68,10.85,9.064
2014-02-03,10.88,10.91,10.51,10.69,13.936
2014-02-04,10.67,11.03,10.54,10.96,18.95
2014-02-05,10.9,11.31,10.9,11.09,12.043
2014-02-06,11.12,11.24,11.01,11.1,6.42
2014-02-07,11.14,11.31,11.14,11.16,6.622
2014-02-10,11.17,11.21,11.14,11.17,7.217
2014-02-11,11.15,11.18,11.08,11.16,6.097
2014-02-12,11.17,11.17,11.07,11.12,6.085
2014-02-13,11.09,11.25,11.04,11.2,6.432
2014-02-14,11.23,11.52,11.13,11.26,12.904
2014-02-18,11.28,11.32,11.09,11.27,6.607
2014-02-19,11.24,11.33,11.16,11.17,4.316
2014-02-20,11.16,11.37,11.12,11.35,4.528
2014-02-21,11.36,11.51,11.35,11.37,5.951
2014-02-24,11.37,11.6,11.37,11.48,5.49
2014-02-25,11.46,11.48,11.29,11.31,4.286
2014-02-26,11.31,11.43,11.26,11.31,3.548
2014-02-27,11.29,11.41,11.14,11.37,5.719
2014-02-28,11.37,11.81,11.36,11.63,9.092
2014-03-03,11.56,11.6,11.46,11.5,7.399
2014-03-04,11.58,11.74,11.53,11.73,6.295
2014-03-05,11.62,12.1,11.59,12.09,9.204
2014-03-06,12.07,12.37,11.97,12.05,11.376
2014-03-07,12.12,12.12,11.95,12.01,5.752
2014-03-10,12.15,12.23,12.1,12.18,9.08
2014-03-11,12.17,12.28,12.11,12.2,3.452
2014-03-12,12.16,12.33,12.09,12.31,4.153
2014-03-13,12.33,12.33,11.98,12.0,3.791
2014-03-14,11.98,12.14,11.95,12.02,6.277
2014-03-17,12.1,12.14,12.01,12.06,4.133
2014-03-18,12.08,12.23,12.07,12.15,3.218
2014-03-19,12.16,12.44,12.14,12.32,6.076
2014-03-20,12.3,12.34,12.09,12.17,4.174
2014-03-21,12.27,12.32,11.96,12.02,7.479
2014-03-24,12.06,12.11,11.72,11.82,6.927
2014-03-25,11.84,12.06,11.84,12.05,5.846
2014-03-26,12.13,12.29,12.08,12.19,6.58
2014-03-27,12.13,12.23,11.81,11.88,6.55
2014-03-28,11.88,12.0,11.72,11.86,15.146
2014-03-31,12.3,12.6,12.01,12.36,24.34
2014-04-01,12.46,12.5,12.24,12.37,4.501
2014-04-02,12.4,12.48,12.28,12.47,5.015
2014-04-03,12.49,12.56,12.38,12.53,7.041
2014-04-04,12.56,12.75,12.35,12.38,4.488
2014-04-07,12.34,12.37,12.22,12.28,6.41
2014-04-08,12.29,12.46,12.26,12.44,5.311
2014-04-09,12.48,12.53,12.35,12.5,8.126
2014-04-10,12.42,12.58,12.35,12.42,8.834
2014-04-11,12.36,12.39,12.13,12.16,8.926
2014-04-14,13.65,14.07,13.45,13.5,43.351
2014-04-15,13.55,13.65,13.02,13.45,11.867
2014-04-16,13.49,13.54,13.2,13.4,7.136
2014-04-17,13.34,13.61,13.21,13.55,12.8
2014-04-21,13.56,13.61,12.86,13.19,14.884
2014-04-22,13.19,13.4,13.11,13.29,8.95
2014-04-23,13.29,13.4,13.23,13.32,6.356
2014-04-24,13.4,13.41,13.09,13.38,5.718
2014-04-25,13.28,13.67,13.14,13.42,8.208
2014-04-28,13.46,13.57,13.34,13.53,4.78
2014-04-29,13.58,13.65,13.48,13.55,4.969
2014-04-30,13.57,13.64,13.48,13.58,5.759
2014-05-01,13.55,13.79,13.53,13.74,6.034
2014-05-02,13.71,13.76,13.62,13.72,3.627
2014-05-05,13.62,13.99,13.61,13.99,6.001
2014-05-06,13.82,13.93,13.78,13.88,4.051
2014-05-07,13.89,13.97,13.78,13.96,4.997
2014-05-08,13.98,14.12,13.89,13.98,4.648
2014-05-09,13.97,14.25,13.89,14.23,5.089
2014-05-12,14.27,14.39,14.26,14.36,3.175
2014-05-13,14.39,14.42,14.25,14.35,2.977
2014-05-14,14.35,14.4,14.27,14.34,2.824
2014-05-15,14.33,14.43,14.27,14.31,7.952
2014-05-16,14.31,14.46,14.28,14.34,4.277
2014-05-19,14.29,14.44,14.26,14.41,4.375
2014-05-20,14.51,14.51,14.01,14.19,10.543
2014-05-21,14.3,14.4,13.99,14.16,6.698
2014-05-22,14.18,14.2,13.5,13.57,13.255
2014-05-23,13.62,13.64,13.26,13.46,11.369
2014-05-27,13.49,13.55,13.14,13.25,11.555
2014-05-28,13.31,13.45,13.16,13.39,9.634
2014-05-29,13.46,13.56,13.4,13.42,3.586
