Date,Open,High,Low,Close,Volume
2014-01-02,19.59,19.67,19.37,19.38,6.985
2014-01-03,19.19,19.24,18.87,18.99,14.239
2014-01-06,18.98,19.16,18.94,19.11,10.398
2014-01-07,19.24,19.26,19.04,19.21,9.878
2014-01-08,19.25,19.32,19.09,19.17,8.16
2014-01-09,19.17,19.33,19.12,19.28,7.916
2014-01-10,19.37,19.68,19.33,19.38,7.84
2014-01-13,19.36,19.39,19.17,19.24,6.173
2014-01-14,19.25,19.43,19.15,19.18,7.606
2014-01-15,19.18,19.32,19.06,19.09,6.633
2014-01-16,19.17,19.57,19.12,19.55,7.36
2014-01-17,19.6,19.65,19.3,19.4,6.394
2014-01-21,19.45,19.81,19.43,19.81,10.385
2014-01-22,19.76,20.09,19.73,20.06,10.799
2014-01-23,19.96,20.26,19.91,20.2,12.266
2014-01-24,20.12,20.8,20.11,20.16,19.305
2014-01-27,20.29,20.29,20.03,20.11,11.602
2014-01-28,20.25,20.27,19.9,20.04,8.325
2014-01-29,20.01,20.16,19.94,20.11,8.56
2014-01-30,20.19,20.74,20.14,20.68,13.984
2014-01-31,20.54,20.91,20.53,20.68,14.598
2014-02-03,20.77,20.97,20.47,20.66,20.165
2014-02-04,20.83,20.86,20.56,20.62,13.156
2014-02-05,20.52,20.74,20.38,20.58,13.923
2014-02-06,20.55,21.31,20.55,21.03,19.296
2014-02-07,21.18,21.18,20.74,21.0,12.314
2014-02-10,20.93,21.08,20.85,20.97,9.997
2014-02-11,20.92,21.13,20.78,21.02,10.667
2014-02-12,20.8,20.81,20.53,20.64,7.646
2014-02-13,20.6,21.11,20.58,20.97,13.682
2014-02-14,20.93,21.26,20.87,21.21,9.988
2014-02-18,21.23,21.53,21.14,21.43,12.045
2014-02-19,21.37,21.63,21.22,21.37,9.839
2014-02-20,21.36,21.6,21.21,21.56,8.677
2014-02-21,21.58,21.9,21.47,21.7,11.754
2014-02-24,21.7,22.08,21.66,21.68,14.485
2014-02-25,21.65,21.93,21.53,21.65,8.006
2014-02-26,21.71,21.86,21.64,21.7,5.092
2014-02-27,21.65,21.74,21.37,21.52,8.496
2014-02-28,21.6,21.81,21.58,21.69,6.388
2014-03-03,21.57,21.64,21.41,21.42,5.231
2014-03-04,21.59,21.75,21.42,21.68,7.579
2014-03-05,21.69,21.75,21.53,21.6,5.5
2014-03-06,21.54,21.68,21.12,21.26,9.989
2014-03-07,21.17,21.28,20.78,21.27,11.255
2014-03-10,21.26,21.37,21.11,21.31,6.055
2014-03-11,21.5,21.5,21.17,21.28,4.23
2014-03-12,21.22,21.53,21.17,21.53,4.643
2014-03-13,21.52,21.88,21.5,21.76,6.674
2014-03-14,21.7,22.02,21.64,21.85,7.203
2014-03-17,21.92,22.15,21.77,22.13,7.941
2014-03-18,22.18,22.3,22.05,22.22,5.84
2014-03-19,22.25,22.49,22.04,22.15,12.237
2014-03-20,22.06,22.43,21.81,22.38,10.4
2014-03-21,23.25,23.45,22.77,23.22,19.887
2014-03-24,23.22,23.52,23.2,23.49,13.151
2014-03-25,23.47,23.56,23.16,23.49,9.086
2014-03-26,23.49,23.54,22.87,23.14,14.598
2014-03-27,23.15,23.47,22.93,23.41,8.698
2014-03-28,23.37,23.77,23.27,23.74,10.096
2014-03-31,23.82,24.21,23.77,23.94,10.912
2014-04-01,23.97,24.02,23.62,23.89,6.132
2014-04-02,23.89,24.08,23.7,23.9,10.868
2014-04-03,23.94,24.16,23.82,24.09,7.533
2014-04-04,24.13,24.88,24.09,24.59,17.295
2014-04-07,24.57,24.99,24.57,24.74,11.597
2014-04-08,24.62,25.36,24.49,25.35,15.602
2014-04-09,25.38,25.5,24.86,25.17,14.122
2014-04-10,25.21,25.43,24.94,25.03,8.47
2014-04-11,24.99,25.19,24.96,25.08,8.437
2014-04-14,25.07,25.2,25.01,25.17,10.479
2014-04-15,25.28,25.68,25.24,25.68,10.175
2014-04-16,25.61,25.86,25.51,25.85,5.057
2014-04-17,25.76,25.91,25.53,25.72,9.087
2014-04-21,25.67,25.97,25.51,25.63,5.77
2014-04-22,25.6,25.75,25.43,25.6,6.025
2014-04-23,25.67,25.99,25.56,25.61,6.574
2014-04-24,25.71,25.84,25.46,25.68,8.321
2014-04-25,25.68,25.89,25.61,25.86,7.16
2014-04-28,25.9,26.11,25.84,26.04,6.917
2014-04-29,25.99,26.07,25.66,25.81,10.601
2014-04-30,24.41,25.22,24.41,24.99,31.544
2014-05-01,25.29,25.82,25.22,25.67,20.644
2014-05-02,25.66,25.88,25.22,25.56,14.184
2014-05-05,25.51,25.95,25.44,25.85,8.606
2014-05-06,26.08,26.1,25.66,25.71,12.162
2014-05-07,25.66,26.28,25.66,26.22,9.93
2014-05-08,26.15,26.17,25.78,26.02,7.066
2014-05-09,26.01,26.19,25.81,25.82,9.175
2014-05-12,25.86,25.96,25.21,25.25,10.343
2014-05-13,25.36,25.51,25.23,25.41,9.294
2014-05-14,25.25,25.31,24.77,24.82,11.407
2014-05-15,24.84,24.91,24.62,24.64,9.343
2014-05-16,24.63,24.67,24.44,24.51,12.655
2014-05-19,24.49,24.61,24.18,24.23,10.374
2014-05-20,24.2,24.4,24.09,24.17,9.32
2014-05-21,24.2,24.22,23.89,24.18,10.841
2014-05-22,24.13,24.51,24.08,24.39,8.287
2014-05-23,24.3,24.56,24.28,24.36,7.559
2014-05-27,24.73,25.64,24.72,25.24,19.137
2014-05-28,25.06,25.73,25.06,25.67,15.739
2014-05-29,25.74,26.11,25.6,25.72,18.553
2014-05-30,25.76,26.28,25.72,26.27,11.535
2014-06-02,26.12,26.19,25.91,26.11,8.256
2014-06-03,26.13,26.57,26.03,26.53,10.627
2014-06-04,26.45,26.6,26.32,26.58,7.485
2014-06-05,26.46,26.79,26.46,26.72,16.734
2014-06-06,26.75,26.91,26.63,26.68,7.139
2014-06-09,26.58,26.71,26.41,26.45,7.383
2014-06-10,26.52,26.68,26.43,26.5,6.316
2014-06-11,25.74,26.35,25.48,25.5,21.538
2014-06-12,24.99,25.21,24.83,25.01,62.26
2014-06-13,25.02,25.56,24.87,25.48,22.954
2014-06-16,25.62,26.03,25.56,25.76,22.608
2014-06-17,25.84,26.03,25.78,25.88,16.439
2014-06-18,25.85,26.33,25.85,26.28,12.775
2014-06-19,26.35,26.58,26.32,26.51,11.454
2014-06-20,26.53,26.55,26.13,26.22,11.185
2014-06-23,26.36,26.44,25.64,25.88,9.898
2014-06-24,25.83,25.91,25.74,25.83,10.679
2014-06-25,25.78,25.94,25.69,25.83,7.685
2014-06-26,25.9,25.97,25.66,25.76,8.485
2014-06-27,25.65,25.91,25.65,25.88,6.703
