Date,Open,High,Low,Close,Volume
2014-01-02,44.31,44.48,43.34,43.49,0.783
2014-01-03,43.39,43.65,43.12,43.25,0.753
2014-01-06,43.47,43.64,42.81,42.82,1.004
2014-01-07,43.0,43.57,42.96,43.28,1.066
2014-01-08,43.24,43.29,42.82,42.99,0.882
2014-01-09,43.21,43.21,42.41,43.01,0.981
2014-01-10,43.13,43.82,42.86,43.61,1.093
2014-01-13,44.19,45.69,43.98,44.22,2.834
2014-01-14,43.4,43.98,43.03,43.79,1.919
2014-01-15,43.8,44.16,43.45,43.94,1.272
2014-01-16,43.93,44.03,43.53,44.0,0.89
2014-01-17,43.79,44.05,43.64,43.77,1.403
2014-01-21,44.07,44.27,43.56,44.0,0.844
2014-01-22,44.0,44.25,43.81,44.15,0.538
2014-01-23,43.82,44.09,43.34,43.59,0.545
2014-01-24,43.31,43.31,42.0,42.0,1.191
2014-01-27,42.1,42.2,41.09,41.49,1.576
2014-01-28,41.5,41.96,41.38,41.52,0.76
2014-01-29,41.32,41.68,40.97,41.0,0.992
2014-01-30,41.24,41.65,41.0,41.22,1.023
2014-01-31,40.56,41.36,40.54,40.86,1.356
2014-02-03,40.84,41.26,40.27,40.29,1.881
2014-02-04,40.55,40.83,39.88,40.54,1.944
2014-02-05,40.15,40.49,39.91,40.4,1.638
2014-02-06,40.4,40.48,40.02,40.12,1.468
2014-02-07,40.39,40.69,40.2,40.66,1.337
2014-02-10,40.57,40.94,40.4,40.92,1.062
2014-02-11,40.91,41.91,40.8,41.6,1.48
2014-02-12,41.73,41.96,41.41,41.61,0.922
2014-02-13,41.38,41.9,41.33,41.77,0.816
2014-02-14,41.57,42.01,41.47,41.86,0.759
2014-02-18,41.88,42.11,41.68,41.87,0.825
2014-02-19,41.69,41.83,41.06,41.15,1.16
2014-02-20,41.37,41.88,41.02,41.7,0.922
2014-02-21,41.71,41.94,41.43,41.58,0.994
2014-02-24,42.5,42.77,42.0,42.01,2.156
2014-02-25,41.91,41.91,38.7,39.06,4.91
2014-02-26,38.82,39.38,38.72,39.02,4.614
2014-02-27,38.97,39.4,38.82,39.18,2.542
2014-02-28,39.29,39.7,39.02,39.51,2.185
2014-03-03,39.29,39.71,39.1,39.43,1.812
2014-03-04,39.59,40.28,39.43,39.5,2.567
2014-03-05,39.49,39.61,39.31,39.59,1.293
2014-03-06,39.6,39.94,39.35,39.54,2.113
2014-03-07,39.72,39.96,39.45,39.82,2.218
2014-03-10,39.36,39.76,38.99,39.7,2.154
2014-03-11,39.66,40.0,39.45,39.68,1.733
2014-03-12,39.52,40.27,39.32,40.26,1.604
2014-03-13,40.19,40.36,39.73,39.78,1.77
2014-03-14,39.57,39.82,38.84,38.98,2.632
2014-03-17,39.27,39.56,38.74,38.89,1.72
2014-03-18,38.94,39.07,38.78,38.8,1.101
2014-03-19,38.96,38.97,38.42,38.74,2.103
2014-03-20,38.71,38.79,38.43,38.78,1.956
2014-03-21,39.09,39.09,38.51,38.95,5.644
2014-03-24,38.96,39.22,38.55,39.1,2.257
2014-03-25,39.2,39.55,39.03,39.23,0.999
2014-03-26,39.29,39.6,38.66,38.68,0.979
2014-03-27,38.62,38.83,38.48,38.64,1.053
2014-03-28,38.66,39.43,38.62,39.21,0.803
2014-03-31,39.38,39.82,39.22,39.63,1.499
2014-04-01,39.67,39.77,39.25,39.73,1.302
2014-04-02,39.67,39.99,39.32,39.92,1.324
2014-04-03,40.0,40.39,39.93,40.25,1.072
2014-04-04,40.37,40.5,39.33,39.44,1.138
2014-04-07,39.37,39.69,39.14,39.42,1.184
2014-04-08,39.48,40.01,39.29,39.76,1.312
2014-04-09,39.8,40.02,39.45,39.99,1.19
2014-04-10,39.9,39.97,38.86,38.87,1.366
2014-04-11,38.58,39.1,38.57,38.9,1.118
2014-04-14,39.28,39.41,38.63,38.71,1.548
2014-04-15,38.77,39.41,38.54,39.34,1.919
2014-04-16,39.65,39.89,39.24,39.41,1.228
2014-04-17,39.51,40.2,39.36,40.01,1.636
2014-04-21,39.89,40.62,39.83,40.58,1.583
2014-04-22,40.66,40.66,40.16,40.23,1.33
2014-04-23,40.21,40.64,39.94,40.41,0.81
2014-04-24,40.59,40.83,40.33,40.61,0.966
2014-04-25,40.54,40.6,39.92,40.05,0.643
2014-04-28,40.13,40.74,40.04,40.59,2.325
2014-04-29,40.71,41.0,40.44,40.63,1.859
2014-04-30,40.45,41.32,40.29,41.24,1.825
2014-05-01,41.3,41.46,40.86,41.33,1.248
2014-05-02,41.55,41.62,41.2,41.2,0.929
2014-05-05,40.86,41.4,40.61,41.2,0.913
2014-05-06,41.09,41.32,40.86,41.25,1.573
2014-05-07,41.36,41.72,40.98,41.54,1.283
2014-05-08,41.74,44.43,41.53,43.42,3.39
2014-05-09,43.26,43.44,42.88,43.32,1.468
2014-05-12,43.37,44.13,43.35,43.86,1.428
2014-05-13,43.8,44.69,43.69,44.6,1.74
2014-05-14,44.5,44.72,44.28,44.66,1.555
2014-05-15,44.54,45.99,44.31,45.93,3.194
2014-05-16,46.0,46.8,45.9,46.26,4.501
2014-05-19,46.14,46.71,46.03,46.18,2.543
2014-05-20,46.02,46.14,45.47,45.59,2.674
2014-05-21,45.8,46.0,45.19,45.45,1.648
2014-05-22,45.47,45.78,45.37,45.67,1.273
2014-05-23,45.7,45.94,45.5,45.89,1.054
2014-05-27,46.0,46.0,45.37,45.66,1.475
2014-05-28,45.63,46.0,45.33,45.95,1.779
2014-05-29,45.62,45.75,45.1,45.46,1.47
2014-05-30,45.38,45.69,45.21,45.51,1.273
2014-06-02,45.58,45.9,45.48,45.88,1.003
2014-06-03,45.76,45.83,45.31,45.33,0.917
2014-06-04,45.27,45.59,45.27,45.55,1.077
2014-06-05,46.17,46.17,45.15,45.72,1.698
2014-06-06,45.93,46.12,45.78,46.0,2.429
2014-06-09,46.06,46.06,45.78,45.86,1.526
2014-06-10,45.6,45.89,45.54,45.57,1.195
2014-06-11,45.55,45.59,45.09,45.17,1.566
2014-06-12,45.08,45.18,44.51,44.62,1.238
2014-06-13,44.78,45.0,44.34,44.67,1.644
2014-06-16,44.69,44.96,44.5,44.59,0.948
2014-06-17,44.48,44.73,44.16,44.34,1.199
2014-06-18,44.38,44.69,44.17,44.57,1.17
2014-06-19,44.42,44.89,44.23,44.64,1.517
2014-06-20,44.59,44.95,44.29,44.49,3.559
2014-06-23,44.63,44.63,44.01,44.34,0.868
2014-06-24,44.31,44.68,43.94,43.96,1.055
2014-06-25,44.02,44.36,43.89,44.02,0.931
2014-06-26,44.01,44.12,43.68,44.09,0.75
2014-06-27,44.02,44.14,43.78,44.11,1.251
2014-06-30,44.13,44.27,43.78,44.16,0.883
2014-07-01,44.16,44.89,44.0,44.53,0.937
2014-07-02,44.35,44.76,44.28,44.54,0.704
2014-07-03,44.51,44.93,44.45,44.84,0.566
