Date,Open,High,Low,Close,Volume
2014-01-02,42.09,42.15,41.48,41.79,0.491
2014-01-03,41.77,42.19,41.55,42.09,0.604
2014-01-06,42.08,42.31,41.8,42.27,0.759
2014-01-07,42.28,42.49,41.85,42.14,0.62
2014-01-08,42.11,42.23,41.66,41.97,0.693
2014-01-09,42.14,42.54,41.99,42.49,0.742
2014-01-10,42.75,43.58,42.34,43.57,0.956
2014-01-13,43.54,43.68,43.2,43.3,0.828
2014-01-14,43.4,43.99,43.32,43.97,0.627
2014-01-15,44.66,44.81,44.35,44.65,1.244
2014-01-16,44.54,44.69,44.22,44.38,0.543
2014-01-17,44.27,44.37,43.96,43.98,0.732
2014-01-21,44.25,44.57,43.84,44.12,1.136
2014-01-22,44.28,44.46,43.88,43.91,0.382
2014-01-23,43.6,44.16,43.51,44.03,0.716
2014-01-24,43.66,43.85,43.33,43.6,0.734
2014-01-27,43.7,43.98,43.53,43.65,0.758
2014-01-28,43.82,44.7,43.82,44.65,0.96
2014-01-29,44.44,44.7,44.34,44.64,0.928
2014-01-30,44.85,45.42,44.85,45.35,0.788
2014-01-31,44.84,45.89,44.74,45.66,1.04
2014-02-03,45.69,45.83,44.31,44.39,1.366
2014-02-04,44.43,45.67,44.31,45.38,1.662
2014-02-05,45.3,45.44,44.98,45.29,0.591
2014-02-06,45.37,45.86,45.16,45.59,0.564
2014-02-07,45.85,46.06,45.5,46.02,0.742
2014-02-10,46.03,46.98,45.91,46.91,0.592
2014-02-11,46.79,47.26,46.77,47.13,0.565
2014-02-12,47.1,47.24,46.69,47.13,0.728
2014-02-13,46.9,47.5,46.78,47.38,0.915
2014-02-14,47.34,47.49,46.94,47.2,0.609
2014-02-18,47.45,47.53,46.97,47.49,0.476
2014-02-19,47.36,47.9,47.36,47.5,0.936
2014-02-20,47.53,47.83,46.9,47.45,0.959
2014-02-21,47.39,48.39,46.36,47.61,1.716
2014-02-24,47.26,47.81,47.26,47.55,1.107
2014-02-25,47.7,48.19,47.41,47.77,1.249
2014-02-26,48.01,48.46,47.87,48.32,1.025
2014-02-27,48.35,48.7,47.9,48.02,0.575
2014-02-28,48.0,49.23,48.0,49.1,1.18
2014-03-03,48.76,48.96,48.15,48.73,0.551
2014-03-04,49.19,49.64,49.06,49.61,0.643
2014-03-05,49.72,50.1,49.39,49.62,0.851
2014-03-06,49.75,49.76,49.05,49.15,0.54
2014-03-07,49.37,49.38,48.01,48.23,1.218
2014-03-10,48.25,48.4,48.0,48.26,0.944
2014-03-11,48.33,49.27,48.2,49.25,1.359
2014-03-12,48.78,49.23,48.62,49.22,1.18
2014-03-13,49.43,49.43,49.01,49.12,0.727
2014-03-14,48.99,49.67,48.99,49.26,0.491
2014-03-17,49.11,49.32,48.39,48.49,0.615
2014-03-18,48.46,48.7,48.21,48.55,0.511
2014-03-19,48.7,48.89,47.23,47.55,0.787
2014-03-20,47.64,47.76,47.17,47.41,0.822
2014-03-21,47.51,48.28,47.49,48.0,1.292
2014-03-24,48.13,48.42,47.12,47.6,0.572
2014-03-25,47.84,48.18,47.46,47.91,0.497
2014-03-26,48.13,48.23,47.46,47.55,0.462
2014-03-27,47.45,47.75,47.15,47.6,0.346
2014-03-28,47.61,48.27,47.61,48.0,0.312
2014-03-31,48.22,48.69,47.72,48.51,0.422
2014-04-01,48.77,49.49,48.37,49.45,0.691
2014-04-02,49.3,49.6,48.66,48.92,1.115
2014-04-03,48.42,48.7,48.2,48.38,0.984
2014-04-04,48.72,48.94,47.93,48.25,0.531
2014-04-07,48.3,48.75,47.89,48.0,1.02
2014-04-08,48.01,48.17,47.57,48.02,1.024
2014-04-09,48.08,48.43,47.84,48.24,0.769
2014-04-10,48.92,48.98,48.01,48.16,0.73
2014-04-11,48.02,48.41,47.67,47.67,0.772
2014-04-14,47.87,48.56,47.77,48.52,0.759
2014-04-15,48.51,49.35,48.51,49.26,0.8
2014-04-16,49.51,49.88,49.28,49.79,1.07
2014-04-17,49.59,49.99,49.45,49.97,0.86
2014-04-21,49.95,50.32,49.78,50.27,0.641
2014-04-22,50.32,50.78,50.19,50.66,0.645
2014-04-23,50.66,50.66,50.16,50.44,1.026
2014-04-24,50.57,50.85,50.37,50.82,0.529
2014-04-25,50.77,50.81,50.43,50.5,0.593
2014-04-28,50.8,51.03,50.65,50.93,0.979
2014-04-29,52.9,52.99,51.24,51.46,1.523
2014-04-30,51.45,52.4,51.26,52.33,0.936
2014-05-01,52.44,52.44,51.52,52.11,0.645
2014-05-02,52.0,52.25,51.62,52.14,0.562
2014-05-05,51.54,51.91,51.24,51.69,0.956
2014-05-06,51.53,51.73,51.14,51.45,0.495
2014-05-07,51.74,52.08,51.5,51.97,0.599
2014-05-08,51.52,52.02,51.25,51.43,0.809
2014-05-09,51.41,51.76,51.21,51.56,0.394
2014-05-12,51.84,52.06,51.63,52.05,0.406
2014-05-13,51.98,52.41,51.3,51.33,0.49
2014-05-14,51.27,51.43,51.0,51.19,0.589
2014-05-15,51.18,51.25,50.68,51.24,0.51
2014-05-16,51.13,51.89,50.9,51.87,0.433
2014-05-19,51.84,52.16,51.59,52.13,0.544
2014-05-20,52.13,52.4,51.75,52.01,0.431
2014-05-21,52.22,52.33,51.78,51.82,0.364
2014-05-22,51.84,52.28,51.58,51.62,0.805
2014-05-23,51.82,52.09,51.61,51.96,0.593
2014-05-27,52.23,52.77,52.19,52.71,0.524
2014-05-28,52.68,52.8,51.77,52.26,0.545
2014-05-29,52.48,52.48,52.16,52.31,0.236
2014-05-30,52.21,52.63,52.1,52.35,0.74
2014-06-02,52.41,52.72,52.13,52.5,0.57
2014-06-03,52.34,52.55,52.2,52.37,0.436
2014-06-04,52.28,52.8,52.28,52.68,0.506
2014-06-05,52.92,54.19,52.86,54.12,0.853
2014-06-06,54.27,54.27,53.33,53.63,0.574
2014-06-09,53.6,53.76,53.21,53.61,1.309
2014-06-10,53.39,53.62,53.02,53.48,1.413
2014-06-11,53.0,53.2,52.68,53.19,0.68
2014-06-12,53.01,53.12,52.45,52.82,0.506
2014-06-13,52.97,53.16,52.45,53.14,0.488
2014-06-16,52.99,53.11,52.05,52.49,0.833
2014-06-17,52.55,52.97,52.39,52.87,0.737
2014-06-18,53.0,53.5,52.83,53.31,0.882
2014-06-19,53.52,54.3,53.19,54.28,0.646
2014-06-20,54.06,54.44,53.82,54.17,1.072
2014-06-23,54.12,54.32,53.42,53.5,1.014
2014-06-24,53.57,53.65,53.25,53.38,0.605
2014-06-25,53.38,53.57,53.01,53.19,0.652
2014-06-26,53.11,53.32,52.85,53.22,0.501
2014-06-27,53.06,53.77,52.93,53.35,2.225
2014-06-30,53.52,53.71,52.88,53.25,1.379
2014-07-01,53.43,54.03,53.14,53.45,1.145
2014-07-02,53.46,53.69,53.1,53.44,0.477
2014-07-03,53.45,53.45,52.71,53.14,0.283
2014-07-07,53.14,53.5,53.03,53.06,0.488
2014-07-08,53.08,53.34,52.94,53.03,0.416
2014-07-09,53.17,53.26,52.65,52.97,0.536
2014-07-10,52.71,53.26,52.56,53.02,0.436
2014-07-11,53.12,53.24,52.63,53.0,0.574
2014-07-14,53.2,53.56,53.02,53.54,0.499
2014-07-15,53.55,53.68,52.94,53.27,0.503
2014-07-16,53.25,53.58,52.81,53.18,0.789
2014-07-17,53.13,53.22,52.77,52.87,0.393
2014-07-18,53.08,53.77,53.08,53.75,0.374
2014-07-21,53.59,53.7,53.25,53.27,0.349
2014-07-22,53.61,53.8,53.33,53.49,0.685
2014-07-23,53.62,53.83,53.36,53.55,0.449
2014-07-24,53.67,53.81,53.4,53.61,0.852
2014-07-25,53.37,53.64,53.0,53.01,0.523
2014-07-28,53.02,53.47,52.99,53.22,0.622
2014-07-29,53.26,53.26,52.84,52.94,0.66
2014-07-30,53.08,53.29,52.65,53.04,0.613
2014-07-31,52.89,52.96,51.35,51.73,0.861
2014-08-01,51.74,52.37,51.49,51.99,0.986
2014-08-04,52.03,52.18,51.51,52.05,0.379
2014-08-05,51.99,52.37,51.67,51.75,0.585
2014-08-06,51.67,52.21,51.55,52.02,0.594
2014-08-07,52.28,52.57,51.96,52.16,0.586
2014-08-08,52.4,52.68,52.02,52.66,0.545
2014-08-11,52.75,53.36,52.69,53.19,0.711
2014-08-12,53.04,53.72,53.0,53.32,1.238
2014-08-13,53.52,54.03,53.52,53.9,0.488
2014-08-14,54.0,54.17,53.68,53.94,0.422
2014-08-15,54.21,54.43,53.7,53.85,0.782
2014-08-18,54.26,54.4,53.92,54.35,0.623
2014-08-19,54.31,54.53,54.1,54.43,0.412
2014-08-20,54.43,54.87,54.02,54.59,0.637
2014-08-21,54.51,54.78,54.07,54.07,0.434
2014-08-22,54.13,54.13,53.35,53.42,0.482
2014-08-25,53.71,53.71,52.39,52.64,1.438
2014-08-26,52.73,53.08,52.52,52.72,0.393
2014-08-27,52.74,53.06,52.63,52.74,0.315
2014-08-28,52.73,52.93,52.61,52.72,0.341
2014-08-29,52.74,52.96,52.69,52.7,0.686
2014-09-02,52.72,53.43,52.72,53.37,0.63
2014-09-03,53.43,53.9,53.32,53.83,0.592
2014-09-04,53.88,53.99,53.51,53.71,0.458
2014-09-05,53.8,54.34,53.77,54.32,0.478
2014-09-08,54.32,54.5,53.84,54.31,0.522
2014-09-09,54.26,54.39,53.65,53.96,0.506
2014-09-10,53.76,53.81,52.94,53.17,0.707
2014-09-11,52.67,52.93,52.36,52.6,0.432
2014-09-12,52.43,52.44,50.61,50.7,0.948
2014-09-15,50.56,50.87,50.11,50.3,0.869
2014-09-16,50.39,51.42,50.39,51.2,0.902
2014-09-17,51.87,52.3,51.51,51.75,0.98
2014-09-18,51.76,52.1,51.36,51.48,1.366
2014-09-19,51.59,51.71,51.37,51.45,1.219
2014-09-22,51.36,51.38,51.03,51.08,0.668
2014-09-23,51.01,51.28,50.85,50.94,0.592
2014-09-24,50.85,51.38,50.68,50.87,0.638
2014-09-25,50.85,50.98,50.29,50.65,0.628
2014-09-26,50.75,51.71,50.72,51.54,0.758
2014-09-29,51.28,51.79,50.97,51.77,0.66
2014-09-30,51.85,52.05,51.36,51.57,0.552
2014-10-01,51.51,52.01,51.23,51.42,0.738
2014-10-02,51.48,51.79,51.1,51.69,0.519
2014-10-03,52.0,52.0,51.36,51.7,0.428
2014-10-06,51.72,52.25,51.72,52.02,0.786
2014-10-07,51.76,52.19,51.56,51.58,0.575
2014-10-08,51.68,52.89,51.57,52.82,0.586
2014-10-09,52.83,53.67,52.68,53.18,0.804
2014-10-10,53.29,53.93,53.19,53.39,0.644
2014-10-13,53.37,53.95,53.12,53.6,0.654
2014-10-14,54.02,55.42,53.6,55.12,0.96
2014-10-15,54.69,55.35,54.37,54.94,1.019
2014-10-16,54.47,55.41,54.29,55.22,1.112
2014-10-17,55.71,55.94,54.52,54.82,0.679
2014-10-20,54.87,55.47,54.84,55.47,0.611
2014-10-21,55.52,56.28,55.27,56.25,0.683
2014-10-22,56.35,56.83,56.21,56.29,0.793
2014-10-23,56.73,56.79,56.0,56.61,0.678
2014-10-24,56.76,56.81,55.88,56.2,0.85
2014-10-27,56.01,56.74,55.92,56.74,0.622
2014-10-28,56.78,56.97,56.48,56.97,0.554
2014-10-29,56.93,56.98,55.94,56.68,0.693
2014-10-30,57.0,57.0,56.03,56.84,0.696
2014-10-31,57.0,58.19,56.74,58.16,0.776
2014-11-03,57.95,58.83,57.95,58.82,0.93
2014-11-04,58.76,58.97,58.24,58.49,0.494
2014-11-05,58.67,58.98,58.26,58.55,0.877
2014-11-06,58.56,59.02,58.19,58.28,0.598
2014-11-07,58.28,58.49,58.01,58.22,0.649
2014-11-10,58.19,58.71,58.12,58.65,0.566
2014-11-11,58.71,58.81,58.32,58.4,0.392
2014-11-12,58.33,58.59,57.84,57.9,0.736
2014-11-13,57.86,58.63,57.86,58.46,0.702
2014-11-14,58.57,58.57,57.63,57.81,0.456
