Date,Open,High,Low,Close,Volume
2014-01-02,52.63,53.58,49.55,51.16,0.714
2014-01-03,51.23,52.3,48.01,49.18,1.258
2014-01-06,49.0,49.25,47.04,48.57,1.434
2014-01-07,48.8,50.04,47.92,48.39,0.728
2014-01-08,48.39,48.73,46.91,47.61,0.535
2014-01-09,47.66,48.07,44.85,45.52,1.103
2014-01-10,45.43,47.2,45.25,46.97,1.067
2014-01-13,46.03,47.14,44.05,44.43,0.817
2014-01-14,44.55,47.12,44.02,47.01,0.908
2014-01-15,47.27,48.76,47.21,48.02,0.926
2014-01-16,48.02,48.88,47.25,48.61,0.504
2014-01-17,48.9,49.44,47.63,48.51,0.747
2014-01-21,48.61,49.58,47.69,49.08,0.718
2014-01-22,49.2,51.63,49.0,51.22,0.773
2014-01-23,51.11,51.37,49.52,50.44,0.979
2014-01-24,49.89,50.4,48.01,48.87,0.837
2014-01-27,48.75,49.8,47.26,47.54,0.597
2014-01-28,47.73,50.45,47.73,49.8,0.592
2014-01-29,49.09,50.36,48.3,48.59,0.765
2014-01-30,49.14,51.55,49.14,51.37,1.053
2014-01-31,50.67,53.32,50.1,51.98,0.827
2014-02-03,51.98,52.56,49.54,50.08,1.004
2014-02-04,50.32,52.62,50.32,51.64,0.43
2014-02-05,51.54,53.05,50.4,52.96,0.723
2014-02-06,53.1,55.41,53.1,53.77,1.109
2014-02-07,57.2,59.0,55.01,56.72,1.298
2014-02-10,57.23,58.65,56.0,57.52,0.915
2014-02-11,57.45,59.22,56.07,58.91,0.717
2014-02-12,58.97,59.84,57.8,57.97,0.795
2014-02-13,57.52,59.32,56.66,58.89,0.843
2014-02-14,58.97,59.83,58.0,59.65,0.876
2014-02-18,59.67,61.87,58.44,61.02,1.334
2014-02-19,61.49,62.54,60.4,61.04,0.765
2014-02-20,60.9,62.89,60.23,62.67,1.073
2014-02-21,63.98,64.42,62.93,63.99,3.258
2014-02-24,64.34,68.0,64.31,64.8,1.941
2014-02-25,65.58,65.58,62.83,63.74,1.47
2014-02-26,63.9,65.12,61.91,64.54,0.884
2014-02-27,64.44,65.35,63.62,63.89,0.743
2014-02-28,64.14,64.71,63.68,64.33,1.03
2014-03-03,63.89,65.38,63.51,64.41,0.709
2014-03-04,65.03,66.14,64.77,65.48,0.668
2014-03-05,65.52,65.93,63.07,64.04,0.686
2014-03-06,63.95,64.7,62.22,62.76,0.854
2014-03-07,63.23,64.13,62.52,63.88,0.591
2014-03-10,63.83,63.96,61.01,63.03,0.852
2014-03-11,62.92,64.44,60.41,62.01,1.085
2014-03-12,61.62,63.52,60.76,63.16,0.811
2014-03-13,64.35,64.46,62.63,63.36,0.8
2014-03-14,63.43,64.33,63.02,63.58,0.509
