Date,Open,High,Low,Close,Volume
2014-01-02,23.75,23.81,23.23,23.35,3.065
2014-01-03,23.32,23.52,23.09,23.25,3.144
2014-01-06,23.34,23.43,22.78,22.84,3.718
2014-01-07,22.95,23.06,22.86,22.94,3.693
2014-01-08,22.98,23.08,22.72,22.94,3.79
2014-01-09,23.0,23.39,22.91,23.3,3.373
2014-01-10,23.39,24.04,23.26,23.85,5.149
2014-01-13,23.71,24.22,23.57,23.72,4.643
2014-01-14,24.17,24.2,23.58,24.1,5.18
2014-01-15,23.02,23.39,22.21,23.03,22.693
2014-01-16,23.0,23.39,22.92,23.33,7.876
2014-01-17,23.24,23.88,23.12,23.81,6.048
2014-01-21,23.9,24.06,23.57,23.73,5.091
2014-01-22,23.89,23.98,23.74,23.93,3.712
2014-01-23,23.83,23.93,23.53,23.77,6.286
2014-01-24,23.66,23.66,22.5,22.55,10.294
2014-01-27,22.68,22.7,22.07,22.28,5.766
2014-01-28,22.36,22.48,22.08,22.2,6.654
2014-01-29,22.08,22.25,21.88,22.09,6.061
2014-01-30,22.28,22.29,22.04,22.13,4.342
2014-01-31,21.93,22.1,21.75,21.97,4.588
2014-02-03,21.88,22.37,21.24,21.35,8.917
2014-02-04,21.46,22.03,21.38,21.95,6.943
2014-02-05,22.2,22.73,22.1,22.14,10.88
2014-02-06,22.11,22.33,22.03,22.17,4.933
2014-02-07,22.24,22.35,21.85,22.11,6.872
2014-02-10,22.16,22.33,21.66,22.08,4.41
2014-02-11,22.08,22.47,22.05,22.42,5.258
2014-02-12,22.43,22.64,22.33,22.43,3.724
2014-02-13,22.3,22.6,22.23,22.33,4.036
2014-02-14,22.22,22.52,22.18,22.49,3.07
2014-02-18,22.5,22.67,22.43,22.59,3.088
2014-02-19,22.48,22.71,22.4,22.55,2.488
2014-02-20,22.53,22.78,22.48,22.76,2.419
2014-02-21,22.83,22.92,22.65,22.81,3.334
2014-02-24,22.9,23.12,22.85,23.0,2.531
2014-02-25,23.0,23.12,22.94,23.03,3.434
2014-02-26,23.05,23.35,23.05,23.17,2.641
2014-02-27,23.2,23.81,23.11,23.78,5.926
2014-02-28,23.83,23.83,23.38,23.59,4.935
2014-03-03,23.52,23.67,22.9,23.26,8.142
2014-03-04,23.55,23.58,23.33,23.42,2.88
2014-03-05,23.42,24.37,23.42,24.31,7.871
2014-03-06,24.38,24.49,24.18,24.28,2.985
2014-03-07,24.34,24.53,24.28,24.52,2.929
2014-03-10,24.55,24.7,24.3,24.55,2.535
2014-03-11,24.53,24.56,24.27,24.41,3.172
2014-03-12,24.25,24.45,24.04,24.44,2.206
2014-03-13,24.5,24.71,24.08,24.2,3.38
2014-03-14,24.08,24.34,24.06,24.26,4.059
2014-03-17,24.48,25.08,24.42,24.95,5.148
2014-03-18,24.92,25.41,24.79,25.22,4.331
2014-03-19,25.23,25.33,24.72,24.95,2.775
2014-03-20,24.83,24.94,24.61,24.85,2.221
2014-03-21,25.14,25.14,24.42,24.56,8.418
2014-03-24,24.77,24.88,24.5,24.57,4.005
2014-03-25,24.74,24.87,24.51,24.61,4.525
2014-03-26,24.7,24.84,24.25,24.32,6.479
2014-03-27,24.33,24.49,23.97,24.2,3.61
2014-03-28,24.29,24.74,24.13,24.49,2.939
2014-03-31,24.58,24.75,24.45,24.65,2.881
2014-04-01,24.82,25.22,24.64,24.92,5.688
2014-04-02,24.93,25.45,24.92,25.19,4.175
2014-04-03,25.29,25.97,25.24,25.6,5.396
2014-04-04,25.81,26.1,25.38,25.5,5.598
2014-04-07,25.43,25.55,25.03,25.17,4.009
2014-04-08,25.13,25.7,25.1,25.42,5.857
2014-04-09,25.56,26.01,25.31,25.47,6.481
2014-04-10,25.48,25.71,25.18,25.36,6.709
2014-04-11,26.08,26.1,24.32,24.93,13.578
2014-04-14,25.23,25.59,24.95,25.21,5.476
2014-04-15,25.19,25.25,24.72,25.04,5.131
2014-04-16,25.29,25.5,24.96,25.08,6.161
2014-04-17,25.03,25.25,25.01,25.06,4.853
2014-04-21,25.09,25.19,24.84,25.0,3.131
2014-04-22,24.99,25.36,24.9,25.26,3.604
2014-04-23,25.04,25.06,24.77,24.95,2.579
2014-04-24,25.11,25.17,24.83,24.98,2.348
2014-04-25,24.88,25.03,24.48,24.56,2.364
2014-04-28,24.73,24.9,24.35,24.72,4.159
2014-04-29,24.88,24.98,24.62,24.72,2.323
2014-04-30,24.68,25.08,24.53,25.04,3.634
2014-05-01,24.97,25.15,24.7,24.76,3.608
2014-05-02,24.84,24.98,24.67,24.72,3.228
2014-05-05,24.61,24.72,24.33,24.36,3.592
2014-05-06,24.34,24.42,24.17,24.29,2.994
2014-05-07,24.4,24.49,24.07,24.27,2.359
2014-05-08,24.31,24.48,24.02,24.12,2.69
2014-05-09,24.11,24.18,23.72,24.12,4.101
2014-05-12,24.18,24.69,24.17,24.59,2.622
2014-05-13,24.43,24.57,24.01,24.03,4.387
2014-05-14,24.06,24.33,24.0,24.07,2.492
2014-05-15,24.01,24.16,23.74,24.08,3.28
2014-05-16,24.1,24.17,23.68,24.11,2.939
2014-05-19,23.99,24.49,23.97,24.35,2.881
2014-05-20,24.21,24.24,23.74,23.9,2.561
2014-05-21,23.92,24.09,23.9,24.05,1.918
2014-05-22,24.06,24.35,23.93,24.06,2.178
2014-05-23,24.16,24.33,24.0,24.23,1.943
2014-05-27,24.27,24.37,24.19,24.36,1.984
2014-05-28,24.36,24.43,24.23,24.25,1.699
2014-05-29,24.25,24.44,24.17,24.42,1.859
2014-05-30,24.46,24.51,24.33,24.38,2.381
2014-06-02,24.42,24.71,24.38,24.55,3.396
2014-06-03,24.48,24.62,24.39,24.52,3.219
2014-06-04,24.62,25.01,24.51,24.7,3.346
2014-06-05,24.71,24.92,24.5,24.83,2.458
2014-06-06,24.97,25.1,24.82,24.98,2.042
2014-06-09,24.98,25.49,24.96,25.3,2.724
2014-06-10,25.21,25.32,25.11,25.32,1.593
2014-06-11,25.17,25.39,25.17,25.33,2.282
2014-06-12,25.18,25.18,24.61,24.82,3.578
2014-06-13,24.87,25.0,24.7,24.78,2.426
2014-06-16,24.68,24.86,24.5,24.72,2.037
2014-06-17,24.6,24.84,24.51,24.8,2.193
2014-06-18,24.81,24.9,24.58,24.88,1.82
2014-06-19,24.85,24.97,24.67,24.79,1.9
2014-06-20,24.91,25.12,24.76,24.97,3.809
2014-06-23,24.95,25.19,24.83,24.92,1.282
2014-06-24,24.85,25.07,24.52,24.58,2.22
2014-06-25,24.52,24.66,24.4,24.62,1.513
2014-06-26,24.58,24.69,24.43,24.68,1.587
2014-06-27,24.69,24.82,24.58,24.81,1.328
2014-06-30,24.76,24.87,24.54,24.75,2.1
2014-07-01,24.78,24.9,24.58,24.65,3.61
2014-07-02,24.61,24.77,24.58,24.66,2.092
2014-07-03,24.75,25.11,24.73,25.04,1.445
2014-07-07,25.08,25.09,24.8,24.88,3.673
2014-07-08,24.85,24.92,24.63,24.75,3.129
2014-07-09,24.85,24.89,24.43,24.5,3.626
2014-07-10,24.09,24.4,24.05,24.08,8.078
2014-07-11,23.12,23.18,22.58,23.08,15.235
2014-07-14,23.16,23.2,22.74,22.75,7.067
2014-07-15,22.75,22.79,22.38,22.5,11.229
2014-07-16,22.56,22.78,22.42,22.76,7.614
2014-07-17,22.6,22.79,22.5,22.51,5.153
2014-07-18,22.57,22.73,22.44,22.68,4.549
2014-07-21,22.56,22.61,22.48,22.5,2.686
2014-07-22,22.51,22.64,22.41,22.47,3.992
2014-07-23,22.36,22.38,22.17,22.3,4.262
2014-07-24,22.43,22.58,22.38,22.5,4.321
2014-07-25,22.47,22.6,22.4,22.58,3.363
2014-07-28,22.52,22.64,22.45,22.5,4.715
2014-07-29,22.5,22.55,22.45,22.5,4.932
2014-07-30,22.5,22.55,22.4,22.47,5.875
2014-07-31,22.42,22.42,22.08,22.18,8.488
2014-08-01,22.17,22.24,21.92,22.06,3.488
2014-08-04,22.09,22.29,21.92,22.26,3.199
2014-08-05,22.15,22.21,21.72,21.87,7.633
2014-08-06,21.75,22.02,21.7,22.0,3.904
2014-08-07,22.12,22.23,21.86,21.92,3.265
2014-08-08,22.0,22.26,21.97,22.25,2.459
2014-08-11,22.32,22.43,22.26,22.27,3.016
2014-08-12,22.15,22.78,22.15,22.52,4.923
2014-08-13,22.49,22.67,22.12,22.19,3.933
2014-08-14,22.25,22.47,22.12,22.45,3.767
2014-08-15,22.58,22.61,21.8,21.91,6.175
2014-08-18,22.08,22.36,22.0,22.36,2.608
2014-08-19,22.4,22.57,22.33,22.48,3.277
2014-08-20,22.5,22.74,22.45,22.67,2.937
2014-08-21,22.66,22.84,22.5,22.8,2.336
2014-08-22,22.67,22.9,22.67,22.81,1.881
2014-08-25,22.86,22.99,22.74,22.89,1.495
2014-08-26,22.87,22.94,22.73,22.86,2.193
2014-08-27,22.85,22.94,22.57,22.66,1.974
2014-08-28,22.64,22.69,22.48,22.61,1.18
2014-08-29,22.75,22.75,22.53,22.64,1.53
2014-09-02,22.69,22.83,22.46,22.59,2.4
2014-09-03,22.72,22.77,22.59,22.68,1.53
2014-09-04,22.76,23.71,22.71,23.58,7.642
2014-09-05,23.5,23.55,23.29,23.5,3.131
2014-09-08,23.47,23.62,23.28,23.3,1.966
2014-09-09,23.24,23.34,23.06,23.15,2.031
2014-09-10,23.12,23.26,23.06,23.24,2.023
2014-09-11,23.11,23.18,22.97,23.05,1.795
2014-09-12,23.0,23.13,22.76,22.9,2.711
2014-09-15,22.89,22.97,22.73,22.9,2.118
2014-09-16,22.9,22.99,22.66,22.91,2.047
2014-09-17,22.97,23.02,22.73,22.89,3.196
2014-09-18,23.1,23.17,22.92,23.16,2.506
2014-09-19,23.24,23.33,22.91,23.12,5.378
2014-09-22,23.01,23.11,22.73,22.83,1.935
2014-09-23,22.83,22.87,22.66,22.69,2.166
2014-09-24,22.7,23.09,22.66,23.07,2.122
2014-09-25,23.05,23.05,22.48,22.51,2.761
2014-09-26,22.46,22.81,22.46,22.75,1.898
2014-09-29,22.55,22.86,22.45,22.6,2.898
2014-09-30,22.61,22.78,22.36,22.45,3.138
2014-10-01,22.5,22.51,22.08,22.26,4.835
2014-10-02,22.3,22.78,22.14,22.74,3.127
2014-10-03,22.83,23.06,22.76,22.88,3.347
2014-10-06,23.02,23.16,22.78,22.99,2.224
2014-10-07,22.8,22.84,22.38,22.41,4.629
2014-10-08,22.34,22.94,22.23,22.91,4.487
2014-10-09,22.8,22.94,22.19,22.35,6.521
2014-10-10,21.75,21.81,20.91,21.27,14.548
2014-10-13,21.28,21.28,20.58,20.62,6.059
2014-10-14,20.6,20.95,20.48,20.55,7.593
2014-10-15,20.28,20.64,20.09,20.49,7.156
2014-10-16,20.11,20.61,20.11,20.39,5.888
2014-10-17,20.57,20.65,20.24,20.55,7.46
2014-10-20,20.43,20.76,20.43,20.7,3.0
2014-10-21,20.89,21.32,20.73,21.3,4.041
2014-10-22,21.24,21.26,20.75,20.75,3.235
