Date,Open,High,Low,Close,Volume
2014-01-02,108.65,108.93,107.33,108.48,0.611
2014-01-03,108.65,109.0,107.91,108.47,0.549
2014-01-06,109.0,109.57,106.35,106.36,0.479
2014-01-07,106.41,107.66,106.41,107.11,0.424
2014-01-08,107.4,107.95,106.66,106.98,0.497
2014-01-09,107.07,107.45,105.87,106.26,0.546
2014-01-10,106.5,107.1,106.12,106.81,0.467
2014-01-13,106.94,107.89,106.24,106.58,0.377
2014-01-14,106.66,107.55,106.63,107.16,0.322
2014-01-15,107.2,108.02,107.2,107.65,0.408
2014-01-16,107.75,108.32,106.85,108.13,0.373
2014-01-17,107.99,108.23,106.62,106.89,0.314
2014-01-21,107.7,109.11,107.23,108.58,0.414
2014-01-22,108.83,109.59,108.35,109.0,0.323
2014-01-23,108.8,109.0,107.54,108.99,0.382
2014-01-24,108.55,108.55,105.9,106.1,0.622
2014-01-27,106.4,106.49,105.22,105.76,0.48
2014-01-28,105.93,106.18,104.42,104.84,0.471
2014-01-29,104.6,104.84,103.28,103.62,0.514
2014-01-30,104.61,105.96,104.19,105.66,0.358
2014-01-31,104.74,107.01,104.01,105.77,0.396
2014-02-03,105.49,105.71,101.41,102.01,0.509
2014-02-04,102.82,102.97,101.85,102.48,0.405
2014-02-05,102.19,102.36,101.48,101.99,0.242
2014-02-06,102.17,102.8,101.46,102.13,0.338
2014-02-07,102.44,104.04,102.27,103.23,0.334
2014-02-10,102.92,103.73,101.85,102.16,0.613
2014-02-11,102.59,104.67,102.17,103.4,0.431
2014-02-12,103.7,104.35,103.03,103.87,0.352
2014-02-13,103.53,104.48,103.49,103.6,0.348
2014-02-14,103.63,104.06,102.6,103.25,0.383
2014-02-18,103.58,104.03,102.6,102.96,0.283
2014-02-19,102.79,104.05,102.37,103.32,0.359
2014-02-20,103.51,105.69,103.02,105.58,0.348
2014-02-21,105.77,105.77,104.3,104.77,0.308
2014-02-24,104.85,105.72,104.59,104.96,0.228
2014-02-25,105.01,105.72,103.83,104.17,0.338
2014-02-26,104.31,104.84,103.3,103.97,0.248
2014-02-27,103.91,104.7,103.72,104.55,0.178
2014-02-28,104.51,106.07,103.93,105.29,0.348
2014-03-03,104.23,104.99,102.96,104.18,0.243
2014-03-04,105.27,106.48,105.27,105.91,0.252
2014-03-05,105.6,105.96,104.92,105.68,0.236
2014-03-06,105.91,106.53,105.22,106.17,0.23
2014-03-07,106.4,106.48,104.66,104.92,0.355
2014-03-10,104.94,105.4,104.05,105.11,0.201
2014-03-11,105.49,106.1,104.92,105.74,0.474
2014-03-12,105.32,106.0,104.84,105.52,0.484
2014-03-13,106.13,106.84,103.13,103.63,0.375
2014-03-14,103.71,104.88,103.5,103.66,0.278
2014-03-17,104.46,106.19,104.25,104.54,0.789
2014-03-18,111.38,114.82,110.2,114.65,1.47
2014-03-19,114.1,114.53,109.15,109.73,1.037
2014-03-20,108.97,109.29,107.62,108.0,0.44
2014-03-21,108.24,108.6,106.89,106.91,0.516
2014-03-24,107.03,108.15,106.6,108.1,0.569
2014-03-25,108.2,109.79,106.84,109.15,0.642
2014-03-26,109.77,109.77,106.23,106.36,0.491
2014-03-27,106.55,107.07,104.84,105.08,0.475
2014-03-28,105.49,106.8,105.35,106.18,0.309
2014-03-31,106.76,108.08,106.68,107.81,0.276
2014-04-01,108.07,108.38,107.21,108.21,0.228
2014-04-02,108.25,108.37,107.44,107.78,0.197
2014-04-03,107.92,108.29,106.71,107.38,0.285
2014-04-04,108.0,108.0,105.67,105.81,0.364
2014-04-07,105.52,106.15,104.41,105.06,0.303
2014-04-08,105.95,106.39,104.68,105.31,0.221
2014-04-09,105.68,106.82,105.11,106.71,0.148
2014-04-10,106.7,106.7,104.71,104.86,0.296
2014-04-11,103.41,104.59,102.31,102.49,0.256
2014-04-14,103.3,103.99,102.35,103.9,0.424
