Date,Open,High,Low,Close,Volume
2014-01-02,142.9,144.39,139.57,139.77,3.36
2014-01-03,140.33,141.15,139.91,140.05,2.78
2014-01-06,142.7,143.0,138.26,138.72,2.995
2014-01-07,139.34,140.98,138.99,140.64,1.702
2014-01-08,141.04,141.38,139.99,140.37,1.633
2014-01-09,140.51,141.77,139.95,141.51,1.452
2014-01-10,141.2,142.74,140.41,142.63,1.715
2014-01-13,141.35,142.75,140.24,140.49,1.565
2014-01-14,140.95,142.83,139.73,142.7,2.344
2014-01-15,142.78,143.14,141.94,142.55,2.692
2014-01-16,141.92,142.5,140.95,141.81,1.928
2014-01-17,140.61,141.87,140.09,140.51,2.293
2014-01-21,141.71,142.62,140.8,142.15,2.509
2014-01-22,142.75,142.84,141.63,142.3,1.337
2014-01-23,141.61,141.99,139.35,140.24,1.836
2014-01-24,139.16,139.39,134.57,134.58,3.089
2014-01-27,134.69,135.78,131.08,131.95,4.739
2014-01-28,131.99,134.64,131.99,134.34,3.17
2014-01-29,132.83,134.0,131.55,131.85,2.648
2014-01-30,133.09,134.83,133.06,133.77,1.936
2014-01-31,131.85,134.96,131.79,133.32,1.588
2014-02-03,132.93,135.06,129.03,129.44,3.184
2014-02-04,129.48,130.93,128.17,130.42,2.387
2014-02-05,129.85,130.92,129.19,129.97,2.009
2014-02-06,130.14,131.86,130.06,130.84,1.908
2014-02-07,131.92,133.07,130.87,131.76,2.39
2014-02-10,131.37,132.06,129.34,129.88,3.602
2014-02-11,130.41,133.78,130.13,133.15,3.256
2014-02-12,133.16,133.81,131.75,133.0,1.896
2014-02-13,131.92,133.34,131.0,133.07,1.781
2014-02-14,132.98,134.55,132.87,133.92,1.436
2014-02-18,134.32,134.77,132.33,132.79,2.36
2014-02-19,132.34,133.51,131.01,131.35,2.781
2014-02-20,131.69,133.51,131.06,132.99,1.787
2014-02-21,133.18,135.21,133.11,134.9,1.969
2014-02-24,135.09,136.98,134.5,134.87,2.243
2014-02-25,134.85,134.87,132.32,132.84,2.589
2014-02-26,132.63,133.97,131.95,132.37,1.588
2014-02-27,132.04,133.84,131.95,133.55,1.736
2014-02-28,133.19,134.43,132.34,133.33,1.905
2014-03-03,132.05,134.29,132.05,133.38,1.614
2014-03-04,134.84,137.65,134.74,137.09,2.25
2014-03-05,137.24,137.6,136.51,136.91,1.292
2014-03-06,137.25,137.64,136.19,137.29,1.581
2014-03-07,137.92,138.6,136.96,137.43,1.354
2014-03-10,137.03,138.39,136.81,137.86,1.721
2014-03-11,137.74,138.07,136.71,137.29,1.484
2014-03-12,136.8,138.14,136.0,137.79,1.276
2014-03-13,138.36,139.29,135.88,136.68,2.286
2014-03-14,136.38,137.75,136.02,136.76,2.629
2014-03-17,137.71,138.61,137.11,137.58,3.855
2014-03-18,137.59,139.19,137.35,138.57,2.579
2014-03-19,138.11,141.17,137.14,138.38,3.11
2014-03-20,137.03,137.73,135.24,136.5,3.378
2014-03-21,137.51,138.0,136.02,136.79,5.018
2014-03-24,137.15,137.2,134.87,134.95,3.207
2014-03-25,134.88,135.68,132.52,134.16,4.337
2014-03-26,134.48,135.31,132.09,132.12,2.871
2014-03-27,132.0,132.64,131.3,132.11,3.043
2014-03-28,132.44,133.4,132.01,132.01,5.019
2014-03-31,132.52,133.24,131.87,132.56,4.368
2014-04-01,133.0,134.11,132.78,134.11,2.514
2014-04-02,134.1,135.2,133.94,134.76,1.748
2014-04-03,134.7,136.12,134.7,135.3,1.988
2014-04-04,135.79,136.6,133.86,134.35,1.586
2014-04-07,134.36,135.01,132.67,132.98,2.007
2014-04-08,133.04,133.4,131.81,132.91,2.016
2014-04-09,133.31,134.49,132.95,134.0,1.64
2014-04-10,134.08,134.31,131.86,132.06,2.528
2014-04-11,130.97,132.76,130.68,131.23,1.927
2014-04-14,132.11,132.86,131.16,132.0,2.115
2014-04-15,132.33,132.99,130.64,132.17,2.518
2014-04-16,132.55,134.04,132.01,133.75,2.696
