Date,Open,High,Low,Close,Volume
2014-01-02,32.96,32.98,32.25,32.38,3.431
2014-01-03,32.0,32.22,31.77,32.01,4.152
2014-01-06,32.0,32.01,31.61,31.84,3.834
2014-01-07,31.96,32.04,31.84,31.89,3.163
2014-01-08,31.9,32.0,31.65,31.86,3.669
2014-01-09,31.87,31.93,31.47,31.8,4.389
2014-01-10,32.04,32.55,31.95,32.4,5.776
2014-01-13,32.35,32.39,31.9,31.96,2.829
2014-01-14,32.05,32.13,31.71,31.86,2.445
2014-01-15,31.86,32.08,31.57,31.67,3.921
2014-01-16,31.72,32.54,31.65,32.49,5.294
2014-01-17,32.68,32.74,32.32,32.61,5.492
2014-01-21,32.64,33.04,31.99,32.15,7.597
2014-01-22,31.54,31.81,30.86,31.13,14.012
2014-01-23,30.83,31.01,30.47,30.97,5.997
2014-01-24,30.83,31.74,30.62,31.07,6.35
2014-01-27,31.02,31.13,30.88,30.88,3.75
2014-01-28,30.7,30.93,30.48,30.55,4.401
2014-01-29,30.47,30.7,30.23,30.58,4.572
2014-01-30,30.63,31.24,30.63,31.16,3.049
2014-01-31,30.89,31.71,30.86,31.49,4.972
2014-02-03,31.52,31.83,31.14,31.25,7.357
2014-02-04,31.42,31.44,30.87,30.94,3.735
2014-02-05,30.48,30.7,30.1,30.22,4.61
2014-02-06,30.13,30.53,30.13,30.46,2.219
2014-02-07,30.54,30.79,30.43,30.76,1.99
2014-02-10,30.7,30.98,30.54,30.96,1.924
2014-02-11,30.9,31.57,30.86,31.32,2.503
2014-02-12,31.3,31.37,31.01,31.07,1.916
2014-02-13,31.03,31.76,30.97,31.6,2.457
2014-02-14,31.55,31.82,31.46,31.75,2.712
2014-02-18,31.66,31.84,31.46,31.62,2.432
2014-02-19,31.57,32.23,31.38,31.73,3.219
2014-02-20,31.64,32.33,31.63,32.26,3.27
2014-02-21,32.23,32.43,31.68,31.7,3.487
2014-02-24,31.82,32.09,31.63,31.7,4.009
2014-02-25,31.6,31.72,30.48,30.8,5.747
2014-02-26,30.93,31.34,30.68,31.05,3.125
2014-02-27,30.96,30.99,30.55,30.79,3.077
2014-02-28,30.83,30.98,30.64,30.78,2.678
2014-03-03,30.68,30.95,30.42,30.52,2.492
2014-03-04,30.76,30.88,30.45,30.62,2.931
2014-03-05,30.63,31.18,30.59,31.06,4.363
2014-03-06,31.08,31.3,30.74,30.84,2.563
2014-03-07,30.84,30.94,30.52,30.67,2.549
2014-03-10,30.65,30.99,30.57,30.94,2.216
2014-03-11,30.94,31.0,30.5,30.78,2.073
2014-03-12,30.68,31.04,30.63,31.0,2.631
2014-03-13,31.02,31.53,30.99,31.42,2.739
2014-03-14,31.49,31.59,31.24,31.4,3.605
2014-03-17,31.45,31.9,31.25,31.89,2.702
2014-03-18,31.89,32.04,31.7,31.93,2.645
2014-03-19,31.88,32.15,31.44,31.72,6.096
2014-03-20,31.57,31.91,31.11,31.84,3.612
2014-03-21,31.99,32.92,31.99,32.85,6.38
2014-03-24,32.87,33.41,32.64,33.4,6.493
2014-03-25,33.39,33.46,32.84,33.13,3.976
2014-03-26,33.13,33.4,33.03,33.16,2.99
2014-03-27,33.2,33.55,33.09,33.55,2.499
2014-03-28,33.49,34.08,33.43,34.08,3.66
2014-03-31,34.17,34.28,33.81,34.03,3.138
2014-04-01,34.13,34.17,33.42,33.52,2.553
2014-04-02,33.52,33.6,33.28,33.43,2.64
2014-04-03,33.5,33.87,33.34,33.83,1.759
2014-04-04,33.96,34.36,33.87,34.03,2.137
