Date,Open,High,Low,Close,Volume
2014-01-02,29.52,29.61,29.0,29.1,2.058
2014-01-03,29.08,29.2,28.97,29.02,2.165
2014-01-06,29.06,29.21,28.91,29.06,2.647
2014-01-07,29.15,29.25,29.1,29.2,1.255
2014-01-08,29.17,29.41,29.03,29.35,2.391
2014-01-09,29.38,29.49,29.22,29.31,1.149
2014-01-10,29.4,29.4,28.95,29.15,2.267
2014-01-13,28.98,29.23,28.59,28.69,1.763
2014-01-14,28.8,29.08,28.64,28.99,2.148
2014-01-15,28.99,29.05,28.83,28.9,1.901
2014-01-16,28.83,28.92,28.65,28.69,2.417
2014-01-17,28.58,28.76,28.33,28.62,3.592
2014-01-21,28.74,28.9,28.38,28.56,3.356
2014-01-22,28.74,29.24,28.61,29.19,2.346
2014-01-23,28.86,29.24,28.73,28.88,3.3
2014-01-24,28.7,28.72,28.17,28.2,3.431
2014-01-27,27.79,28.31,27.79,27.95,3.332
2014-01-28,27.99,28.44,27.91,28.39,2.057
2014-01-29,28.25,28.47,28.09,28.1,2.392
2014-01-30,28.29,28.61,28.18,28.39,2.086
2014-01-31,26.84,28.14,26.84,28.02,4.544
2014-02-03,28.19,28.24,27.17,27.2,3.266
2014-02-04,27.27,27.86,27.18,27.76,2.513
2014-02-05,27.69,27.92,27.31,27.86,2.704
2014-02-06,27.51,28.0,27.22,27.42,4.328
2014-02-07,27.64,27.8,27.44,27.61,3.593
2014-02-10,27.43,27.5,27.02,27.39,7.483
2014-02-11,27.27,27.81,27.05,27.77,5.245
2014-02-12,27.84,28.05,27.59,27.93,4.558
2014-02-13,27.79,28.16,27.68,28.05,4.076
2014-02-14,27.94,28.17,27.91,28.06,2.362
2014-02-18,28.03,28.56,28.01,28.5,2.805
2014-02-19,28.46,28.67,28.33,28.49,2.132
2014-02-20,28.52,28.68,28.38,28.59,1.816
2014-02-21,28.69,28.93,28.51,28.68,2.378
2014-02-24,28.48,29.04,28.38,28.78,2.584
2014-02-25,28.71,28.9,28.61,28.75,1.703
2014-02-26,28.86,29.01,28.74,28.82,1.534
2014-02-27,28.83,29.17,28.75,29.0,1.772
2014-02-28,29.03,29.17,28.81,29.02,2.245
2014-03-03,28.84,28.94,28.64,28.82,1.637
2014-03-04,29.12,29.65,29.12,29.59,2.014
2014-03-05,29.49,29.58,29.12,29.14,2.347
