Date,Open,High,Low,Close,Volume
2014-01-02,62.49,62.49,60.84,61.57,0.185
2014-01-03,61.55,61.87,60.89,61.59,0.234
2014-01-06,61.68,61.91,61.13,61.16,0.133
2014-01-07,61.49,61.72,60.66,61.15,0.194
2014-01-08,61.16,61.25,60.54,60.93,0.167
2014-01-09,61.31,61.31,60.31,60.99,0.092
2014-01-10,61.0,61.04,60.25,60.87,0.156
2014-01-13,60.55,60.77,59.2,59.52,0.135
2014-01-14,60.04,60.55,59.6,60.0,0.126
2014-01-15,60.0,60.51,59.85,60.2,0.109
2014-01-16,60.19,60.29,59.8,60.0,0.143
2014-01-17,59.96,60.23,59.93,60.0,0.31
2014-01-21,60.47,60.61,59.68,59.95,0.129
2014-01-22,59.99,60.0,59.39,60.0,0.157
2014-01-23,59.86,59.86,56.65,57.71,0.315
2014-01-24,57.52,58.14,56.58,56.7,0.255
2014-01-27,56.88,56.88,55.43,55.46,0.173
2014-01-28,55.56,55.73,55.05,55.24,0.279
2014-01-29,54.74,55.4,53.82,53.92,0.16
2014-01-30,54.26,55.08,53.93,54.53,0.163
2014-01-31,53.91,54.8,53.91,54.36,0.178
2014-02-03,54.25,54.37,52.09,52.14,0.37
2014-02-04,52.23,52.68,51.7,52.2,0.275
2014-02-05,51.72,52.06,50.75,51.54,0.268
2014-02-06,51.58,51.94,50.87,51.44,0.211
2014-02-07,51.54,52.13,50.93,51.0,0.258
2014-02-10,50.95,51.73,50.26,51.71,0.214
2014-02-11,51.67,52.98,51.67,52.59,0.189
2014-02-12,52.5,53.0,52.35,52.77,0.17
2014-02-13,52.77,53.86,52.13,53.48,0.22
2014-02-14,53.46,53.69,52.74,53.41,0.128
2014-02-18,53.4,53.82,52.65,52.97,0.218
2014-02-19,52.65,53.2,52.55,52.77,0.165
2014-02-20,52.69,53.32,52.69,53.13,0.193
2014-02-21,53.2,53.32,52.91,52.96,0.173
2014-02-24,52.99,53.75,52.99,53.43,0.192
2014-02-25,53.45,53.48,52.9,53.1,0.119
2014-02-26,53.09,53.36,52.55,52.82,0.199
2014-02-27,52.6,53.45,52.47,53.15,0.263
2014-02-28,53.28,54.1,53.25,53.73,0.165
2014-03-03,53.05,54.01,52.85,53.07,0.184
2014-03-04,54.0,54.8,53.88,53.96,0.347
2014-03-05,53.87,54.29,53.4,53.63,0.151
2014-03-06,53.79,53.88,53.26,53.41,0.167
2014-03-07,53.56,53.86,53.28,53.65,0.158
2014-03-10,53.54,54.85,52.62,53.12,0.279
2014-03-11,52.99,54.22,52.71,53.88,0.197
2014-03-12,53.63,54.1,53.27,53.72,0.2
2014-03-13,53.83,54.03,52.49,52.66,0.15
2014-03-14,52.4,53.49,52.28,52.72,0.132
2014-03-17,53.08,53.77,53.08,53.29,0.131
2014-03-18,53.39,55.0,53.39,55.0,0.174
2014-03-19,54.79,55.24,54.08,54.54,0.258
2014-03-20,54.42,54.98,54.42,54.79,0.144
2014-03-21,55.26,55.77,54.72,54.75,0.3
2014-03-24,54.98,54.98,54.36,54.77,0.186
2014-03-25,55.08,55.27,54.42,54.8,0.129
2014-03-26,55.24,55.24,54.05,54.31,0.22
2014-03-27,54.32,54.85,53.94,54.31,0.21
2014-03-28,54.32,55.2,54.17,54.31,0.171
2014-03-31,54.57,55.62,54.26,55.32,0.208
2014-04-01,55.48,56.39,55.26,56.28,0.221
2014-04-02,56.27,56.42,55.51,55.99,0.117
2014-04-03,55.86,56.53,54.88,55.07,0.102
2014-04-04,55.47,55.47,53.73,53.8,0.217
2014-04-07,53.66,54.44,52.95,53.48,0.241
2014-04-08,53.47,53.99,53.03,53.6,0.167
2014-04-09,53.68,54.13,53.42,54.01,0.157
2014-04-10,53.79,53.91,53.02,53.53,0.306
2014-04-11,52.99,53.26,51.21,51.42,0.179
2014-04-14,52.06,52.37,51.22,51.65,0.164
2014-04-15,51.69,51.85,50.49,51.56,0.188
2014-04-16,51.8,52.51,51.45,52.22,0.163
2014-04-17,52.07,53.67,52.06,53.39,0.175
2014-04-21,53.47,53.63,53.01,53.45,0.096
2014-04-22,53.45,54.32,53.34,54.18,0.114
2014-04-23,53.92,54.54,53.67,54.35,0.128
2014-04-24,54.91,55.17,53.53,54.25,0.154
2014-04-25,54.22,59.3,54.22,57.41,0.349
2014-04-28,57.85,58.7,57.12,58.26,0.237
2014-04-29,58.61,58.88,57.2,57.34,0.273
2014-04-30,57.06,57.68,56.55,57.2,0.218
2014-05-01,57.3,57.53,56.14,56.56,0.223
2014-05-02,56.62,57.75,56.54,56.9,0.157
2014-05-05,56.42,56.83,55.89,56.43,0.162
2014-05-06,56.11,56.36,55.39,55.59,0.154
2014-05-07,55.83,56.43,55.16,56.36,0.189
2014-05-08,56.31,57.0,55.82,55.98,0.172
2014-05-09,55.64,56.87,55.49,56.8,0.17
2014-05-12,56.97,58.71,56.97,58.27,0.206
2014-05-13,58.25,58.25,56.35,56.44,0.196
2014-05-14,56.33,56.33,54.78,54.95,0.176
2014-05-15,54.84,54.85,53.66,54.27,0.201
2014-05-16,54.14,55.68,53.54,55.59,0.178
2014-05-19,55.28,57.28,55.27,57.13,0.202
2014-05-20,56.85,56.85,55.52,56.15,0.242
2014-05-21,56.26,56.99,56.02,56.58,0.121
2014-05-22,56.58,56.74,56.34,56.58,0.126
2014-05-23,56.43,57.53,55.83,57.16,0.221
2014-05-27,57.57,57.9,57.24,57.82,0.216
2014-05-28,57.99,59.26,57.95,59.01,0.324
2014-05-29,59.09,59.88,59.09,59.5,0.256
2014-05-30,59.65,59.72,58.67,58.9,0.18
2014-06-02,58.97,59.21,58.46,58.48,0.184
2014-06-03,58.31,58.59,57.72,58.03,0.26
2014-06-04,57.73,57.98,57.37,57.54,0.217
2014-06-05,57.5,58.14,57.36,58.12,0.295
2014-06-06,58.56,59.1,58.01,58.6,0.441
2014-06-09,58.49,59.67,58.4,59.49,0.32
2014-06-10,59.37,59.77,58.96,59.6,0.204
2014-06-11,59.35,60.0,59.1,59.64,0.208
2014-06-12,59.46,59.82,58.83,59.3,0.252
2014-06-13,59.51,60.07,59.33,59.54,0.142
2014-06-16,59.4,59.96,59.04,59.8,0.247
2014-06-17,59.78,61.15,59.73,59.87,0.453
2014-06-18,59.83,60.37,59.38,60.3,0.245
2014-06-19,60.36,60.87,59.89,60.54,0.213
2014-06-20,60.42,61.53,60.14,61.43,0.41
2014-06-23,61.51,61.95,61.04,61.17,0.219
2014-06-24,61.12,61.94,60.65,61.64,0.264
2014-06-25,61.3,62.12,61.2,62.05,0.21
2014-06-26,61.98,62.51,61.49,62.11,0.193
2014-06-27,61.65,63.16,61.65,62.92,0.442
2014-06-30,62.93,63.87,62.3,63.76,0.282
2014-07-01,64.0,65.61,63.76,64.88,0.474
2014-07-02,64.89,65.62,64.71,64.86,0.282
2014-07-03,65.1,65.45,64.79,64.87,0.198
2014-07-07,64.78,64.78,63.86,63.93,0.25
2014-07-08,63.91,63.91,62.86,62.99,0.413
2014-07-09,63.22,63.5,62.69,63.42,0.282
2014-07-10,62.39,63.55,62.34,63.23,0.218
2014-07-11,63.15,63.62,63.02,63.29,0.138
2014-07-14,63.76,64.17,63.24,63.41,0.217
2014-07-15,63.31,63.52,62.59,63.18,0.307
2014-07-16,63.54,64.05,62.79,62.94,0.367
2014-07-17,62.74,63.13,61.96,62.02,0.226
2014-07-18,61.95,62.62,61.94,62.49,0.282
2014-07-21,62.18,62.65,61.86,62.32,0.23
2014-07-22,62.72,63.76,62.72,63.03,0.31
2014-07-23,63.03,63.27,62.45,63.04,0.245
2014-07-24,63.21,63.45,62.61,62.8,0.209
2014-07-25,60.08,60.82,58.44,58.51,0.372
2014-07-28,58.51,58.51,57.67,58.15,0.241
2014-07-29,58.2,59.35,58.2,58.56,0.26
2014-07-30,59.03,59.09,58.42,58.85,0.171
2014-07-31,58.05,58.81,57.13,57.15,0.214
2014-08-01,57.28,57.34,55.35,55.78,0.427
2014-08-04,56.0,56.16,55.31,56.13,0.293
2014-08-05,55.85,56.18,54.38,54.93,0.32
2014-08-06,54.76,55.75,54.44,55.55,0.221
2014-08-07,55.62,55.77,54.82,54.89,0.176
2014-08-08,54.87,55.35,54.6,54.9,0.649
2014-08-11,55.2,56.23,54.96,56.05,0.239
2014-08-12,55.92,56.25,55.28,55.46,0.174
2014-08-13,55.67,56.11,55.6,55.92,0.094
