Date,Open,High,Low,Close,Volume
2014-01-02,53.4,53.55,52.79,53.0,0.987
2014-01-03,53.01,53.61,52.87,53.15,0.969
2014-01-06,53.23,53.43,52.78,52.85,0.791
2014-01-07,52.91,53.11,52.78,52.95,0.856
2014-01-08,53.02,53.14,52.84,53.0,1.772
2014-01-09,53.1,53.25,52.91,53.02,0.622
2014-01-10,53.17,53.23,52.7,53.0,0.697
2014-01-13,52.82,53.08,51.93,52.04,1.213
2014-01-14,52.23,52.87,52.04,52.44,2.001
2014-01-15,52.54,52.75,52.28,52.4,2.23
2014-01-16,52.36,52.67,52.23,52.54,1.403
2014-01-17,52.61,52.82,52.35,52.74,1.427
2014-01-21,53.0,53.31,52.66,53.25,2.049
2014-01-22,53.2,53.55,53.16,53.5,1.78
2014-01-23,53.0,53.5,52.75,53.25,2.692
2014-01-24,52.7,52.84,50.7,50.84,2.756
2014-01-27,51.0,51.0,50.35,50.38,2.006
2014-01-28,50.37,51.02,50.2,50.96,0.864
2014-01-29,50.49,51.62,50.48,51.01,2.441
2014-01-30,51.59,52.02,51.43,51.72,1.012
2014-01-31,51.04,51.09,50.48,50.7,2.405
2014-02-03,50.73,50.85,48.86,48.87,1.988
2014-02-04,49.29,51.33,48.17,50.95,2.951
2014-02-05,50.95,51.8,50.53,51.38,3.04
2014-02-06,51.49,52.48,51.35,52.48,2.25
2014-02-07,52.84,53.74,52.71,53.71,3.201
2014-02-10,53.58,53.68,52.6,53.03,1.62
2014-02-11,53.16,53.4,52.63,53.12,1.7
2014-02-12,53.25,53.6,53.16,53.55,1.748
2014-02-13,53.32,54.07,53.32,54.07,0.98
2014-02-14,53.86,54.18,53.58,53.86,0.908
2014-02-18,53.9,54.37,53.69,54.31,0.926
2014-02-19,54.1,54.76,53.89,53.92,0.778
2014-02-20,54.02,54.64,53.91,54.27,0.835
2014-02-21,54.51,54.71,54.34,54.34,0.807
2014-02-24,54.33,55.32,54.33,54.9,1.004
2014-02-25,54.84,55.17,54.62,54.95,0.859
2014-02-26,55.08,55.43,54.86,55.16,0.953
2014-02-27,54.96,56.04,54.96,56.02,1.342
2014-02-28,55.95,56.2,55.31,55.61,1.32
2014-03-03,55.0,55.5,54.57,55.23,0.841
2014-03-04,55.98,56.68,55.87,56.55,1.202
2014-03-05,56.63,56.63,55.48,55.53,1.462
2014-03-06,55.6,55.98,55.42,55.65,1.324
2014-03-07,55.91,55.98,55.35,55.47,0.992
2014-03-10,55.42,55.44,55.0,55.15,0.779
2014-03-11,55.23,55.51,54.85,54.96,1.191
2014-03-12,54.76,54.83,54.46,54.75,1.17
2014-03-13,54.8,54.89,53.33,53.33,1.601
2014-03-14,53.26,53.47,52.7,52.75,1.788
2014-03-17,53.08,53.58,53.08,53.45,1.456
2014-03-18,53.45,54.23,53.43,54.18,0.924
2014-03-19,54.3,54.5,53.53,53.88,0.902
2014-03-20,53.85,54.42,53.75,54.29,0.986
2014-03-21,54.82,55.07,53.91,54.17,2.529
2014-03-24,54.31,54.52,53.05,53.15,0.911
2014-03-25,53.51,53.58,52.81,53.07,1.025
2014-03-26,53.29,53.44,52.47,52.51,1.058
2014-03-27,52.29,52.62,52.0,52.33,1.455
2014-03-28,52.45,53.18,52.24,52.89,1.125
2014-03-31,53.19,53.85,53.18,53.45,1.948
2014-04-01,53.57,53.96,53.36,53.92,1.042
2014-04-02,53.91,54.34,53.74,54.16,1.207
2014-04-03,54.23,54.35,54.02,54.16,1.064
2014-04-04,54.57,54.59,53.06,53.17,1.266
2014-04-07,53.02,53.26,52.23,52.91,3.281
2014-04-08,52.89,52.94,52.36,52.68,1.268
2014-04-09,52.92,53.05,52.37,53.01,1.094
2014-04-10,53.09,53.16,51.81,51.81,0.878
2014-04-11,51.43,51.92,50.99,51.28,1.474
2014-04-14,51.65,51.8,51.17,51.68,1.22
2014-04-15,51.93,52.45,51.59,52.15,1.969
2014-04-16,52.59,52.87,52.37,52.5,1.299
2014-04-17,52.21,52.97,52.08,52.68,1.409
2014-04-21,52.9,52.98,52.17,52.51,0.702
2014-04-22,52.47,52.7,52.27,52.51,1.011
2014-04-23,52.51,53.45,52.51,53.3,2.126
2014-04-24,53.49,53.49,52.4,52.55,1.598
2014-04-25,52.26,52.28,51.76,51.8,0.758
2014-04-28,52.18,52.61,51.37,51.9,0.962
2014-04-29,52.23,52.81,51.98,52.8,1.579
2014-04-30,52.91,53.6,52.57,53.43,1.905
2014-05-01,53.51,53.79,52.13,53.61,1.844
2014-05-02,53.78,54.51,53.68,54.36,1.566
2014-05-05,54.13,54.77,53.93,54.49,1.193
2014-05-06,54.38,54.39,53.67,53.71,1.259
2014-05-07,53.96,54.04,53.39,53.72,1.289
2014-05-08,53.58,54.02,53.34,53.48,1.255
2014-05-09,53.63,53.82,53.32,53.75,1.405
2014-05-12,53.92,54.97,53.89,54.91,2.331
2014-05-13,54.92,54.92,54.64,54.67,0.995
2014-05-14,54.6,54.74,54.25,54.29,0.766
2014-05-15,54.24,54.24,53.63,53.8,1.058
2014-05-16,53.72,53.93,53.16,53.4,2.583
2014-05-19,53.22,53.86,53.07,53.78,2.319
2014-05-20,53.87,53.95,53.2,53.24,0.924
2014-05-21,53.32,53.5,53.13,53.23,0.829
2014-05-22,53.26,53.28,53.05,53.13,0.762
2014-05-23,53.22,53.53,53.08,53.38,0.664
2014-05-27,53.63,53.93,53.37,53.64,0.831
2014-05-28,53.73,54.19,53.53,53.94,1.18
2014-05-29,54.25,54.25,53.94,54.06,1.162
2014-05-30,54.03,54.21,53.92,54.15,0.824
2014-06-02,54.11,54.34,53.77,54.15,0.846
2014-06-03,53.87,54.19,53.85,54.0,0.503
2014-06-04,53.93,54.22,53.73,54.19,1.029
2014-06-05,54.14,54.56,53.94,54.55,0.843
2014-06-06,54.55,55.14,54.52,55.07,0.891
2014-06-09,55.06,55.43,54.97,55.15,0.684
2014-06-10,55.16,55.24,54.97,55.12,0.661
2014-06-11,54.97,54.97,54.4,54.43,0.595
2014-06-12,54.2,54.2,53.42,53.66,0.686
2014-06-13,53.64,54.0,53.62,53.85,0.698
2014-06-16,53.71,53.86,53.45,53.66,0.679
2014-06-17,53.61,54.26,53.6,54.08,1.09
2014-06-18,53.98,54.13,53.66,53.96,0.936
2014-06-19,54.02,54.33,53.91,54.2,1.364
2014-06-20,54.25,54.81,54.21,54.44,2.064
2014-06-23,54.43,54.67,54.22,54.6,0.855
2014-06-24,54.46,54.86,54.44,54.56,1.105
2014-06-25,54.4,55.4,54.33,55.29,1.683
2014-06-26,55.23,55.25,54.3,54.67,2.085
2014-06-27,54.51,54.9,54.39,54.81,1.394
2014-06-30,54.73,54.89,54.24,54.74,1.105
2014-07-01,54.89,55.43,54.81,54.92,1.169
2014-07-02,54.8,55.15,54.72,54.93,0.73
2014-07-03,55.01,55.5,54.91,55.44,0.542
2014-07-07,55.19,55.41,55.04,55.22,0.528
2014-07-08,55.24,55.32,54.79,55.1,0.935
2014-07-09,55.24,55.3,55.0,55.21,0.736
2014-07-10,54.71,55.54,54.66,55.1,1.126
2014-07-11,55.17,55.63,54.89,55.59,1.091
2014-07-14,55.76,56.17,55.63,56.15,1.235
2014-07-15,56.14,56.57,56.05,56.52,1.47
2014-07-16,56.65,56.86,56.39,56.77,2.123
2014-07-17,56.5,56.88,56.21,56.22,1.543
2014-07-18,56.33,56.95,56.18,56.91,1.036
2014-07-21,56.67,56.79,56.43,56.53,0.579
2014-07-22,56.73,56.98,56.63,56.9,0.946
2014-07-23,56.84,56.88,56.52,56.58,0.606
2014-07-24,56.73,56.75,56.44,56.58,1.019
2014-07-25,56.29,56.75,56.29,56.59,1.027
2014-07-28,56.5,56.7,56.01,56.56,1.298
2014-07-29,56.89,56.94,55.56,56.35,2.103
2014-07-30,56.47,57.07,56.33,57.02,1.742
2014-07-31,56.56,56.78,56.31,56.4,1.883
2014-08-01,56.11,56.54,56.08,56.1,1.192
2014-08-04,56.22,56.3,55.7,55.94,1.274
2014-08-05,55.8,56.18,55.33,55.42,1.135
2014-08-06,55.39,55.63,54.97,55.02,1.135
2014-08-07,55.17,55.67,54.79,54.86,1.418
2014-08-08,54.98,55.28,54.89,55.2,1.35
2014-08-11,55.45,55.92,55.34,55.39,1.089
2014-08-12,55.27,55.62,55.13,55.25,1.048
2014-08-13,55.54,55.99,55.49,55.9,1.282
2014-08-14,56.01,56.16,55.85,55.92,1.082
2014-08-15,56.13,56.36,55.43,55.8,1.937
2014-08-18,56.11,56.83,56.1,56.68,1.65
2014-08-19,56.72,57.31,56.71,56.91,1.714
2014-08-20,56.94,57.22,56.76,57.19,1.285
2014-08-21,57.2,57.64,56.97,57.32,0.948
2014-08-22,57.19,57.33,56.9,57.14,0.624
2014-08-25,57.35,57.65,57.17,57.49,1.447
2014-08-26,57.5,57.64,57.27,57.3,0.584
2014-08-27,57.25,57.34,56.83,56.98,0.628
2014-08-28,56.8,57.01,56.68,56.71,0.641
2014-08-29,56.6,56.86,56.42,56.75,0.655
2014-09-02,56.91,57.3,56.69,57.06,0.884
2014-09-03,57.15,57.36,57.0,57.27,0.692
2014-09-04,57.5,58.14,57.36,57.82,1.441
2014-09-05,57.76,58.55,57.75,58.51,1.371
2014-09-08,58.5,58.86,58.23,58.35,1.54
2014-09-09,58.24,58.36,57.59,57.66,1.536
2014-09-10,57.58,58.16,57.55,58.05,1.047
2014-09-11,57.76,57.89,57.36,57.49,1.605
2014-09-12,57.44,57.5,56.76,57.02,1.084
2014-09-15,57.06,57.15,56.74,56.9,0.792
2014-09-16,56.76,57.16,56.49,56.99,1.078
2014-09-17,57.02,57.27,56.72,56.89,1.016
2014-09-18,56.97,57.23,56.93,56.95,1.133
2014-09-19,57.23,57.47,57.12,57.26,2.768
2014-09-22,57.13,57.31,56.8,57.15,1.263
2014-09-23,57.02,57.34,56.9,56.9,1.209
2014-09-24,56.87,57.76,56.68,57.63,1.183
2014-09-25,57.46,57.56,56.52,56.53,1.575
2014-09-26,56.55,56.82,56.37,56.67,0.908
2014-09-29,55.94,56.67,55.73,56.49,1.012
2014-09-30,56.46,56.67,56.19,56.3,0.906
2014-10-01,56.11,56.23,55.62,55.7,0.876
2014-10-02,55.81,56.0,55.26,55.63,0.972
2014-10-03,55.81,56.69,55.81,56.49,2.192
2014-10-06,56.66,56.8,56.36,56.48,0.962
2014-10-07,56.03,56.11,55.21,55.22,1.461
2014-10-08,55.17,56.59,55.17,56.51,1.834
2014-10-09,56.44,56.47,55.05,55.09,0.95
2014-10-10,55.13,55.51,54.28,54.29,1.26
2014-10-13,54.36,54.36,53.18,53.23,1.282
2014-10-14,53.47,53.66,53.21,53.31,1.658
2014-10-15,52.56,52.81,51.38,52.4,1.607
2014-10-16,51.54,52.54,51.44,52.38,1.009
2014-10-17,52.97,53.7,52.68,53.41,1.566
2014-10-20,53.03,53.77,53.03,53.74,1.068
2014-10-21,53.99,54.82,53.87,54.7,1.565
2014-10-22,54.7,55.19,54.44,54.46,1.209
2014-10-23,55.18,55.43,54.94,55.24,1.185
2014-10-24,55.23,55.9,55.09,55.77,0.906
2014-10-27,55.69,55.8,55.26,55.57,0.923
2014-10-28,55.93,56.57,55.69,56.55,1.308
2014-10-29,56.67,56.78,55.76,56.2,1.654
2014-10-30,56.2,57.86,56.2,57.39,1.883
2014-10-31,58.19,59.24,58.16,58.39,2.369
2014-11-03,58.62,58.75,58.14,58.33,1.062
2014-11-04,58.18,58.55,58.03,58.23,1.169
2014-11-05,58.6,58.87,58.2,58.79,1.088
2014-11-06,58.91,59.03,58.66,58.92,0.614
2014-11-07,58.95,58.98,58.27,58.38,0.961
2014-11-10,58.22,58.66,57.19,58.58,0.9
2014-11-11,58.57,58.68,58.3,58.49,0.922
2014-11-12,58.34,58.93,58.34,58.91,1.214
2014-11-13,59.05,59.31,58.81,59.3,1.154
2014-11-14,59.35,59.57,58.99,59.12,3.0
2014-11-17,59.02,59.54,58.81,59.46,0.936
2014-11-18,59.36,59.96,59.25,59.8,1.204
2014-11-19,59.76,59.85,59.35,59.78,0.764
2014-11-20,59.54,59.81,59.36,59.7,0.658
2014-11-21,60.15,60.25,59.81,59.9,0.957
2014-11-24,59.95,60.22,59.93,60.11,0.682
2014-11-25,60.3,60.69,60.01,60.46,0.999
2014-11-26,60.51,60.91,60.37,60.76,0.835
2014-11-28,60.9,61.66,60.68,61.19,0.599
2014-12-01,60.83,61.69,60.68,61.43,0.963
2014-12-02,61.54,61.66,61.32,61.42,0.834
2014-12-03,61.34,61.83,61.2,61.74,0.703
2014-12-04,61.79,61.96,61.41,61.65,0.635
2014-12-05,61.65,61.89,61.41,61.62,0.624
2014-12-08,61.5,61.8,60.92,61.28,0.699
2014-12-09,60.62,61.4,60.5,61.35,0.699
2014-12-10,61.14,61.27,60.58,60.84,1.289
2014-12-11,60.93,61.54,60.77,60.99,0.87
2014-12-12,60.29,60.75,60.23,60.33,1.41
2014-12-15,60.38,60.71,59.71,60.45,1.451
2014-12-16,60.35,61.14,59.95,60.16,1.117
2014-12-17,60.26,61.51,60.04,61.5,1.208
2014-12-18,62.15,63.6,61.97,63.59,1.372
2014-12-19,63.76,64.3,62.92,63.07,2.94
2014-12-22,63.26,63.76,63.25,63.55,1.143
2014-12-23,63.77,64.15,63.7,64.04,0.583
2014-12-24,63.99,64.15,63.56,63.62,0.471
2014-12-26,63.91,63.92,63.46,63.51,0.367
2014-12-29,63.43,63.69,63.21,63.56,0.612
2014-12-30,63.35,63.45,63.12,63.16,0.424
2014-12-31,63.41,63.46,62.18,62.2,0.662
2015-01-02,62.33,63.03,61.82,62.41,0.666
2015-01-05,62.16,62.24,60.74,61.33,0.953
2015-01-06,61.39,61.73,60.36,61.25,1.19
2015-01-07,61.8,62.3,61.36,62.26,0.925
2015-01-08,62.83,63.19,62.71,63.14,0.907
2015-01-09,63.28,63.41,62.62,62.93,0.569
2015-01-12,62.89,63.17,62.42,62.73,0.666
2015-01-13,63.05,63.98,62.21,62.87,0.945
2015-01-14,62.09,62.34,61.55,62.22,0.585
2015-01-15,62.43,62.64,61.87,62.3,0.749
2015-01-16,62.16,63.34,62.11,63.29,0.847
2015-01-20,63.45,63.79,62.65,63.29,0.654
2015-01-21,62.87,63.19,62.41,62.73,0.753
2015-01-22,63.01,63.96,62.5,63.84,0.645
2015-01-23,63.86,64.42,63.64,64.01,0.774
2015-01-26,63.87,64.21,63.48,64.05,0.64
2015-01-27,63.28,63.43,62.47,63.14,1.048
2015-01-28,63.71,63.76,62.36,62.41,1.08
2015-01-29,62.4,63.5,62.2,63.36,1.104
2015-01-30,63.04,63.24,62.36,62.43,1.44
2015-02-02,62.86,63.01,61.65,63.0,1.124
2015-02-03,63.25,64.39,62.99,64.33,1.102
2015-02-04,64.29,64.86,63.81,64.49,1.379
2015-02-05,64.45,64.79,63.08,64.01,1.842
2015-02-06,64.05,64.6,63.63,63.93,1.494
2015-02-09,63.47,63.88,63.22,63.61,1.231
2015-02-10,63.87,64.84,63.75,64.68,0.688
2015-02-11,64.74,65.36,64.69,65.15,0.969
2015-02-12,65.36,66.19,65.36,66.19,0.763
2015-02-13,66.2,66.57,66.04,66.52,0.702
2015-02-17,66.25,66.96,66.25,66.91,0.903
2015-02-18,66.58,67.4,66.57,67.25,1.075
2015-02-19,67.33,67.71,67.08,67.69,0.972
2015-02-20,67.61,68.98,67.43,68.68,2.837
2015-02-23,68.68,68.79,67.82,68.21,1.208
2015-02-24,68.06,68.4,67.93,68.16,0.866
2015-02-25,67.97,68.45,67.91,68.01,0.998
2015-02-26,68.05,68.31,67.87,68.14,0.751
2015-02-27,67.89,68.03,67.44,67.59,1.104
2015-03-02,67.48,68.3,67.35,68.24,0.765
2015-03-03,67.9,67.99,67.28,67.61,0.948
2015-03-04,67.33,67.5,66.7,67.01,0.789
2015-03-05,67.28,67.37,66.85,67.25,0.579
2015-03-06,66.9,67.02,65.97,66.1,0.809
2015-03-09,66.02,66.77,66.02,66.62,0.675
2015-03-10,66.26,66.29,65.09,65.1,0.94
2015-03-11,65.03,65.24,64.5,64.6,1.016
2015-03-12,64.74,66.27,64.74,66.25,1.087
2015-03-13,66.02,66.18,64.95,65.3,0.812
2015-03-16,65.7,66.65,65.61,66.64,0.885
2015-03-17,66.2,66.62,66.05,66.35,0.585
2015-03-18,66.14,67.8,66.1,67.49,0.972
2015-03-19,67.5,67.76,67.19,67.61,0.66
2015-03-20,68.18,68.75,67.7,68.33,1.572
2015-03-23,68.29,68.89,68.06,68.53,0.92
2015-03-24,68.39,68.6,67.98,68.14,1.293
2015-03-25,68.12,68.19,67.53,67.54,2.031
2015-03-26,67.3,67.72,66.88,67.42,0.947
2015-03-27,67.25,67.69,66.74,67.07,1.15
2015-03-30,67.58,68.58,67.55,68.28,0.76
2015-03-31,68.05,68.58,67.83,68.06,0.736
2015-04-01,67.94,68.04,67.17,67.7,1.009
2015-04-02,67.81,68.45,67.54,68.08,0.925
2015-04-06,67.41,68.47,67.34,68.15,1.186
2015-04-07,68.08,68.33,67.83,67.89,0.727
2015-04-08,67.84,68.51,67.84,68.51,0.762
2015-04-09,68.53,68.55,67.75,68.08,0.92
2015-04-10,65.87,66.07,63.27,65.5,6.919
2015-04-13,65.21,65.74,64.55,64.69,2.453
2015-04-14,64.63,65.0,64.21,64.36,2.168
2015-04-15,64.57,64.96,63.93,64.31,2.474
2015-04-16,64.21,64.63,63.82,64.08,1.75
2015-04-17,63.61,63.72,62.94,63.33,2.382
2015-04-20,63.63,64.29,63.57,63.94,2.002
2015-04-21,64.05,64.85,64.05,64.09,1.915
2015-04-22,64.11,64.68,63.75,64.28,1.623
2015-04-23,64.16,64.67,63.99,64.51,1.325
2015-04-24,64.52,64.53,63.98,64.11,1.146
2015-04-27,64.38,64.38,63.84,64.01,1.393
2015-04-28,63.86,64.41,63.52,64.28,1.463
2015-04-29,64.11,64.59,64.01,64.15,1.636
2015-04-30,60.95,63.79,60.79,62.49,4.084
2015-05-01,62.7,63.15,62.18,63.11,2.016
2015-05-04,63.34,63.68,63.07,63.25,1.63
2015-05-05,63.02,63.55,62.99,63.37,2.109
2015-05-06,63.58,63.96,63.11,63.48,1.355
2015-05-07,63.5,64.32,63.41,64.06,1.372
