Date,Open,High,Low,Close,Volume
2014-01-02,20.94,21.06,20.83,20.87,6.971
2014-01-03,20.91,21.06,20.85,20.92,4.437
2014-01-06,21.01,21.33,20.94,20.95,7.209
2014-01-07,21.09,21.2,20.93,21.03,6.549
2014-01-08,21.02,21.23,21.0,21.13,7.551
2014-01-09,21.14,21.45,21.14,21.32,8.873
2014-01-10,21.25,21.55,21.25,21.53,8.715
2014-01-13,21.5,21.62,21.21,21.25,8.251
2014-01-14,21.31,21.53,21.21,21.36,7.441
2014-01-15,21.41,21.64,21.4,21.57,5.218
2014-01-16,21.49,21.55,21.31,21.37,5.595
2014-01-17,21.46,21.83,21.41,21.55,6.726
2014-01-21,21.63,21.89,21.63,21.82,6.867
2014-01-22,21.96,21.96,21.78,21.92,7.74
2014-01-23,21.65,21.91,21.35,21.52,11.225
2014-01-24,21.35,21.54,21.28,21.32,9.504
2014-01-27,21.9,21.91,21.09,21.13,9.456
2014-01-28,21.16,21.43,21.14,21.3,9.398
2014-01-29,21.14,21.34,20.9,20.95,12.29
2014-01-30,21.09,21.32,21.05,21.24,5.822
2014-01-31,20.98,21.27,20.81,21.02,7.693
2014-02-03,20.94,21.13,20.42,20.5,18.239
2014-02-04,20.55,20.87,20.37,20.59,10.597
2014-02-05,20.6,20.8,20.46,20.65,7.678
2014-02-06,20.98,21.11,20.84,21.08,7.597
2014-02-07,21.12,21.25,20.91,21.1,6.796
2014-02-10,21.5,21.5,21.14,21.27,8.595
2014-02-11,21.23,21.44,20.94,21.37,9.048
2014-02-12,21.46,21.67,21.28,21.36,9.049
2014-02-13,21.29,21.54,21.19,21.54,6.968
2014-02-14,21.46,21.72,21.42,21.63,5.524
2014-02-18,21.68,21.8,21.58,21.66,6.896
2014-02-19,21.63,21.66,21.26,21.31,10.907
2014-02-20,21.29,21.4,21.12,21.34,7.19
2014-02-21,21.39,21.61,21.34,21.44,8.206
2014-02-24,21.45,21.7,21.45,21.61,9.383
2014-02-25,21.66,21.74,21.44,21.61,7.964
2014-02-26,21.67,21.73,21.5,21.66,7.201
2014-02-27,21.67,21.72,21.51,21.72,6.946
2014-02-28,21.76,21.86,21.56,21.7,12.47
2014-03-03,21.53,21.58,21.41,21.52,8.702
2014-03-04,21.78,22.05,21.66,21.96,10.186
2014-03-05,21.94,22.23,21.88,22.2,7.13
2014-03-06,22.25,22.42,22.23,22.3,5.626
2014-03-07,22.42,22.75,22.42,22.63,7.671
2014-03-10,22.56,22.7,22.46,22.7,6.1
2014-03-11,22.72,22.75,22.44,22.51,5.603
2014-03-12,22.39,22.57,22.29,22.53,6.213
2014-03-13,22.56,22.73,22.35,22.43,6.998
2014-03-14,22.37,22.53,22.23,22.34,6.314
2014-03-17,22.81,22.83,22.42,22.6,5.792
2014-03-18,22.61,22.84,22.51,22.78,7.587
2014-03-19,22.76,23.0,22.64,22.83,6.885
2014-03-20,22.84,23.49,22.8,23.36,9.008
2014-03-21,23.63,23.9,23.31,23.39,17.742
2014-03-24,23.49,23.68,23.24,23.38,6.802
2014-03-25,23.42,23.52,23.3,23.34,7.236
2014-03-26,23.51,23.56,23.25,23.26,6.929
2014-03-27,23.12,23.24,22.41,22.55,13.659
2014-03-28,22.58,22.85,22.48,22.72,5.164
2014-03-31,22.93,23.03,22.83,22.96,6.438
2014-04-01,23.09,23.18,22.89,23.08,5.466
2014-04-02,23.14,23.19,22.95,23.06,5.086
2014-04-03,23.17,23.22,23.04,23.19,7.5
2014-04-04,23.25,23.41,22.89,22.92,6.821
2014-04-07,22.88,22.95,22.45,22.51,9.015
2014-04-08,22.53,22.64,22.31,22.45,6.392
