Date,Open,High,Low,Close,Volume
2014-01-02,65.28,65.38,64.47,64.64,0.699
2014-01-03,64.47,64.88,64.32,64.41,0.44
2014-01-06,64.75,64.75,63.96,64.0,0.678
2014-01-07,64.16,64.8,63.89,64.44,0.886
2014-01-08,64.42,64.8,64.03,64.54,0.948
2014-01-09,64.77,65.18,64.33,64.49,0.586
2014-01-10,64.66,64.8,64.16,64.37,0.936
2014-01-13,64.04,64.3,63.11,63.18,0.766
2014-01-14,63.21,64.27,63.21,64.25,0.9
2014-01-15,64.9,65.72,64.8,65.68,1.122
2014-01-16,65.56,65.91,65.53,65.68,0.642
2014-01-17,65.75,65.87,65.32,65.5,0.504
2014-01-21,65.92,66.46,65.52,65.73,1.131
2014-01-22,65.78,65.92,65.33,65.85,0.77
2014-01-23,65.28,65.46,63.9,64.3,1.059
2014-01-24,63.69,63.81,62.12,62.12,0.95
2014-01-27,61.99,62.78,61.37,62.18,1.025
2014-01-28,62.21,62.58,62.02,62.16,0.507
2014-01-29,61.76,62.8,61.73,62.15,0.738
2014-01-30,62.56,62.61,61.93,62.32,0.653
2014-01-31,61.53,62.08,61.2,61.26,1.144
2014-02-03,61.21,61.6,59.43,59.73,1.547
2014-02-04,60.09,60.98,59.61,60.29,1.215
2014-02-05,59.97,60.56,58.8,60.27,1.819
2014-02-06,60.09,62.91,58.38,62.06,3.596
2014-02-07,62.21,62.62,61.06,62.03,1.751
2014-02-10,61.78,62.11,61.27,62.01,0.935
2014-02-11,62.19,62.99,62.08,62.62,1.13
2014-02-12,62.77,63.14,62.22,62.29,0.897
2014-02-13,61.99,62.74,61.64,62.58,0.6
2014-02-14,62.5,63.56,62.36,63.25,0.884
2014-02-18,63.1,63.45,62.94,63.12,0.972
2014-02-19,63.12,63.75,62.78,63.02,1.007
2014-02-20,63.1,63.56,62.72,63.38,0.582
2014-02-21,63.57,63.66,62.98,63.05,0.529
2014-02-24,62.94,63.41,62.65,62.72,0.95
2014-02-25,62.77,63.31,62.5,63.03,0.863
2014-02-26,63.2,65.28,63.11,65.23,1.628
2014-02-27,65.24,66.66,65.23,66.13,2.117
2014-02-28,66.4,67.94,66.31,66.94,1.982
2014-03-03,66.23,66.78,65.75,66.66,0.87
2014-03-04,67.33,67.81,66.91,67.72,0.979
2014-03-05,67.61,67.76,67.11,67.44,1.248
2014-03-06,67.47,68.01,67.43,67.72,1.041
2014-03-07,67.93,68.14,67.48,67.54,1.117
2014-03-10,72.8,72.8,70.63,72.07,4.036
2014-03-11,71.27,71.6,70.05,70.37,2.049
2014-03-12,69.97,70.1,69.38,69.6,1.971
2014-03-13,69.97,70.49,69.05,69.51,1.349
2014-03-14,69.51,69.88,68.5,68.51,0.869
2014-03-17,68.69,69.64,68.44,69.19,1.611
2014-03-18,69.02,69.69,67.79,68.61,2.253
2014-03-19,68.66,68.85,67.23,67.59,1.325
2014-03-20,67.53,68.67,67.39,68.64,1.413
2014-03-21,69.23,69.63,68.43,68.43,3.963
2014-03-24,68.94,69.25,67.69,68.07,1.01
2014-03-25,68.53,68.99,67.81,67.87,0.66
2014-03-26,68.09,68.29,66.36,66.38,1.233
2014-03-27,67.44,67.44,66.29,66.91,1.34
2014-03-28,66.99,67.48,66.18,66.31,1.244
2014-03-31,66.57,66.75,65.87,66.4,2.046
2014-04-01,66.95,67.2,66.33,67.06,1.379
2014-04-02,66.9,68.04,66.83,67.94,1.333
2014-04-03,68.07,68.43,67.48,67.86,1.147
2014-04-04,68.37,68.64,66.45,66.55,0.942
2014-04-07,66.43,66.84,65.52,65.7,1.284
2014-04-08,65.89,66.59,65.56,66.35,1.03
2014-04-09,66.49,67.32,66.25,67.32,0.716
2014-04-10,67.22,67.4,65.51,65.51,0.878
2014-04-11,65.26,65.35,64.38,64.44,1.478
2014-04-14,65.05,65.51,64.54,64.99,0.912
2014-04-15,65.17,65.54,64.57,65.42,0.576
2014-04-16,66.0,66.81,65.87,66.62,0.602
2014-04-17,66.38,67.01,66.23,66.57,0.718
2014-04-21,66.46,66.84,66.26,66.6,0.478
2014-04-22,66.6,66.87,66.37,66.7,0.48
2014-04-23,66.71,66.98,66.57,66.72,0.389
2014-04-24,66.84,66.94,65.71,65.77,0.787
2014-04-25,65.67,66.05,65.38,65.57,0.638
2014-04-28,66.0,66.14,64.92,65.31,0.788
2014-04-29,65.65,66.36,65.64,66.05,0.507
2014-04-30,66.11,66.93,65.87,66.78,0.482
2014-05-01,66.56,66.78,66.01,66.54,0.652
2014-05-02,66.48,66.93,66.01,66.06,0.805
2014-05-05,65.76,66.23,65.45,66.03,1.103
2014-05-06,66.16,66.42,65.55,65.92,0.91
2014-05-07,66.06,66.31,62.9,63.56,4.02
2014-05-08,63.49,64.57,63.26,63.34,1.69
2014-05-09,63.28,63.71,62.94,63.25,1.051
2014-05-12,63.5,64.32,63.45,63.76,0.829
2014-05-13,63.81,64.06,63.12,63.18,0.885
2014-05-14,63.22,63.69,62.63,63.41,0.875
2014-05-15,63.23,63.3,61.97,62.7,1.196
2014-05-16,62.45,62.86,61.51,62.82,1.321
2014-05-19,62.57,64.02,62.46,63.6,0.895
2014-05-20,63.42,63.96,63.23,63.84,1.508
2014-05-21,64.07,64.67,63.95,64.58,1.143
2014-05-22,64.45,65.88,64.12,65.72,2.214
2014-05-23,65.31,65.78,65.23,65.69,1.62
2014-05-27,66.02,66.44,65.89,66.14,1.075
2014-05-28,66.14,66.66,65.96,66.34,0.894
2014-05-29,66.58,66.78,65.85,66.77,0.559
2014-05-30,66.7,66.76,66.28,66.4,0.803
2014-06-02,66.46,66.79,66.13,66.63,0.836
2014-06-03,66.35,66.71,66.1,66.19,1.015
2014-06-04,66.17,66.97,65.85,66.87,0.625
2014-06-05,66.96,68.07,66.58,67.87,1.05
2014-06-06,67.81,68.05,67.43,68.04,0.45
2014-06-09,67.96,68.08,67.48,67.7,0.428
2014-06-10,67.42,67.89,66.7,67.86,0.596
2014-06-11,67.46,68.07,67.0,67.64,0.54
2014-06-12,67.54,67.64,66.69,66.75,0.479
2014-06-13,66.78,67.02,66.65,67.0,0.539
2014-06-16,66.89,67.14,66.3,66.4,0.558
2014-06-17,66.42,66.44,65.69,65.74,1.478
2014-06-18,65.92,66.0,64.84,65.05,2.148
2014-06-19,65.21,65.6,64.93,64.94,1.756
2014-06-20,64.87,65.16,64.57,64.83,4.124
2014-06-23,63.68,63.68,61.54,61.67,3.91
2014-06-24,61.57,62.07,60.95,61.53,2.026
2014-06-25,61.55,61.89,60.96,61.25,1.403
2014-06-26,60.99,61.6,60.28,61.58,2.306
2014-06-27,61.41,61.48,61.0,61.42,1.465
2014-06-30,61.38,61.94,61.08,61.74,1.984
2014-07-01,61.77,61.93,61.39,61.58,1.323
2014-07-02,61.43,61.76,61.05,61.2,1.167
2014-07-03,61.41,62.04,61.27,61.91,0.516
2014-07-07,61.7,61.8,61.14,61.37,0.691
2014-07-08,61.36,61.36,60.49,60.57,1.207
2014-07-09,60.9,61.0,60.48,60.77,0.953
2014-07-10,60.09,60.43,59.58,59.97,1.688
2014-07-11,60.05,60.17,59.84,60.07,0.735
2014-07-14,59.44,59.88,59.39,59.7,0.929
2014-07-15,60.9,61.21,59.71,59.94,2.31
2014-07-16,60.37,60.39,59.77,60.05,1.044
2014-07-17,59.74,60.1,59.3,59.32,1.19
2014-07-18,59.38,60.04,59.06,59.97,0.826
2014-07-21,59.91,60.22,59.42,59.44,0.585
2014-07-22,59.8,59.92,59.46,59.67,0.693
2014-07-23,59.66,59.79,59.47,59.67,0.62
2014-07-24,59.84,59.84,59.34,59.39,0.935
2014-07-25,59.31,59.78,59.17,59.22,0.747
2014-07-28,59.36,59.76,58.99,59.36,2.72
2014-07-29,59.47,59.63,59.0,59.01,1.009
2014-07-30,59.01,59.3,58.01,58.13,1.929
2014-07-31,58.07,58.51,56.37,56.57,1.901
2014-08-01,56.33,56.92,56.32,56.79,1.109
2014-08-04,56.81,57.11,56.58,56.89,1.433
2014-08-05,56.66,56.76,55.92,56.21,1.282
2014-08-06,56.11,56.37,55.94,56.2,0.857
2014-08-07,56.31,56.4,55.55,55.66,0.596
2014-08-08,55.95,56.43,55.76,56.35,0.847
2014-08-11,56.53,56.9,56.25,56.29,0.703
2014-08-12,56.24,56.55,55.98,56.19,0.691
2014-08-13,56.47,56.84,56.11,56.11,1.124
2014-08-14,56.37,57.59,56.37,57.24,4.184
2014-08-15,57.8,57.96,56.63,57.28,2.058
2014-08-18,57.6,58.0,57.53,57.6,1.711
2014-08-19,57.58,57.73,57.43,57.54,0.928
2014-08-20,57.54,58.0,57.34,57.61,1.184
2014-08-21,57.74,57.74,57.15,57.19,1.406
2014-08-22,57.11,57.46,56.41,56.69,1.31
2014-08-25,57.03,57.09,56.7,56.83,0.983
2014-08-26,57.0,57.22,56.62,56.72,1.147
2014-08-27,56.83,57.22,56.83,57.0,1.372
2014-08-28,56.9,57.55,56.84,57.36,2.065
2014-08-29,57.37,57.73,57.16,57.36,0.881
2014-09-02,57.48,57.53,56.82,57.22,1.213
2014-09-03,57.35,57.52,56.88,56.98,0.784
2014-09-04,57.03,57.22,56.71,56.76,1.254
2014-09-05,56.67,56.91,56.48,56.9,0.623
2014-09-08,56.9,57.81,56.9,57.35,1.81
2014-09-09,57.02,57.45,55.39,55.52,1.727
2014-09-10,55.52,55.52,54.64,55.08,2.039
2014-09-11,54.86,55.66,54.78,55.15,1.567
2014-09-12,55.21,55.22,53.84,54.15,1.874
2014-09-15,54.13,55.21,54.01,54.97,2.263
2014-09-16,54.97,55.01,54.54,54.83,1.154
2014-09-17,55.07,55.1,53.15,53.17,4.012
2014-09-18,53.24,53.56,52.68,52.79,2.846
2014-09-19,52.93,52.95,52.44,52.58,1.79
2014-09-22,52.71,52.79,52.35,52.39,1.251
2014-09-23,52.39,52.52,52.05,52.06,0.992
2014-09-24,52.04,52.14,51.6,51.61,1.632
2014-09-25,51.42,51.47,50.37,50.49,2.251
2014-09-26,50.42,50.69,50.35,50.49,1.272
2014-09-29,50.19,50.36,49.71,49.83,1.343
2014-09-30,49.76,50.1,49.42,49.6,4.236
2014-10-01,49.17,49.58,48.71,48.84,2.465
2014-10-02,48.66,49.53,48.57,49.38,2.687
2014-10-03,49.65,49.79,49.29,49.41,1.768
2014-10-06,49.63,49.99,49.43,49.43,1.563
2014-10-07,48.97,48.98,47.68,47.68,2.713
2014-10-08,47.76,47.87,47.13,47.59,2.529
2014-10-09,47.63,47.76,46.21,46.39,1.807
2014-10-10,46.27,46.76,45.65,45.75,1.342
2014-10-13,45.78,46.17,44.74,44.75,1.497
2014-10-14,44.65,46.45,44.27,45.81,2.292
2014-10-15,45.72,47.28,44.73,47.1,3.035
2014-10-16,46.9,48.99,46.62,48.69,2.99
2014-10-17,49.13,50.03,48.67,48.99,2.02
2014-10-20,48.86,49.3,48.86,49.26,1.402
2014-10-21,49.65,51.19,49.49,51.14,1.866
2014-10-22,51.69,51.75,50.6,50.69,2.683
2014-10-23,51.3,51.41,50.31,50.46,1.903
2014-10-24,50.42,50.63,49.68,50.41,1.195
2014-10-27,49.93,49.94,48.91,49.25,1.212
2014-10-28,49.53,50.12,49.32,50.11,1.612
2014-10-29,50.04,50.3,49.05,49.84,2.532
2014-10-30,48.13,50.71,47.83,50.41,3.426
2014-10-31,50.79,50.94,49.51,49.74,3.15
2014-11-03,49.85,50.05,48.65,48.79,1.563
2014-11-04,48.92,48.99,48.31,48.38,1.519
2014-11-05,48.61,49.15,48.38,49.11,1.197
2014-11-06,49.21,49.66,48.94,49.64,1.413
2014-11-07,49.64,49.84,49.27,49.44,1.592
2014-11-10,49.38,49.72,49.16,49.25,1.175
2014-11-11,49.26,49.64,49.15,49.28,1.584
2014-11-12,49.16,49.28,48.86,49.23,0.761
2014-11-13,49.35,49.49,48.63,48.91,0.84
2014-11-14,48.91,49.3,48.86,49.11,0.886
2014-11-17,49.1,49.48,48.8,48.85,1.227
2014-11-18,48.94,49.4,48.82,49.25,1.685
2014-11-19,49.26,49.26,48.69,48.89,0.867
2014-11-20,48.61,48.92,48.4,48.54,1.716
2014-11-21,49.34,49.58,48.86,49.0,1.373
2014-11-24,49.0,49.28,48.67,49.2,1.807
2014-11-25,49.26,49.29,48.73,48.75,1.059
2014-11-26,48.56,48.75,48.14,48.3,0.979
2014-11-28,48.08,48.33,47.09,47.18,0.63
2014-12-01,47.09,47.46,46.57,46.62,1.75
2014-12-02,46.49,47.05,46.42,46.9,1.335
2014-12-03,46.83,47.8,46.57,47.74,2.172
2014-12-04,47.6,48.16,47.59,47.92,1.119
2014-12-05,48.06,49.8,47.94,49.4,2.521
2014-12-08,49.34,49.38,48.62,48.75,1.381
2014-12-09,48.49,48.91,48.26,48.86,1.05
2014-12-10,48.62,48.89,47.68,47.84,1.449
2014-12-11,47.71,48.77,47.71,48.41,2.23
2014-12-12,48.08,48.14,47.68,47.7,2.176
2014-12-15,48.27,48.58,47.6,47.69,1.888
2014-12-16,47.54,48.28,47.04,47.09,1.49
2014-12-17,47.31,48.58,47.14,48.57,1.216
2014-12-18,50.05,50.06,48.04,49.0,2.082
2014-12-19,49.3,49.58,48.98,49.4,2.849
2014-12-22,49.25,49.54,48.42,49.01,1.614
2014-12-23,49.09,50.26,49.05,50.23,1.436
2014-12-24,50.16,50.29,49.85,50.08,0.411
2014-12-26,50.27,50.3,49.89,49.92,0.598
2014-12-29,49.71,50.21,49.71,49.98,0.772
2014-12-30,49.85,50.22,49.74,49.91,0.695
2014-12-31,49.97,50.25,49.38,49.46,1.086
2015-01-02,49.51,49.51,48.53,49.41,1.154
2015-01-05,49.04,49.12,48.06,48.33,1.216
2015-01-06,48.43,49.39,48.2,48.64,1.661
2015-01-07,48.96,49.2,48.55,49.0,0.853
2015-01-08,49.34,50.24,49.26,50.22,1.329
2015-01-09,50.46,50.57,49.73,49.9,1.126
2015-01-12,50.73,51.55,49.65,51.34,2.266
2015-01-13,51.58,52.12,50.67,51.54,2.041
2015-01-14,50.79,51.14,50.14,51.1,1.319
2015-01-15,51.28,51.53,50.42,50.42,1.545
2015-01-16,50.41,50.64,49.89,50.56,1.356
2015-01-20,50.49,50.82,49.79,50.22,0.698
2015-01-21,50.04,50.76,49.9,50.63,0.774
2015-01-22,50.65,51.63,50.57,51.51,0.799
2015-01-23,51.55,51.55,50.17,50.23,0.7
2015-01-26,50.15,50.75,49.86,50.5,0.742
2015-01-27,49.77,50.97,49.7,50.64,0.815
2015-01-28,51.02,51.02,49.47,49.57,0.661
2015-01-29,49.71,50.04,49.05,49.52,0.96
2015-01-30,49.06,50.41,48.92,49.87,1.215
2015-02-02,50.23,50.34,49.38,50.16,0.89
2015-02-03,50.29,51.73,50.27,51.57,1.848
2015-02-04,51.43,51.81,50.71,51.07,1.49
2015-02-05,49.52,54.6,48.35,53.82,4.425
2015-02-06,53.64,54.15,52.67,53.53,1.981
2015-02-09,53.24,53.97,53.24,53.48,1.351
2015-02-10,53.42,53.61,52.97,53.39,0.803
2015-02-11,53.23,53.87,53.08,53.69,1.024
2015-02-12,53.83,55.03,53.83,54.85,1.401
2015-02-13,54.85,55.33,54.79,55.23,1.264
2015-02-17,54.91,55.99,54.73,55.88,1.621
2015-02-18,55.77,56.05,55.4,55.53,1.484
2015-02-19,55.09,55.49,54.91,55.27,1.103
2015-02-20,55.22,55.52,54.83,55.52,0.736
2015-02-23,55.35,55.46,55.12,55.28,0.666
2015-02-24,55.34,55.74,55.13,55.37,0.942
2015-02-25,55.49,55.89,55.16,55.73,0.809
2015-02-26,55.58,55.75,54.97,55.18,0.847
2015-02-27,55.18,55.26,54.85,55.0,0.778
2015-03-02,55.0,56.03,54.59,56.02,0.67
2015-03-03,55.73,56.13,55.31,55.51,0.536
2015-03-04,55.11,55.26,54.67,54.87,0.735
2015-03-05,54.88,54.89,53.82,54.06,0.631
2015-03-06,53.63,53.76,52.86,53.09,1.301
2015-03-09,53.13,53.61,52.89,53.17,1.209
2015-03-10,52.65,52.92,51.89,51.99,1.448
2015-03-11,51.99,52.42,51.84,52.23,0.656
2015-03-12,52.44,52.6,52.06,52.58,0.749
2015-03-13,52.3,52.56,51.93,52.25,1.024
2015-03-16,52.21,52.42,51.73,52.12,1.095
2015-03-17,51.76,52.25,51.3,51.47,1.183
2015-03-18,51.2,51.73,50.41,51.34,1.527
2015-03-19,51.12,51.41,50.86,51.13,1.053
2015-03-20,51.4,51.81,50.91,51.72,1.367
2015-03-23,51.78,52.35,51.54,51.87,1.052
2015-03-24,51.77,51.77,51.08,51.2,0.987
2015-03-25,51.21,51.31,50.27,50.27,0.962
2015-03-26,50.22,50.6,49.96,50.44,1.371
2015-03-27,49.97,50.36,49.35,49.45,1.541
2015-03-30,49.64,50.23,49.54,50.13,1.115
2015-03-31,49.96,50.14,49.52,49.65,1.716
2015-04-01,49.71,49.77,48.92,49.45,1.379
2015-04-02,49.24,49.52,49.17,49.18,0.765
2015-04-06,49.04,49.74,49.04,49.58,1.76
2015-04-07,49.62,50.09,49.59,49.66,0.853
2015-04-08,49.88,50.04,49.56,49.71,0.934
2015-04-09,49.78,49.84,49.41,49.75,1.95
2015-04-10,49.92,50.63,49.71,50.63,2.967
2015-04-13,50.49,51.43,50.36,50.92,1.057
2015-04-14,50.56,50.99,50.26,50.75,1.427
2015-04-15,50.93,51.94,50.82,51.75,1.465
2015-04-16,51.6,51.68,51.23,51.33,1.019
2015-04-17,50.79,51.06,50.27,50.32,1.16
2015-04-20,50.42,50.77,50.22,50.39,0.948
2015-04-21,50.39,50.71,49.79,50.26,1.121
2015-04-22,50.27,50.42,50.04,50.4,0.871
2015-04-23,50.43,50.98,50.29,50.82,0.821
2015-04-24,50.87,51.11,50.73,50.8,0.884
2015-04-27,51.0,51.15,50.69,51.04,2.023
2015-04-28,51.08,51.34,50.7,51.26,1.194
2015-04-29,51.01,52.19,50.81,51.98,0.943
2015-04-30,51.8,52.04,51.23,51.44,0.746
2015-05-01,51.68,52.37,51.65,52.24,0.966
2015-05-04,52.24,52.77,52.23,52.36,0.777
2015-05-05,52.52,52.84,51.44,51.47,0.564
2015-05-06,51.75,51.91,51.14,51.6,0.519
2015-05-07,51.43,51.74,51.08,51.56,0.603
2015-05-08,52.04,53.0,52.04,52.86,1.746
2015-05-11,51.5,52.69,51.41,52.63,2.428
2015-05-12,52.1,52.19,49.44,50.1,4.496
2015-05-13,50.11,51.25,49.25,51.06,2.966
2015-05-14,51.34,51.34,50.34,50.56,1.3
2015-05-15,50.44,50.63,50.28,50.62,0.72
2015-05-18,50.56,50.56,49.77,50.03,0.84
2015-05-19,49.91,50.2,49.47,49.73,0.778
2015-05-20,49.87,49.87,49.46,49.65,0.505
2015-05-21,49.61,50.2,49.45,50.12,0.703
2015-05-22,50.1,50.65,49.99,50.53,0.775
2015-05-26,50.25,50.49,49.94,50.06,0.891
2015-05-27,50.08,50.38,49.78,50.26,0.785
2015-05-28,50.08,50.27,49.93,50.23,0.854
2015-05-29,50.16,50.22,49.38,49.58,1.217
2015-06-01,49.7,49.7,48.95,49.09,1.132
2015-06-02,49.0,49.34,48.72,48.94,2.243
2015-06-03,49.11,49.96,48.8,49.9,0.971
2015-06-04,49.51,49.78,48.92,48.98,0.72
2015-06-05,48.9,49.18,48.44,48.63,0.727
2015-06-08,48.49,48.63,48.1,48.2,0.968
2015-06-09,48.27,48.42,47.7,47.81,0.946
2015-06-10,48.26,48.4,47.74,48.18,1.288
2015-06-11,48.28,48.68,47.97,48.15,0.824
2015-06-12,48.04,48.12,47.63,47.75,0.837
2015-06-15,47.5,47.65,47.3,47.61,0.803
2015-06-16,47.54,48.12,47.38,48.02,0.592
2015-06-17,48.14,48.53,47.75,48.25,0.561
2015-06-18,48.44,48.7,48.15,48.4,0.68
2015-06-19,48.26,48.57,47.62,47.65,1.15
2015-06-22,47.86,47.94,47.66,47.89,0.527
2015-06-23,47.91,48.0,47.6,47.71,0.772
2015-06-24,47.67,47.9,46.41,46.44,1.392
2015-06-25,46.62,46.77,46.08,46.15,1.132
2015-06-26,46.17,46.53,46.15,46.38,1.65
2015-06-29,45.98,46.1,44.88,44.9,0.849
2015-06-30,45.28,45.72,44.39,45.58,1.95
2015-07-01,45.74,45.74,44.81,44.92,1.615
2015-07-02,45.07,45.14,44.27,44.63,1.001
2015-07-06,43.98,44.39,43.54,43.63,1.162
2015-07-07,43.63,43.69,42.61,43.36,1.436
2015-07-08,42.97,43.04,42.18,42.25,0.718
2015-07-09,42.81,43.0,42.14,42.21,0.885
2015-07-10,42.66,43.01,42.52,42.95,0.731
2015-07-13,43.18,43.55,43.05,43.52,0.575
2015-07-14,43.41,44.15,43.17,44.15,1.0
2015-07-15,43.88,44.19,43.52,43.63,1.08
2015-07-16,43.72,43.82,43.48,43.6,0.632
2015-07-17,43.41,43.43,43.03,43.15,1.112
2015-07-20,43.07,43.32,42.84,42.9,1.104
2015-07-21,42.93,43.2,42.43,42.49,0.664
2015-07-22,42.43,42.65,42.23,42.35,0.678
2015-07-23,42.58,42.67,42.18,42.38,0.805
2015-07-24,42.25,42.48,41.3,41.47,0.999
2015-07-27,41.13,41.4,40.82,40.95,0.874
2015-07-28,41.1,41.92,40.95,41.84,0.848
2015-07-29,42.02,42.19,41.57,41.69,0.892
2015-07-30,41.73,42.27,41.35,41.95,0.756
2015-07-31,42.15,42.25,41.71,42.1,0.835
2015-08-03,42.11,42.31,41.47,42.03,1.328
2015-08-04,41.99,42.71,41.63,42.23,0.835
2015-08-05,42.49,42.89,42.03,42.06,0.972
2015-08-06,41.94,43.61,41.58,42.56,1.72
2015-08-07,42.4,42.54,41.03,41.08,1.089
2015-08-10,41.39,42.79,41.16,42.69,1.366
2015-08-11,42.18,42.18,41.79,41.9,0.98
2015-08-12,41.39,41.66,40.95,41.1,1.079
2015-08-13,40.94,40.95,40.15,40.31,1.254
2015-08-14,40.34,40.48,40.14,40.33,1.144
2015-08-17,40.84,41.47,40.33,41.39,0.765
2015-08-18,41.27,41.49,40.96,41.16,0.787
2015-08-19,40.87,40.99,40.21,40.73,0.962
2015-08-20,40.47,40.54,39.81,39.81,0.691
2015-08-21,39.47,39.78,38.71,38.72,1.563
2015-08-24,37.08,38.73,36.66,37.42,2.192
2015-08-25,38.44,38.47,34.8,34.92,3.23
2015-08-26,35.52,35.58,34.22,34.93,4.302
