Date,Open,High,Low,Close,Volume
2014-01-02,54.28,57.58,54.01,57.44,5.404
2014-01-03,57.59,58.3,55.85,56.74,4.119
2014-01-06,54.25,54.63,51.01,51.26,11.792
2014-01-07,52.15,53.89,52.06,52.49,6.662
2014-01-08,52.29,52.89,51.41,51.68,4.93
2014-01-09,52.03,52.85,51.81,52.11,4.16
2014-01-10,52.31,52.69,51.38,51.97,2.83
2014-01-13,51.92,51.98,49.41,49.86,4.422
2014-01-14,50.12,51.5,50.08,51.05,4.564
2014-01-15,51.47,52.56,51.35,51.99,3.41
2014-01-16,52.8,53.65,51.86,52.2,5.121
2014-01-17,52.02,53.17,51.6,51.88,4.048
2014-01-21,51.98,52.38,50.45,51.81,3.269
2014-01-22,52.06,52.45,51.56,52.04,2.552
2014-01-23,51.55,51.8,49.91,50.44,3.243
2014-01-24,49.75,49.99,48.11,48.67,3.878
2014-01-27,48.33,50.12,47.75,48.84,3.207
2014-01-28,49.38,50.45,49.02,50.36,2.506
2014-01-29,49.5,50.92,49.11,49.7,2.67
2014-01-30,50.46,52.13,49.79,51.47,2.9
2014-01-31,50.46,51.92,50.3,50.58,2.654
2014-02-03,50.41,50.85,47.64,48.35,3.97
2014-02-04,48.9,49.43,48.35,49.11,2.257
2014-02-05,48.27,48.85,47.04,47.73,3.399
2014-02-06,48.01,48.95,47.81,48.2,2.303
2014-02-07,48.92,49.92,48.3,49.83,2.863
2014-02-10,49.97,51.48,49.7,51.1,3.321
2014-02-11,51.45,52.33,50.85,51.46,3.297
2014-02-12,51.78,52.78,51.3,51.58,2.328
2014-02-13,50.54,52.94,50.03,52.85,4.08
2014-02-14,53.2,53.66,52.01,53.17,3.185
2014-02-18,53.68,57.17,53.54,56.86,5.909
2014-02-19,56.63,57.95,55.61,55.97,4.69
2014-02-20,56.07,57.3,55.12,56.88,3.014
2014-02-21,57.37,57.54,55.7,55.93,2.771
2014-02-24,56.59,58.85,56.37,57.75,4.11
2014-02-25,58.5,58.75,56.91,58.03,7.232
2014-02-26,50.15,53.6,49.52,52.74,16.542
2014-02-27,54.09,57.3,54.0,57.19,9.843
2014-02-28,57.14,57.74,56.29,57.07,4.567
2014-03-03,55.71,57.36,55.1,55.96,3.892
2014-03-04,56.63,58.05,56.25,57.71,3.985
2014-03-05,57.5,59.1,57.37,58.15,3.489
2014-03-06,58.39,59.44,57.53,58.24,3.096
2014-03-07,58.63,58.7,55.72,56.11,4.287
2014-03-10,55.94,56.36,54.43,54.84,2.844
2014-03-11,55.07,55.71,53.09,53.48,3.069
2014-03-12,53.11,54.49,52.79,53.7,2.2
2014-03-13,53.97,54.46,52.42,53.03,2.941
2014-03-14,52.68,54.34,52.68,54.03,2.527
2014-03-17,55.38,56.99,54.75,56.52,4.576
2014-03-18,56.55,58.2,56.13,57.56,4.397
2014-03-19,57.1,70.99,56.96,69.4,30.879
2014-03-20,70.17,73.74,68.53,70.48,21.779
2014-03-21,70.0,73.97,69.55,73.37,11.885
2014-03-24,72.86,74.84,71.02,73.87,8.155
2014-03-25,74.0,74.2,70.46,72.08,6.868
2014-03-26,71.98,72.5,68.37,68.49,6.227
2014-03-27,68.58,70.5,67.18,69.75,5.715
2014-03-28,70.31,71.15,68.38,68.64,3.745
2014-03-31,69.55,70.49,68.94,69.79,2.961
2014-04-01,70.04,71.62,69.91,70.89,3.78
2014-04-02,71.06,72.79,70.31,71.93,3.804
2014-04-03,71.9,72.1,67.64,68.46,4.678
2014-04-04,69.68,72.96,68.66,69.72,6.891
2014-04-07,69.12,71.21,67.05,68.0,5.186
2014-04-08,68.71,74.0,68.46,72.77,6.765
2014-04-09,73.26,74.18,71.31,73.34,5.43
2014-04-10,73.18,73.78,69.3,69.63,4.774
2014-04-11,68.7,70.53,66.95,67.59,4.978
2014-04-14,68.48,69.28,66.77,68.3,3.594
2014-04-15,68.24,68.6,63.31,66.39,5.159
2014-04-16,67.05,67.95,65.34,67.59,2.723
2014-04-17,67.86,68.95,66.7,67.32,2.535
2014-04-21,67.42,69.23,66.5,69.21,2.406
2014-04-22,70.04,72.2,69.2,71.12,3.454
