Date,Open,High,Low,Close,Volume
2014-01-02,94.85,95.53,94.54,94.75,1.816
2014-01-03,94.76,95.37,94.34,94.74,1.046
2014-01-06,94.95,95.27,94.03,94.46,1.582
2014-01-07,94.7,95.66,94.67,95.26,1.471
2014-01-08,95.16,95.3,94.2,94.72,1.842
2014-01-09,95.02,95.97,94.99,95.23,1.848
2014-01-10,95.6,95.64,94.53,95.1,1.46
2014-01-13,94.89,96.28,94.7,95.01,1.846
2014-01-14,95.44,95.96,95.0,95.96,1.66
2014-01-15,95.23,96.65,94.93,95.59,2.668
2014-01-16,95.45,95.83,95.18,95.4,0.777
2014-01-17,95.4,95.92,95.33,95.47,1.748
2014-01-21,95.84,96.87,95.21,95.3,1.673
2014-01-22,96.12,100.6,93.85,99.65,5.421
2014-01-23,99.96,101.8,99.93,101.55,3.071
2014-01-24,100.04,100.21,98.1,98.31,3.504
2014-01-27,97.86,100.37,97.86,99.95,3.146
2014-01-28,100.02,101.73,100.02,100.5,3.569
2014-01-29,99.78,99.99,98.43,99.01,2.536
2014-01-30,99.14,100.71,99.11,100.49,2.364
2014-01-31,99.21,102.18,98.83,101.31,3.304
2014-02-03,101.0,101.77,98.4,98.47,2.722
2014-02-04,100.82,101.59,98.75,99.68,7.819
2014-02-05,99.26,99.84,97.58,98.88,4.056
2014-02-06,100.15,101.59,99.62,101.22,3.383
2014-02-07,101.87,104.58,101.51,104.19,3.159
2014-02-10,103.2,103.64,102.44,102.51,2.76
2014-02-11,102.76,103.75,102.56,103.22,1.949
2014-02-12,103.29,103.81,103.04,103.66,2.009
2014-02-13,103.04,104.01,102.9,103.73,1.63
2014-02-14,103.62,106.45,103.22,106.35,2.58
2014-02-18,106.08,107.22,105.58,106.77,2.247
2014-02-19,106.33,107.25,105.05,105.26,2.762
2014-02-20,105.65,108.0,105.53,107.75,2.377
2014-02-21,108.07,108.21,107.06,107.45,2.426
2014-02-24,107.27,109.57,107.0,108.76,2.642
2014-02-25,108.61,109.26,107.98,108.27,2.09
2014-02-26,108.24,108.7,107.39,108.03,2.138
2014-02-27,107.98,109.04,107.41,108.98,1.894
2014-02-28,109.04,110.25,108.79,109.54,2.282
2014-03-03,108.06,110.98,107.73,110.61,3.125
2014-03-04,111.13,113.57,111.1,112.66,3.642
2014-03-05,112.4,113.1,111.69,111.84,2.237
2014-03-06,110.81,112.13,110.72,111.45,2.59
2014-03-07,110.83,112.09,110.62,111.49,2.642
2014-03-10,110.52,111.28,110.01,110.41,2.191
2014-03-11,109.84,110.63,108.92,108.99,1.905
2014-03-12,108.5,109.46,108.04,109.38,1.794
2014-03-13,109.58,110.32,107.3,107.99,3.006
2014-03-14,107.85,108.47,107.21,107.63,2.445
2014-03-17,106.36,108.92,106.29,108.41,1.757
2014-03-18,108.89,109.64,108.68,109.4,2.034
2014-03-19,109.66,110.33,107.48,108.02,2.186
2014-03-20,107.95,108.38,106.87,107.25,2.057
2014-03-21,108.28,108.44,107.04,107.08,5.152
2014-03-24,107.5,107.96,105.66,106.58,2.192
2014-03-25,107.13,108.52,106.81,107.65,1.851
2014-03-26,108.19,108.82,106.66,106.66,2.074
2014-03-27,106.2,107.23,105.5,106.37,1.893
2014-03-28,106.43,108.08,106.38,107.7,1.506
2014-03-31,108.5,109.18,108.19,108.92,1.714
2014-04-01,109.16,109.74,108.66,109.68,1.441
