Date,Open,High,Low,Close,Volume
2014-01-02,49.6,49.68,49.27,49.4,2.206
2014-01-03,49.41,49.56,49.1,49.26,2.31
2014-01-06,49.38,49.6,49.08,49.34,3.26
2014-01-07,49.64,49.94,49.26,49.85,4.607
2014-01-08,49.34,49.42,48.4,48.57,5.748
2014-01-09,48.64,49.07,48.6,49.0,4.566
2014-01-10,49.17,49.31,49.04,49.29,2.798
2014-01-13,49.13,49.47,48.73,48.81,2.675
2014-01-14,48.27,49.02,48.25,48.8,4.312
2014-01-15,48.93,48.95,48.35,48.4,3.929
2014-01-16,48.3,48.73,48.26,48.52,3.255
2014-01-17,48.44,48.6,48.22,48.28,3.791
2014-01-21,48.55,48.8,48.29,48.54,3.474
2014-01-22,48.54,48.98,48.5,48.77,2.986
2014-01-23,48.5,48.83,48.21,48.71,3.504
2014-01-24,48.45,49.11,48.28,48.28,4.033
2014-01-27,48.34,48.79,48.28,48.53,3.413
2014-01-28,48.53,49.13,48.5,48.96,3.129
2014-01-29,48.67,48.71,47.85,47.94,5.126
2014-01-30,48.07,48.66,47.94,48.57,3.291
2014-01-31,48.02,48.37,47.72,48.02,3.734
2014-02-03,48.07,48.07,46.83,46.86,4.717
2014-02-04,46.99,47.29,46.9,47.09,2.649
2014-02-05,46.89,47.46,46.7,47.36,3.004
2014-02-06,47.49,47.75,47.31,47.66,3.025
2014-02-07,47.74,48.13,47.67,48.05,2.377
2014-02-10,47.96,48.35,47.84,48.31,1.863
2014-02-11,48.13,49.0,47.9,48.93,3.307
2014-02-12,48.8,49.11,48.47,48.53,2.918
2014-02-13,48.27,49.27,48.26,49.19,2.607
2014-02-14,49.14,49.95,49.08,49.89,3.775
2014-02-18,49.94,49.94,49.36,49.68,2.826
2014-02-19,49.47,49.65,49.18,49.27,2.132
2014-02-20,49.27,49.94,49.21,49.78,2.436
2014-02-21,49.89,50.09,49.49,49.51,2.937
2014-02-24,49.73,50.06,49.62,49.85,2.828
2014-02-25,49.93,50.27,49.81,50.05,2.76
2014-02-26,50.09,50.29,49.57,49.66,2.142
2014-02-27,49.48,49.83,49.45,49.78,2.172
2014-02-28,49.82,50.32,49.79,50.03,3.337
2014-03-03,49.52,50.01,49.52,49.86,3.465
2014-03-04,50.22,50.76,50.12,50.74,3.824
2014-03-05,50.62,50.91,50.46,50.64,2.317
2014-03-06,50.58,50.84,50.56,50.67,1.962
2014-03-07,50.73,50.84,50.43,50.8,1.809
2014-03-10,50.55,50.57,50.28,50.45,2.582
2014-03-11,50.56,50.84,50.4,50.74,2.281
2014-03-12,50.61,51.4,50.55,51.35,2.965
2014-03-13,51.39,51.67,50.8,51.01,3.737
2014-03-14,49.44,50.32,49.44,49.77,5.783
2014-03-17,50.04,50.53,49.97,50.43,3.429
2014-03-18,50.71,50.99,50.35,50.71,3.078
2014-03-19,50.65,51.4,50.61,50.74,3.426
2014-03-20,50.88,51.29,50.72,51.05,3.37
2014-03-21,51.44,51.7,51.03,51.03,6.46
2014-03-24,51.22,51.44,50.72,50.72,3.534
2014-03-25,51.03,51.25,50.8,51.08,3.425
2014-03-26,51.05,51.21,50.84,51.1,4.644
2014-03-27,51.07,51.36,50.96,51.08,4.844
2014-03-28,51.37,51.52,51.13,51.3,1.943
2014-03-31,51.53,52.0,51.49,51.82,2.996
2014-04-01,51.65,51.89,51.38,51.78,2.782
2014-04-02,51.85,51.86,51.43,51.62,2.34
2014-04-03,51.92,52.33,51.54,52.23,3.611
2014-04-04,51.92,52.02,51.21,51.25,4.452
2014-04-07,51.45,52.3,51.34,51.85,5.409
2014-04-08,51.44,51.54,51.11,51.28,4.559
2014-04-09,51.22,51.41,51.05,51.27,3.248
2014-04-10,51.36,52.04,50.98,51.0,4.626
2014-04-11,51.02,51.54,50.97,51.15,4.236
2014-04-14,51.47,51.55,51.04,51.3,2.618
2014-04-15,51.34,51.43,51.05,51.25,4.045
2014-04-16,51.56,52.4,51.48,52.26,3.756
2014-04-17,52.23,52.25,51.85,52.09,2.649
2014-04-21,52.07,52.49,51.92,52.3,2.039
2014-04-22,52.16,52.4,52.02,52.19,2.163
2014-04-23,52.23,52.65,52.13,52.37,2.661
2014-04-24,52.33,52.54,52.24,52.43,2.291
2014-04-25,52.43,52.67,52.14,52.29,2.205
2014-04-28,52.58,53.32,52.51,53.17,3.316
2014-04-29,53.27,53.39,52.77,52.81,2.056
2014-04-30,52.78,53.09,52.75,53.02,2.273
2014-05-01,53.22,53.25,52.46,52.68,2.115
2014-05-02,52.54,52.89,52.47,52.75,1.943
2014-05-05,52.58,53.06,52.45,53.01,1.774
2014-05-06,52.99,53.34,52.84,52.86,2.309
2014-05-07,53.07,53.64,53.04,53.54,2.638
2014-05-08,53.44,53.69,53.32,53.67,2.209
2014-05-09,53.66,54.45,53.59,54.4,3.889
2014-05-12,54.55,54.78,54.08,54.26,2.748
2014-05-13,54.26,54.5,54.23,54.37,1.788
2014-05-14,54.4,54.42,54.01,54.1,1.481
2014-05-15,53.98,54.18,53.32,53.41,3.143
2014-05-16,53.32,53.84,53.32,53.81,2.657
2014-05-19,53.56,53.82,53.44,53.72,1.241
2014-05-20,53.7,53.7,53.27,53.48,2.101
2014-05-21,53.5,53.56,53.16,53.48,1.843
2014-05-22,53.5,53.8,53.31,53.74,1.694
2014-05-23,53.75,53.91,53.74,53.81,1.317
2014-05-27,53.96,54.28,53.93,54.24,2.21
2014-05-28,54.35,54.37,54.2,54.24,1.9
2014-05-29,54.39,54.71,54.16,54.7,1.674
2014-05-30,54.51,54.98,54.51,54.93,2.516
2014-06-02,54.87,55.06,54.75,54.91,1.883
2014-06-03,54.6,55.07,54.6,55.05,2.1
2014-06-04,54.9,55.57,54.9,55.56,2.405
2014-06-05,55.48,55.64,55.27,55.34,1.776
2014-06-06,55.3,55.45,55.21,55.41,1.58
2014-06-09,55.41,55.63,55.09,55.17,1.816
2014-06-10,55.07,55.28,54.94,55.16,1.772
2014-06-11,55.14,55.24,54.65,54.75,1.56
2014-06-12,54.51,54.75,54.01,54.2,2.277
2014-06-13,54.26,54.45,54.09,54.31,2.414
2014-06-16,54.31,54.31,54.12,54.21,2.468
2014-06-17,54.31,54.41,54.19,54.29,2.38
2014-06-18,54.06,54.71,54.0,54.68,3.642
2014-06-19,54.55,54.84,54.49,54.84,2.506
2014-06-20,54.98,55.06,54.54,54.64,4.097
2014-06-23,54.64,54.67,54.2,54.27,2.761
2014-06-24,54.16,54.17,53.7,53.7,4.624
2014-06-25,51.8,52.26,51.5,51.76,8.822
2014-06-26,51.87,52.22,51.69,52.03,5.677
2014-06-27,52.0,52.37,51.83,52.31,4.48
2014-06-30,52.25,52.84,52.08,52.54,4.011
2014-07-01,52.18,53.12,52.18,52.9,3.924
2014-07-02,52.89,53.14,52.8,53.01,2.465
2014-07-03,53.36,53.52,53.05,53.05,2.975
2014-07-07,53.1,53.65,53.1,53.42,2.934
2014-07-08,53.0,53.42,52.73,53.1,4.05
2014-07-09,53.33,53.43,53.03,53.26,2.712
2014-07-10,52.9,53.26,52.73,53.02,2.738
2014-07-11,53.08,53.08,52.74,52.91,2.053
2014-07-14,53.12,53.27,52.98,53.04,2.28
2014-07-15,53.01,53.11,52.89,52.93,2.43
2014-07-16,52.98,53.12,52.71,53.08,2.831
2014-07-17,53.0,53.17,52.77,52.78,2.61
2014-07-18,53.02,53.26,52.81,53.06,2.87
2014-07-21,52.94,53.09,52.77,52.86,1.699
2014-07-22,52.76,53.1,52.72,52.95,1.77
2014-07-23,52.95,53.11,52.82,52.9,2.213
2014-07-24,52.96,53.08,52.88,52.95,2.051
2014-07-25,52.92,52.99,52.63,52.81,1.665
2014-07-28,52.79,53.15,52.79,52.87,1.9
2014-07-29,52.81,53.13,52.51,52.51,1.967
2014-07-30,52.58,52.7,51.62,51.65,3.685
2014-07-31,51.35,51.4,50.14,50.15,5.5
2014-08-01,50.28,51.09,50.24,50.93,4.714
2014-08-04,51.09,51.3,50.86,51.29,2.927
2014-08-05,51.24,51.24,50.79,50.88,2.969
2014-08-06,50.82,51.78,50.71,51.72,3.271
2014-08-07,51.35,51.92,51.17,51.28,1.872
2014-08-08,51.37,51.99,51.25,51.97,2.113
2014-08-11,52.02,52.72,52.02,52.44,2.423
2014-08-12,52.25,52.57,52.17,52.48,1.908
2014-08-13,52.69,52.7,52.4,52.55,1.608
2014-08-14,52.5,52.78,52.48,52.78,1.697
2014-08-15,52.93,53.15,52.37,52.66,1.973
2014-08-18,52.93,53.04,52.72,52.99,2.167
2014-08-19,53.0,53.3,52.77,53.23,1.637
2014-08-20,53.05,53.52,52.91,53.42,1.662
2014-08-21,53.5,53.65,53.19,53.22,2.39
2014-08-22,53.24,53.37,52.63,52.71,3.286
2014-08-25,53.1,53.15,52.74,52.85,2.27
2014-08-26,53.16,53.27,52.89,52.98,2.243
2014-08-27,52.91,53.27,52.91,53.26,1.533
2014-08-28,53.08,53.29,53.06,53.19,1.38
2014-08-29,53.2,53.43,53.18,53.38,2.314
2014-09-02,53.4,53.74,53.24,53.36,2.046
2014-09-03,53.58,53.65,53.36,53.54,2.191
2014-09-04,53.56,53.78,53.35,53.48,1.882
2014-09-05,53.45,53.84,53.24,53.82,1.96
2014-09-08,53.54,53.83,53.47,53.51,1.366
2014-09-09,53.33,53.67,53.14,53.17,3.897
2014-09-10,53.11,53.29,52.83,53.23,2.233
2014-09-11,53.19,53.28,52.95,53.27,2.113
2014-09-12,53.17,53.28,52.66,52.79,1.952
2014-09-15,52.88,53.23,52.6,53.18,2.209
2014-09-16,53.18,53.56,53.02,53.18,3.175
2014-09-17,52.04,52.29,50.56,50.83,11.821
2014-09-18,50.84,51.38,50.34,51.22,7.499
2014-09-19,51.45,51.45,51.09,51.28,4.14
2014-09-22,51.2,51.28,50.74,50.75,3.55
2014-09-23,50.56,50.66,50.39,50.41,4.523
2014-09-24,50.5,50.84,50.43,50.45,5.138
2014-09-25,50.49,50.49,49.93,50.12,4.126
2014-09-26,50.12,50.43,49.86,50.28,3.002
2014-09-29,50.09,50.79,50.04,50.63,2.691
2014-09-30,50.46,50.7,50.3,50.45,2.823
2014-10-01,49.71,50.09,49.6,49.98,3.788
2014-10-02,49.98,50.23,49.83,50.14,3.472
2014-10-03,50.41,50.64,50.22,50.47,2.384
2014-10-06,50.61,50.73,50.23,50.59,2.866
2014-10-07,50.41,50.69,50.18,50.18,3.306
2014-10-08,49.8,50.21,49.62,50.15,3.418
2014-10-09,50.18,50.63,49.89,49.89,3.548
2014-10-10,49.89,50.51,49.77,49.81,3.8
2014-10-13,50.03,50.04,49.26,49.28,2.956
2014-10-14,49.42,49.98,49.3,49.52,2.621
2014-10-15,49.17,49.42,48.32,49.11,4.586
2014-10-16,48.43,49.16,48.4,48.86,3.742
2014-10-17,49.33,49.58,49.03,49.29,3.006
2014-10-20,49.3,50.05,49.25,49.92,2.614
2014-10-21,50.22,50.49,49.9,50.46,3.401
2014-10-22,50.62,50.92,50.52,50.6,2.17
2014-10-23,50.83,50.9,50.45,50.51,1.71
2014-10-24,50.54,51.04,50.54,51.03,1.745
2014-10-27,51.0,51.45,50.84,51.16,1.366
2014-10-28,51.44,51.44,51.03,51.38,1.371
2014-10-29,51.42,51.45,50.4,50.9,2.92
2014-10-30,50.65,51.56,50.6,51.45,2.056
2014-10-31,51.91,52.0,51.66,51.96,2.666
2014-11-03,52.0,52.73,51.89,52.66,3.458
2014-11-04,52.72,52.96,52.59,52.86,3.904
2014-11-05,53.13,53.44,52.92,53.17,2.398
2014-11-06,53.21,53.32,52.77,53.27,1.963
2014-11-07,51.46,52.13,51.1,51.36,6.44
2014-11-10,51.3,51.3,50.43,50.87,4.397
2014-11-11,50.83,51.15,50.67,50.97,2.571
2014-11-12,50.6,51.08,50.53,50.96,2.616
2014-11-13,51.11,51.17,50.61,51.0,3.048
2014-11-14,50.99,51.04,50.64,50.82,2.814
2014-11-17,50.82,51.44,50.8,51.35,2.196
2014-11-18,51.42,51.72,51.26,51.59,2.215
2014-11-19,51.4,51.96,51.37,51.92,1.921
2014-11-20,51.82,51.85,51.55,51.64,1.54
2014-11-21,52.23,52.23,51.6,51.85,2.509
2014-11-24,51.79,51.99,51.37,51.5,2.214
2014-11-25,51.5,51.85,51.39,51.65,3.555
2014-11-26,51.72,51.89,51.64,51.85,1.356
2014-11-28,52.13,52.86,52.0,52.75,1.664
2014-12-01,52.53,52.76,52.22,52.63,2.184
2014-12-02,52.79,53.13,52.67,53.05,3.093
2014-12-03,52.9,53.45,52.66,53.04,4.708
2014-12-04,52.95,53.19,52.74,53.0,2.933
2014-12-05,53.0,53.23,52.87,53.12,2.579
2014-12-08,52.91,53.24,52.61,52.93,2.879
2014-12-09,52.59,52.81,52.11,52.28,2.957
2014-12-10,52.51,52.53,51.95,51.99,2.519
2014-12-11,52.09,52.7,52.03,52.48,4.118
2014-12-12,52.06,52.55,52.01,52.1,4.61
2014-12-15,52.16,52.35,51.23,51.47,3.319
2014-12-16,51.43,52.45,51.08,51.13,3.905
2014-12-17,51.53,52.41,51.4,52.19,4.644
2014-12-18,52.5,53.53,52.46,53.51,4.622
2014-12-19,53.5,53.98,53.26,53.81,4.902
2014-12-22,53.95,54.39,53.82,54.38,2.552
2014-12-23,54.56,54.61,54.23,54.41,2.341
2014-12-24,54.34,54.56,54.24,54.31,1.214
2014-12-26,54.34,54.58,54.26,54.38,1.054
2014-12-29,54.22,54.45,54.12,54.31,1.486
2014-12-30,54.3,54.6,54.24,54.35,1.362
2014-12-31,54.19,54.27,53.24,53.33,2.517
2015-01-02,53.1,53.6,52.8,53.11,2.165
2015-01-05,52.27,52.69,52.06,52.15,4.15
2015-01-06,52.44,52.62,51.9,52.02,3.036
