Date,Open,High,Low,Close,Volume
2014-01-02,52.12,52.12,51.39,51.62,0.578
2014-01-03,51.64,51.9,51.42,51.72,0.457
2014-01-06,51.89,51.96,51.35,51.53,0.717
2014-01-07,51.73,52.33,51.53,51.96,0.658
2014-01-08,52.04,52.45,51.85,52.35,1.136
2014-01-09,52.37,52.5,51.95,52.46,1.022
2014-01-10,52.56,52.63,51.91,52.18,0.764
2014-01-13,52.03,52.29,51.27,51.45,0.637
2014-01-14,51.57,52.22,51.34,52.21,0.83
2014-01-15,51.42,52.3,51.42,52.27,0.85
2014-01-16,52.16,52.23,51.87,51.98,0.358
2014-01-17,52.01,52.09,51.65,51.81,0.491
2014-01-21,52.11,52.16,51.43,51.56,0.614
2014-01-22,51.63,51.9,51.43,51.63,0.57
2014-01-23,51.25,51.27,50.75,50.97,0.801
2014-01-24,50.63,50.73,49.71,49.71,0.86
2014-01-27,49.71,50.01,49.06,49.45,0.733
2014-01-28,49.47,49.9,49.45,49.76,0.714
2014-01-29,49.35,49.79,49.33,49.38,0.817
2014-01-30,49.66,50.53,49.53,50.47,0.774
2014-01-31,49.83,50.57,49.57,50.1,1.296
2014-02-03,50.07,50.29,48.26,48.37,1.097
2014-02-04,48.53,49.2,48.03,48.64,1.193
2014-02-05,48.49,48.85,47.83,48.74,0.567
2014-02-06,48.77,49.4,48.59,49.33,0.922
2014-02-07,49.55,50.15,49.34,50.05,0.821
2014-02-10,49.81,50.17,49.49,50.14,0.694
2014-02-11,50.03,50.55,49.83,50.35,0.964
2014-02-12,50.5,50.85,50.05,50.19,1.036
2014-02-13,49.89,50.57,49.66,50.57,1.127
2014-02-14,50.51,50.7,50.28,50.57,0.69
2014-02-18,50.57,51.18,50.47,51.13,0.558
2014-02-19,50.99,51.57,50.44,50.48,0.524
2014-02-20,50.53,50.83,50.11,50.73,0.437
2014-02-21,50.82,51.0,50.62,50.72,0.809
2014-02-24,50.7,51.01,50.49,50.69,0.879
2014-02-25,50.75,50.97,50.56,50.69,0.607
2014-02-26,50.93,50.95,50.5,50.72,0.476
2014-02-27,50.65,51.22,50.4,51.07,0.474
2014-02-28,51.05,52.06,50.85,51.67,0.885
2014-03-03,51.09,51.54,50.97,51.35,0.477
2014-03-04,51.93,52.43,51.93,52.4,0.705
2014-03-05,52.3,52.55,52.12,52.45,0.377
2014-03-06,52.55,53.05,52.45,52.93,0.634
2014-03-07,53.23,53.58,53.09,53.51,0.714
2014-03-10,53.41,53.62,53.07,53.22,0.617
2014-03-11,53.46,53.53,52.54,52.64,0.575
2014-03-12,52.17,52.65,52.04,52.62,0.636
2014-03-13,53.0,53.03,51.99,52.09,0.745
2014-03-14,52.05,52.39,51.72,51.99,0.636
2014-03-17,52.23,52.51,52.08,52.25,0.596
2014-03-18,52.35,52.73,52.15,52.59,0.414
2014-03-19,52.57,52.73,52.05,52.41,0.509
2014-03-20,52.15,52.94,52.15,52.54,0.56
2014-03-21,53.01,53.19,52.68,52.81,1.226
2014-03-24,52.97,53.14,52.38,52.55,0.647
2014-03-25,52.88,52.99,52.23,52.51,0.522
2014-03-26,52.72,52.97,51.89,51.89,0.371
2014-03-27,51.95,52.13,51.16,51.32,0.599
2014-03-28,51.65,51.88,51.33,51.57,0.5
2014-03-31,51.8,52.5,51.8,52.47,0.729
2014-04-01,52.41,52.75,52.01,52.73,0.57
2014-04-02,52.73,52.93,52.51,52.75,0.516
2014-04-03,52.83,53.02,52.61,52.79,0.519
2014-04-04,53.13,53.45,52.26,52.28,0.893
2014-04-07,52.1,52.29,51.46,51.55,0.962
2014-04-08,51.46,52.07,51.27,51.85,0.615
2014-04-09,52.01,52.51,51.66,52.44,0.55
2014-04-10,52.52,52.73,51.5,51.53,0.816
2014-04-11,51.33,51.7,50.96,50.97,0.728
2014-04-14,51.43,51.47,50.63,51.05,0.63
2014-04-15,51.05,51.59,50.85,51.42,0.666
2014-04-16,51.95,52.05,51.59,52.03,0.318
2014-04-17,51.94,52.49,51.83,52.32,0.428
2014-04-21,52.37,52.53,51.98,52.05,0.441
2014-04-22,52.05,52.57,51.95,52.34,0.605
2014-04-23,52.81,53.22,52.48,52.67,0.83
2014-04-24,52.94,53.03,52.1,52.59,1.149
2014-04-25,52.55,52.64,52.11,52.26,0.912
2014-04-28,52.53,52.58,51.54,52.03,0.8
2014-04-29,52.27,52.82,52.11,52.53,0.891
2014-04-30,52.64,53.16,52.37,53.13,0.778
2014-05-01,53.07,53.46,52.86,53.19,0.765
2014-05-02,53.19,53.75,53.19,53.37,0.498
2014-05-05,53.05,53.5,52.75,53.36,0.633
2014-05-06,53.14,53.39,52.7,52.77,0.752
2014-05-07,52.87,53.53,52.67,53.51,0.695
2014-05-08,53.29,54.03,53.29,53.79,0.523
2014-05-09,53.65,53.91,53.27,53.83,0.357
2014-05-12,53.92,54.43,53.83,54.4,0.413
2014-05-13,54.53,54.65,54.2,54.37,0.378
2014-05-14,54.3,54.3,53.57,53.73,0.451
2014-05-15,53.49,53.49,52.61,53.2,0.615
