Date,Open,High,Low,Close,Volume
2014-01-02,56.49,56.92,55.03,56.29,0.601
2014-01-03,56.75,57.27,55.88,56.75,0.55
2014-01-06,57.29,57.29,55.74,55.76,0.609
2014-01-07,56.09,56.48,55.52,56.0,0.652
2014-01-08,55.08,55.6,54.57,54.99,1.296
2014-01-09,55.02,55.19,54.59,54.79,0.516
2014-01-10,54.94,54.97,54.24,54.85,0.45
2014-01-13,54.85,55.08,53.78,54.18,0.56
2014-01-14,54.49,55.23,54.31,55.15,0.416
2014-01-15,55.42,55.98,54.9,55.24,0.603
2014-01-16,53.96,55.24,50.25,50.89,2.258
2014-01-17,50.62,50.82,48.84,49.86,2.048
2014-01-21,50.02,51.79,49.95,51.58,0.996
2014-01-22,51.6,51.68,50.82,51.06,0.707
2014-01-23,51.06,51.12,50.06,50.18,0.576
2014-01-24,48.6,48.63,45.02,47.5,3.23
2014-01-27,48.48,48.48,45.71,45.72,1.01
2014-01-28,45.75,46.95,45.54,46.59,0.968
2014-01-29,46.19,47.15,45.92,46.25,0.632
2014-01-30,46.65,46.94,46.0,46.56,0.523
2014-01-31,47.16,48.7,47.06,48.13,1.029
2014-02-03,48.18,48.18,45.85,46.42,0.822
2014-02-04,46.44,47.46,46.41,47.1,0.802
2014-02-05,47.16,48.1,46.67,47.94,1.036
2014-02-06,48.03,49.53,47.93,49.51,1.135
2014-02-07,49.67,50.27,49.43,50.17,1.292
2014-02-10,50.43,50.49,48.05,48.33,1.345
2014-02-11,48.63,48.92,47.95,48.0,1.268
2014-02-12,48.41,50.72,48.35,49.89,2.096
2014-02-13,53.4,57.68,53.0,56.64,4.376
2014-02-14,57.28,57.65,55.97,56.6,1.436
2014-02-18,56.66,57.5,56.0,56.29,1.13
2014-02-19,56.01,56.31,55.12,55.26,0.993
2014-02-20,55.37,55.79,54.94,55.23,0.579
2014-02-21,55.3,55.72,55.2,55.48,0.676
2014-02-24,55.65,56.05,55.36,55.36,0.615
2014-02-25,55.4,56.0,55.21,56.0,0.633
2014-02-26,56.22,58.08,55.9,57.63,0.842
2014-02-27,57.4,57.82,56.89,57.8,0.607
2014-02-28,57.89,58.48,56.77,56.97,0.645
2014-03-03,56.28,57.65,56.25,57.49,0.465
2014-03-04,58.23,59.15,58.19,58.98,0.771
2014-03-05,58.86,59.17,58.27,58.6,0.529
2014-03-06,58.67,59.35,58.66,59.0,0.501
2014-03-07,59.36,59.55,58.57,59.24,0.456
2014-03-10,59.15,59.74,58.24,58.77,0.401
2014-03-11,58.69,59.25,57.41,57.67,0.451
2014-03-12,57.24,58.31,57.15,58.2,0.378
2014-03-13,58.59,59.0,56.3,56.75,0.525
2014-03-14,56.6,60.67,56.6,60.47,1.243
2014-03-17,61.0,62.5,60.56,61.17,0.968
2014-03-18,61.36,61.61,60.53,60.67,0.662
2014-03-19,60.65,61.25,60.34,60.57,0.511
2014-03-20,60.27,60.98,60.01,60.71,0.252
2014-03-21,61.13,61.4,60.33,60.58,0.51
2014-03-24,60.9,60.93,59.0,59.45,0.449
2014-03-25,59.67,60.25,58.68,59.53,0.424
2014-03-26,59.79,60.26,57.88,57.9,0.523
2014-03-27,57.78,58.07,56.38,57.19,0.636
2014-03-28,57.3,58.53,57.3,58.11,0.347
2014-03-31,58.55,59.38,58.42,58.97,0.5
2014-04-01,58.81,59.28,58.23,59.26,0.47
2014-04-02,59.3,60.56,59.28,60.36,0.673
2014-04-03,60.36,60.99,58.96,59.45,0.478
2014-04-04,59.84,59.84,57.06,57.58,0.694
2014-04-07,57.2,57.5,55.65,56.38,0.641
2014-04-08,56.41,58.5,56.39,58.01,0.594
2014-04-09,58.26,59.06,57.96,58.87,0.315
2014-04-10,58.9,58.9,57.09,57.49,0.559
2014-04-11,56.86,57.45,55.89,56.0,0.688
2014-04-14,56.68,57.53,55.27,56.32,0.63
2014-04-15,56.34,57.14,55.62,56.89,0.485
2014-04-16,57.66,58.19,56.78,57.33,0.351
2014-04-17,57.32,58.57,57.17,57.72,0.378
2014-04-21,57.87,58.34,57.25,58.13,0.342
2014-04-22,57.85,58.91,57.85,58.75,0.617
2014-04-23,58.7,59.86,58.3,58.75,0.58
2014-04-24,58.94,59.43,57.9,59.03,0.473
2014-04-25,58.61,58.91,57.76,58.05,0.577
2014-04-28,58.54,59.99,57.52,58.76,0.802
2014-04-29,59.09,59.09,58.37,58.56,0.624
2014-04-30,58.24,59.26,58.04,58.88,0.961
2014-05-01,55.19,58.04,53.82,54.53,3.493
2014-05-02,54.56,55.38,54.12,55.0,1.378
2014-05-05,54.52,54.87,53.07,54.29,0.703
2014-05-06,53.89,54.1,52.58,52.7,0.922
2014-05-07,52.75,53.87,52.32,53.53,1.269
2014-05-08,53.35,53.65,51.22,51.25,0.816
2014-05-09,51.25,51.87,50.75,51.62,1.184
2014-05-12,52.0,53.89,52.0,53.76,0.912
2014-05-13,53.59,53.79,52.5,52.74,0.975
2014-05-14,52.72,52.82,51.24,51.32,0.935
2014-05-15,51.18,52.04,50.34,51.5,1.06
2014-05-16,51.86,52.51,51.45,52.05,0.864
2014-05-19,51.88,52.46,51.53,52.24,0.376
2014-05-20,51.94,52.21,50.69,51.1,0.924
2014-05-21,51.23,51.58,50.7,50.95,0.497
