Date,Open,High,Low,Close,Volume
2014-01-02,83.1,83.13,81.63,81.92,0.545
2014-01-03,82.17,82.8,81.62,82.32,0.625
2014-01-06,82.58,83.15,82.0,82.04,0.645
2014-01-07,82.88,83.38,82.18,83.13,0.864
2014-01-08,83.03,83.06,82.34,82.91,0.882
2014-01-09,82.98,83.42,82.23,82.83,0.568
2014-01-10,82.91,83.49,82.22,83.45,0.939
2014-01-13,83.17,83.45,81.43,81.63,0.815
2014-01-14,82.09,82.87,81.5,82.74,0.623
2014-01-15,82.79,83.87,82.25,83.57,0.936
2014-01-16,83.52,84.61,83.28,84.6,0.726
2014-01-17,84.67,84.67,83.58,84.14,1.359
2014-01-21,84.15,84.43,83.55,84.24,0.857
2014-01-22,84.63,84.81,83.78,84.75,0.878
2014-01-23,84.03,84.17,83.5,84.05,0.674
2014-01-24,83.3,83.52,82.33,82.34,0.849
2014-01-27,82.64,83.47,82.14,82.91,0.84
2014-01-28,83.4,83.68,82.92,83.21,1.356
2014-01-29,82.63,82.86,81.06,81.32,0.696
2014-01-30,81.99,82.14,81.25,82.08,0.806
2014-01-31,81.08,82.57,81.02,82.25,0.824
2014-02-03,81.96,82.2,77.5,77.75,1.524
2014-02-04,77.4,78.43,76.5,78.0,1.739
2014-02-05,77.96,78.36,76.85,78.07,1.059
2014-02-06,78.54,80.89,78.26,80.6,1.086
2014-02-07,81.15,81.73,80.8,81.59,0.622
2014-02-10,81.51,82.14,81.12,81.88,0.584
2014-02-11,82.0,83.23,81.96,82.85,0.636
2014-02-12,83.04,83.91,82.92,83.82,0.706
2014-02-13,83.11,85.04,83.11,84.64,0.932
2014-02-14,84.7,85.99,84.25,85.95,0.949
2014-02-18,87.0,90.0,87.0,87.41,1.924
2014-02-19,87.36,87.36,86.18,86.46,1.141
2014-02-20,86.27,87.17,85.86,87.05,0.663
2014-02-21,87.14,87.63,86.63,87.25,0.542
2014-02-24,87.45,88.05,87.11,87.12,0.658
2014-02-25,87.18,87.33,86.55,86.71,0.852
2014-02-26,86.74,87.78,86.64,87.15,0.664
2014-02-27,86.94,87.14,86.1,86.79,0.619
2014-02-28,87.05,88.27,86.76,88.09,0.811
2014-03-03,86.8,87.28,85.99,86.98,0.756
2014-03-04,88.09,88.31,87.41,87.93,0.743
2014-03-05,87.62,88.14,87.25,87.6,0.594
2014-03-06,88.03,88.12,87.01,87.09,0.523
2014-03-07,87.35,87.76,87.03,87.48,0.486
2014-03-10,87.3,87.49,86.22,86.55,0.596
2014-03-11,86.76,87.1,86.16,86.44,0.448
2014-03-12,86.06,86.8,85.75,86.78,0.514
2014-03-13,87.11,87.25,85.54,85.54,0.818
2014-03-14,85.5,86.11,85.33,85.43,0.865
2014-03-17,86.01,86.4,85.33,85.77,0.673
2014-03-18,85.93,86.1,85.53,85.85,0.493
2014-03-19,85.97,86.26,84.36,84.9,0.698
2014-03-20,84.68,85.3,84.46,85.08,0.598
2014-03-21,85.5,85.64,84.59,84.69,1.192
2014-03-24,84.91,85.32,83.92,84.2,0.573
2014-03-25,84.96,85.05,84.11,84.46,0.683
2014-03-26,84.73,85.08,83.97,84.24,0.605
2014-03-27,84.05,84.16,83.51,83.96,0.444
2014-03-28,84.37,85.38,84.06,85.23,0.464
2014-03-31,85.74,86.89,85.36,86.85,0.739
2014-04-01,86.77,86.93,86.0,86.8,0.771
2014-04-02,87.0,87.49,86.53,87.0,0.884
2014-04-03,87.71,87.95,87.17,87.61,0.69
2014-04-04,88.09,88.18,86.0,86.3,0.545
2014-04-07,85.9,86.29,84.2,84.68,0.621
2014-04-08,84.56,86.27,84.35,86.18,0.648
2014-04-09,86.52,87.17,85.89,87.06,0.658
