Date,Open,High,Low,Close,Volume
2014-01-02,254.7,255.48,252.82,253.06,0.285
2014-01-03,253.07,254.24,251.9,252.84,0.205
2014-01-06,253.69,253.72,249.79,250.97,0.323
2014-01-07,252.28,253.77,251.17,252.92,0.381
2014-01-08,252.92,253.97,250.82,253.44,0.368
2014-01-09,254.44,256.26,252.56,254.5,0.421
2014-01-10,255.49,267.49,255.38,263.71,0.929
2014-01-13,262.76,264.19,260.9,261.66,0.916
2014-01-14,262.25,264.44,258.0,264.26,0.387
2014-01-15,263.48,266.18,261.89,263.78,0.461
2014-01-16,263.73,266.3,262.13,265.94,0.396
2014-01-17,266.58,266.96,262.88,264.1,0.385
2014-01-21,263.69,264.99,262.69,264.06,0.406
2014-01-22,265.0,265.84,261.04,262.03,0.486
2014-01-23,260.36,262.76,256.02,256.66,0.622
2014-01-24,248.6,252.13,240.38,241.85,1.658
2014-01-27,241.68,243.36,236.9,238.93,0.825
2014-01-28,239.46,239.48,237.33,237.86,0.642
2014-01-29,236.75,240.49,235.89,238.16,0.495
2014-01-30,238.17,239.8,236.92,237.17,0.403
2014-01-31,234.01,236.11,232.26,234.48,0.538
2014-02-03,234.5,234.5,228.19,229.29,0.702
2014-02-04,230.63,231.85,228.77,231.29,0.635
2014-02-05,230.23,233.81,229.97,230.87,0.613
2014-02-06,231.48,234.17,230.33,233.95,0.45
2014-02-07,234.62,236.03,231.63,234.0,0.842
2014-02-10,233.23,236.72,232.52,234.29,0.644
2014-02-11,231.9,239.01,230.11,237.86,0.716
2014-02-12,238.51,239.61,237.45,238.05,0.508
2014-02-13,237.21,239.72,235.33,239.64,0.645
2014-02-14,242.64,245.96,241.0,245.67,0.713
2014-02-18,246.16,248.04,245.04,247.76,0.608
2014-02-19,247.3,249.35,246.03,248.0,0.626
2014-02-20,247.16,250.44,246.83,248.04,0.594
2014-02-21,248.62,250.64,247.87,249.24,0.546
2014-02-24,250.24,252.36,249.58,251.61,0.712
2014-02-25,251.57,252.85,249.84,250.14,0.625
2014-02-26,250.68,252.1,249.39,251.47,0.636
2014-02-27,245.58,252.95,237.26,252.91,0.268
2014-02-28,253.49,255.68,252.93,255.02,0.667
2014-03-03,253.16,253.78,250.8,253.29,0.49
