Date,Open,High,Low,Close,Volume
2014-01-02,50.47,50.67,49.63,50.01,7.414
2014-01-03,50.02,50.42,49.94,50.13,5.324
2014-01-06,50.81,50.93,49.88,50.32,8.427
2014-01-07,50.68,50.69,49.88,50.2,7.747
2014-01-08,50.17,50.18,49.11,49.5,9.136
2014-01-09,50.17,50.18,49.19,49.61,7.931
2014-01-10,49.52,50.54,49.43,50.52,8.834
2014-01-13,50.47,50.49,49.48,49.58,6.783
2014-01-14,49.76,50.52,49.76,50.4,5.998
2014-01-15,50.49,50.94,50.15,50.64,6.308
2014-01-16,50.51,50.91,50.3,50.9,6.672
2014-01-17,51.28,51.36,50.48,50.66,9.615
2014-01-21,51.19,51.5,49.06,49.78,20.956
2014-01-22,50.15,50.84,49.73,50.54,9.465
2014-01-23,50.61,50.98,49.86,50.11,8.908
2014-01-24,49.44,49.44,48.43,48.61,12.308
2014-01-27,48.71,48.97,47.97,48.49,9.199
2014-01-28,48.66,48.73,47.94,48.33,7.845
2014-01-29,47.96,48.56,47.6,48.2,10.183
2014-01-30,48.78,49.69,48.46,49.44,9.45
2014-01-31,48.67,49.43,48.44,49.01,9.205
2014-02-03,49.07,49.18,47.95,48.33,9.646
2014-02-04,48.59,49.5,48.33,49.36,10.564
2014-02-05,49.37,49.7,48.99,49.27,9.686
2014-02-06,49.5,50.9,49.45,50.76,13.019
2014-02-07,51.09,52.13,50.98,51.97,13.031
2014-02-10,51.94,52.04,51.33,51.87,8.102
2014-02-11,52.18,53.96,52.12,53.84,12.006
2014-02-12,53.74,54.0,53.04,53.12,11.084
2014-02-13,52.7,54.03,52.63,53.46,8.132
2014-02-14,53.42,53.92,53.26,53.57,6.747
2014-02-18,53.66,54.3,53.5,54.13,8.515
2014-02-19,53.92,54.98,53.87,54.53,7.914
2014-02-20,54.53,55.54,54.45,55.38,8.761
2014-02-21,55.55,55.96,55.25,55.3,8.786
2014-02-24,55.85,57.01,55.8,56.37,9.482
2014-02-25,56.03,56.06,54.8,55.58,11.065
