Date,Open,High,Low,Close,Volume
2014-01-02,54.89,55.18,54.56,54.58,2.326
2014-01-03,51.6,54.5,51.6,54.11,0.849
2014-01-06,54.22,54.37,53.65,53.73,0.9
2014-01-07,54.3,54.31,53.5,53.78,1.462
2014-01-08,53.78,53.89,53.31,53.72,1.046
2014-01-09,53.83,53.89,52.66,52.98,1.75
2014-01-10,52.97,53.43,52.68,53.04,1.616
2014-01-13,52.8,53.18,52.1,52.25,1.249
2014-01-14,52.44,52.54,51.91,52.31,1.232
2014-01-15,52.26,52.4,51.97,52.27,0.733
2014-01-16,51.98,52.5,51.86,52.35,0.927
2014-01-17,52.24,52.64,51.8,52.0,0.868
2014-01-21,52.41,52.48,51.48,51.81,0.916
2014-01-22,51.73,52.46,51.54,52.37,0.844
2014-01-23,52.35,52.35,51.46,51.86,0.913
2014-01-24,51.12,51.52,50.97,51.27,1.512
2014-01-27,51.28,51.71,50.87,51.1,1.198
2014-01-28,51.15,52.11,50.92,51.97,1.905
2014-01-29,51.41,51.64,50.51,50.82,1.34
2014-01-30,51.0,51.35,50.83,51.24,1.075
2014-01-31,48.75,49.3,47.72,49.12,4.776
2014-02-03,47.48,49.32,47.48,48.08,2.314
2014-02-04,48.3,49.17,48.01,48.68,1.642
2014-02-05,48.5,49.12,48.28,48.76,1.716
2014-02-06,49.04,49.94,48.98,49.66,2.096
2014-02-07,49.92,50.29,49.42,50.09,1.775
2014-02-10,50.94,53.68,50.09,52.36,6.196
2014-02-11,52.46,52.58,51.74,52.37,1.855
2014-02-12,52.07,52.35,51.86,51.95,2.264
2014-02-13,51.86,53.03,51.65,52.92,1.149
2014-02-14,52.94,53.03,52.46,52.82,0.841
2014-02-18,52.81,52.99,52.32,52.96,1.896
2014-02-19,52.7,53.89,52.49,53.87,2.262
2014-02-20,54.04,54.46,53.81,54.27,1.647
2014-02-21,54.29,54.63,54.2,54.3,1.258
2014-02-24,54.65,55.02,54.41,54.48,2.048
2014-02-25,54.56,54.86,54.41,54.68,0.98
2014-02-26,54.5,55.25,54.39,55.04,1.258
2014-02-27,54.96,55.18,54.73,55.03,1.282
2014-02-28,54.79,55.58,54.48,55.16,1.368
2014-03-03,54.84,55.08,54.46,54.65,0.769
2014-03-04,55.04,55.58,54.79,54.96,1.246
2014-03-05,54.82,54.98,54.47,54.83,1.068
2014-03-06,54.98,55.32,54.81,55.08,0.866
2014-03-07,55.32,55.6,54.73,54.77,0.968
2014-03-10,54.8,54.9,54.49,54.84,0.631
2014-03-11,54.67,54.78,54.41,54.5,1.226
2014-03-12,54.16,54.68,53.84,54.58,1.284
2014-03-13,54.81,55.19,54.28,54.64,1.457
2014-03-14,54.62,55.14,54.5,54.66,0.996
2014-03-17,54.84,55.5,54.81,54.96,1.176
2014-03-18,54.93,55.49,54.8,55.06,0.844
2014-03-19,55.21,55.37,54.35,54.74,0.873
2014-03-20,54.54,55.07,54.47,54.93,0.808
2014-03-21,55.36,55.51,54.67,55.2,2.581
2014-03-24,55.11,55.31,54.7,54.95,1.13
2014-03-25,55.15,55.22,54.35,54.59,1.319
2014-03-26,54.83,55.36,54.39,54.47,0.982
2014-03-27,54.62,54.64,54.02,54.51,0.933
2014-03-28,54.84,55.67,54.79,55.18,0.879
2014-03-31,55.36,55.75,55.24,55.62,0.753
2014-04-01,55.88,56.46,55.87,56.39,1.214
2014-04-02,56.36,56.72,56.11,56.29,1.202
2014-04-03,56.21,56.41,55.6,55.77,0.89
2014-04-04,55.3,55.84,54.72,54.99,1.292
2014-04-07,54.95,54.98,54.31,54.52,1.169
2014-04-08,54.52,55.09,54.52,54.56,1.256
2014-04-09,54.72,55.26,54.66,55.09,0.846
2014-04-10,55.02,55.17,54.23,54.3,1.128
2014-04-11,54.12,54.32,53.56,53.63,1.039
2014-04-14,53.84,55.17,53.31,53.65,1.058
2014-04-15,53.45,54.07,52.91,53.48,1.308
2014-04-16,53.67,54.02,53.6,53.85,0.828
2014-04-17,53.91,55.05,53.72,54.61,2.0
2014-04-21,56.07,56.91,54.27,55.66,1.564
2014-04-22,55.7,55.98,55.27,55.3,0.958
2014-04-23,55.41,55.58,54.68,55.04,1.933
2014-04-24,55.11,55.39,54.75,54.95,0.892
2014-04-25,54.91,55.22,54.71,54.72,0.797
2014-04-28,54.99,55.94,54.74,55.69,1.697
2014-04-29,55.32,55.5,54.95,55.18,0.875
2014-04-30,55.13,55.34,54.65,55.26,1.157
2014-05-01,55.14,55.94,55.14,55.66,0.712
2014-05-02,55.77,56.11,55.69,55.77,0.573
2014-05-05,55.5,55.66,55.12,55.52,0.843
2014-05-06,55.42,55.96,55.36,55.39,0.765
2014-05-07,55.34,55.73,55.07,55.35,0.965
2014-05-08,55.28,55.65,55.01,55.27,0.753
2014-05-09,55.18,55.56,55.01,55.42,0.598
2014-05-12,56.02,56.06,55.43,55.59,0.982
2014-05-13,55.53,55.76,55.25,55.5,0.791
2014-05-14,55.27,55.57,54.91,54.95,0.596
2014-05-15,54.98,55.0,53.58,54.04,1.573
