Date,Open,High,Low,Close,Volume
2014-01-02,82.11,82.57,81.8,82.02,4.253
2014-01-03,81.91,82.48,81.83,81.89,3.898
2014-01-06,81.65,81.98,81.1,81.1,11.189
2014-01-07,81.31,81.92,81.08,81.5,4.631
2014-01-08,81.54,81.94,81.03,81.93,4.662
2014-01-09,81.9,81.94,80.97,81.57,4.966
2014-01-10,81.72,82.04,81.42,82.01,4.981
2014-01-13,81.61,82.13,80.96,80.97,6.952
2014-01-14,81.28,81.49,80.61,81.01,5.217
2014-01-15,80.85,81.43,80.74,81.07,5.197
2014-01-16,80.9,81.38,80.78,81.26,4.871
2014-01-17,81.32,81.35,80.65,81.0,6.178
2014-01-21,81.3,81.5,79.81,80.46,6.933
2014-01-22,80.66,80.81,79.92,80.2,5.822
2014-01-23,79.62,80.3,79.19,80.24,6.387
2014-01-24,79.61,80.0,79.16,79.16,7.118
2014-01-27,78.86,79.17,78.52,78.94,6.591
2014-01-28,78.42,78.93,77.82,78.54,10.586
2014-01-29,78.28,78.75,76.63,76.68,9.195
2014-01-30,77.23,77.76,76.65,76.93,6.821
2014-01-31,76.2,77.47,75.85,76.85,10.592
2014-02-03,76.64,76.73,74.93,75.09,9.527
2014-02-04,75.51,75.85,74.17,74.97,9.573
2014-02-05,74.73,75.55,73.96,75.26,10.08
2014-02-06,75.19,76.2,75.17,76.16,6.107
2014-02-07,76.17,76.6,75.85,76.45,6.194
2014-02-10,76.56,76.59,75.88,76.41,6.344
2014-02-11,76.44,76.99,76.17,76.7,6.293
2014-02-12,76.91,77.33,76.67,77.28,7.346
2014-02-13,77.34,77.87,76.94,77.59,6.587
2014-02-14,77.75,78.13,77.32,77.93,4.752
2014-02-18,77.92,78.08,77.07,77.57,4.955
2014-02-19,77.25,77.52,76.4,76.45,7.768
2014-02-20,76.59,77.56,76.54,77.48,5.852
2014-02-21,77.36,78.04,77.36,77.74,7.764
2014-02-24,77.84,78.25,77.46,77.87,11.74
2014-02-25,79.68,81.0,79.33,80.98,13.422
2014-02-26,80.99,82.71,80.79,81.7,9.738
2014-02-27,81.66,82.2,80.61,81.97,6.041
2014-02-28,81.89,83.1,81.39,82.03,7.24
2014-03-03,80.73,82.03,80.62,82.0,8.36
2014-03-04,82.89,83.2,82.71,82.87,6.368
2014-03-05,82.91,83.2,82.58,82.91,5.07
2014-03-06,82.78,82.89,82.23,82.41,6.168
2014-03-07,82.61,82.67,82.04,82.55,5.288
2014-03-10,82.44,82.54,81.73,82.18,4.139
2014-03-11,81.69,81.85,81.05,81.29,4.668
2014-03-12,80.73,80.85,80.24,80.56,7.049
2014-03-13,81.06,81.06,78.72,78.8,7.666
2014-03-14,78.82,79.88,78.79,79.38,6.739
2014-03-17,79.57,80.19,79.25,79.58,5.548
2014-03-18,79.65,80.56,79.62,79.82,5.033
2014-03-19,79.97,80.49,79.4,79.75,6.568
2014-03-20,79.71,80.24,79.47,80.09,5.098
2014-03-21,80.78,81.9,80.25,80.42,10.086
2014-03-24,80.41,80.46,79.2,79.66,7.574
2014-03-25,80.05,80.09,79.16,79.47,5.376
2014-03-26,79.49,79.78,78.7,78.87,6.365
2014-03-27,78.63,79.02,78.37,78.68,5.803
2014-03-28,78.92,79.5,78.49,78.72,5.133
2014-03-31,79.21,79.33,78.84,79.13,5.736
2014-04-01,79.24,80.29,79.24,79.38,6.698
2014-04-02,79.54,80.76,79.49,79.95,6.612
2014-04-03,79.95,80.02,78.98,79.4,5.505
2014-04-04,79.64,79.7,78.49,78.72,6.422
2014-04-07,78.69,78.69,77.03,77.13,11.121
2014-04-08,76.91,77.44,76.42,77.11,7.371
2014-04-09,77.24,77.93,77.14,77.76,8.028
2014-04-10,77.62,78.22,76.7,76.78,6.202
2014-04-11,76.62,77.06,75.65,75.7,8.399
2014-04-14,76.3,76.86,75.51,75.97,8.677
2014-04-15,76.29,76.4,74.61,75.89,7.023
2014-04-16,76.42,76.58,75.8,76.58,6.105
2014-04-17,76.26,77.68,75.91,77.09,6.875
2014-04-21,78.35,78.35,77.67,77.96,6.253
2014-04-22,78.74,80.23,78.63,79.67,11.188
2014-04-23,79.87,80.05,78.44,78.52,7.497
2014-04-24,78.97,79.81,78.72,79.77,7.272
2014-04-25,79.41,79.7,79.03,79.38,6.381
2014-04-28,79.53,81.15,79.33,80.17,14.562
2014-04-29,80.32,80.32,79.52,79.52,5.146
2014-04-30,79.74,79.74,78.73,79.51,8.525
2014-05-01,79.51,79.65,78.95,79.33,3.937
2014-05-02,79.32,80.16,79.16,79.4,3.738
2014-05-05,79.04,79.18,78.56,78.69,3.521
2014-05-06,78.64,78.76,77.35,77.42,6.476
2014-05-07,77.85,77.96,76.52,77.08,5.379
2014-05-08,76.94,77.73,76.66,77.05,5.485
2014-05-09,77.06,77.75,76.81,77.71,4.346
2014-05-12,77.82,78.44,77.75,78.27,4.324
2014-05-13,78.36,78.68,77.04,77.27,5.456
2014-05-14,77.33,77.37,76.17,76.31,6.87
2014-05-15,76.05,76.29,75.32,76.24,6.305
2014-05-16,76.79,77.37,76.66,77.36,7.039
2014-05-19,76.58,77.07,76.37,76.5,7.734
2014-05-20,77.92,78.82,77.4,77.96,15.432
2014-05-21,78.25,78.51,77.75,78.08,6.694
2014-05-22,77.76,79.05,77.76,78.78,5.266
2014-05-23,78.77,79.4,78.51,79.18,5.003
2014-05-27,79.38,80.0,79.3,79.69,4.761
2014-05-28,79.75,80.0,79.27,79.68,4.002
2014-05-29,79.88,79.99,79.44,79.9,4.409
2014-05-30,79.77,80.27,79.58,80.23,4.528
2014-06-02,80.25,81.06,80.17,80.84,6.818
2014-06-03,80.19,80.88,80.15,80.67,5.478
2014-06-04,80.32,80.89,80.06,80.54,4.962
2014-06-05,80.67,80.86,80.28,80.38,5.666
2014-06-06,80.58,81.27,80.51,80.64,4.46
2014-06-09,80.63,81.32,80.42,80.61,3.719
2014-06-10,80.26,80.85,80.22,80.74,4.25
2014-06-11,80.46,80.73,79.76,79.81,4.918
2014-06-12,79.73,79.78,78.2,78.43,7.643
2014-06-13,78.49,78.59,77.75,78.07,7.972
2014-06-16,77.96,79.09,77.96,78.9,7.164
2014-06-17,78.84,80.46,78.73,80.02,9.587
2014-06-18,80.03,80.76,79.79,80.71,8.072
2014-06-19,80.71,80.85,79.95,80.44,5.095
2014-06-20,80.69,80.8,79.86,80.17,13.661
2014-06-23,80.16,80.8,79.97,80.64,4.92
2014-06-24,80.38,80.83,79.83,80.43,5.579
2014-06-25,80.36,80.61,80.12,80.53,4.486
2014-06-26,80.45,80.97,80.12,80.75,5.165
2014-06-27,80.65,81.47,80.63,81.13,5.011
2014-06-30,81.02,81.23,80.48,80.96,5.045
2014-07-01,81.32,81.97,81.22,81.82,5.235
2014-07-02,81.84,82.18,81.62,81.98,4.186
2014-07-03,82.07,82.35,81.8,82.05,2.764
2014-07-07,81.73,82.09,81.14,81.42,6.071
2014-07-08,81.42,81.53,80.55,80.76,7.323
2014-07-09,81.11,81.23,80.18,80.73,6.981
2014-07-10,79.05,79.58,77.95,79.4,11.531
2014-07-11,79.59,79.9,79.21,79.61,4.746
2014-07-14,79.92,80.06,79.19,79.46,7.657
2014-07-15,79.5,80.06,79.42,79.86,6.052
2014-07-16,80.04,80.24,79.38,79.66,9.034
2014-07-17,79.45,79.88,79.23,79.55,7.697
2014-07-18,79.8,80.28,79.45,80.08,5.323
2014-07-21,80.01,80.03,79.53,79.71,4.113
2014-07-22,80.36,80.75,80.2,80.54,6.336
2014-07-23,80.46,81.09,80.21,81.02,3.669
2014-07-24,81.19,81.54,80.89,81.2,4.36
2014-07-25,81.1,81.3,80.89,81.03,4.68
2014-07-28,81.2,81.34,80.66,81.07,3.442
2014-07-29,81.21,81.81,80.89,80.98,4.536
2014-07-30,81.5,81.85,81.07,81.76,5.807
2014-07-31,81.09,81.58,80.85,80.85,5.749
2014-08-01,80.56,81.08,79.74,79.75,8.708
2014-08-04,79.7,80.25,79.66,80.03,7.025
2014-08-05,79.78,80.86,79.78,80.03,5.896
2014-08-06,79.94,81.02,79.85,80.52,4.228
2014-08-07,80.75,81.07,80.29,80.47,4.046
2014-08-08,81.07,82.46,80.88,82.43,7.226
2014-08-11,82.61,83.07,82.5,82.88,3.952
2014-08-12,82.75,83.09,82.68,82.92,3.657
2014-08-13,82.98,83.39,82.74,83.12,4.499
2014-08-14,83.09,83.97,82.74,83.86,4.923
