Date,Open,High,Low,Close,Volume
2014-01-02,89.63,90.08,87.42,87.91,0.479
2014-01-03,87.86,88.54,87.5,88.42,0.394
2014-01-06,89.1,90.6,88.46,90.04,0.405
2014-01-07,92.0,93.2,90.85,91.19,0.437
2014-01-08,91.19,91.62,90.37,90.75,0.518
2014-01-09,91.36,91.68,90.4,90.87,0.274
2014-01-10,90.93,92.65,90.76,92.6,0.208
2014-01-13,92.75,93.98,92.65,93.02,0.443
2014-01-14,93.11,94.87,93.05,94.14,0.696
2014-01-15,94.75,95.49,94.44,95.3,0.623
2014-01-16,95.02,95.7,94.51,95.22,0.556
2014-01-17,95.2,95.61,95.04,95.24,0.39
2014-01-21,96.15,96.75,95.55,96.15,0.507
2014-01-22,96.51,97.95,96.51,97.93,0.415
2014-01-23,97.35,97.88,97.0,97.2,0.449
2014-01-24,96.51,96.54,92.91,93.45,0.565
2014-01-27,93.49,94.41,91.37,92.99,0.575
2014-01-28,92.99,93.89,92.76,93.88,0.454
2014-01-29,93.05,94.07,92.61,93.23,0.28
2014-01-30,93.9,94.1,93.24,93.91,0.327
2014-01-31,92.87,95.78,92.83,95.02,0.632
2014-02-03,95.07,95.63,89.52,89.71,0.661
2014-02-04,89.92,91.29,88.94,90.7,0.721
2014-02-05,90.7,91.21,89.41,90.56,0.408
2014-02-06,90.93,92.0,90.08,90.82,0.333
2014-02-07,91.0,93.24,91.0,92.89,0.28
2014-02-10,92.92,92.92,91.3,91.43,0.203
2014-02-11,91.66,93.17,91.12,92.81,0.216
2014-02-12,92.99,94.11,92.75,93.48,0.368
2014-02-13,93.08,96.16,92.86,95.32,0.427
2014-02-14,95.14,96.38,94.58,96.01,0.327
2014-02-18,96.38,97.7,95.94,97.17,0.33
2014-02-19,96.78,97.39,95.89,96.0,0.251
2014-02-20,96.23,98.33,95.82,98.01,0.374
2014-02-21,98.28,98.98,97.13,98.1,0.336
2014-02-24,98.27,99.57,98.05,98.09,0.394
2014-02-25,98.28,98.52,96.79,97.0,0.306
2014-02-26,97.32,97.73,96.41,96.9,0.456
2014-02-27,100.67,101.26,98.01,100.68,0.958
2014-02-28,101.43,102.58,100.34,101.33,0.575
2014-03-03,100.17,103.92,99.07,103.26,0.532
2014-03-04,105.79,105.79,103.8,104.55,0.503
2014-03-05,104.82,105.74,103.8,103.89,0.49
2014-03-06,104.13,106.04,103.61,104.96,0.862
2014-03-07,106.0,106.59,104.75,104.81,0.578
2014-03-10,104.95,105.75,104.62,105.37,0.44
2014-03-11,105.4,105.52,103.46,103.63,0.4
2014-03-12,103.0,104.11,102.12,103.86,0.417
2014-03-13,104.07,104.47,101.89,102.3,0.392
