Date,Open,High,Low,Close,Volume
2014-01-02,45.66,45.86,44.67,44.86,1.764
2014-01-03,44.73,45.33,44.63,45.16,0.461
2014-01-06,45.12,45.39,44.65,45.14,1.172
2014-01-07,45.14,45.35,44.94,45.14,1.993
2014-01-08,45.21,45.21,44.73,45.21,1.154
2014-01-09,45.14,45.19,44.55,44.88,0.46
2014-01-10,44.65,44.86,44.26,44.51,0.812
2014-01-13,44.24,44.8,44.24,44.57,0.728
2014-01-14,44.55,45.37,44.41,45.35,1.252
2014-01-15,45.25,45.49,44.8,44.96,0.915
2014-01-16,44.94,45.21,44.51,45.06,1.13
2014-01-17,45.06,46.29,44.73,45.66,2.702
2014-01-21,46.19,46.35,44.82,44.98,1.28
2014-01-22,45.12,46.15,44.94,46.09,1.429
2014-01-23,46.03,46.5,45.35,46.5,0.936
2014-01-24,45.86,46.13,45.33,46.07,0.891
2014-01-27,46.07,46.07,44.92,45.12,1.1
2014-01-28,44.82,45.14,44.63,44.94,0.686
2014-01-29,44.75,44.9,44.24,44.45,0.438
2014-01-30,44.65,44.77,44.32,44.45,0.52
2014-01-31,44.14,44.51,43.79,44.43,0.429
2014-02-03,44.43,44.53,42.76,42.99,1.115
2014-02-04,43.09,43.26,42.76,43.15,0.836
2014-02-05,42.78,43.01,42.17,42.68,0.695
2014-02-06,42.76,43.5,42.72,43.5,0.294
2014-02-07,43.63,44.88,43.54,44.43,0.513
2014-02-10,44.47,44.51,43.71,43.93,0.562
2014-02-11,44.59,44.67,44.04,44.51,0.642
2014-02-12,44.61,45.04,44.36,44.92,0.437
2014-02-13,44.69,45.19,44.43,45.04,0.552
2014-02-14,45.14,45.25,44.86,45.14,0.648
2014-02-18,45.14,45.14,44.59,44.65,0.616
2014-02-19,44.65,45.04,44.12,44.18,0.441
2014-02-20,44.12,44.47,43.73,44.1,0.602
2014-02-21,44.12,45.53,44.06,45.45,1.166
2014-02-24,45.57,46.17,45.23,45.68,0.743
2014-02-25,45.66,46.33,45.57,45.9,0.823
2014-02-26,45.99,46.54,45.76,46.25,1.072
2014-02-27,45.99,46.91,44.73,46.15,2.188
2014-02-28,46.17,46.33,45.31,45.88,0.971
2014-03-03,45.6,46.17,45.37,46.15,0.677
2014-03-04,47.01,47.4,46.09,46.29,2.307
2014-03-05,46.11,46.97,46.07,46.72,0.669
2014-03-06,46.72,46.91,45.96,46.13,0.682
2014-03-07,46.07,46.85,45.96,46.6,0.642
2014-03-10,46.7,46.89,45.62,45.92,0.922
2014-03-11,45.94,46.09,45.14,45.37,0.835
2014-03-12,45.23,45.96,44.67,45.86,0.789
2014-03-13,45.62,46.03,45.06,45.25,0.993
2014-03-14,45.06,45.68,44.88,45.21,0.609
2014-03-17,45.37,45.94,45.33,45.39,0.369
2014-03-18,45.35,46.35,45.27,46.31,0.678
2014-03-19,46.21,46.23,45.47,45.68,0.733
2014-03-20,45.66,46.01,45.37,45.49,0.653
2014-03-21,45.7,47.18,45.45,47.18,3.027
2014-03-24,47.07,47.38,46.09,46.7,0.966
2014-03-25,46.74,46.99,46.13,46.13,0.782
2014-03-26,46.17,46.31,45.74,45.84,0.782
2014-03-27,45.78,46.21,45.49,45.62,0.671
2014-03-28,45.49,45.92,45.04,45.66,2.073
2014-03-31,45.84,46.03,45.14,45.64,4.897
2014-04-01,45.6,46.58,45.57,46.27,1.053
2014-04-02,46.17,46.56,46.07,46.11,1.062
2014-04-03,46.17,46.33,45.19,45.19,0.959
2014-04-04,45.21,45.25,44.24,44.3,2.767
2014-04-07,44.32,44.38,43.63,43.85,0.694
2014-04-08,43.81,43.91,43.38,43.83,0.686
2014-04-09,43.97,44.43,43.87,44.14,0.865
2014-04-10,44.06,44.26,43.17,43.46,0.528
2014-04-11,43.3,43.87,43.01,43.6,0.76
2014-04-14,43.69,44.34,43.32,43.81,0.515
2014-04-15,44.14,44.14,43.09,43.87,0.485
