Date,Open,High,Low,Close,Volume
2014-01-02,86.72,86.89,85.85,86.11,1.83
2014-01-03,86.27,86.72,86.12,86.3,1.545
2014-01-06,86.71,87.0,86.18,86.21,2.051
2014-01-07,86.35,86.89,86.25,86.57,1.651
2014-01-08,85.87,86.57,85.73,86.22,2.775
2014-01-09,86.65,87.18,86.04,86.25,1.901
2014-01-10,86.44,86.58,85.57,85.96,3.145
2014-01-13,85.68,86.23,84.6,84.73,2.599
2014-01-14,85.11,85.32,84.01,85.22,3.043
2014-01-15,85.64,85.96,85.42,85.72,2.592
2014-01-16,85.67,86.05,85.56,85.85,1.719
2014-01-17,86.01,86.23,85.48,85.76,2.728
2014-01-21,86.38,86.79,85.66,86.37,2.625
2014-01-22,86.67,86.99,86.01,86.84,2.87
2014-01-23,86.15,86.48,85.07,85.61,4.383
2014-01-24,85.37,86.67,84.31,84.34,5.268
2014-01-27,85.07,86.73,85.07,86.08,6.909
2014-01-28,86.05,86.94,85.94,86.23,3.071
2014-01-29,85.41,86.32,85.1,85.56,4.159
2014-01-30,86.46,87.59,86.23,87.42,3.304
2014-01-31,86.38,87.85,86.05,86.98,3.888
2014-02-03,86.98,87.67,84.53,84.61,4.444
2014-02-04,84.81,85.79,84.15,85.57,4.128
2014-02-05,85.04,85.76,84.38,85.41,4.482
2014-02-06,85.72,86.94,85.58,86.89,2.292
2014-02-07,87.41,88.94,87.2,88.82,4.401
2014-02-10,88.76,89.43,88.19,88.52,3.442
2014-02-11,88.76,90.14,88.61,89.77,3.124
2014-02-12,90.15,90.45,89.53,89.89,2.599
2014-02-13,89.12,90.19,88.91,90.12,2.454
2014-02-14,90.08,90.4,89.51,90.2,2.683
2014-02-18,90.01,90.3,89.49,89.95,2.455
2014-02-19,89.6,90.64,88.5,88.62,4.474
2014-02-20,88.88,89.65,88.4,89.2,2.41
2014-02-21,89.46,90.04,89.34,89.55,3.376
2014-02-24,89.96,90.77,89.38,89.39,3.104
2014-02-25,89.26,89.89,88.88,89.49,3.405
2014-02-26,89.19,90.13,89.14,89.48,2.749
2014-02-27,89.25,90.09,89.08,89.97,2.165
2014-02-28,89.9,90.77,89.45,90.04,3.369
2014-03-03,88.39,89.68,88.25,89.23,2.829
2014-03-04,90.25,91.12,90.11,90.19,4.094
2014-03-05,90.93,91.38,90.15,90.25,4.425
2014-03-06,90.62,91.05,90.28,90.33,3.926
2014-03-07,91.03,91.44,90.78,90.99,5.045
2014-03-10,90.62,90.97,90.27,90.81,2.65
2014-03-11,90.69,90.83,89.55,89.72,2.567
2014-03-12,88.92,89.48,88.29,89.47,2.779
2014-03-13,89.94,90.08,88.31,88.52,3.706
2014-03-14,88.29,88.74,87.6,87.72,3.445
2014-03-17,88.2,89.45,88.16,89.04,3.269
2014-03-18,89.35,89.48,89.01,89.38,2.434
2014-03-19,89.42,89.64,87.91,88.56,2.496
2014-03-20,88.56,89.04,88.18,88.62,2.506
2014-03-21,89.66,90.36,88.63,88.65,5.034
2014-03-24,89.05,89.29,87.24,87.68,3.876
2014-03-25,88.27,88.59,87.5,88.13,2.483
2014-03-26,88.53,88.73,86.59,86.6,3.385
2014-03-27,86.72,86.94,85.85,86.09,3.48
2014-03-28,86.28,87.27,86.26,86.65,2.595
2014-03-31,87.39,88.59,87.16,88.43,3.493
2014-04-01,88.81,89.01,88.29,88.91,2.35
2014-04-02,89.07,89.8,88.8,89.5,3.023
2014-04-03,89.71,89.94,89.21,89.88,2.435
