Date,Open,High,Low,Close,Volume
2014-01-02,44.71,44.81,44.31,44.51,0.885
2014-01-03,44.59,44.82,44.37,44.67,0.514
2014-01-06,44.69,44.84,44.26,44.57,0.932
2014-01-07,44.7,45.41,44.31,45.22,0.878
2014-01-08,45.17,46.01,45.1,45.98,1.411
2014-01-09,46.24,46.48,45.87,46.09,1.142
2014-01-10,45.93,46.01,45.53,45.57,1.237
2014-01-13,45.52,45.65,44.75,44.83,1.25
2014-01-14,44.9,45.5,44.73,45.25,0.901
2014-01-15,45.54,45.54,45.3,45.41,1.225
2014-01-16,45.41,45.49,45.15,45.4,0.922
2014-01-17,45.26,45.68,45.08,45.55,1.108
2014-01-21,45.98,45.98,45.58,45.91,1.048
2014-01-22,46.07,46.23,45.62,46.22,1.001
2014-01-23,45.98,46.21,45.51,45.82,1.099
2014-01-24,45.62,45.93,44.97,45.08,1.387
2014-01-27,45.05,45.18,44.26,44.29,1.371
2014-01-28,44.36,44.77,44.1,44.77,1.251
2014-01-29,44.31,44.92,43.96,44.7,1.546
2014-01-30,45.19,45.49,44.92,45.12,0.662
2014-01-31,44.39,45.21,44.32,45.05,1.71
2014-02-03,45.06,45.42,43.02,43.22,2.921
2014-02-04,43.45,43.66,43.22,43.28,1.86
2014-02-05,43.13,43.65,43.05,43.55,0.944
2014-02-06,43.61,43.96,43.18,43.73,0.92
2014-02-07,43.98,44.58,43.45,44.46,1.078
2014-02-10,44.33,45.06,44.33,45.04,1.283
2014-02-11,45.19,45.47,44.03,44.87,2.494
2014-02-12,45.06,45.51,44.74,45.1,1.571
2014-02-13,45.07,45.96,44.73,45.94,1.551
2014-02-14,45.7,46.04,45.56,45.89,0.909
2014-02-18,46.1,46.33,45.98,46.19,0.789
2014-02-19,46.18,46.27,45.76,45.83,0.793
2014-02-20,45.74,46.34,45.54,46.27,0.872
2014-02-21,46.49,46.73,46.06,46.55,1.258
2014-02-24,46.73,47.18,46.4,46.89,1.075
2014-02-25,46.9,47.06,46.6,46.73,1.808
2014-02-26,46.87,47.08,46.38,46.52,1.208
2014-02-27,46.53,46.74,46.26,46.56,0.739
2014-02-28,46.64,47.04,46.34,46.68,0.967
2014-03-03,46.23,46.52,45.7,45.96,1.844
2014-03-04,46.6,47.06,46.47,46.8,1.062
2014-03-05,46.93,46.93,46.52,46.8,0.769
2014-03-06,46.9,47.2,46.78,46.96,0.657
2014-03-07,47.21,47.21,46.65,46.97,0.505
2014-03-10,46.93,47.18,46.65,47.13,0.981
2014-03-11,46.96,47.34,46.67,46.9,0.97
2014-03-12,46.57,46.83,46.45,46.69,1.598
2014-03-13,47.0,47.2,46.36,46.46,1.626
2014-03-14,46.38,46.81,46.28,46.43,0.904
