Date,Open,High,Low,Close,Volume
2014-01-02,19.41,19.42,19.08,19.26,4.973
2014-01-03,19.29,19.35,19.04,19.13,6.957
2014-01-06,19.0,19.21,18.88,19.05,5.428
2014-01-07,19.14,19.39,19.01,19.05,8.138
2014-01-08,19.05,19.26,18.88,19.24,10.108
2014-01-09,19.3,19.35,18.98,19.3,7.228
2014-01-10,19.4,19.49,19.07,19.18,6.258
2014-01-13,19.09,19.22,18.99,19.08,5.242
2014-01-14,19.11,19.36,19.04,19.34,7.358
2014-01-15,19.32,19.55,19.29,19.45,6.816
2014-01-16,19.34,19.5,19.33,19.41,3.645
2014-01-17,19.44,19.49,19.3,19.42,5.828
2014-01-21,19.49,19.71,19.45,19.48,10.75
2014-01-22,19.57,19.71,19.45,19.57,6.189
2014-01-23,19.39,19.55,19.27,19.37,5.36
2014-01-24,19.24,19.28,18.75,18.79,6.273
2014-01-27,18.79,18.84,18.29,18.43,7.773
2014-01-28,18.44,18.62,18.41,18.51,5.556
2014-01-29,18.3,18.51,18.11,18.21,7.61
2014-01-30,18.36,18.45,18.19,18.33,7.687
2014-01-31,18.03,18.46,18.0,18.39,9.168
2014-02-03,18.29,18.39,17.86,18.0,13.725
2014-02-04,18.12,18.42,18.0,18.24,9.206
2014-02-05,18.2,18.21,17.95,18.05,7.235
2014-02-06,18.05,18.38,18.03,18.33,6.475
2014-02-07,18.39,18.56,18.13,18.42,10.081
2014-02-10,18.47,18.52,18.24,18.35,10.489
2014-02-11,18.35,18.77,18.3,18.73,8.821
2014-02-12,18.7,18.74,18.53,18.74,5.991
2014-02-13,18.59,18.9,18.52,18.86,6.895
2014-02-14,18.83,19.08,18.74,18.99,7.71
2014-02-18,18.98,19.01,18.79,18.86,7.995
2014-02-19,18.9,19.64,18.69,19.25,11.268
2014-02-20,19.34,19.51,19.31,19.45,6.251
2014-02-21,19.45,19.69,19.32,19.54,5.92
2014-02-24,19.56,19.85,19.55,19.62,6.459
2014-02-25,19.59,19.84,19.57,19.62,5.801
2014-02-26,19.64,19.87,19.59,19.67,5.152
2014-02-27,19.67,19.81,19.42,19.58,5.847
2014-02-28,19.57,19.8,19.54,19.67,6.828
2014-03-03,19.54,19.68,19.28,19.65,6.181
2014-03-04,19.91,20.07,19.84,20.07,5.517
2014-03-05,20.05,20.1,19.78,19.97,4.474
2014-03-06,20.0,20.15,19.96,20.12,4.542
2014-03-07,20.13,20.17,19.98,20.13,4.493
2014-03-10,20.09,20.13,19.93,20.02,4.722
2014-03-11,20.02,20.23,20.02,20.14,4.727
2014-03-12,20.06,20.35,20.06,20.26,5.184
2014-03-13,20.37,20.5,20.16,20.17,6.938
2014-03-14,20.18,20.42,20.15,20.39,7.574
2014-03-17,20.47,20.64,20.34,20.43,4.171
2014-03-18,20.41,20.53,20.31,20.47,4.198
2014-03-19,20.43,20.51,20.01,20.04,7.976
2014-03-20,19.96,20.07,19.86,20.02,6.853
2014-03-21,20.18,20.37,19.96,20.28,6.695
2014-03-24,20.25,20.3,19.81,19.95,5.621
2014-03-25,20.08,20.18,19.92,20.05,8.56
2014-03-26,20.1,20.14,19.69,19.73,6.081
2014-03-27,19.59,19.88,19.46,19.73,4.917
2014-03-28,19.79,20.12,19.74,19.94,4.082
2014-03-31,20.04,20.29,19.9,20.24,4.708
2014-04-01,20.14,20.57,20.14,20.56,6.731
2014-04-02,20.56,20.7,20.42,20.66,7.261
2014-04-03,20.68,20.79,20.55,20.66,4.648
2014-04-04,20.8,20.9,20.43,20.52,8.028
2014-04-07,20.47,20.79,20.46,20.64,6.836
2014-04-08,20.55,20.87,20.51,20.72,5.724
2014-04-09,20.76,20.9,20.48,20.6,8.476
2014-04-10,20.63,20.73,20.08,20.14,10.903
2014-04-11,20.05,20.26,19.93,20.05,8.223
