Date,Open,High,Low,Close,Volume
2014-01-02,97.18,97.18,95.9,95.93,0.754
2014-01-03,95.91,96.19,95.48,95.81,0.786
2014-01-06,95.83,96.22,95.18,95.54,0.739
2014-01-07,95.8,97.49,95.8,97.0,1.212
2014-01-08,97.83,98.9,97.06,97.74,1.494
2014-01-09,97.79,98.03,97.21,97.64,0.83
2014-01-10,97.67,98.49,97.61,97.86,0.865
2014-01-13,97.62,98.72,97.36,97.85,0.876
2014-01-14,97.85,98.71,97.75,98.67,0.86
2014-01-15,98.87,98.87,97.9,98.2,0.939
2014-01-16,98.2,99.55,97.83,99.5,0.814
2014-01-17,99.6,99.6,98.39,98.58,0.731
2014-01-21,99.15,99.4,97.81,98.75,0.559
2014-01-22,98.75,99.98,98.75,99.83,0.633
2014-01-23,99.19,99.67,98.77,99.33,0.792
2014-01-24,98.72,99.28,98.06,98.12,1.012
2014-01-27,98.17,98.4,97.03,97.46,1.138
2014-01-28,97.27,99.25,97.24,98.78,1.082
2014-01-29,97.99,98.09,96.5,96.72,1.68
2014-01-30,97.71,99.47,96.77,99.25,1.051
2014-01-31,98.13,99.82,97.89,99.4,1.155
2014-02-03,98.97,99.35,97.66,97.95,2.079
2014-02-04,98.25,100.22,98.14,100.0,2.088
2014-02-05,99.42,101.34,98.94,100.71,1.938
2014-02-06,100.79,101.43,99.87,100.6,0.973
2014-02-07,100.93,101.3,100.3,100.38,1.238
2014-02-10,100.4,102.1,100.03,101.97,1.11
2014-02-11,101.82,103.85,101.58,103.75,1.179
2014-02-12,103.71,104.68,102.63,102.93,1.158
2014-02-13,102.58,104.1,102.51,104.01,0.757
2014-02-14,104.0,105.46,103.83,105.28,1.016
2014-02-18,104.84,106.0,104.61,105.96,1.092
2014-02-19,105.75,107.15,105.2,106.35,1.566
2014-02-20,106.23,108.47,106.17,107.71,1.491
2014-02-21,107.1,108.06,106.21,107.7,1.257
2014-02-24,107.42,108.69,107.17,108.07,1.412
2014-02-25,107.7,108.17,106.54,106.77,2.008
2014-02-26,106.6,107.21,105.56,105.64,2.285
2014-02-27,105.19,105.97,104.63,105.77,1.291
2014-02-28,105.81,106.59,105.2,105.82,1.131
2014-03-03,105.31,106.05,104.82,105.58,0.781
2014-03-04,106.19,107.54,106.19,107.14,1.002
2014-03-05,107.11,107.41,106.53,106.65,0.744
2014-03-06,107.03,107.07,106.02,106.03,0.631
2014-03-07,106.53,106.81,105.14,105.64,1.211
2014-03-10,105.75,106.33,105.19,105.4,0.921
2014-03-11,105.76,106.1,105.23,105.45,0.85
2014-03-12,105.07,106.08,104.91,105.94,0.71
2014-03-13,106.18,106.45,105.31,105.58,0.797
2014-03-14,105.44,106.83,105.31,106.2,1.005
2014-03-17,106.62,106.65,105.13,105.32,0.775
2014-03-18,105.49,106.32,105.16,106.21,0.667
2014-03-19,106.11,106.18,103.72,104.23,1.152
2014-03-20,104.22,104.82,103.64,104.43,0.716
2014-03-21,105.2,105.62,104.33,104.84,1.308
2014-03-24,104.84,105.22,103.4,103.51,0.975
2014-03-25,104.0,104.37,103.19,103.24,1.217
2014-03-26,103.65,103.96,102.77,102.78,1.345
2014-03-27,102.85,103.53,102.51,102.77,1.012
2014-03-28,103.21,103.57,102.77,103.24,0.655
2014-03-31,103.84,104.58,103.57,104.4,0.696
2014-04-01,103.75,104.68,103.42,104.11,1.166
2014-04-02,104.15,104.25,102.95,103.21,1.236
2014-04-03,103.58,103.82,102.55,102.86,1.158
2014-04-04,103.07,104.07,102.77,102.97,0.865
2014-04-07,103.06,103.72,102.97,103.0,1.2
2014-04-08,102.86,102.86,101.52,101.72,1.423
2014-04-09,99.96,100.59,98.4,98.91,2.94
2014-04-10,98.85,99.58,98.37,98.61,1.705
2014-04-11,98.4,98.95,97.94,98.32,1.13
2014-04-14,98.49,99.62,98.4,99.13,0.772
2014-04-15,99.28,99.61,98.75,99.51,0.95
2014-04-16,99.93,100.5,99.47,100.47,0.646
2014-04-17,100.34,100.64,99.84,100.61,0.529
2014-04-21,100.6,100.85,100.02,100.39,0.771
2014-04-22,100.48,100.61,99.66,99.77,1.122
2014-04-23,99.99,100.79,99.72,100.15,1.114
2014-04-24,100.0,100.0,95.11,96.02,3.086
2014-04-25,96.05,96.88,95.28,96.36,1.855
2014-04-28,96.6,96.78,95.59,96.36,1.517
2014-04-29,96.4,96.93,96.03,96.14,1.022
2014-04-30,96.01,96.34,95.84,96.24,0.918
2014-05-01,96.03,96.3,95.4,96.04,1.035
2014-05-02,95.8,97.48,95.66,96.98,1.293
2014-05-05,96.61,98.29,96.06,97.73,1.338
2014-05-06,97.39,97.58,95.62,96.06,2.119
2014-05-07,96.53,96.99,96.05,96.9,1.215
2014-05-08,96.78,97.2,95.89,96.23,0.97
2014-05-09,96.38,96.38,95.34,96.03,1.089
2014-05-12,96.25,96.49,95.83,96.24,0.819
2014-05-13,96.28,96.92,96.28,96.89,0.927
2014-05-14,96.66,96.82,95.88,96.04,0.726
2014-05-15,95.91,96.78,95.76,96.48,1.235
2014-05-16,96.4,96.63,96.03,96.62,0.872
2014-05-19,95.83,96.68,95.79,96.39,0.874
2014-05-20,96.41,97.68,96.35,97.45,1.46
2014-05-21,97.12,97.37,96.27,97.07,0.843
2014-05-22,96.94,97.44,96.49,97.37,1.066
2014-05-23,97.4,97.45,96.92,97.04,0.643
2014-05-27,97.28,97.4,96.75,97.11,0.719
2014-05-28,97.11,97.49,96.74,96.75,0.796
2014-05-29,96.04,97.08,95.82,96.93,0.93
2014-05-30,97.0,97.53,96.66,97.34,0.919
2014-06-02,97.33,97.42,96.66,97.06,0.654
2014-06-03,97.04,97.15,96.06,96.29,1.205
2014-06-04,96.33,97.52,95.93,97.48,0.984
2014-06-05,97.39,97.42,96.54,97.06,0.985
2014-06-06,97.31,98.26,97.1,98.12,0.901
2014-06-09,98.05,98.55,97.08,97.27,0.625
2014-06-10,97.13,97.36,96.74,97.03,0.656
2014-06-11,97.0,97.09,96.32,96.94,0.704
2014-06-12,96.9,96.99,96.37,96.94,0.769
2014-06-13,96.82,97.66,96.43,97.64,0.794
2014-06-16,97.37,98.24,97.18,98.05,1.068
2014-06-17,97.66,98.57,97.55,98.34,0.992
2014-06-18,98.09,99.32,97.93,99.25,0.865
2014-06-19,99.25,100.0,99.25,99.74,0.779
2014-06-20,100.04,100.16,99.7,100.13,1.611
2014-06-23,100.0,100.12,98.58,98.79,0.83
2014-06-24,98.43,98.62,97.81,97.95,0.844
2014-06-25,97.74,97.95,97.01,97.19,0.78
2014-06-26,97.34,97.44,96.45,96.56,0.915
2014-06-27,96.45,97.12,95.97,96.92,0.942
2014-06-30,96.88,97.54,96.67,97.37,0.872
2014-07-01,97.74,97.74,96.62,96.91,1.066
2014-07-02,96.9,96.99,96.04,96.77,0.82
2014-07-03,96.77,96.89,96.22,96.63,0.635
2014-07-07,96.71,97.44,96.65,96.81,0.655
2014-07-08,96.8,97.41,96.28,96.93,0.926
2014-07-09,96.91,97.31,96.5,96.64,0.783
2014-07-10,96.09,96.43,95.75,96.28,0.714
2014-07-11,96.15,96.76,95.96,96.45,0.666
2014-07-14,96.49,96.82,94.44,94.99,2.192
2014-07-15,94.59,95.54,94.58,94.66,1.338
2014-07-16,93.2,94.16,91.08,92.34,4.479
2014-07-17,92.15,92.58,91.73,92.17,1.438
2014-07-18,92.63,94.08,92.36,93.85,1.391
