Date,Open,High,Low,Close,Volume
2014-01-02,102.76,103.88,102.3,102.84,1.394
2014-01-03,102.86,103.04,101.58,101.76,1.234
2014-01-06,102.3,102.38,99.96,100.76,1.85
2014-01-07,98.72,101.35,98.5,100.55,2.562
2014-01-08,100.66,100.66,98.95,99.4,2.333
2014-01-09,99.8,100.4,98.99,98.99,2.261
2014-01-10,97.0,98.77,95.01,96.96,4.074
2014-01-13,96.94,97.75,95.97,96.03,1.864
2014-01-14,96.04,96.91,95.5,96.79,1.006
2014-01-15,96.79,97.65,96.52,97.13,1.44
2014-01-16,96.72,97.1,95.13,96.16,1.131
2014-01-17,96.0,97.17,95.83,96.57,1.597
2014-01-21,96.69,96.94,95.27,95.66,1.408
2014-01-22,96.14,96.49,95.56,96.14,1.346
2014-01-23,95.91,97.84,95.8,96.19,1.744
2014-01-24,95.3,96.32,94.91,96.0,1.729
2014-01-27,96.12,96.77,94.85,96.04,1.585
2014-01-28,96.0,96.74,95.7,96.02,1.193
2014-01-29,95.18,98.59,94.2,96.52,2.28
2014-01-30,96.92,98.92,96.81,98.17,1.084
2014-01-31,97.03,97.68,96.8,97.3,1.41
2014-02-03,97.19,97.33,95.88,96.36,2.039
2014-02-04,96.47,97.58,95.31,97.47,2.046
2014-02-05,91.0,96.88,91.0,95.71,4.643
2014-02-06,95.57,96.81,94.7,96.66,2.161
2014-02-07,96.01,96.57,94.56,95.97,2.252
2014-02-10,95.78,96.47,94.71,96.47,1.662
2014-02-11,96.54,97.54,94.88,97.27,1.382
2014-02-12,97.3,98.23,95.39,95.59,1.417
2014-02-13,95.52,97.23,95.28,97.02,1.51
2014-02-14,96.86,101.61,96.86,100.23,2.759
2014-02-18,100.73,103.96,100.35,102.31,2.349
2014-02-19,101.93,102.94,101.76,101.98,1.608
2014-02-20,100.91,102.92,100.91,102.24,1.847
2014-02-21,102.72,104.11,102.37,102.82,3.455
2014-02-24,102.86,114.76,102.71,113.69,6.569
2014-02-25,113.37,114.11,109.92,110.49,3.411
2014-02-26,108.14,112.72,108.14,110.31,2.555
2014-02-27,110.26,111.28,109.78,110.62,1.255
2014-02-28,110.79,113.09,110.46,112.46,1.718
2014-03-03,114.2,115.0,111.62,112.22,1.943
2014-03-04,113.07,113.52,111.78,112.35,1.761
