Date,Open,High,Low,Close,Volume
2014-01-02,44.83,45.1,44.43,44.92,3.834
2014-01-03,44.92,45.39,44.89,45.18,4.864
2014-01-06,45.38,45.76,45.2,45.29,3.358
2014-01-07,45.77,45.9,45.21,45.56,4.283
2014-01-08,45.43,45.64,45.0,45.4,3.24
2014-01-09,45.59,45.77,45.4,45.51,2.715
2014-01-10,45.29,45.48,44.81,45.07,3.008
2014-01-13,45.0,45.11,44.0,44.1,3.104
2014-01-14,44.21,44.27,43.66,43.96,4.922
2014-01-15,43.94,44.0,41.66,42.18,18.126
2014-01-16,41.76,42.53,41.62,41.87,6.98
2014-01-17,41.8,42.06,41.21,41.37,8.568
2014-01-21,41.68,42.47,41.52,41.6,7.743
2014-01-22,41.83,42.2,41.47,42.0,5.814
2014-01-23,41.63,41.8,41.2,41.38,5.182
2014-01-24,41.2,41.4,40.87,40.87,6.562
2014-01-27,41.65,41.65,40.52,40.63,7.132
2014-01-28,41.8,41.8,40.8,41.38,4.005
2014-01-29,40.61,41.53,40.61,40.96,4.184
2014-01-30,40.2,41.91,40.2,41.86,2.909
2014-01-31,41.12,42.05,41.12,41.76,4.142
2014-02-03,41.64,41.72,40.6,40.69,5.956
2014-02-04,40.62,41.8,40.58,41.77,5.226
2014-02-05,41.74,42.1,41.0,41.51,3.559
2014-02-06,41.62,42.12,41.48,42.08,4.082
2014-02-07,42.04,43.26,42.04,43.11,6.084
2014-02-10,43.12,43.38,42.25,42.42,7.185
2014-02-11,42.68,43.4,42.42,43.3,6.399
2014-02-12,43.31,43.75,42.69,43.48,5.858
2014-02-13,43.29,43.97,43.15,43.38,3.558
2014-02-14,43.25,43.4,42.64,42.97,3.448
2014-02-18,42.98,43.69,42.97,43.39,4.05
2014-02-19,43.09,43.28,42.32,42.36,4.185
2014-02-20,42.48,42.67,41.93,42.05,3.336
2014-02-21,42.27,42.79,42.02,42.58,4.76
2014-02-24,42.53,43.28,42.45,43.06,3.43
2014-02-25,42.93,43.44,42.66,42.85,3.46
2014-02-26,43.05,43.05,41.73,41.78,5.334
2014-02-27,42.69,42.69,41.25,41.82,4.376
2014-02-28,41.85,42.34,41.54,41.77,3.74
2014-03-03,41.48,42.12,41.34,42.0,3.868
2014-03-04,42.3,43.08,42.25,42.98,2.778
2014-03-05,42.92,43.22,42.53,42.78,3.687
2014-03-06,42.91,43.87,42.91,42.99,5.162
2014-03-07,43.15,43.24,42.41,42.53,4.726
2014-03-10,42.52,42.57,41.91,42.06,2.993
2014-03-11,42.38,42.38,41.54,41.69,3.448
2014-03-12,41.59,41.88,41.21,41.83,2.844
2014-03-13,41.83,41.9,40.69,40.81,3.518
2014-03-14,40.8,41.2,40.6,40.99,3.928
2014-03-17,41.2,41.9,41.15,41.83,3.482
2014-03-18,41.83,41.83,41.13,41.19,4.118
2014-03-19,41.15,41.33,40.57,40.7,5.113
2014-03-20,40.81,41.09,40.39,40.68,4.548
2014-03-21,41.24,41.55,40.77,40.77,11.172
2014-03-24,40.68,41.03,40.68,40.75,4.84
2014-03-25,40.84,41.0,39.94,40.0,6.376
2014-03-26,40.07,40.45,39.86,39.89,4.238
2014-03-27,39.97,40.1,39.11,39.88,5.386
2014-03-28,39.98,40.05,39.07,39.23,6.476
2014-03-31,39.34,40.22,39.28,39.57,9.162
2014-04-01,39.52,39.61,38.45,38.63,8.806
2014-04-02,38.69,40.28,38.69,40.06,8.214
2014-04-03,40.91,41.05,40.12,40.44,7.722
2014-04-04,40.47,40.67,39.28,39.31,7.079
2014-04-07,39.29,39.35,38.44,38.45,6.93
2014-04-08,38.52,38.8,38.04,38.38,5.008
2014-04-09,38.41,38.83,38.29,38.54,3.669
2014-04-10,38.57,38.78,37.82,38.1,4.712
2014-04-11,37.82,38.24,37.66,37.83,4.214
2014-04-14,37.94,38.43,37.76,38.3,4.331
2014-04-15,38.31,39.34,38.25,38.77,5.369
2014-04-16,38.92,39.68,38.79,39.61,5.118
2014-04-17,39.51,39.78,39.17,39.65,3.164
2014-04-21,39.58,40.14,39.26,40.12,2.65
2014-04-22,40.08,40.97,39.76,40.77,4.072
2014-04-23,40.75,41.21,40.25,40.86,5.242
2014-04-24,40.89,41.25,40.54,41.15,4.121
2014-04-25,41.07,41.15,40.39,40.49,3.83
2014-04-28,40.62,40.65,39.93,40.32,4.508
2014-04-29,40.51,40.76,40.22,40.67,3.401
2014-04-30,40.72,40.99,40.32,40.89,3.212
2014-05-01,40.96,41.2,40.7,41.1,2.665
2014-05-02,41.17,41.4,40.42,40.46,3.13
2014-05-05,40.35,40.57,39.86,40.45,2.859
2014-05-06,40.23,40.33,39.58,39.64,3.668
2014-05-07,39.73,40.42,39.51,40.35,5.052
2014-05-08,39.65,39.65,38.17,38.43,15.803
2014-05-09,38.37,38.46,37.38,37.65,13.982
2014-05-12,37.73,38.33,37.73,38.27,5.364
2014-05-13,38.24,38.39,37.99,38.16,3.025
2014-05-14,38.16,38.41,37.83,38.37,3.74
2014-05-15,38.24,38.37,37.45,37.81,6.375
2014-05-16,37.81,37.91,37.42,37.7,4.882
2014-05-19,37.44,38.35,37.38,38.31,3.674
2014-05-20,38.27,38.29,37.44,37.58,4.298
2014-05-21,37.73,38.54,37.61,38.44,3.45
2014-05-22,38.39,38.99,38.24,38.77,2.892
2014-05-23,38.72,38.72,38.17,38.53,2.888
2014-05-27,38.7,39.72,38.52,39.48,4.146
2014-05-28,39.36,39.39,38.83,39.16,2.843
2014-05-29,39.37,39.37,38.87,39.0,3.231
2014-05-30,39.0,39.51,38.91,39.28,4.208
2014-06-02,39.4,39.42,38.66,38.84,3.358
2014-06-03,38.81,39.33,38.75,38.96,3.876
2014-06-04,38.79,38.98,38.32,38.57,4.771
2014-06-05,38.52,38.56,37.65,38.08,6.726
2014-06-06,38.2,38.28,37.83,38.01,2.996
2014-06-09,37.9,38.25,37.73,37.78,4.88
2014-06-10,37.61,38.08,37.6,38.02,5.45
2014-06-11,38.0,38.0,37.4,37.67,3.882
2014-06-12,37.52,38.62,37.46,38.4,5.386
2014-06-13,38.39,38.73,38.26,38.65,3.652
2014-06-16,38.69,38.84,38.3,38.5,2.484
2014-06-17,38.52,39.05,38.35,38.93,4.204
2014-06-18,38.85,39.78,38.78,39.64,5.349
2014-06-19,40.6,40.6,38.92,39.39,4.814
2014-06-20,39.59,39.59,38.67,38.97,6.216
2014-06-23,38.95,39.7,38.72,39.64,3.242
2014-06-24,38.82,39.02,37.94,38.04,9.334
2014-06-25,38.05,38.24,37.43,37.59,5.256
2014-06-26,37.53,37.89,37.5,37.85,2.843
2014-06-27,37.68,37.98,37.14,37.59,4.859
2014-06-30,37.66,38.02,37.61,37.78,4.153
2014-07-01,37.97,38.13,37.23,37.26,4.638
2014-07-02,37.3,37.63,37.14,37.54,4.284
2014-07-03,37.7,38.19,37.7,38.06,2.572
2014-07-07,38.06,38.06,37.69,37.88,2.82
2014-07-08,37.85,37.85,36.91,37.08,4.808
2014-07-09,37.1,37.43,36.86,37.38,4.006
2014-07-10,36.95,37.08,36.48,36.69,3.868
2014-07-11,36.71,36.93,36.56,36.88,6.485
2014-07-14,37.19,37.5,37.01,37.3,3.281
2014-07-15,37.22,37.7,37.16,37.51,3.824
2014-07-16,37.55,37.85,37.55,37.77,4.78
2014-07-17,37.62,38.29,37.62,38.24,6.49
2014-07-18,38.32,39.35,38.22,38.87,8.509
2014-07-21,38.61,39.34,38.51,39.29,5.572
2014-07-22,38.89,39.84,38.85,39.8,6.724
2014-07-23,39.68,39.83,39.16,39.5,5.005
2014-07-24,39.49,39.49,39.09,39.19,5.126
2014-07-25,39.19,39.51,39.14,39.35,5.426
2014-07-28,39.27,39.43,38.81,39.2,5.808
2014-07-29,39.24,39.72,39.02,39.08,4.759
2014-07-30,39.31,39.36,38.97,39.21,3.605
2014-07-31,39.07,39.25,38.43,38.44,4.44
2014-08-01,38.4,38.67,38.1,38.44,3.88
2014-08-04,38.55,38.89,38.38,38.79,3.458
2014-08-05,38.55,38.59,38.23,38.23,4.034
2014-08-06,38.17,38.95,38.07,38.44,3.935
2014-08-07,38.56,38.61,37.21,37.67,7.28
2014-08-08,37.8,38.31,37.47,38.27,5.131
2014-08-11,38.45,38.6,37.82,37.87,3.51
2014-08-12,37.69,37.93,37.34,37.57,2.642
2014-08-13,37.63,37.81,37.4,37.54,3.008
2014-08-14,37.68,37.9,37.63,37.86,2.694
2014-08-15,37.99,37.99,37.34,37.52,3.548
2014-08-18,37.83,38.05,37.82,38.0,3.192
2014-08-19,37.93,37.97,37.06,37.14,5.475
2014-08-20,37.11,37.45,37.07,37.38,3.646
2014-08-21,37.38,37.73,37.1,37.71,4.654
2014-08-22,37.6,37.97,37.56,37.82,2.437
2014-08-25,38.0,38.04,37.84,37.91,2.944
2014-08-26,37.87,38.02,37.71,37.88,4.282
2014-08-27,37.94,38.05,37.33,37.63,4.0
2014-08-28,37.5,37.8,37.48,37.74,3.38
