Date,Open,High,Low,Close,Volume
2014-01-02,110.48,110.6,108.91,110.34,0.654
2014-01-03,109.13,109.87,106.79,108.61,1.088
2014-01-06,109.19,110.17,107.44,108.87,1.186
2014-01-07,109.72,112.76,109.31,112.51,1.02
2014-01-08,112.86,114.12,112.18,113.97,1.418
2014-01-09,115.05,115.75,114.26,114.8,1.473
2014-01-10,116.13,117.5,114.16,116.67,1.43
2014-01-13,117.04,117.04,113.15,113.93,1.626
2014-01-14,114.67,122.35,113.5,121.51,4.174
2014-01-15,121.78,123.14,120.15,121.12,2.383
2014-01-16,126.94,127.0,123.75,125.26,2.875
2014-01-17,135.36,141.0,134.0,136.34,7.204
2014-01-21,141.69,142.0,139.1,141.2,3.561
2014-01-22,142.6,148.48,140.05,144.73,3.528
2014-01-23,144.09,144.36,140.66,144.1,2.337
2014-01-24,142.64,143.5,136.51,138.62,2.209
2014-01-27,136.0,142.16,135.87,140.25,2.747
2014-01-28,139.38,145.32,139.01,144.53,3.572
2014-01-29,142.98,154.99,140.05,146.67,4.406
2014-01-30,147.02,151.59,147.02,150.82,1.435
2014-01-31,145.0,154.0,144.56,152.0,2.276
2014-02-03,151.53,153.99,149.39,151.01,1.924
2014-02-04,152.18,153.45,149.75,151.59,1.458
2014-02-05,150.83,151.64,148.52,150.78,1.615
2014-02-06,151.0,152.4,148.61,150.06,1.897
2014-02-07,149.41,157.24,149.0,156.9,1.41
2014-02-10,157.03,162.38,154.21,161.74,2.476
2014-02-11,162.18,163.46,159.29,161.1,1.603
2014-02-12,161.58,162.31,158.83,158.94,2.68
2014-02-13,160.2,164.46,159.48,163.77,1.908
2014-02-14,162.85,165.45,161.0,164.33,1.392
2014-02-18,167.53,173.0,166.7,170.4,1.456
2014-02-19,170.0,173.98,169.49,170.16,1.698
2014-02-20,173.72,173.8,171.01,173.7,1.566
2014-02-21,174.95,175.75,171.53,174.05,1.409
2014-02-24,175.26,180.74,174.23,178.53,2.355
2014-02-25,180.16,180.16,175.11,179.54,1.469
2014-02-26,179.56,180.86,176.36,176.69,1.782
2014-02-27,178.92,181.6,177.3,178.11,2.308
2014-02-28,178.56,179.98,168.89,171.49,2.923
2014-03-03,171.49,175.19,167.01,172.98,2.027
2014-03-04,175.43,183.3,175.32,178.83,2.575
2014-03-05,180.28,181.58,176.01,178.21,1.357
2014-03-06,178.89,180.37,170.65,171.37,2.008
2014-03-07,173.35,174.0,164.02,168.35,4.501
2014-03-10,167.68,168.54,163.09,166.55,2.505
2014-03-11,167.21,168.98,164.99,166.67,1.336
