Date,Open,High,Low,Close,Volume
2014-01-02,25.78,25.82,25.47,25.79,31.833
2014-01-03,25.86,25.9,25.6,25.78,27.797
2014-01-06,25.77,25.79,25.45,25.46,28.682
2014-01-07,25.54,25.73,25.47,25.59,19.665
2014-01-08,25.64,25.71,25.3,25.43,29.68
2014-01-09,25.42,25.55,25.25,25.31,20.878
2014-01-10,25.5,25.85,25.5,25.53,30.589
2014-01-13,25.63,25.99,25.42,25.5,40.274
2014-01-14,26.01,26.55,25.9,26.51,74.143
2014-01-15,26.72,27.12,26.61,26.67,58.278
2014-01-16,26.64,26.74,26.33,26.54,48.961
2014-01-17,25.36,25.86,25.25,25.85,111.759
2014-01-21,25.79,25.8,25.27,25.59,42.286
2014-01-22,25.39,25.54,25.15,25.31,48.75
2014-01-23,25.17,25.25,24.9,25.13,40.241
2014-01-24,24.88,25.19,24.79,24.81,34.839
2014-01-27,24.77,24.99,24.66,24.72,32.565
2014-01-28,24.71,25.05,24.57,24.9,32.454
2014-01-29,24.75,24.96,24.63,24.68,27.146
2014-01-30,24.75,24.89,24.54,24.74,24.61
2014-01-31,24.45,24.65,24.4,24.54,28.623
2014-02-03,24.5,24.51,23.89,23.95,52.868
2014-02-04,23.99,24.04,23.58,23.82,50.816
2014-02-05,23.7,23.76,23.5,23.52,32.476
2014-02-06,23.6,24.08,23.55,23.99,28.008
2014-02-07,24.2,24.26,23.77,24.21,30.808
2014-02-10,24.11,24.37,24.06,24.29,24.571
2014-02-11,24.35,24.52,24.33,24.47,17.912
2014-02-12,24.51,24.69,24.37,24.55,25.874
2014-02-13,24.43,24.74,24.31,24.7,22.922
2014-02-14,24.58,24.76,24.41,24.76,20.54
2014-02-18,24.67,24.78,24.55,24.76,17.738
2014-02-19,24.65,24.72,24.42,24.5,25.686
2014-02-20,24.54,24.85,24.5,24.74,20.194
2014-02-21,24.95,24.96,24.35,24.42,30.58
2014-02-24,24.51,24.88,24.41,24.63,24.146
2014-02-25,24.67,24.71,24.46,24.62,21.539
2014-02-26,24.74,24.98,24.61,24.8,19.82
2014-02-27,24.8,24.8,24.51,24.76,20.864
2014-02-28,24.79,24.85,24.57,24.76,23.483
2014-03-03,24.55,24.59,24.3,24.5,25.728
2014-03-04,24.72,24.78,24.5,24.61,23.661
2014-03-05,24.7,24.71,24.4,24.5,21.036
2014-03-06,24.57,24.65,24.38,24.63,22.372
2014-03-07,24.7,24.85,24.57,24.64,25.373
2014-03-10,24.61,24.89,24.58,24.84,24.908
2014-03-11,24.78,24.85,24.61,24.73,26.657
2014-03-12,24.65,24.88,24.61,24.76,21.245
2014-03-13,24.8,25.0,24.43,24.57,26.243
2014-03-14,24.48,24.65,24.4,24.5,21.807
2014-03-17,24.64,24.82,24.49,24.7,18.526
2014-03-18,24.68,24.9,24.55,24.82,26.344
2014-03-19,24.85,25.25,24.77,25.02,34.229
2014-03-20,25.0,25.59,24.94,25.43,37.009
2014-03-21,25.61,25.68,25.16,25.17,56.862
2014-03-24,25.21,25.38,24.92,25.12,36.951
2014-03-25,25.19,25.67,25.17,25.46,32.317
2014-03-26,25.59,25.74,25.32,25.38,26.443
2014-03-27,25.36,25.75,25.29,25.31,27.201
2014-03-28,25.41,25.81,25.32,25.62,22.884
2014-03-31,25.65,26.06,25.62,25.81,29.336
2014-04-01,25.8,26.0,25.64,25.99,23.779
2014-04-02,25.96,26.05,25.64,25.89,22.465
2014-04-03,26.15,26.46,26.14,26.41,38.581
2014-04-04,26.49,26.73,26.11,26.16,47.918
2014-04-07,26.3,26.74,26.2,26.49,49.814
2014-04-08,26.36,26.98,26.35,26.91,56.7
2014-04-09,26.93,27.02,26.73,26.98,34.482
2014-04-10,27.01,27.09,26.36,26.43,40.478
2014-04-11,26.27,26.59,26.17,26.18,36.121
2014-04-14,26.31,26.65,26.14,26.56,26.958
2014-04-15,26.51,26.83,26.36,26.77,45.074
2014-04-16,26.98,27.24,26.6,26.93,59.034
2014-04-17,26.88,27.16,26.79,27.04,38.108
2014-04-21,27.05,27.05,26.73,26.95,20.399
2014-04-22,26.91,26.98,26.66,26.84,29.602
2014-04-23,26.8,26.97,26.72,26.75,25.574
2014-04-24,26.81,26.96,26.64,26.75,25.433
2014-04-25,26.65,26.72,26.19,26.26,33.614
2014-04-28,26.17,26.39,26.01,26.33,33.473
2014-04-29,26.36,26.66,26.35,26.48,22.146
2014-04-30,26.32,26.7,26.22,26.69,25.864
2014-05-01,26.51,26.67,26.39,26.45,19.755
2014-05-02,26.56,26.64,26.4,26.41,24.235
2014-05-05,26.16,26.26,25.99,26.17,20.739
2014-05-06,26.16,26.38,26.0,26.2,21.818
2014-05-07,26.26,26.45,26.22,26.37,24.693
2014-05-08,26.32,26.53,26.22,26.34,24.167
2014-05-09,26.37,26.41,26.22,26.3,20.324
2014-05-12,26.41,26.54,26.3,26.37,20.608
2014-05-13,26.49,26.54,26.33,26.45,20.525
2014-05-14,26.49,26.52,26.33,26.33,17.812
2014-05-15,26.33,26.5,26.01,26.01,31.753
2014-05-16,26.05,26.07,25.74,25.82,30.017
2014-05-19,25.75,26.09,25.75,26.04,22.68
2014-05-20,26.02,26.17,25.88,26.04,22.293
2014-05-21,26.1,26.25,26.0,26.2,18.721
2014-05-22,26.21,26.27,26.08,26.15,15.926
2014-05-23,26.15,26.3,26.14,26.29,17.172
2014-05-27,26.33,26.74,26.18,26.71,27.272
2014-05-28,26.7,26.94,26.66,26.88,27.15
2014-05-29,26.91,26.96,26.72,26.96,20.639
2014-05-30,26.94,27.32,26.93,27.32,43.641
2014-06-02,27.31,27.35,27.12,27.26,20.265
2014-06-03,27.22,27.7,27.12,27.66,33.256
2014-06-04,27.51,27.76,27.5,27.6,21.612
2014-06-05,27.56,27.66,27.43,27.66,26.546
2014-06-06,27.78,28.21,27.73,28.17,34.796
2014-06-09,28.1,28.42,27.83,27.91,39.933
2014-06-10,27.85,28.33,27.72,28.24,34.257
2014-06-11,28.14,28.21,27.8,27.93,27.748
2014-06-12,27.86,28.1,27.77,27.96,31.211
2014-06-13,29.75,30.06,29.56,29.87,122.194
2014-06-16,29.72,30.15,29.67,30.01,36.408
2014-06-17,29.88,30.1,29.84,29.95,28.441
2014-06-18,29.88,29.98,29.67,29.93,34.412
2014-06-19,29.97,30.09,29.89,30.09,27.167
2014-06-20,30.07,30.2,30.03,30.2,39.826
2014-06-23,30.1,30.31,29.85,30.23,26.529
2014-06-24,30.16,30.83,30.09,30.5,53.398
2014-06-25,30.48,31.0,30.45,30.88,44.293
2014-06-26,30.81,30.9,30.61,30.78,26.722
2014-06-27,30.87,31.0,30.7,30.93,30.776
2014-06-30,30.87,31.0,30.66,30.9,21.558
2014-07-01,30.99,31.09,30.87,30.98,28.24
2014-07-02,30.99,31.05,30.8,30.98,16.831
2014-07-03,31.08,31.36,31.02,31.14,20.438
2014-07-07,31.09,31.2,30.92,31.03,22.233
2014-07-08,31.0,31.08,30.7,30.79,37.609
