Date,Open,High,Low,Close,Volume
2014-01-02,76.11,76.16,75.4,75.94,1.356
2014-01-03,75.75,76.38,75.53,75.8,0.999
2014-01-06,75.8,76.0,75.47,75.74,1.269
2014-01-07,75.88,77.35,75.74,77.06,1.551
2014-01-08,76.89,77.05,76.01,76.44,2.438
2014-01-09,76.8,77.0,76.32,76.63,1.13
2014-01-10,76.9,76.96,75.83,76.24,1.165
2014-01-13,75.98,76.22,74.82,75.01,1.109
2014-01-14,75.34,76.08,75.15,76.06,1.114
2014-01-15,76.23,77.22,75.95,76.78,1.286
2014-01-16,76.46,77.15,76.36,76.79,1.47
2014-01-17,76.06,77.58,76.06,76.99,1.764
2014-01-21,77.73,77.78,76.11,76.18,1.229
2014-01-22,76.01,76.16,75.17,75.57,2.855
2014-01-23,75.06,75.74,74.85,75.32,1.339
2014-01-24,75.11,75.43,73.17,73.24,1.75
2014-01-27,73.18,73.49,72.83,73.06,1.671
2014-01-28,73.35,74.12,73.18,73.48,1.776
2014-01-29,73.28,73.99,72.89,73.18,1.618
2014-01-30,73.47,74.56,73.2,74.19,1.141
2014-01-31,73.26,73.55,72.66,73.25,2.104
2014-02-03,73.49,73.79,70.71,70.81,2.489
2014-02-04,70.96,71.17,70.7,70.91,1.732
2014-02-05,70.54,71.01,70.36,70.75,1.463
2014-02-06,70.73,71.36,70.73,71.03,1.591
2014-02-07,71.29,71.73,71.01,71.45,2.112
2014-02-10,71.54,71.57,70.99,71.45,1.775
2014-02-11,71.4,73.0,71.4,72.72,1.854
2014-02-12,71.5,72.72,69.02,69.72,5.067
2014-02-13,69.49,70.76,69.12,70.72,3.165
2014-02-14,70.55,71.87,70.32,71.69,2.491
2014-02-18,71.9,73.26,71.68,73.05,2.49
2014-02-19,73.19,73.9,72.86,73.42,2.36
2014-02-20,73.67,74.19,73.04,73.85,1.894
2014-02-21,75.47,78.74,74.2,77.24,5.414
2014-02-24,76.67,78.18,76.41,77.41,2.68
2014-02-25,77.55,77.66,76.65,77.33,1.527
2014-02-26,81.21,81.21,77.23,77.7,1.233
2014-02-27,77.67,78.16,77.09,78.1,1.29
2014-02-28,77.39,78.3,77.27,78.15,2.318
2014-03-03,78.59,78.74,77.23,77.87,1.622
2014-03-04,78.53,81.24,78.51,80.91,3.06
2014-03-05,80.89,80.89,80.12,80.63,1.885
2014-03-06,80.45,81.12,80.44,80.73,1.298
2014-03-07,81.29,82.38,80.57,82.2,2.778
2014-03-10,81.76,82.33,81.31,81.82,2.189
2014-03-11,82.06,82.4,80.83,81.27,1.683
2014-03-12,81.09,81.19,80.49,80.93,2.118
2014-03-13,81.16,81.44,79.94,80.15,1.558
2014-03-14,80.15,80.39,79.59,79.91,1.309
2014-03-17,80.24,81.18,80.01,80.55,1.185
2014-03-18,80.49,80.85,80.19,80.66,1.157
2014-03-19,80.28,80.75,79.64,80.21,1.169
2014-03-20,79.94,80.7,79.81,80.69,0.841
2014-03-21,81.54,81.54,79.39,79.44,2.257
2014-03-24,79.36,79.81,78.01,78.81,1.624
2014-03-25,79.38,79.71,77.95,78.67,1.366
2014-03-26,79.09,79.09,77.7,77.72,1.63
2014-03-27,77.41,77.96,76.91,77.58,1.893
2014-03-28,77.77,78.25,77.42,77.77,0.96
2014-03-31,78.27,78.67,77.55,77.73,1.942
2014-04-01,77.98,78.92,77.73,78.89,2.108
2014-04-02,78.69,79.22,78.31,78.97,1.543
2014-04-03,79.0,79.43,78.08,78.58,2.007
2014-04-04,79.09,79.36,77.13,77.19,2.219
2014-04-07,76.96,77.19,74.3,74.79,2.732
2014-04-08,74.79,75.75,74.41,74.54,2.375
2014-04-09,74.55,75.13,74.12,75.11,1.337
2014-04-10,75.04,75.16,73.44,73.59,1.792
2014-04-11,73.31,73.72,72.44,72.52,2.29
2014-04-14,73.39,73.86,72.81,73.38,1.934
2014-04-15,73.34,74.06,72.81,73.74,2.0
2014-04-16,74.1,74.49,73.5,74.27,1.101
2014-04-17,74.07,74.75,73.66,74.03,1.463
2014-04-21,74.16,74.49,73.7,74.0,1.803
2014-04-22,74.6,75.79,74.44,74.84,2.162
2014-04-23,74.43,74.79,74.07,74.39,1.151
2014-04-24,75.08,77.27,74.01,74.16,1.488
2014-04-25,74.67,77.15,74.56,75.34,3.737
2014-04-28,75.85,76.01,74.03,74.69,2.139
2014-04-29,75.15,75.82,74.85,75.4,1.824
2014-04-30,74.93,75.84,74.92,75.75,1.549
2014-05-01,75.69,76.77,75.42,75.93,1.357
2014-05-02,76.16,76.25,75.26,75.29,0.902
2014-05-05,74.84,75.63,74.41,75.57,0.958
2014-05-06,75.51,75.71,74.64,74.67,0.901
2014-05-07,74.5,75.0,73.66,74.32,1.134
2014-05-08,74.32,75.48,73.82,74.62,1.266
2014-05-09,74.51,75.28,74.03,74.92,0.881
2014-05-12,75.18,76.5,75.13,76.11,1.234
2014-05-13,76.2,76.29,75.44,75.69,0.947
2014-05-14,75.44,75.65,74.87,74.99,0.988
2014-05-15,74.94,75.46,73.74,74.08,1.624
2014-05-16,74.47,75.59,73.83,75.51,2.065
2014-05-19,75.35,77.16,75.32,77.07,2.274
2014-05-20,76.81,77.27,76.15,76.84,2.863
2014-05-21,74.0,78.4,73.5,77.47,3.935
2014-05-22,77.28,78.82,77.16,78.32,1.975
2014-05-23,78.57,79.8,78.35,79.59,1.778
2014-05-27,79.78,80.44,79.42,80.14,1.337
2014-05-28,80.33,80.33,79.06,79.08,1.494
2014-05-29,79.09,79.73,78.9,79.11,1.485
2014-05-30,79.42,79.46,78.89,79.29,1.562
2014-06-02,79.39,79.71,79.01,79.43,0.675
2014-06-03,79.17,79.49,79.06,79.39,1.268
2014-06-04,79.1,79.48,79.04,79.3,0.949
2014-06-05,79.2,79.66,78.81,79.36,1.623
2014-06-06,79.84,80.05,79.38,80.03,1.4
2014-06-09,79.75,80.62,79.51,79.84,1.236
2014-06-10,79.45,79.94,78.76,79.16,1.285
2014-06-11,78.63,79.21,78.35,79.17,1.262
2014-06-12,78.88,79.21,78.7,78.91,1.376
2014-06-13,79.07,79.28,78.74,78.99,1.006
2014-06-16,78.55,79.11,78.52,78.91,1.275
2014-06-17,78.67,79.13,78.61,78.84,1.394
2014-06-18,78.63,79.44,78.63,79.33,1.359
2014-06-19,81.99,81.99,78.84,79.29,1.082
2014-06-20,79.72,79.72,78.81,79.5,1.869
2014-06-23,79.3,79.7,79.17,79.67,1.0
2014-06-24,79.69,80.93,79.39,80.55,1.77
2014-06-25,80.04,81.18,80.03,81.12,1.159
