Date,Open,High,Low,Close,Volume
2014-01-02,27.97,28.17,27.01,27.26,2.041
2014-01-03,27.35,27.5,27.04,27.2,1.162
2014-01-06,27.3,27.62,26.86,27.06,1.301
2014-01-07,27.12,27.22,26.13,26.59,3.8
2014-01-08,26.7,26.98,25.71,26.07,4.482
2014-01-09,26.08,26.16,25.41,25.88,2.525
2014-01-10,25.89,25.91,25.47,25.75,2.611
2014-01-13,25.67,25.78,24.98,25.59,4.575
2014-01-14,25.68,25.78,25.4,25.41,2.423
2014-01-15,25.38,25.66,25.24,25.41,8.011
2014-01-16,25.41,25.57,24.92,25.36,3.806
2014-01-17,25.44,25.81,25.36,25.43,2.922
2014-01-21,25.47,25.55,24.55,25.41,2.783
2014-01-22,25.52,25.95,25.51,25.76,1.8
2014-01-23,25.63,25.79,25.31,25.77,1.886
2014-01-24,25.55,25.67,25.13,25.33,4.14
2014-01-27,25.32,25.71,25.09,25.14,2.641
2014-01-28,25.1,25.45,25.06,25.18,1.93
2014-01-29,25.02,25.24,24.7,24.71,1.802
2014-01-30,24.85,24.98,24.62,24.7,1.152
2014-01-31,24.44,24.65,24.32,24.41,2.75
2014-02-03,24.47,24.56,23.8,23.94,3.496
2014-02-04,24.11,24.51,24.03,24.39,2.127
2014-02-05,24.21,24.51,24.19,24.45,1.752
2014-02-06,24.47,25.12,24.45,24.96,2.178
2014-02-07,25.14,25.39,24.62,24.71,2.799
2014-02-10,24.82,25.33,24.74,24.94,3.267
2014-02-11,24.94,25.27,24.93,25.06,1.601
2014-02-12,25.11,25.2,24.9,25.12,1.276
2014-02-13,25.01,25.54,24.95,25.52,1.033
2014-02-14,25.49,25.96,25.41,25.89,1.071
2014-02-18,25.9,26.2,25.76,26.12,1.342
2014-02-19,26.0,26.41,26.0,26.16,1.176
2014-02-20,26.16,26.26,25.97,26.16,1.26
2014-02-21,26.2,26.55,26.03,26.44,1.577
2014-02-24,26.48,26.98,26.37,26.45,1.641
2014-02-25,26.42,26.71,26.33,26.62,1.378
2014-02-26,26.73,26.8,26.28,26.37,1.063
2014-02-27,26.35,26.73,26.15,26.26,2.264
2014-02-28,26.66,26.89,25.06,25.14,3.5
2014-03-03,24.86,25.48,24.6,25.37,2.33
2014-03-04,25.51,25.83,25.41,25.57,1.554
2014-03-05,25.62,25.79,25.43,25.54,0.969
2014-03-06,25.56,25.57,25.26,25.43,1.111
2014-03-07,25.48,25.99,25.44,25.7,2.432
2014-03-10,25.67,26.04,25.67,25.99,1.669
2014-03-11,26.01,26.17,25.43,25.52,2.137
2014-03-12,25.4,25.71,25.24,25.71,1.151
2014-03-13,25.76,25.91,25.39,25.49,1.442
2014-03-14,25.48,25.84,25.3,25.34,0.957
2014-03-17,25.49,25.69,25.43,25.67,1.095
2014-03-18,25.67,26.26,25.63,26.22,1.332
2014-03-19,26.23,26.4,25.91,26.11,1.319
2014-03-20,26.08,26.12,25.66,25.75,1.057
2014-03-21,25.52,25.95,25.42,25.52,2.259
2014-03-24,25.61,25.67,25.23,25.55,1.25
2014-03-25,25.52,25.62,25.17,25.18,1.402
2014-03-26,25.42,25.48,25.13,25.13,1.086
2014-03-27,25.12,25.14,24.85,24.88,1.014
2014-03-28,24.94,25.31,24.94,25.04,0.993
2014-03-31,25.02,25.49,24.98,25.48,1.871
2014-04-01,25.57,25.77,25.53,25.73,1.896
2014-04-02,25.75,26.04,25.67,25.98,2.279
2014-04-03,25.82,26.04,25.13,25.33,2.453
2014-04-04,25.54,25.83,25.37,25.5,1.994
2014-04-07,25.5,25.69,25.4,25.41,1.678
2014-04-08,25.46,25.47,25.19,25.37,2.129
2014-04-09,25.4,25.9,25.33,25.89,1.315
2014-04-10,25.92,26.29,25.25,25.25,2.085
2014-04-11,25.09,25.18,24.23,24.29,2.196
2014-04-14,24.4,24.52,24.19,24.34,1.575
2014-04-15,24.29,24.41,23.98,24.28,1.237
2014-04-16,24.41,25.59,24.24,25.2,4.409
2014-04-17,25.22,25.3,24.75,25.05,2.443
2014-04-21,24.99,25.42,24.99,25.21,0.934
2014-04-22,25.27,25.46,25.2,25.43,0.813
2014-04-23,25.48,26.6,25.47,25.81,1.997
2014-04-24,25.94,25.99,25.8,25.96,1.57
2014-04-25,25.97,25.99,25.49,25.52,0.777
2014-04-28,25.65,25.82,25.45,25.73,0.768
2014-04-29,25.84,25.97,25.76,25.93,0.826
2014-04-30,25.92,26.28,25.79,26.28,1.428
2014-05-01,26.28,26.54,26.02,26.15,2.0
2014-05-02,26.01,26.11,25.68,25.98,1.286
2014-05-05,25.85,25.93,25.46,25.69,1.226
2014-05-06,25.63,25.72,25.33,25.35,1.273
2014-05-07,25.35,25.41,24.97,25.07,1.105
2014-05-08,25.06,25.24,24.8,24.9,0.989
2014-05-09,24.85,24.95,24.68,24.94,0.662
2014-05-12,25.06,25.61,25.06,25.37,1.342
2014-05-13,25.41,25.64,25.23,25.63,1.555
2014-05-14,26.4,27.87,26.37,27.47,7.478
2014-05-15,27.35,27.56,27.12,27.36,4.537
2014-05-16,27.28,27.82,27.25,27.74,3.594
2014-05-19,27.73,28.02,27.62,27.86,1.22
2014-05-20,27.88,27.9,27.36,27.58,1.865
2014-05-21,27.62,27.73,27.25,27.54,1.537
2014-05-22,27.38,27.61,27.2,27.56,1.269
2014-05-23,27.54,27.83,27.5,27.79,1.21
2014-05-27,27.87,28.24,27.85,28.23,1.66
2014-05-28,28.19,28.72,28.19,28.5,2.423
2014-05-29,28.43,28.73,28.33,28.71,1.317
2014-05-30,28.64,28.79,28.55,28.78,1.623
2014-06-02,28.78,28.89,28.53,28.79,1.519
2014-06-03,28.76,28.76,28.49,28.57,1.33
2014-06-04,28.54,28.59,28.39,28.45,1.445
2014-06-05,28.56,28.95,28.39,28.84,1.446
2014-06-06,28.86,29.22,28.85,29.21,1.291
2014-06-09,29.18,29.64,29.15,29.35,1.614
2014-06-10,29.36,29.43,29.12,29.21,0.972
2014-06-11,29.08,29.21,28.87,28.93,1.192
2014-06-12,28.95,28.99,28.52,28.61,1.476
2014-06-13,28.63,28.84,28.55,28.65,1.616
2014-06-16,28.66,28.75,28.2,28.6,1.659
2014-06-17,28.65,28.86,28.46,28.47,1.231
2014-06-18,28.54,28.78,27.96,28.57,1.309
2014-06-19,28.52,28.65,28.09,28.19,0.927
2014-06-20,28.28,28.48,27.9,27.95,2.211
2014-06-23,27.68,28.03,27.38,27.97,1.787
2014-06-24,27.94,28.35,27.61,27.61,1.86
2014-06-25,27.54,27.83,27.38,27.51,3.529
2014-06-26,32.97,33.27,32.44,33.03,16.565
2014-06-27,32.84,32.97,31.91,32.17,6.483
2014-06-30,32.49,32.87,32.08,32.76,4.458
2014-07-01,32.73,32.81,32.47,32.68,1.722
2014-07-02,32.71,32.85,32.64,32.81,1.808
2014-07-03,32.81,32.88,32.62,32.72,1.524
2014-07-07,32.61,32.75,32.3,32.62,1.873
2014-07-08,32.61,32.66,32.4,32.52,1.484
2014-07-09,32.58,32.82,32.41,32.74,1.045
2014-07-10,32.39,32.64,32.19,32.61,1.407
2014-07-11,32.55,32.78,32.4,32.66,1.488
2014-07-14,32.66,32.82,32.5,32.68,1.211
2014-07-15,32.75,32.82,32.06,32.39,2.014
2014-07-16,32.55,32.72,32.31,32.49,1.644
2014-07-17,32.45,32.53,32.07,32.21,1.274
2014-07-18,32.0,32.32,31.89,32.13,2.564
2014-07-21,32.13,32.2,31.65,31.77,3.084
2014-07-22,32.04,32.36,32.0,32.01,1.102
2014-07-23,32.11,32.15,31.77,31.79,0.915
2014-07-24,31.8,31.97,31.68,31.79,1.483
2014-07-25,31.77,31.81,31.42,31.47,1.001
2014-07-28,31.42,31.58,31.16,31.51,1.225
2014-07-29,31.55,31.72,31.46,31.58,1.084
2014-07-30,31.62,31.78,31.35,31.46,1.849
2014-07-31,31.31,31.65,30.95,30.97,3.254
2014-08-01,31.02,31.74,30.91,31.49,2.286
2014-08-04,31.5,31.51,31.03,31.04,2.338
2014-08-05,31.02,31.07,30.61,30.89,2.223
2014-08-06,30.73,30.76,30.13,30.58,1.957
2014-08-07,30.67,30.96,30.59,30.69,1.086
2014-08-08,30.26,31.35,30.24,31.33,1.416
2014-08-11,31.42,31.89,31.37,31.69,1.106
2014-08-12,31.61,31.92,31.52,31.88,2.167
2014-08-13,32.01,32.09,31.72,31.87,1.046
2014-08-14,31.91,32.24,31.82,32.12,1.045
2014-08-15,32.37,32.55,32.02,32.14,1.689
2014-08-18,32.35,32.85,32.31,32.74,1.191
2014-08-19,32.76,33.01,32.64,32.87,1.057
2014-08-20,32.88,33.21,32.81,33.11,0.913
2014-08-21,33.14,33.46,33.04,33.42,1.093
2014-08-22,33.38,33.4,32.78,32.95,1.109
2014-08-25,33.17,33.22,32.87,33.03,0.547
2014-08-26,33.05,33.2,32.81,32.88,0.795
2014-08-27,33.03,33.11,32.62,32.71,0.648
2014-08-28,32.54,32.83,32.48,32.75,0.467
2014-08-29,32.8,33.58,32.8,33.25,1.017
2014-09-02,33.3,33.6,33.15,33.35,1.172
2014-09-03,33.33,33.49,33.18,33.33,0.651
2014-09-04,33.3,33.72,33.0,33.26,1.743
2014-09-05,33.29,33.48,33.02,33.48,0.915
2014-09-08,33.48,34.29,33.23,33.46,1.274
2014-09-09,33.34,33.37,32.87,32.92,0.838
2014-09-10,33.1,33.28,33.01,33.08,1.244
2014-09-11,33.06,33.11,32.81,32.9,0.806
2014-09-12,32.84,32.87,32.43,32.54,1.032
2014-09-15,32.83,33.12,32.62,32.91,1.673
2014-09-16,33.04,33.1,32.58,32.87,1.331
2014-09-17,32.95,33.43,32.9,33.01,3.036
2014-09-18,32.98,33.2,32.98,33.03,1.033
2014-09-19,33.22,33.23,32.94,32.95,2.153
2014-09-22,32.79,32.88,32.42,32.64,2.004
2014-09-23,32.17,32.64,32.05,32.52,3.524
2014-09-24,32.53,32.67,32.26,32.61,2.841
2014-09-25,32.58,33.41,32.56,32.57,4.396
2014-09-26,32.0,32.0,31.17,31.9,2.876
2014-09-29,31.65,34.31,31.63,33.9,9.292
2014-09-30,32.6,33.19,32.29,32.65,7.72
2014-10-01,32.56,32.73,31.9,32.18,2.945
2014-10-02,32.07,32.77,32.05,32.65,2.316
2014-10-03,32.94,33.18,32.72,33.1,2.126
2014-10-06,33.17,33.28,32.71,32.97,1.718
2014-10-07,32.85,32.95,32.46,32.46,1.5
2014-10-08,32.45,33.31,32.36,33.3,1.914
2014-10-09,33.29,33.36,32.31,32.36,1.869
2014-10-10,32.36,32.69,31.84,31.88,1.881
2014-10-13,31.9,32.13,31.45,31.48,1.691
2014-10-14,31.75,32.6,31.48,32.15,2.179
2014-10-15,32.01,32.23,31.11,32.03,1.9
2014-10-16,31.53,32.53,31.51,32.13,1.945
2014-10-17,32.43,32.5,32.05,32.37,2.672
2014-10-20,32.24,33.15,32.23,33.14,1.685
2014-10-21,33.41,34.21,33.32,34.18,1.788
2014-10-22,34.26,34.86,34.24,34.39,1.932
2014-10-23,34.68,34.92,34.27,34.78,1.786
2014-10-24,34.79,35.63,34.54,35.6,1.82
2014-10-27,35.45,35.45,34.84,35.15,1.224
2014-10-28,35.32,36.0,35.13,35.85,1.997
2014-10-29,35.87,35.91,35.34,35.64,1.863
2014-10-30,35.47,35.51,34.86,35.38,1.75
2014-10-31,35.92,36.33,35.81,36.07,3.876
2014-11-03,36.05,36.93,35.88,36.65,3.354
2014-11-04,36.74,36.9,36.19,36.31,2.438
2014-11-05,36.6,36.84,36.05,36.11,2.366
2014-11-06,36.2,36.51,36.2,36.47,1.768
2014-11-07,36.7,38.06,36.7,38.05,4.389
2014-11-10,37.93,38.0,37.35,37.64,2.362
2014-11-11,37.53,37.83,37.43,37.83,1.806
2014-11-12,37.72,38.17,37.66,38.05,1.291
2014-11-13,38.08,38.39,38.02,38.37,2.049
2014-11-14,38.35,38.5,37.64,37.69,2.066
2014-11-17,37.97,38.11,37.81,37.86,2.07
2014-11-18,37.88,37.97,37.54,37.74,2.117
2014-11-19,37.74,37.82,37.3,37.69,2.894
2014-11-20,37.63,37.69,37.16,37.67,1.831
2014-11-21,38.05,38.23,37.59,37.66,1.424
2014-11-24,37.9,38.03,37.57,37.94,1.84
2014-11-25,37.8,37.95,37.2,37.2,17.682
2014-11-26,36.95,37.7,36.95,37.58,3.229
2014-11-28,37.8,38.09,37.67,38.01,1.127
2014-12-01,37.88,39.34,37.77,38.83,3.493
2014-12-02,38.81,39.14,38.54,38.92,2.627
2014-12-03,38.35,38.58,37.35,37.5,4.227
2014-12-04,37.45,37.56,37.19,37.38,1.555
2014-12-05,37.29,37.64,37.2,37.33,1.059
2014-12-08,37.27,37.62,36.94,37.31,1.146
2014-12-09,36.97,37.31,36.66,37.2,1.103
2014-12-10,37.11,37.43,36.79,36.97,2.132
2014-12-11,37.23,37.52,36.99,37.15,1.328
