Date,Open,High,Low,Close,Volume
2014-01-02,42.63,42.63,42.03,42.22,4.148
2014-01-03,42.26,42.52,41.42,41.5,3.105
2014-01-06,41.44,41.92,41.11,41.22,3.551
2014-01-07,41.27,41.88,41.19,41.53,3.493
2014-01-08,41.6,42.29,41.56,42.27,4.486
2014-01-09,42.32,43.32,42.19,42.98,5.029
2014-01-10,42.94,47.18,42.81,46.68,13.466
2014-01-13,45.79,46.08,43.56,43.67,9.817
2014-01-14,48.95,49.33,46.22,46.65,17.811
2014-01-15,46.73,46.79,44.69,45.87,8.755
2014-01-16,46.05,46.48,45.39,46.04,2.556
2014-01-17,46.2,47.92,46.0,47.79,8.433
2014-01-21,49.44,49.72,48.11,48.82,7.051
2014-01-22,48.68,48.83,48.11,48.79,3.542
2014-01-23,48.78,49.27,48.28,48.78,7.146
2014-01-24,45.82,47.39,45.14,45.64,13.459
2014-01-27,45.69,46.27,45.36,45.4,4.88
2014-01-28,45.21,46.1,45.16,45.5,3.643
2014-01-29,45.0,46.62,45.0,46.13,5.51
2014-01-30,46.28,46.89,46.15,46.26,3.803
2014-01-31,45.55,45.94,45.12,45.29,4.938
2014-02-03,45.04,45.44,44.07,44.57,5.995
2014-02-04,44.81,46.0,44.72,45.46,4.331
2014-02-05,45.41,46.4,45.19,46.12,3.594
2014-02-06,45.95,46.67,45.95,46.09,4.167
2014-02-07,46.0,46.44,45.44,46.41,3.63
2014-02-10,46.23,48.09,46.12,47.74,3.989
2014-02-11,47.12,47.94,46.8,47.38,3.464
2014-02-12,47.64,48.74,47.47,48.71,3.544
2014-02-13,48.65,49.21,48.17,49.17,4.006
2014-02-14,48.01,49.11,47.92,48.76,5.171
2014-02-18,48.92,49.44,48.25,49.34,2.854
2014-02-19,48.91,49.75,48.76,48.88,2.218
2014-02-20,49.0,49.11,48.15,48.67,2.275
2014-02-21,48.79,49.06,48.31,48.35,2.474
2014-02-24,48.35,49.08,48.24,48.73,3.274
2014-02-25,48.57,48.78,48.11,48.32,2.627
2014-02-26,48.71,49.14,48.31,48.71,2.474
2014-02-27,48.69,49.52,48.44,49.35,3.1
2014-02-28,49.36,50.55,48.87,49.43,5.543
2014-03-03,49.14,51.39,48.89,50.43,6.186
2014-03-04,50.66,50.66,49.28,49.95,6.682
2014-03-05,49.84,50.22,49.28,49.66,2.341
2014-03-06,49.67,49.97,49.12,49.37,2.332
2014-03-07,49.62,50.05,49.09,49.33,2.045
2014-03-10,49.23,49.39,48.45,48.73,3.297
2014-03-11,48.85,49.12,48.21,48.35,2.509
2014-03-12,48.09,49.1,47.67,48.13,3.223
2014-03-13,48.22,48.78,47.62,47.74,2.391
2014-03-14,47.42,47.97,46.91,47.01,2.745
2014-03-17,47.11,47.81,47.01,47.4,2.252
2014-03-18,47.31,47.75,47.24,47.67,1.533
2014-03-19,47.61,48.34,47.61,48.28,2.827
2014-03-20,47.92,48.6,47.24,48.56,2.295
2014-03-21,49.28,49.28,47.6,47.65,5.783
2014-03-24,47.91,48.35,46.58,46.9,3.104
2014-03-25,46.98,47.5,46.66,46.99,1.548
2014-03-26,47.3,47.78,47.04,47.18,2.065
2014-03-27,46.94,47.95,46.48,47.62,6.556
2014-03-28,47.73,48.77,47.63,48.33,5.494
2014-03-31,48.33,49.11,48.11,48.67,4.671
2014-04-01,54.01,55.92,52.25,54.84,25.789
2014-04-02,56.04,58.06,55.4,57.61,12.058
2014-04-03,57.72,60.14,57.72,60.07,11.126
2014-04-04,59.44,59.63,56.13,56.17,12.684
2014-04-07,56.11,57.09,55.15,55.23,6.173
2014-04-08,55.56,55.59,53.82,54.43,7.003
2014-04-09,49.1,51.32,48.78,50.74,23.554
2014-04-10,51.09,51.67,50.28,50.4,6.353
2014-04-11,50.06,50.18,48.19,48.85,7.3
2014-04-14,49.13,49.19,46.93,47.22,6.326
2014-04-15,47.24,47.47,45.62,46.34,6.91
2014-04-16,47.32,47.35,45.92,46.13,6.516
