Date,Open,High,Low,Close,Volume
2014-01-02,36.26,36.4,35.67,35.87,1.866
2014-01-03,36.02,36.28,35.98,36.12,2.037
2014-01-06,36.59,36.73,36.25,36.37,3.758
2014-01-07,36.7,36.88,36.56,36.69,2.294
2014-01-08,36.73,36.73,36.38,36.53,2.392
2014-01-09,36.71,36.72,35.96,36.04,3.09
2014-01-10,36.28,36.38,35.65,35.85,3.813
2014-01-13,35.79,35.98,34.96,35.05,3.3
2014-01-14,35.22,35.41,34.84,35.22,3.652
2014-01-15,35.25,35.49,35.04,35.46,3.024
2014-01-16,35.46,35.53,35.16,35.2,2.396
2014-01-17,35.2,35.3,34.91,35.01,2.654
2014-01-21,35.19,35.37,34.89,35.04,2.487
2014-01-22,35.22,35.89,35.08,35.85,3.207
2014-01-23,35.58,35.65,34.93,34.99,3.691
2014-01-24,34.69,34.83,33.47,33.48,3.782
2014-01-27,33.52,33.74,32.73,33.08,3.251
2014-01-28,33.21,33.74,33.21,33.43,5.134
2014-01-29,32.8,33.32,32.69,33.05,6.464
2014-01-30,33.68,34.26,33.45,33.5,4.303
2014-01-31,34.43,34.43,32.88,33.25,3.903
2014-02-03,33.06,33.12,31.81,31.89,4.662
2014-02-04,32.17,32.73,31.86,32.46,3.93
2014-02-05,32.29,32.45,31.73,31.77,5.066
2014-02-06,31.89,32.8,31.81,32.75,5.53
2014-02-07,32.95,33.39,32.45,32.88,4.646
2014-02-10,33.42,34.45,33.41,34.1,8.796
2014-02-11,34.22,34.56,33.95,34.35,5.226
2014-02-12,34.44,34.84,34.24,34.35,3.562
2014-02-13,34.07,34.55,33.92,34.53,2.932
2014-02-14,34.41,34.57,34.13,34.36,2.435
2014-02-18,34.29,34.48,33.95,34.14,2.645
2014-02-19,33.99,34.62,33.78,33.82,2.844
2014-02-20,33.78,33.98,33.39,33.69,2.995
2014-02-21,33.68,33.74,33.31,33.54,4.028
2014-02-24,33.53,34.06,33.45,33.83,2.66
2014-02-25,33.83,33.95,33.25,33.34,2.558
2014-02-26,33.38,33.57,33.03,33.11,3.992
2014-02-27,33.07,34.12,33.05,34.12,3.675
2014-02-28,34.08,34.52,33.98,34.3,4.578
2014-03-03,33.72,33.72,33.2,33.35,6.008
2014-03-04,33.91,34.5,33.9,34.45,3.237
2014-03-05,34.5,34.61,34.28,34.42,2.686
2014-03-06,34.48,34.73,34.27,34.38,3.274
2014-03-07,34.71,34.79,34.34,34.52,3.059
2014-03-10,34.53,34.9,34.13,34.86,4.21
2014-03-11,34.89,35.14,34.59,34.75,4.486
2014-03-12,34.7,35.58,34.68,35.58,6.281
2014-03-13,35.61,35.91,34.72,34.81,3.92
2014-03-14,34.69,34.89,34.4,34.53,3.096
2014-03-17,34.76,35.15,34.58,34.9,2.276
2014-03-18,35.05,35.33,34.81,35.09,2.438
2014-03-19,35.18,35.19,34.52,34.92,3.724
2014-03-20,34.68,36.27,34.66,36.25,4.598
2014-03-21,36.65,36.81,36.03,36.15,7.2
2014-03-24,36.26,36.4,36.0,36.19,3.556
2014-03-25,36.41,36.57,36.0,36.24,3.573
2014-03-26,36.49,36.82,36.28,36.28,3.815
2014-03-27,36.27,36.49,35.98,36.13,3.477
2014-03-28,36.33,36.73,36.21,36.44,1.997
2014-03-31,36.81,37.18,36.68,37.0,3.111
2014-04-01,36.71,37.46,36.66,37.46,3.12
2014-04-02,37.48,37.87,37.29,37.68,3.033
2014-04-03,36.5,36.94,36.32,36.65,8.471
2014-04-04,37.04,37.09,35.41,35.65,5.913
2014-04-07,35.54,35.54,34.54,34.63,5.864
