Date,Open,High,Low,Close,Volume
2014-01-02,63.67,64.1,62.66,62.88,1.546
2014-01-03,62.84,62.99,62.03,62.29,1.266
2014-01-06,62.6,62.73,61.71,62.37,1.108
2014-01-07,62.5,63.2,62.36,62.92,0.914
2014-01-08,62.92,63.59,62.45,63.09,0.681
2014-01-09,63.33,63.78,62.83,63.25,0.72
2014-01-10,63.25,63.8,62.85,63.73,0.863
2014-01-13,64.59,65.3,64.19,64.34,1.453
2014-01-14,64.17,64.76,63.8,64.54,0.851
2014-01-15,64.76,65.62,64.76,65.29,0.732
2014-01-16,65.29,65.59,65.03,65.45,0.534
2014-01-17,65.59,65.88,65.15,65.73,0.64
2014-01-21,65.73,66.25,65.43,66.06,0.689
2014-01-22,66.36,66.88,65.89,66.81,1.037
2014-01-23,61.5,65.62,60.46,64.6,2.128
2014-01-24,64.74,65.07,62.75,63.0,1.703
2014-01-27,62.5,63.23,61.51,62.27,1.035
2014-01-28,62.6,63.15,61.82,62.71,0.812
2014-01-29,62.04,62.57,61.48,61.78,0.959
2014-01-30,62.21,62.24,61.33,61.73,0.747
2014-01-31,60.9,61.31,60.52,60.71,0.829
2014-02-03,60.73,61.02,58.29,58.49,1.792
2014-02-04,59.0,59.73,58.35,59.29,0.771
2014-02-05,59.07,59.17,58.2,58.65,0.604
2014-02-06,58.72,59.52,58.72,59.0,0.532
2014-02-07,59.46,59.86,59.06,59.84,0.714
2014-02-10,59.65,59.87,59.18,59.36,0.823
2014-02-11,59.52,60.21,59.05,59.93,0.736
2014-02-12,59.98,60.9,59.72,60.81,0.714
2014-02-13,60.24,60.44,59.51,60.25,0.93
2014-02-14,60.51,60.69,59.9,60.47,1.107
2014-02-18,60.47,61.16,59.74,60.96,1.103
2014-02-19,60.82,62.02,60.14,60.27,1.159
2014-02-20,60.69,61.51,60.36,61.04,0.989
2014-02-21,61.2,61.2,60.05,60.1,0.81
2014-02-24,60.21,60.88,60.02,60.03,0.806
2014-02-25,60.08,60.31,59.62,60.0,0.923
2014-02-26,60.19,60.69,59.92,60.32,1.457
2014-02-27,60.31,61.17,60.21,60.56,0.906
2014-02-28,60.82,61.19,60.34,60.65,1.157
2014-03-03,59.9,60.55,59.36,60.4,1.177
2014-03-04,60.98,61.65,60.97,61.6,1.349
2014-03-05,61.57,61.94,61.33,61.81,0.711
2014-03-06,61.81,63.39,61.77,63.07,1.158
2014-03-07,63.45,63.52,62.77,63.09,0.556
2014-03-10,62.8,63.14,62.41,62.85,0.941
2014-03-11,62.84,63.19,62.64,62.86,0.864
2014-03-12,62.63,62.97,62.47,62.81,1.04
2014-03-13,62.87,63.04,61.74,61.93,0.905
2014-03-14,61.75,62.62,61.75,62.59,0.759
2014-03-17,62.82,63.78,62.8,63.27,1.029
