Date,Open,High,Low,Close,Volume
2014-01-02,77.17,77.29,76.26,76.6,0.539
2014-01-03,76.87,77.43,76.6,77.29,0.527
2014-01-06,77.67,77.93,76.46,76.62,0.634
2014-01-07,77.19,77.72,76.81,77.3,0.448
2014-01-08,77.28,77.5,76.57,77.15,0.482
2014-01-09,77.13,77.5,76.73,77.48,1.07
2014-01-10,77.83,79.26,77.57,79.23,0.876
2014-01-13,79.17,79.27,77.7,77.8,0.753
2014-01-14,78.15,78.75,78.01,78.4,0.626
2014-01-15,78.42,79.51,78.2,79.18,0.532
2014-01-16,78.98,79.0,78.21,78.51,0.459
2014-01-17,77.45,77.79,76.95,77.59,0.876
2014-01-21,79.09,79.57,78.46,79.06,1.319
2014-01-22,79.89,79.89,78.68,79.29,0.896
2014-01-23,78.11,79.17,77.6,78.49,1.1
2014-01-24,78.25,78.4,76.3,76.3,0.892
2014-01-27,76.42,76.44,74.56,74.75,1.091
2014-01-28,74.47,75.88,74.1,74.73,0.693
2014-01-29,74.25,74.92,73.67,74.28,1.024
2014-01-30,74.95,75.99,74.51,75.51,0.552
2014-01-31,74.66,75.58,74.25,75.05,0.538
2014-02-03,75.26,75.6,72.28,72.4,1.103
2014-02-04,72.74,73.27,72.12,73.09,0.756
2014-02-05,72.75,73.69,72.39,73.48,0.965
2014-02-06,73.61,74.59,73.19,74.13,0.556
2014-02-07,74.13,74.57,73.63,73.92,0.582
2014-02-10,72.92,73.65,72.88,73.22,0.699
2014-02-11,72.93,73.73,72.56,73.24,0.745
2014-02-12,73.29,73.58,72.27,73.25,1.05
2014-02-13,72.82,73.64,72.68,73.43,0.551
2014-02-14,73.21,73.61,72.71,72.78,0.854
2014-02-18,72.66,73.11,71.98,72.31,0.958
2014-02-19,73.57,73.57,71.36,71.42,0.718
2014-02-20,71.5,71.85,70.73,71.65,0.625
2014-02-21,71.63,72.45,71.54,72.0,0.737
2014-02-24,72.0,72.68,71.65,71.65,0.592
2014-02-25,71.78,72.08,70.97,71.83,0.633
2014-02-26,72.15,72.39,71.05,71.11,1.202
2014-02-27,71.13,71.45,70.79,71.13,0.948
2014-02-28,71.02,72.51,71.01,71.87,1.219
2014-03-03,71.32,71.56,70.88,71.16,0.823
2014-03-04,72.01,72.79,71.89,72.3,0.795
2014-03-05,72.49,72.85,72.17,72.71,0.87
2014-03-06,72.57,73.87,72.37,73.84,0.691
2014-03-07,74.19,74.81,73.89,74.39,0.92
2014-03-10,74.04,74.79,73.88,74.18,1.067
2014-03-11,74.16,74.38,73.01,73.08,0.735
2014-03-12,72.78,73.21,72.52,72.75,0.612
2014-03-13,72.84,73.27,71.55,71.9,0.704
2014-03-14,71.81,72.36,71.35,71.45,0.887
2014-03-17,71.96,72.41,71.29,71.5,0.632
2014-03-18,71.52,71.86,70.94,70.98,1.09
2014-03-19,70.74,71.4,70.64,70.99,0.874
2014-03-20,70.69,70.82,69.94,70.2,1.348
2014-03-21,70.33,71.17,70.03,70.11,1.394
2014-03-24,70.22,70.52,69.5,69.97,1.318
2014-03-25,70.43,70.87,69.33,69.8,1.574
2014-03-26,69.87,70.78,69.56,69.75,1.43
2014-03-27,69.53,70.08,69.51,69.97,0.779
2014-03-28,69.89,70.52,69.85,69.97,0.789
2014-03-31,70.29,72.01,70.26,71.92,1.863
2014-04-01,72.1,73.05,72.0,73.03,1.358
2014-04-02,72.79,74.2,72.72,74.18,1.403
2014-04-03,73.7,74.13,73.55,73.8,0.908
2014-04-04,74.05,74.25,73.27,73.35,1.068
2014-04-07,72.94,73.33,71.94,72.04,1.522
2014-04-08,71.82,72.34,71.76,72.3,0.984
2014-04-09,72.53,72.87,72.06,72.82,0.895
2014-04-10,72.84,73.07,71.76,71.96,1.179
2014-04-11,71.75,72.38,71.45,71.51,1.436
2014-04-14,73.61,76.12,72.16,74.29,2.434
2014-04-15,74.83,74.91,73.29,74.41,1.626
2014-04-16,74.92,75.82,74.48,75.8,1.333
2014-04-17,75.62,76.27,75.41,75.81,0.805
2014-04-21,75.84,76.44,75.46,76.39,0.682
2014-04-22,76.46,77.01,75.87,76.79,0.786
2014-04-23,76.72,76.99,75.87,76.15,0.81
2014-04-24,76.34,76.41,75.38,76.04,0.571
